 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4             -30.01944              -10.634855              -11.580629             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.880323                5.956823              1.946557             1.938885               1.942725              -0.007673              2.115416           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -37.188354              -18.274497               -4.959960             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.416633                3.842049              1.948010             2.356068               2.228366               0.408059              2.089149           No_Data         No_Data        8.483894       7.168914            No_Data            
   He       2      6      8            -39.728661              -23.621757               -2.009386             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.134650                3.396794              1.989936             2.663626               2.512198               0.673690              2.100844           No_Data         No_Data        4.889576       2.540308            No_Data            
   He       2      8      10           -37.626096              -26.842985                0.067867             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.874723                2.596925              2.042973             3.033899               2.863282               0.990926              2.123992           No_Data         No_Data        1.945577      -2.102566            No_Data            
   He       2      10     12           -32.690333              -28.695914                1.282501             0.000000             0.000001               0.000001               0.000000                   0.000001                      0.000001                   4.726590                1.887353              2.089785             3.473091               3.283266               1.383307              2.142126           No_Data         No_Data       -0.225743      -4.935763            No_Data            
   He       2      12     14           -27.429195              -30.303262                1.736683             0.000000             0.000000               0.000000               0.000000                   0.000001                      0.000001                   4.601604                1.727399              2.125090             3.764528               3.576632               1.639438              2.149746           No_Data         No_Data       -0.823193      -5.261139            No_Data            
   He       2      14     16           -22.262117              -31.840686                2.017448             0.000000             0.000000               0.000000               0.000000                   0.000001                      0.000001                   4.449010                1.680407              2.160582             3.949791               3.772831               1.789210              2.158105           No_Data         No_Data       -0.879636      -5.167079            No_Data            
   He       2      16     18           -16.695909              -32.890286                2.265535            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   4.319327                1.548524              2.193931             4.148395               3.978927               1.954464              2.164841           No_Data         No_Data       -1.168639      -5.566208            No_Data            
   He       2      18     20           -10.818758              -33.383660                2.448510             0.000000             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   4.224341                1.378137              2.220252             4.386539               4.220249               2.166288              2.164861           No_Data         No_Data       -1.475246      -5.877151            No_Data            
   He       2      20     22            -4.956314              -33.566378                2.559877            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   4.192955                1.204273              2.236146             4.638998               4.474202               2.402852              2.154380           No_Data         No_Data       -1.640018      -5.862445            No_Data            
   He       2      22     24             0.519189              -33.711002                2.685665            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   4.187450                1.123478              2.241604             4.877227               4.714212               2.635624              2.133000           No_Data         No_Data       -1.573876      -5.475503            No_Data            
   He       2      24     26             6.018194              -33.963563                2.956988            -0.000001             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   4.187782                1.102622              2.243657             5.088939               4.928735               2.845283              2.107795           No_Data         No_Data       -1.636453      -5.499006            No_Data            
   He       2      26     28            12.421527              -34.247705                3.349746            -0.000001             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   4.163896                1.006971              2.249553             5.272723               5.116370               3.023170              2.086430           No_Data         No_Data       -2.146870      -6.403333            No_Data            
   Be       4      2      6            -34.413891               -3.189574              -19.024576             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   3.724175                5.446302              2.391576             1.947485               2.253291              -0.444092              2.553750          6.999475        4.394452         No_Data        No_Data            No_Data            
   Be       4      4      8            -56.131949               -9.556838              -11.390273             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000000                   3.253220                3.384190              2.281393             2.264815               2.273119              -0.016578              2.427067         13.806725       18.943596       15.274275      21.718058           2.187492            
   Be       4      6      10           -71.427749              -15.063896               -7.057861             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   2.905741                3.457215              2.280158             2.475574               2.399318               0.195416              2.425907         19.869740       31.699089       11.068603      15.295801          -5.939396            
   Be       4      8      12           -77.404787              -19.324078               -3.326000             0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.638051                2.777292              2.324024             2.722640               2.596576               0.398617              2.443540         23.645733       39.778692        6.105773       5.977038          -9.376126            
   Be       4      10     14           -77.979158              -22.657292               -1.516174             0.000001             0.000001               0.000001               0.000000                   0.000001                      0.000001                   2.474336                2.199719              2.366494             2.964496               2.806670               0.598003              2.483968         26.244876       45.288825        2.775692       0.574371         -12.053063            
   Be       4      12     16           -78.048266              -25.485208               -0.914619             0.000003             0.000002               0.000002               0.000001                   0.000003                      0.000004                   2.356055                2.165283              2.398911             3.175051               2.999901               0.776140              2.491681         28.788365       50.619071        2.217056       0.069108         -17.057933            
   Be       4      14     18           -78.088202              -28.006221               -0.271979            -0.000005            -0.000002              -0.000002              -0.000002                  -0.000004                     -0.000005                   2.218031                2.114237              2.428770             3.347727               3.166646               0.918957              2.520442         31.246563       55.826085        2.159729       0.039936         -22.359007            
   Be       4      16     20           -76.557498              -29.914498                0.730865            -0.000003             0.000000              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.099952                2.092479              2.461707             3.514266               3.330473               1.052560              2.529349         33.140434       59.861589        1.338007      -1.530705         -25.995381            
   Be       4      18     22           -71.696467              -31.072004                1.697105            -0.000004             0.000000              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.015110                1.434220              2.495085             3.752664               3.557237               1.257580              2.561845         33.558580       60.877709       -0.667166      -4.861031         -26.700559            
   Be       4      20     24           -66.313302              -31.579489                1.990690            -0.000003             0.000000              -0.000001              -0.000001                  -0.000002                     -0.000003                   1.979306                1.259372              2.526974             4.023595               3.815149               1.496622              2.570428         33.764625       61.356988       -1.344787      -5.383166         -27.194544            
   Be       4      22     26           -61.342096              -31.951762                2.141916            -0.000002             0.000000               0.000000              -0.000001                   0.000001                      0.000000                   1.944177                1.200262              2.549471             4.280702               4.062664               1.731231              2.592548         33.996456       61.861285       -1.255787      -4.971206         -28.085783            
   Be       4      24     28           -56.335635              -32.281047                2.378341            -0.000005            -0.000001              -0.000001              -0.000002                  -0.000005                     -0.000007                   1.922640                1.168420              2.565206             4.517207               4.293038               1.952002              2.585669         34.232126       62.353830       -1.318890      -5.006461         -28.554825            
   Be       4      26     30           -50.735554              -32.707659                2.689572            -0.000006            -0.000001              -0.000001              -0.000002                  -0.000005                     -0.000007                   1.899678                1.172117              2.581494             4.711023               4.485880               2.129529              2.601829         34.610328       63.157081       -1.629773      -5.600082         -28.453749            
   Be       4      28     32           -44.203013              -33.262546                2.970248            -0.000007            -0.000001              -0.000001              -0.000003                  -0.000007                     -0.000009                   1.854756                1.097644              2.601565             4.854420               4.633113               2.252856              2.599508           No_Data         No_Data       -2.131391      -6.532542         -28.324540            
   Be       4      30     34           -37.447162              -33.916921                3.083490            -0.000024            -0.000004              -0.000005              -0.000009                  -0.000038                     -0.000046                   1.823615                1.094770              2.624994             4.962908               4.747991               2.337914              2.622956           No_Data         No_Data       -2.281719      -6.755851            No_Data            
   Be       4      32     36           -30.842668              -34.486593                3.106335            -0.000009            -0.000001              -0.000001              -0.000003                  -0.000010                     -0.000013                   1.802251                1.102652              2.645032             5.078629               4.868675               2.433598              2.620953           No_Data         No_Data       -2.203536      -6.604494            No_Data            
