 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -29.983718              -10.558154              -11.478886             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.597249                5.649244              1.956656             1.948751               1.952708              -0.007906              2.124713           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -36.159424              -18.715632               -4.272001             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.015006                3.725048              1.972735             2.389867               2.259396               0.417133              2.112223           No_Data         No_Data        7.775000       6.175707            No_Data            
   He       2      6      8            -37.137744              -24.327412               -1.157699             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.718873                3.265396              2.021843             2.737245               2.577081               0.715403              2.131092           No_Data         No_Data        3.984382       0.978320            No_Data            
   He       2      8      10           -33.898501              -27.696303                0.820228             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.509130                2.563855              2.075605             3.137094               2.955455               1.061489              2.155397           No_Data         No_Data        1.295004      -3.239243            No_Data            
   He       2      10     12           -27.759968              -29.490487                2.129305             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.356361                1.807331              2.120356             3.624741               3.420274               1.504386              2.171960           No_Data         No_Data       -0.883674      -6.138534            No_Data            
   He       2      12     14           -20.546461              -30.737297                2.769343             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000001                   4.198224                1.452016              2.155289             3.976982               3.771009               1.821694              2.179604           No_Data         No_Data       -1.977081      -7.213507            No_Data            
   He       2      14     16           -13.265842              -31.871625                3.063699             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.058782                1.367353              2.190873             4.225315               4.027607               2.034443              2.188430           No_Data         No_Data       -2.230625      -7.280620            No_Data            
   He       2      16     18            -5.958343              -32.535954                3.212028             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.947985                1.257237              2.221956             4.478751               4.287070               2.256795              2.193237           No_Data         No_Data       -2.341455      -7.307499            No_Data            
   He       2      18     20             1.175864              -32.876774                3.291864             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.910879                1.139608              2.243599             4.736813               4.549399               2.493214              2.188798           No_Data         No_Data       -2.368682      -7.134207            No_Data            
   He       2      20     22             8.082662              -33.082559                3.355343            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   3.911709                1.016563              2.254821             4.984219               4.800650               2.729399              2.173757           No_Data         No_Data       -2.375314      -6.906798            No_Data            
   He       2      22     24            14.687521              -33.326729                3.479039            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   3.889312                0.946358              2.256468             5.211451               5.031923               2.954984              2.148616           No_Data         No_Data       -2.320969      -6.604860            No_Data            
   He       2      24     26            21.286827              -33.758738                3.799249            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   3.882067                0.950870              2.254123             5.410705               5.235895               3.156583              2.118932           No_Data         No_Data       -2.351040      -6.599306            No_Data            
   He       2      26     28            28.925458              -34.229246                4.298369            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   3.907341                0.877426              2.255103             5.583064               5.413629               3.327962              2.092413           No_Data         No_Data       -2.905168      -7.638632            No_Data            
   Be       4      2      6            -33.472573               -2.530237              -19.452857             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   3.600581                5.103016              2.429629             1.971746               2.287209              -0.457883              2.589421          6.343343        3.488855         No_Data        No_Data            No_Data            
   Be       4      4      8            -56.070979               -9.395810              -11.194073             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000000                   3.335483                3.398626              2.311636             2.294974               2.303320              -0.016663              2.455517         14.131023       19.911555       15.550025      22.598407           2.212739            
   Be       4      6      10           -70.290303              -15.263610               -6.628939             0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.947363                3.324252              2.316687             2.521353               2.441546               0.204667              2.460273         20.409398       33.152559       10.471101      14.219324          -5.830879            
