 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -30.710089              -10.603724              -11.518599             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   6.724404                6.790194              1.973112             1.965921               1.969520              -0.007191              2.139877           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -36.148329              -19.093179               -3.948087             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   6.193100                4.257506              1.966304             2.406247               2.269097               0.439943              2.106218           No_Data         No_Data        8.242970       5.438240            No_Data            
   He       2      6      8            -36.550727              -24.889724               -1.054554             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.845073                3.688612              2.004774             2.726587               2.565246               0.721814              2.114904           No_Data         No_Data        4.174259       0.402399            No_Data            
   Be       4      2      6            -33.466501               -2.242543              -19.789301             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   4.158663                6.224438              2.444358             1.966344               2.296104              -0.478014              2.603246          6.819740        2.756413         No_Data        No_Data            No_Data            
   Be       4      4      8            -55.470044               -9.221976              -11.030109             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000001                   3.803356                3.910063              2.309448             2.293079               2.301278              -0.016370              2.453457         14.659086       19.321716       16.069023      22.003544           3.540045            
   Be       4      6      10           -69.989710              -15.278862               -6.739152             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   3.567707                3.816581              2.305827             2.504738               2.427130               0.198912              2.450049         21.425882       33.438984       11.123155      14.519667          -5.541382            
   Be       4      8      12           -76.146979              -20.086675               -2.892971             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.293949                3.326583              2.341708             2.720202               2.600166               0.378494              2.460366         26.004254       43.166752        6.650217       6.157269         -11.296253            
   C        6      4      10           -65.569223               -4.187676              -16.969521             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000001                   3.735765                3.614017              2.539819             2.298669               2.446213              -0.241151              2.693081          8.819150       10.099179       22.659590      35.826520          -3.802722            
   C        6      6      12           -92.613085               -9.561430              -12.151292             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.550063                3.671622              2.494938             2.474476               2.484728              -0.020462              2.628805         14.870573       22.623375       17.164751      27.043863          -8.843041            
   C        6      8      14          -109.290681              -14.371337               -7.278425             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.411272                3.340608              2.512433             2.645371               2.589234               0.132938              2.645415         19.924462       33.143703       11.844913      16.677597         -11.000972            
