 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -30.710089              -10.603724              -11.518599             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   6.724404                6.790194              1.973112             1.965921               1.969520              -0.007191              2.139877           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -36.148329              -19.093179               -3.948087             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   6.193100                4.257506              1.966304             2.406247               2.269097               0.439943              2.106218           No_Data         No_Data        8.242970       5.438240            No_Data            
   He       2      6      8            -36.550727              -24.889724               -1.054554             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.845073                3.688612              2.004774             2.726587               2.565246               0.721814              2.114904           No_Data         No_Data        4.174259       0.402399            No_Data            
   He       2      8      10           -32.980228              -28.646855                0.917063             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.547807                2.832768              2.046699             3.090116               2.911503               1.043418              2.127576           No_Data         No_Data        1.475441      -3.570500            No_Data            
   He       2      10     12            -25.96012              -30.593330                2.483333             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.368283                1.903061              2.088040             3.596373               3.391888               1.508333              2.140424           No_Data         No_Data       -1.142140      -7.020108            No_Data            
   He       2      12     14           -17.908634              -31.764238                3.183086             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.185123                1.674443              2.122260             3.962659               3.755377               1.840400              2.146949           No_Data         No_Data       -2.236991      -8.051487            No_Data            
   He       2      14     16            -9.545431              -32.914140                3.529363             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.007201                1.576433              2.154176             4.221268               4.021415               2.067093              2.151692           No_Data         No_Data       -2.556164      -8.363203            No_Data            
   He       2      16     18            -1.210235              -33.785069                3.709208            -0.000001             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   4.874950                1.476866              2.180718             4.467178               4.273965               2.286460              2.151449           No_Data         No_Data       -2.640949      -8.335196            No_Data            
   He       2      18     20             6.943265              -34.363205                3.821669             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.828227                1.383004              2.199009             4.716813               4.528472               2.517804              2.143069           No_Data         No_Data       -2.646816      -8.153501            No_Data            
   He       2      20     22            14.837446              -34.746937                3.914127            -0.000001             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   4.818438                1.304629              2.209469             4.957787               4.773776               2.748318              2.126677           No_Data         No_Data       -2.603274      -7.894181            No_Data            
