 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -18.702212               -6.952288               -7.602036             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.885505                4.517510              2.077086             2.081886               2.079487               0.004800              2.236110           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -23.240782              -16.254974               -1.372870             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000000                   5.105258                2.030199              2.001137             2.659836               2.459946               0.658699              2.138773           No_Data         No_Data        5.543140       4.538570            No_Data            
   He       2      6      8            -24.606519              -21.880382                0.110412             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.821930                1.809869              2.032388             3.037318               2.819863               1.004930              2.141099           No_Data         No_Data        2.602903       1.365737            No_Data            
   He       2      8      10           -23.286018              -24.843916                1.371353             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.723572                0.213603              2.070261             3.426356               3.201426               1.356096              2.150252           No_Data         No_Data        0.351486      -1.320502            No_Data            
   He       2      10     12           -19.120407              -26.172762                2.720361             0.000000             0.000000               0.000000               0.000000                   0.000001                      0.000001                   4.603227                0.987386              2.086927             3.954308               3.708954               1.867381              2.139338           No_Data         No_Data       -1.482311      -4.165611            No_Data            
   He       2      12     14           -12.671543              -27.311364                3.300083             0.000000             0.000001               0.000001               0.000000                   0.000004                      0.000004                   4.559980                0.660355              2.112690             4.243444               4.008996               2.130755              2.137489           No_Data         No_Data       -2.400562      -6.448865            No_Data            
   He       2      14     16             -6.68097              -28.266729                3.151543             0.000000             0.000001               0.000001               0.000000                   0.000003                      0.000003                   4.413628                0.708404              2.147619             4.464417               4.244546               2.316798              2.145127           No_Data         No_Data       -2.310908      -5.990573            No_Data            
   He       2      16     18            -1.047445              -28.924200                3.038888             0.000000             0.000001               0.000001               0.000000                   0.000003                      0.000003                   4.271955                0.696938              2.179642             4.666029               4.458768               2.486388              2.150358           No_Data         No_Data       -2.114092      -5.633526            No_Data            
   He       2      18     20             4.290201              -29.372890                2.984662             0.000000             0.000001               0.000001               0.000000                   0.000004                      0.000004                   4.170379                0.706367              2.203343             4.864818               4.667471               2.661475              2.147515           No_Data         No_Data       -1.967171      -5.337646            No_Data            
   He       2      20     22             9.499219              -29.880911                2.981009            -0.000001             0.000000               0.000000               0.000000                   0.000002                      0.000002                   4.127814                0.680811              2.210908             5.057347               4.867851               2.846440              2.128172           No_Data         No_Data       -1.910920      -5.209019            No_Data            
