Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
10     2      12     -12.37155               0.829277       3.993518       2820      YES            
12     2      14     -0.563057               0.930542       7.88709        4245      YES            
14     2      16     11.322428               0.924891       10.019423      5730      YES            
16     4      20     -28.802388              0.907067       4.32835        7215      YES            
18     6      24     -75.958284              0.980385       4.887179       8970      YES            
20     8      28     -119.397396             1.044088       5.937264       10890     YES            
106    254    360    -2183.107713            0.855919       -1.9e-05       9240      YES            
110    174    284    -2040.200006            0.499875       0.136283       15570     YES            
110    176    286    -2051.438877            0.498933       -0.000396      15615     YES            
110    264    374    -2238.359093            0.564371       0.334568       18975     YES            
112    172    284    -2035.201703            0.509185       0.084144       795       YES            
112    174    286    -2047.639312            0.512959       0.068035       855       YES            
112    176    288    -2059.616112            0.54293        0.284241       974       YES            
112    178    290    -2071.157445            0.522281       0.000734       990       YES            
112    180    292    -2082.420609            0.563939       0.392599       1125      YES            
112    190    302    -2129.984583            0.403321       0.052294       1454      YES            
112    246    358    -2266.840493            0.464455       0.000158       3555      YES            
112    248    360    -2268.059111            0.466921       0.000308       3645      YES            
112    250    362    -2269.038787            0.470747       0.000839       3705      YES            
112    252    364    -2269.882132            0.514902       0.355434       3825      YES            
112    262    374    -2270.969647            0.546999       0.322453       4200      YES            
112    264    376    -2270.612392            0.553011       0.319282       4275      YES            
112    266    378    -2269.900946            0.55968        0.309796       4350      YES            
114    172    286    -2039.933288            0.510818       0.068947       5820      YES            
114    174    288    -2053.064049            0.513766       0.028209       5880      YES            
114    188    302    -2132.555594            0.619847       0.34443        6450      YES            
114    190    304    -2142.465203            0.639224       0.331837       6510      YES            
114    192    306    -2151.91609             0.647064       0.325391       6570      YES            
114    194    308    -2160.918152            0.652192       0.322303       6675      YES            
114    196    310    -2167.589057            0.423404       0.000426       6690      YES            
114    198    312    -2175.923247            0.432312       0.154332       6810      YES            
114    200    314    -2183.858005            0.426861       0.12109        6870      YES            
114    202    316    -2193.246026            0.670381       0.304332       6975      YES            
114    204    318    -2200.551977            0.674112       0.298561       7050      YES            
114    206    320    -2207.374474            0.588198       0.000323       7065      YES            
114    246    360    -2293.100706            0.509936       0.294314       8625      YES            
114    262    376    -2359.954075            1.233784       3.8e-05        9164      YES            
114    264    378    -2300.757721            0.547785       0.307053       9285      YES            
114    266    380    -2300.648255            0.551913       0.30617        9375      YES            
114    268    382    -2300.31399             0.555862       0.30654        9435      YES            
114    270    384    -2299.783675            0.559658       0.306245       9510      YES            
114    272    386    -2299.076229            0.538921       0.000643       9540      YES            
114    274    388    -2298.148596            0.545109       -0.000446      9630      YES            
114    276    390    -2297.170363            0.607311       0.000162       9705      YES            
114    278    392    -2296.879771            0.654331       -0.066139      9809      YES            
114    280    394    -2294.732233            0.622134       -0.00059       9840      YES            
114    282    396    -2293.204482            0.627624       -0.000152      9915      YES            
114    284    398    -2329.757578            1.256698       5.6e-05        10005     YES            
114    286    400    -2327.713086            1.255285       -1.7e-05       10065     YES            
114    288    402    -2325.490431            1.253782       -2.4e-05       10185     YES            
114    290    404    -2323.102595            1.252234       1e-06          10275     YES            
114    292    406    -2320.548594            1.250637       1e-05          10350     YES            
114    294    408    -2317.831525            1.248969       1e-05          10425     YES            
114    296    410    -2314.973582            1.247217       6.3e-05        10500     YES            
116    190    306    -2153.27351             0.690092       -0.0545        1229      YES            
116    192    308    -2161.928441            0.644934       0.316741       1335      YES            
116    194    310    -2172.750906            0.719028       -0.051353      1410      YES            
116    196    312    -2232.911808            1.3226         1.7e-05        1440      YES            
116    198    314    -2189.390984            0.630541       0.002759       1529      YES            
116    200    316    -2197.821397            0.630536       0.000234       1589      YES            
116    202    318    -2205.951084            0.645039       0.313127       1695      YES            
116    206    322    -2221.470067            0.588716       0.340073       1875      YES            
116    212    328    -2242.871956            0.568609       0.255214       2099      YES            
116    214    330    -2249.376878            0.58097        0.336258       2175      YES            
116    216    332    -2255.538312            0.581594       0.334523       2250      YES            
116    218    334    -2261.378525            0.582834       0.332657       2325      YES            
116    266    382    -2329.786451            0.545175       0.305906       4125      YES            
116    268    384    -2329.925411            0.551195       0.302257       4185      YES            
116    270    386    -2329.88061             0.557038       0.298227       4260      YES            
116    272    388    -2329.596554            0.566239       0.296362       4335      YES            
116    274    390    -2329.212051            0.568902       -0.000485      4365      YES            
116    276    392    -2328.63727             0.600934       0.298563       4470      YES            
