Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -30.830858              0.355647       0.526174       17        YES            
4      20     24     -50.969795              0.485986       -0.534444      960       YES            
6      6      12     -92.717528              0.566921       -0.959258      1147      YES            
10     2      12     -10.016988              0.930242       -6.570808      2835      YES            
12     2      14     2.881623                0.818482       7.376069       4257      YES            
14     2      16     15.549781               0.77469        8.147938       5712      YES            
16     4      20     -24.351466              0.905864       4.771336       7215      YES            
18     6      24     -72.400303              1.030535       6.217866       8955      YES            
20     8      28     -116.755601             1.07413        6.773351       10935     YES            
38     38     76     -635.912586             0.426012       2.2e-05        15390     YES            
72     74     146    -1112.282781            0.424546       -0.000477      15        YES            
108    188    296    -2080.247687            0.409824       0.120201       11400     YES            
110    188    298    -2093.974954            0.419681       0.134241       16125     YES            
110    190    300    -2102.036919            0.404618       0.108027       16185     YES            
112    188    300    -2106.087626            0.428315       0.140216       1425      YES            
112    190    302    -2114.844379            0.411575       0.109987       1500      YES            
114    190    304    -2126.007565            0.424479       0.122599       6525      YES            
114    192    306    -2135.186895            0.412857       0.097994       6600      YES            
114    194    308    -2144.087939            0.400038       0.00134        6615      YES            
116    188    304    -2127.509631            0.542665       0.303313       1185      YES            
116    190    306    -2135.885075            0.441798       0.136813       1275      YES            
116    192    308    -2145.41947             0.428275       0.112963       1335      YES            
116    194    310    -2154.770601            0.415962       0.071387       1380      YES            
116    196    312    -2163.518407            0.40619        -0.000222      1440      YES            
116    264    380    -2288.86605             0.553959       0.239851       4050      YES            
118    190    308    -2150.187145            0.713544       -0.116626      6509      YES            
118    192    310    -2154.598967            0.485612       -0.002269      6540      YES            
118    194    312    -2164.213358            0.430324       0.088463       6630      YES            
118    196    314    -2173.527037            0.418272       0.000521       6690      YES            
118    198    316    -2182.003388            0.412709       0.000378       6765      YES            
118    200    318    -2189.984581            0.406425       2.7e-05        6840      YES            
118    258    376    -2389.094317            1.231377       5e-06          9014      YES            
118    264    382    -2317.566347            0.544937       0.000371       9239      YES            
118    266    384    -2317.826815            0.551454       0.225646       9375      YES            
120    166    286    -1990.832796            0.522556       0.306358       10725     YES            
120    190    310    -2152.403746            0.530496       0.256953       11610     YES            
120    192    312    -2165.053747            0.619548       0.287579       11670     YES            
120    194    314    -2172.454444            0.481708       0.007701       11730     YES            
120    196    316    -2185.029642            0.594703       4e-06          11788     YES            
120    198    318    -2194.428384            0.595254       0.000604       11865     YES            
120    200    320    -2199.904101            0.41892        -3.4e-05       11940     YES            
120    202    322    -2208.26298             0.408124       0.000692       12045     YES            
120    262    382    -2344.887259            0.515402       0.320037       14325     YES            
120    264    384    -2345.447393            0.564154       0.286134       14400     YES            
120    266    386    -2346.196641            0.565382       0.284997       14475     YES            
120    268    388    -2346.70768             0.571097       0.282353       14550     YES            
