Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
12     2      14     8.561464                0.787333       3.432048       4245      YES            
14     2      16     19.643775               0.654544       -4.678944      5742      YES            
16     4      20     -17.635083              0.657357       2.42102        7227      YES            
18     6      24     -65.317335              0.928459       3.971676       8955      YES            
20     8      28     -109.725806             1.056322       6.42739        10905     YES            
36     38     74     -629.632162             0.410058       -0.003226      12765     YES            
38     36     74     -607.627011             0.414134       0.001187       15315     YES            
38     38     76     -636.472109             0.425375       -0.000292      15390     YES            
108    242    350    -2218.987783            0.404045       0.173818       8473      YES            
108    244    352    -2220.35398             0.404732       0.174226       8548      YES            
108    246    354    -2221.566398            0.40522        0.173993       8623      YES            
108    248    356    -2222.586747            0.405611       0.173242       8698      YES            
110    186    296    -2104.861716            0.411715       -0.000146      1440      YES            
110    188    298    -2113.698604            0.404851       0.000318       1513      YES            
110    244    354    -2247.716331            0.412367       0.179277       3673      YES            
110    246    356    -2249.41644             0.410782       0.179946       3748      YES            
110    248    358    -2250.935298            0.410097       0.179981       3823      YES            
110    250    360    -2252.188135            0.409652       0.178614       3898      YES            
112    188    300    -2125.083802            0.411954       0.001422       6403      YES            
112    190    302    -2134.271754            0.403658       -4.2e-05       6463      YES            
112    248    360    -2277.596032            0.419567       0.18149        8698      YES            
114    188    302    -2134.982598            0.42687        5.4e-05        11415     YES            
114    190    304    -2144.675194            0.414843       3.4e-05        11490     YES            
114    192    306    -2154.182243            0.405923       -0.000483      11565     YES            
116    186    302    -2135.216785            0.61385        -0.000142      1065      YES            
116    192    308    -2163.847669            0.420139       -0.000355      1290      YES            
116    194    310    -2173.56568             0.445632       0.234885       1425      YES            
116    266    382    -2342.130852            0.545971       0.282714       4125      YES            
118    200    318    -2210.66362             0.424948       0.189271       6900      YES            
118    262    380    -2367.045192            0.563374       0.266279       9225      YES            
118    264    382    -2368.54422             0.556549       0.273428       9285      YES            
118    266    384    -2369.897467            0.554512       0.277302       9375      YES            
118    268    386    -2371.087624            0.554929       0.278619       9450      YES            
118    270    388    -2372.11107             0.556846       0.277017       9525      YES            
118    272    390    -2372.963363            0.560716       0.272961       9600      YES            
118    274    392    -2373.633167            0.567901       0.267318       9660      YES            
120    200    320    -2219.856132            0.436421       0.183519       12000     YES            
120    226    346    -2324.034719            0.661437       0.242792       12975     YES            
120    260    380    -2390.434509            0.567887       0.264978       14250     YES            
120    262    382    -2392.578773            0.560758       0.271252       14310     YES            
120    264    384    -2394.589593            0.557828       0.274589       14400     YES            
120    266    386    -2396.434845            0.557134       0.275903       14460     YES            
120    268    388    -2398.11337             0.557866       0.27532        14550     YES            
120    270    390    -2399.616545            0.559685       0.272674       14625     YES            
120    272    392    -2400.932922            0.562738       0.268209       14700     YES            
120    274    394    -2402.046474            0.567548       0.263266       14775     YES            
