Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
12     2      14     8.561464                0.787333       3.432048       4245      YES            
14     2      16     19.643775               0.654544       -4.678944      5742      YES            
16     4      20     -17.635083              0.657357       2.42102        7227      YES            
18     6      24     -65.317335              0.928459       3.971676       8955      YES            
20     8      28     -109.725806             1.056322       6.42739        10905     YES            
36     38     74     -629.632162             0.410058       -0.003226      12765     YES            
36     62     98     -804.499649             0.360551       -0.000512      13664     YES            
36     64     100    -810.816069             0.356063       -0.000131      13739     YES            
38     36     74     -607.627011             0.414134       0.001187       15315     YES            
38     38     76     -636.472109             0.425375       -0.000292      15390     YES            
38     60     98     -825.987088             0.368325       -0.000439      16215     YES            
38     62     100    -835.375839             0.382003       -0.001582      16290     YES            
38     64     102    -843.439554             0.383313       -0.000223      16365     YES            
38     66     104    -850.433691             0.372761       0.000921       16453     YES            
38     68     106    -856.707824             0.351707       0.000135       16568     YES            
40     62     102    -861.785731             0.376754       -0.000564      1215      YES            
40     64     104    -871.583767             0.382343       0.00034        1290      YES            
40     66     106    -880.124028             0.372596       -3.1e-05       1363      YES            
56     62     118    -972.673915             0.360704       0.000112       390       YES            
56     64     120    -995.253337             0.353192       -0.000103      465       YES            
58     60     118    -950.027227             0.364073       -4.7e-05       3540      YES            
58     62     120    -975.691724             0.380798       -0.00012       3615      YES            
58     64     122    -999.706787             0.378221       0.001006       3690      YES            
58     66     124    -1022.166343            0.352488       4.9e-05        3765      YES            
60     58     118    -919.135826             0.361461       -8.8e-05       7065      YES            
60     60     120    -949.032891             0.381402       -0.000544      7140      YES            
60     62     122    -976.356958             0.391374       0.035494       7245      YES            
60     64     124    -1001.791056            0.386374       -0.000681      7290      YES            
60     66     126    -1025.58035             0.370221       0.000807       7365      YES            
60     68     128    -1048.505761            0.350276       0.000245       7440      YES            
62     60     122    -944.876135             0.390835       -0.000563      10665     YES            
62     62     124    -973.898241             0.396116       -0.000469      10740     YES            
62     64     126    -1000.903791            0.390104       -0.000895      10815     YES            
62     66     128    -1026.261634            0.374949       -0.001346      10890     YES            
62     68     130    -1050.747               0.358948       0.001335       10980     YES            
62     70     132    -1074.154431            0.351696       0.000447       11055     YES            
64     62     126    -968.615692             0.393986       0.00059        15        YES            
64     64     128    -997.34121              0.385733       -0.001929      90        YES            
64     66     130    -1024.555357            0.369958       2.6e-05        165       YES            
64     68     132    -1050.882135            0.355111       0.000663       240       YES            
66     66     132    -1020.884828            0.360437       -0.000483      3840      YES            
104    134    238    -1736.103523            0.372937       -1.3e-05       10438     YES            
106    194    300    -2106.576697            0.362787       0.000294       2040      YES            
106    238    344    -2187.611739            0.369913       0.000113       3690      YES            
106    240    346    -2188.711144            0.371569       6.8e-05        3764      YES            
106    242    348    -2189.687935            0.374097       -6.4e-05       3839      YES            
106    244    350    -2190.538995            0.376804       -9.9e-05       3944      YES            
108    188    296    -2100.40052             0.399384       -0.000377      6390      YES            
108    190    298    -2108.351298            0.391795       0.000353       6463      YES            
108    192    300    -2116.049305            0.383434       -1.4e-05       6538      YES            
108    194    302    -2123.496601            0.375119       -4.2e-05       6612      YES            
108    196    304    -2130.475352            0.366828       1.2e-05        6687      YES            
108    198    306    -2137.026466            0.354683       5e-05          6762      YES            
108    238    346    -2215.892923            0.378913       0.00188        8280      YES            
108    240    348    -2217.504618            0.379876       0.000326       8340      YES            
108    242    350    -2218.987783            0.404045       0.173818       8473      YES            
108    244    352    -2220.35398             0.404732       0.174226       8548      YES            
108    246    354    -2221.566398            0.40522        0.173993       8623      YES            
108    248    356    -2222.586747            0.405611       0.173242       8698      YES            
108    250    358    -2223.314193            0.38485        0.000403       8729      YES            
