Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
6      6      12     -94.41886               0.553861       -0.876132      1194      YES            
12     2      14     -4.958371               0.936451       -6.634502      4230      YES            
14     2      16     6.083621                0.755829       -6.782941      5742      YES            
18     6      24     -82.429532              1.051221       6.205725       9000      YES            
20     8      28     -123.76426              1.084748       6.74929        10950     YES            
98     256    354    -2139.111368            1.225495       -1.9e-05       10319     YES            
114    186    300    -2118.836824            0.624622       0.33831        6345      YES            
116    186    302    -2126.174599            0.647549       0.259041       1080      YES            
116    188    304    -2138.121886            0.652318       0.253313       1155      YES            
116    208    324    -2230.885107            0.569357       0.316465       1950      YES            
116    266    382    -2368.128282            0.541417       0.255794       4110      YES            
118    188    306    -2144.087175            0.693574       -0.2042        6420      YES            
118    190    308    -2154.21828             0.654798       0.291642       6525      YES            
118    192    310    -2168.067684            0.666357       0.297906       6570      YES            
118    194    312    -2176.718039            0.646322       0.293895       6660      YES            
118    196    314    -2187.116729            0.639838       0.29873        6735      YES            
118    198    316    -2196.859043            0.632678       0.302721       6810      YES            
118    200    318    -2206.195754            0.624361       0.305811       6885      YES            
118    202    320    -2215.287381            0.613863       0.308666       6975      YES            
118    204    322    -2224.590452            0.585529       0.308729       7050      YES            
118    206    324    -2233.933305            0.573743       0.311738       7125      YES            
118    208    326    -2242.964299            0.56776        0.308333       7200      YES            
118    260    378    -2386.209756            0.50219        0.257427       9119      YES            
118    262    380    -2388.748557            0.511778       0.251323       9194      YES            
118    264    382    -2390.848788            0.541753       0.000302       9240      YES            
118    266    384    -2393.612422            0.593141       0.113354       9343      YES            
118    268    386    -2395.910186            0.590133       0.279115       9405      YES            
118    272    390    -2400.064325            0.600479       0.283213       9585      YES            
118    274    392    -2401.959481            0.60679        0.284963       9675      YES            
118    276    394    -2403.7419              0.613242       0.287426       9750      YES            
118    278    396    -2405.36355             0.620263       0.287384       9825      YES            
120    188    308    -2144.29512             0.534306       0.299855       11550     YES            
120    190    310    -2156.032055            0.507224       0.004158       11580     YES            
120    192    312    -2171.084001            0.656825       0.284345       11670     YES            
120    194    314    -2182.61046             0.654867       0.284176       11745     YES            
120    196    316    -2193.514092            0.657752       0.281924       11820     YES            
120    198    318    -2203.915785            0.624384       0.300024       11895     YES            
120    200    320    -2214.120801            0.596235       7.4e-05        11970     YES            
120    202    322    -2224.103926            0.606237       0.305087       12075     YES            
120    204    324    -2233.893566            0.598619       0.28163        12135     YES            
120    206    326    -2243.491617            0.585206       0.299264       12225     YES            
120    208    328    -2252.903705            0.571679       0.299588       12300     YES            
120    224    344    -2319.250247            0.563495       0.189306       12899     YES            
120    226    346    -2326.04757             0.554616       0.000789       12930     YES            
120    228    348    -2332.177022            0.55467        0.001418       13005     YES            
120    260    380    -2408.975261            0.50755        0.254901       14234     YES            
120    262    382    -2411.987938            0.516114       0.253179       14294     YES            
120    264    384    -2414.94866             0.564787       0.074964       14353     YES            
120    266    386    -2417.848253            0.567893       0.082878       14428     YES            
120    268    388    -2420.562422            0.577787       0.129182       14534     YES            
120    270    390    -2423.164788            0.585431       0.289453       14625     YES            
120    272    392    -2425.637552            0.596111       0.165299       14684     YES            
120    274    394    -2427.999888            0.604921       0.292876       14760     YES            
120    276    396    -2430.25522             0.615108       0.291603       14850     YES            
120    278    398    -2432.350444            0.624793       0.292543       14910     YES            
120    280    400    -2434.153756            0.635428       0.295524       15000     YES            
120    282    402    -2435.611621            0.649791       0.302129       15075     YES            
120    288    408    -2439.205188            0.69705        0.316292       15300     YES            
120    292    412    -2434.620946            0.528522       3e-06          15385     YES            
