Z      N      A      Energy_new(MeV)     Energy_old(MeV)     Energy_diff(MeV)    beta2_new    beta2_old    beta3_new    fileID    
2      2      4      -30.830858          -30.710089          -0.120769           0.355647     0.000000     0.526174     17        
2      4      6      -36.273566          -36.148329          -0.125237           -0.005642    0.000000     0.0          122       
2      6      8      -36.64459           -36.550727          -0.093863           0.004869     0.000000     -0.0         161       
4      2      6      -33.531605          -33.466501          -0.065104           -0.006548    0.000001     0.0          259       
4      4      8      -55.773115          -55.470044          -0.303071           -0.00051     0.000001     0.0          302       
4      6      10     -70.095284          -69.98971           -0.105574           0.000536     0.000001     0.0          387       
4      8      12     -76.236224          -76.146979          -0.089245           0.001926     0.000000     -0.0         461       
4      10     14     -74.5412            -74.521898          -0.019302           -0.0         0.000002     -0.0         548       
4      12     16     -71.73906           -71.679303          -0.059757           0.008436     -0.000002    9e-06        609       
4      14     18     -68.922731          -68.908016          -0.014715           1e-06        -0.000004    0.0          728       
4      16     20     -64.669488          -64.656628          -0.01286            -0.003583    -0.000003    0.0          817       
4      18     22     -58.197137          -58.186473          -0.010664           -0.0         0.000000     -0.0         848       
4      20     24     -50.969795          -50.891348          -0.078447           0.485986     -0.000001    -0.534444    960       
6      2      8      -29.825055          -29.742703          -0.082352           0.006304     0.000001     0.0          1045      
6      4      10     -65.692042          -65.569223          -0.122819           0.001084     0.000001     -0.0         1079      
6      6      12     -92.717528          -92.613085          -0.104443           0.566921     0.000000     -0.959258    1147      
6      8      14     -109.327747         -109.290681         -0.037066           -0.0         0.000000     0.0          1268      
6      10     16     -115.803529         -115.770905         -0.032624           -0.0         0.000000     0.0          1343      
6      12     18     -119.881668         -119.852708         -0.02896            -0.001683    -0.000007    0.0          1357      
6      14     20     -123.297555         -123.256348         -0.041207           0.000619     -0.000004    0.0          1479      
6      16     22     -124.533239         -124.511986         -0.021253           -1e-06       -0.000001    0.0          1568      
6      18     24     -121.633072         -121.614469         -0.018603           -0.001255    -0.000001    -0.0         1612      
6      20     26     -116.652378         -116.631239         -0.021139           0.004334     0.000000     -0.0         1659      
6      22     28     -110.78573          -110.66968          -0.11605            -0.076697    -0.000001    -3e-06       1744      
8      2      10     -21.489365          -21.395915          -0.09345            -0.027964    0.000000     0.0          1836      
8      4      12     -66.232572          -66.087675          -0.144897           0.004937     0.000000     0.0          1932      
8      6      14     -103.388963         -103.330114         -0.058849           0.000356     0.000000     0.0          1962      
8      8      16     -129.889764         -129.839429         -0.050335           -1.3e-05     0.000000     -0.0         2032      
8      10     18     -144.78617          -144.734392         -0.051778           1.9e-05      -0.000001    0.0          2167      
8      12     20     -156.559343         -156.48863          -0.070713           -0.000186    -0.000001    -0.0         2182      
8      14     22     -166.516591         -166.483309         -0.033282           -0.000102    -0.000001    0.0          2287      
8      16     24     -173.33983          -173.303716         -0.036114           -0.001325    -0.000001    4e-06        2344      
8      18     26     -175.341631         -175.298423         -0.043208           -0.00154     0.000000     -0.0         2405      
8      20     28     -174.659049         -174.63168          -0.027369           -0.005532    0.000000     -0.0         2494      
8      22     30     -170.750885         -170.640049         -0.110836           -0.02496     -0.000001    -5e-06       2585      
8      24     32     -165.987051         -165.83972          -0.147331           -0.073972    -0.000007    1.2e-05      2674      
8      26     34     -161.359374         -161.078758         -0.280616           -0.106433    -0.000005    4e-06        2764      
10     2      12     -10.016988          -9.601504           -0.415484           0.930242     0.000000     -6.570808    2835      
10     4      14     -58.112712          -57.996499          -0.116213           0.009348     0.000000     0.0          2919      
10     6      16     -102.725295         -102.661079         -0.064216           -0.0         -0.000001    -0.0         2963      
10     8      18     -137.545071         -137.486724         -0.058347           -0.000139    -0.000001    -0.0         3007      
10     10     20     -159.681949         -159.630263         -0.051686           0.0          -0.000004    0.0          3098      
10     12     22     -179.14576          -179.101524         -0.044236           0.220846     0.220803     0.000361     3159      
10     14     24     -194.382347         -194.308651         -0.073696           -0.003204    -0.000023    0.0          3272      
10     16     26     -206.551698         -206.423673         -0.128025           -0.000299    -0.000002    0.0          3334      
10     18     28     -213.385748         -213.288763         -0.096985           -0.001116    -0.000001    0.0          3423      
10     20     30     -217.468377         -217.358023         -0.110354           0.001096     -0.000001    8e-06        3479      
10     22     32     -217.404854         -217.259406         -0.145448           0.011499     -0.000004    0.000154     3569      
