Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            -30.083113             0.285723             0.287123               0.286422                0.03327                   0.033289                        0.06656                   -0.001101                       -0.001107                          -0.002209                         3.396318                3.482799              2.148248             2.143627               2.145939               2.302362            62              YES
2      4      6            -37.185901            -0.000372            -0.004257              -0.003268               -3.6e-05                  -0.001193                      -0.001228                         0.0                             0.0                                0.0                        -2.502494                2.541245              1.947419               2.3564               2.228428               2.088598           139              YES
2      6      8            -39.740062              0.00054              0.00476               0.004098                5.4e-05                   0.002557                       0.002611                         0.0                             0.0                                0.0                        -2.073031                2.109421              1.989166             2.664034                2.51237               2.100115           207              YES
4      2      6            -34.526135            -0.007521            -0.000667              -0.005808              -0.002162                   -6.4e-05                      -0.002226                        -0.0                            -0.0                               -0.0                         2.474122                2.526998              2.386736              1.94837               2.250123               2.537806           287              YES
4      4      8            -56.164806             0.000652             0.000489               0.000571               0.000171                   0.000127                       0.000298                        -0.0                            -0.0                               -0.0                        -2.106133                2.128029              2.279808             2.265376               2.272603               2.425577           344              YES
4      6      10           -71.474513             0.001075             0.001211               0.001162               0.000282                   0.000562                       0.000844                       1e-06                           4e-06                              5e-06                        -1.849187               -1.864965              2.279831             2.475716               2.399282               2.413603           447              YES
4      8      12           -77.406619             0.001534             0.002273               0.002076               0.000418                   0.001702                        0.00212                         0.0                             0.0                                0.0                         1.621709                 1.70019              2.323553             2.723586               2.597097               2.443092           477              YES
4      10     14           -77.991112            -0.000857            -0.001529              -0.001392              -0.000242                  -0.001695                      -0.001937                        -0.0                            -0.0                               -0.0                         1.628648                1.594854              2.366097             2.964571               2.806631               2.471875           532              YES
4      12     16           -77.924928               -4e-06               -3e-06                 -3e-06                 -1e-06                     -4e-06                         -6e-06                         0.0                             0.0                                0.0                         1.628356                1.512919              2.398391             3.176014               3.000561                2.49118           638              YES
4      14     18           -78.010701            -0.001088            -0.002236              -0.002086              -0.000324                  -0.004426                       -0.00475                        -0.0                            -0.0                               -0.0                         1.422831                1.427174              2.428005              3.34771               3.166501               2.508158           682              YES
4      16     20           -76.573084                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                         0.0                             0.0                                0.0                         1.243716                1.354015              2.460821             3.512124               3.328535               2.528486           818              YES
4      18     22           -71.635933                  0.0                 -0.0                   -0.0                    0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         0.905792                1.302852              2.494721             3.751814               3.556457               2.550134           878              YES
4      20     24            -66.26723                 -0.0                 -0.0                   -0.0                   -0.0                     -1e-06                         -1e-06                         0.0                             0.0                                0.0                          0.87673                1.278066              2.526979             4.022108               3.813843               2.570433           923              YES
6      2      8            -32.893904            -0.011942            -0.000834              -0.010272              -0.006786                   -8.4e-05                       -0.00687                         0.0                             0.0                                0.0                         2.051542                2.053333              2.739924              1.99636               2.574248               2.875845          1024              YES
6      4      10           -66.960855              0.02198             0.026191               0.023472               0.010619                   0.006941                        0.01756                    0.000138                         7.8e-05                           0.000216                        -1.842347                -1.85624              2.526342             2.291673                2.43519               2.665897          1062              YES
6      6      12            -94.41094               -5e-06               -7e-05               -3.7e-05                 -2e-06                   -3.2e-05                       -3.4e-05                        -0.0                            -0.0                               -0.0                         1.604653                1.595036              2.464338             2.444131               2.454255               2.599781          1132              YES
6      8      14          -109.795039             -0.00017            -0.000151              -0.000159                 -8e-05                  -0.000107                      -0.000187                         0.0                             0.0                                0.0                         1.492268                1.460335              2.489578             2.643299               2.578541               2.616333          1207              YES
6      10     16          -117.942576            -0.000194            -0.000373              -0.000315               -9.3e-05                  -0.000373                      -0.000466                         0.0                             0.0                                0.0                         1.603127                1.338108              2.516347             2.815508                 2.7072               2.634484          1312              YES
6      12     18          -124.423508             -2.7e-05            -0.000269              -0.000204               -1.3e-05                  -0.000356                      -0.000369                        -0.0                            -0.0                               -0.0                          1.60556                1.232319              2.539355             2.959897               2.826677               2.649175          1357              YES
6      14     20           -130.30844                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                            -0.0                               -0.0                         1.360448                  1.1262              2.562845             3.102471               2.950963               2.664446          1433              YES
6      16     22          -133.782693               -6e-06            -0.002864              -0.002317                 -3e-06                  -0.006149                      -0.006152                        -0.0                            -0.0                               -0.0                         1.153528                1.064373              2.593215             3.261205               3.093365               2.686478          1521              YES
6      18     24          -131.425847            -0.000295            -0.006303              -0.005328              -0.000155                  -0.017104                       -0.01726                         0.0                           1e-06                              1e-06                         0.997311                1.033539              2.636174             3.456837               3.271031               2.720866          1611              YES
6      20     26           -127.87668            -0.006479            -0.025601              -0.022967              -0.003516                  -0.087002                      -0.090518                         0.0                           1e-06                              1e-06                          1.06743                1.017977              2.677666             3.670037               3.466337               2.754069          1700              YES
