Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4             -29.02395            -0.000165            -0.000182              -0.000173               -1.5e-05                   -1.7e-05                       -3.2e-05                         0.0                             0.0                                0.0                        -2.821764               -3.918789              1.907644             1.922526                 1.9151               2.079665            49              YES
2      4      6            -34.188049             0.000426             0.006832               0.005309                  4e-05                   0.002034                       0.002073                         0.0                             0.0                                0.0                        -1.880721               -2.911346              1.918135             2.428849               2.271406               2.061321            88              YES
2      6      8            -34.804723             0.000386             0.005629               0.004894                3.8e-05                   0.003404                       0.003442                         0.0                             0.0                                0.0                         1.374093                2.424995              1.976519             2.826637               2.639898                2.08814           175              YES
4      2      6            -32.217249            -0.007255            -0.000651              -0.005668               -0.00217                   -6.2e-05                      -0.002232                         0.0                             0.0                                0.0                        -2.099177                2.634168              2.434646              1.93645               2.280705               2.582915           289              YES
4      4      8            -55.534939             0.134857             0.134766               0.134812               0.037831                   0.037904                       0.075735                    0.000983                         0.00098                           0.001963                        -1.752025               -2.405295              2.357761             2.360841               2.359301               2.498987           326              YES
4      6      10           -69.745007             0.000329              0.00063               0.000525                8.4e-05                   0.000301                       0.000385                        -0.0                            -0.0                             -1e-06                         1.435808                2.128781              2.252277             2.513251               2.412252               2.387593           400              YES
4      8      12           -75.005042            -0.000134            -0.000562              -0.000454               -3.6e-05                  -0.000445                      -0.000481                         0.0                             0.0                                0.0                         1.200261                   1.931              2.306293             2.799666               2.645452               2.426682           457              YES
4      10     14           -74.080831                  0.0                1e-06                    0.0                    0.0                      1e-06                          1e-06                        -0.0                             0.0                                0.0                         1.142391                1.806609              2.348223             3.129072               2.927304               2.454771           563              YES
4      12     16           -72.357579             -0.00282            -0.005686              -0.005282              -0.000805                    -0.0099                      -0.010705                        -0.0                            -0.0                               -0.0                         1.147063                1.674798              2.378023             3.391509               3.168675               2.471578           607              YES
4      14     18           -70.533227                  0.0                  0.0                    0.0                    0.0                      1e-06                          1e-06                         0.0                             0.0                                0.0                         0.998061                1.568353              2.408141             3.579228               3.354506               2.488934           728              YES
4      16     20           -67.704679              0.00011             0.003379               0.003064                3.3e-05                   0.009568                       0.009601                        -0.0                            -0.0                               -0.0                         0.820118                1.489089              2.444238             3.745476               3.523881               2.512349           774              YES
4      18     22           -63.619051                  0.0                 -0.0                    0.0                    0.0                       -0.0                            0.0                         0.0                             0.0                                0.0                         0.632854                1.462622              2.482936             3.947541               3.724338               2.538607           833              YES
4      20     24           -59.002226             0.000793             0.007807               0.007332               0.000253                   0.034283                       0.034536                         0.0                             0.0                                0.0                         0.543886                1.411001              2.514832             4.171728               3.944215               2.558492           954              YES
6      2      8            -28.777667             -0.02025            -0.001255              -0.017642              -0.012821                  -0.000126                      -0.012948                        -0.0                            -0.0                               -0.0                         1.743659                1.970219              2.892175             1.998262               2.696622               3.021254           994              YES
6      4      10           -64.954158             0.124302             0.152631               0.134238                0.06574                   0.043607                       0.109347                    0.001873                        0.001204                           0.003078                        -1.561422                 2.07524              2.643285             2.379437               2.541036               2.776969          1092              YES
6      6      12           -92.508858                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                        -0.0                             0.0                                0.0                          1.33712                1.920527              2.463997             2.454714                2.45936               2.599457          1133              YES
6      8      14          -107.674336                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                        -0.0                             0.0                                0.0                         1.213498                1.751754              2.487869             2.668594               2.592683               2.614707          1208              YES
6      10     16          -114.631876                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                         0.0                            -0.0                               -0.0                         1.306132                1.603404              2.511879             2.868933               2.740495               2.630216          1283              YES
6      12     18          -119.336332            -0.000242             -0.00079               -0.00065              -0.000118                  -0.001118                      -0.001235                         0.0                             0.0                                0.0                         1.286654                 1.45265              2.533286             3.057302               2.893195               2.643357          1417              YES
6      14     20          -123.160008            -0.001487            -0.007646              -0.006345              -0.000736                  -0.014134                       -0.01487                         0.0                           1e-06                              1e-06                         1.074901                1.376861              2.556748             3.235141               3.047521               2.658582          1459              YES
6      16     22          -125.058184                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                        -0.0                            -0.0                               -0.0                         0.841568                1.289308              2.588403             3.410442               3.207214               2.681833          1568              YES
6      18     24          -123.370416                2e-05            -0.001328              -0.001124                1.1e-05                    -0.0039                      -0.003889                        -0.0                            -0.0                               -0.0                         0.648678                1.229754              2.634114             3.595753               3.381083               2.718871          1642              YES
6      20     26          -120.467557                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         0.619803                1.194828              2.674194             3.798853               3.570895               2.750693          1703              YES
6      22     28          -116.827574            -0.003811            -0.032523              -0.029437              -0.002096                   -0.14851                      -0.150606                         0.0                           1e-06                              1e-06                         0.494291                1.159476              2.695555             4.056166               3.805779               2.764474          1746              YES
8      2      10           -21.855939            -0.026052            -0.002189              -0.024021              -0.029804                  -0.000233                      -0.030037                         0.0                             0.0                                0.0                         1.553589                1.387315              3.366776             2.053808               3.148297               3.479678          1806              YES
8      4      12           -64.800121                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                         0.0                            -0.0                                0.0                         1.442965                1.693392              2.852858             2.312071               2.684726               2.980394          1898              YES
8      6      14          -101.951119                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                        -0.0                             0.0                               -0.0                        -1.214854               -1.781314              2.689379              2.47844               2.601072               2.819164          1988              YES
8      8      16          -126.773519               -3e-05             -3.1e-05                 -3e-05               -2.1e-05                   -2.2e-05                       -4.3e-05                         0.0                            -0.0                                0.0                         1.124331                1.648583              2.667375             2.650635               2.659018               2.792989          2034              YES
8      10     18          -142.084918              2.2e-05              1.5e-05                1.8e-05                1.6e-05                    1.5e-05                        3.1e-05                        -0.0                             0.0                                0.0                         1.240438                1.511519              2.664139             2.812948               2.747806               2.784693          2107              YES
8      12     20          -154.224636            -0.000544            -0.002194              -0.001613              -0.000392                  -0.002904                      -0.003296                         0.0                           2e-06                              2e-06                         1.261872                1.396833              2.671082             2.956876               2.846004               2.786131          2178              YES
