 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -30.636386               -6.537177               -7.367688             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.804649                4.842224              2.129531             2.121250               2.125395              -0.008282              2.284908           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -34.624301              -15.261305               -1.718873             0.000000             0.000001               0.000001               0.000000                   0.000000                      0.000000                   5.053422                2.511651              2.040672             2.629575               2.449059               0.588904              2.175809           No_Data         No_Data        5.670896       3.987916            No_Data            
   He       2      6      8            -36.067065              -21.129379               -0.119390             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.793817                2.405956              2.058241             2.946318               2.751306               0.888078              2.165654           No_Data         No_Data        3.180186       1.442764            No_Data            
   He       2      8      10           -34.467716              -24.628034                1.392575             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.706502                1.982681              2.090042             3.305845               3.101056               1.215804              2.169304           No_Data         No_Data        1.394644      -1.599349            No_Data            
   He       2      10     12            -29.20296              -26.329207                2.806594             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.542219                1.237255              2.114086             3.827372               3.598917               1.713287              2.165840           No_Data         No_Data       -1.022411      -5.264757            No_Data            
   He       2      12     14           -22.353035              -27.724844                3.334922             0.000000             0.000001               0.000001               0.000000                   0.000002                      0.000002                   4.525899                0.997679              2.138860             4.122520               3.901387               1.983660              2.163359           No_Data         No_Data       -2.307496      -6.849926            No_Data            
   He       2      14     16           -15.659348              -28.955818                3.329651             0.000000             0.000001               0.000001               0.000000                   0.000002                      0.000002                   4.358621                1.034977              2.173166             4.339897               4.131670               2.166731              2.170703           No_Data         No_Data       -2.330516      -6.693687            No_Data            
   He       2      16     18            -9.218868              -29.832461                3.289532            -0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.218964                0.998705              2.204090             4.546205               4.348714               2.342115              2.175136           No_Data         No_Data       -2.203400      -6.440480            No_Data            
   He       2      18     20            -3.016969              -30.447733                3.272401            -0.000001             0.000000               0.000000               0.000000                   0.000001                      0.000001                   4.118206                0.965529              2.226770             4.751906               4.562718               2.525136              2.171545           No_Data         No_Data       -2.118833      -6.201900            No_Data            
   He       2      20     22             2.987939              -30.991684                3.289437            -0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.110856                0.920234              2.234477             4.960140               4.777055               2.725663              2.152647           No_Data         No_Data       -2.059573      -6.004909            No_Data            
   He       2      22     24             8.803112              -31.610014                3.396287            -0.000001             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   4.158934                0.891505              2.229307             5.162641               4.984570               2.933334              2.120074           No_Data         No_Data       -2.001718      -5.815174            No_Data            
   He       2      24     26            14.792499              -32.371972                3.708107            -0.000001             0.000000               0.000000               0.000000                  -0.000004                     -0.000004                   4.147697                0.898061              2.222118             5.346991               5.174059               3.124874              2.084853           No_Data         No_Data       -2.099911      -5.989387            No_Data            
   He       2      26     28            21.861315              -33.045913                4.209070            -0.000001             0.000000               0.000000               0.000000                  -0.000003                     -0.000003                   4.112985                0.840215              2.223206             5.508312               5.341095               3.285107              2.057996           No_Data         No_Data       -2.665271      -7.068817            No_Data            
   Be       4      2      6            -32.047024               -0.122564              -15.844127             0.000002             0.000001               0.000002               0.000001                   0.000000                      0.000001                   2.362056                5.058280              2.680528             2.043538               2.486397              -0.636990              2.826169          4.288672        1.410638         No_Data        No_Data            No_Data            
   Be       4      4      8            -52.910576               -7.366738               -9.104302             0.000002             0.000002               0.000002               0.000001                   0.000000                      0.000001                   2.873662                2.923669              2.377604             2.360992               2.369313              -0.016612              2.517718         13.106680       18.286275       14.422751      20.863552           6.025811            
   Be       4      6      10           -67.429791              -13.700424               -5.506767             0.000002             0.000001               0.000001               0.000000                   0.000000                      0.000001                   2.734991                2.825894              2.330886             2.580291               2.483536               0.249405              2.473648         19.445767       31.362726       10.134389      14.519215          -4.505490            
   Be       4      8      12           -74.407678              -18.397525               -1.823439             0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000001                   2.741194                2.615408              2.357826             2.838271               2.687682               0.480446              2.475711         23.693830       39.939963        6.209595       6.977888         -10.040614            
   Be       4      10     14           -73.134173              -21.534144                0.412638             0.000001             0.000001               0.000001               0.000000                   0.000001                      0.000001                   2.576955                1.646660              2.389888             3.222238               3.008018               0.832350              2.506266         25.525194       43.931213        1.494282      -1.273506         -10.366458            
   Be       4      12     16           -71.451716              -24.307928                0.806210            -0.000006            -0.000004              -0.000005              -0.000002                  -0.000008                     -0.000010                   2.540541                1.646171              2.416280             3.465907               3.235581               1.049628              2.508408         28.082561       49.098682        0.805188      -1.682457         -13.948757            
   Be       4      14     18           -69.783085              -26.885525                1.222013            -0.000004            -0.000001              -0.000002              -0.000001                  -0.000003                     -0.000004                   2.468760                1.680812              2.444232             3.617361               3.391913               1.173129              2.535345         30.475560       54.123737        0.829177      -1.668632         -19.130051            
   Be       4      16     20           -66.822981              -28.885602                1.787400            -0.000004            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.356619                1.607707              2.476101             3.769921               3.549092               1.293821              2.543360         32.089848       57.604113        0.164208      -2.960105         -22.863634            
   Be       4      18     22           -62.120738              -30.181924                2.294724            -0.000003             0.000000              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.266694                1.260418              2.507030             3.979854               3.755282               1.472825              2.573481         32.744335       59.103769       -0.917059      -4.702243         -24.601871            
   Be       4      20     24           -56.901158              -30.875623                2.529436            -0.000002             0.000000               0.000000              -0.000001                   0.000000                     -0.000001                   2.247059                1.061239              2.532296             4.225032               3.993057               1.692736              2.575660         33.123506       59.889097       -1.448962      -5.219581         -25.584190            
