 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -28.722356              -10.878824              -11.241712             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.817592                4.777302              1.910495             1.922818               1.916666               0.012323              2.082281           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -34.021157              -19.309275               -3.854313             0.000000             0.000001               0.000001               0.000000                   0.000000                      0.000000                   5.269618                2.725376              1.917573             2.432311               2.273716               0.514738              2.060798           No_Data         No_Data        6.400740       5.298802            No_Data            
   He       2      6      8            -34.793928              -24.217582               -1.254184             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.836632                2.313686              1.976717             2.822468               2.636588               0.845752              2.088328           No_Data         No_Data        2.905917       0.772771            No_Data            
   Be       4      2      6            -31.976527               -2.422314              -19.553727             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   3.595572                4.449738              2.440475             1.935693               2.284640              -0.504783              2.599600          6.333668        3.254171         No_Data        No_Data            No_Data            
   Be       4      4      8            -55.440615               -9.729464              -11.384511             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000000                   3.580254                2.717456              2.256475             2.258509               2.257492               0.002035              2.403660         15.134666       21.419458       15.315641      23.464089           1.581742            
   Be       4      6      10           -69.664016              -15.944787               -6.384214             0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.215969                2.660334              2.252551             2.512392               2.411817               0.259842              2.399977         21.461345       34.870089        9.800596      14.223402          -7.342860            
   Be       4      8      12           -74.970894              -20.277129               -2.633210             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.940061                2.240831              2.306576             2.798569               2.644760               0.491993              2.426952         24.887324       42.250188        5.104022       5.306878         -11.876967            
   C        6      4      10           -64.880948               -3.880716              -17.454834             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000001                   3.307490                2.425657              2.539321             2.262052               2.432209              -0.277269              2.692611          8.164039        9.440334       21.411396      36.226660          -4.604422            
   C        6      6      12           -92.465552               -9.219343              -11.806721             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.235329                2.678291              2.464500             2.454487               2.459498              -0.010014              2.599935         14.626418       22.801536       16.344277      27.584604          -8.724938            
   C        6      8      14          -107.637808              -14.008022               -6.812213             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.048864                2.227063              2.488173             2.668232               2.592595               0.180059              2.622386         19.327920       32.666915       10.038805      15.172257          -9.673793            
   C        6      10     16          -114.599094              -18.066242               -4.079351            -0.000001            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   2.875060                1.729051              2.512150             2.868516               2.740316               0.356366              2.645147         23.093023       40.538226        5.458701       6.961286         -11.328200            
   C        6      12     18          -119.306510              -21.474974               -2.985593            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000002                   2.703130                1.632531              2.533546             3.056871               2.892967               0.523326              2.643607         26.134301       46.982985        4.034500       4.707417         -16.945643            
   C        6      14     20          -123.089285              -24.345557               -2.056182            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.559426                1.519574              2.556777             3.239103               3.050473               0.682327              2.665879         28.776429       52.572851        3.467440       3.782776         -22.465761            
   C        6      16     22          -125.035735              -26.598154               -0.710267            -0.000001             0.000000               0.000000              -0.000001                  -0.000001                     -0.000001                   2.475501                1.552363              2.588487             3.409940               3.206844               0.821453              2.696306         31.059266       57.357836        2.509194       1.946450         -26.219301            
   O        8      6      14          -101.894499               -3.864280              -16.552377             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.769195                2.518124              2.690075             2.478388               2.601462              -0.211688              2.835226          7.716736        9.428947       20.962001      37.147539          -8.713551            
   O        8      8      16          -126.708495               -8.085676              -11.100651             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.630140                2.153194              2.667958             2.650526               2.659256              -0.017432              2.793547         12.374846       19.070687       14.742658      24.813997          -5.942943            
   O        8      10     18          -142.040342              -11.998960               -7.821501             0.000000             0.000000               0.000000               0.000000                   0.000000                     -0.000001                   2.526140                1.662293              2.664476             2.812777               2.747854               0.148302              2.790221         16.421225       27.441249        9.573668      15.331848          -6.102535            
   O        8      12     20          -154.121072              -15.463151               -6.257372            -0.000001            -0.000002              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.399160                1.614540              2.671508             2.957693               2.846674               0.286185              2.796937         19.958426       34.814562        7.678782      12.080730         -11.221979            
   O        8      14     22          -164.192707              -18.478991               -4.847247            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000002                   2.309310                1.513698              2.687332             3.099163               2.956052               0.411831              2.812055         22.986080       41.103423        6.599937      10.071636         -16.586197            
   O        8      16     24          -171.196394              -20.908999               -2.802582            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.256233                1.620022              2.716156             3.259369               3.088931               0.543214              2.819097         25.446197       46.160659        5.068704       7.003687         -19.807109            
   O        8      18     26          -173.433299              -22.868745               -1.241626            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.214121                1.279270              2.764174             3.424666               3.235829               0.660493              2.865390         27.340864       50.115522        2.568099       2.236906         -20.097564            
   O        8      20     28          -173.721183              -24.504030               -0.178114            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.183839                1.334366              2.809383             3.581198               3.378719               0.771816              2.909027         28.859948       53.270028        1.450760       0.287884         -22.103405            
   Ne       10     6      16          -102.470988               -0.614515              -20.407376            -0.000001            -0.000001              -0.000001              -0.000001                   0.000000                     -0.000001                   2.260858                2.353996              2.920070             2.509804               2.773342              -0.410267              3.054310          2.803272        0.576490       24.351342      44.230324          -9.424029            
   Ne       10     8      18          -135.653893               -4.224401              -14.954073            -0.000001            -0.000001              -0.000001              -0.000001                   0.000000                     -0.000001                   2.264947                2.075773              2.844045             2.656722               2.762359              -0.187324              2.981710          6.920243        8.945399       18.806337      33.182906          -5.459395            
   Ne       10     10     20          -158.396315               -7.747212              -11.396452            -0.000007            -0.000008              -0.000007              -0.000007                  -0.000007                     -0.000014                   2.122093                1.554147              2.816419             2.798380               2.807414              -0.018039              2.935663         10.502104       16.355973       13.186172      22.742422          -3.387820            
   Ne       10     12     22          -177.477048              -11.056624               -9.539535            -0.000010            -0.000010              -0.000010              -0.000009                  -0.000013                     -0.000022                   1.974965                1.548517              2.809447             2.922743               2.871799               0.113297              2.928975         13.865051       23.355976       11.091699      19.080734          -7.136706            
   Ne       10     14     24          -193.845793              -14.057485               -7.691139            -0.000005            -0.000004              -0.000004              -0.000005                  -0.000006                     -0.000011                   1.867023                1.533037              2.817584             3.039961               2.949343               0.222377              2.936781         16.914710       29.653086        9.725150      16.368745         -11.424721            
   Ne       10     16     26          -205.722579              -16.575635               -5.031977            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000003                   1.795267                1.592454              2.843467             3.178812               3.054194               0.335346              2.961622         19.288843       34.526185        7.501139      11.876787         -13.229872            
   Ne       10     18     28          -212.000243              -18.691111               -3.272149            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.689663                1.299397              2.891188             3.323134               3.175619               0.431946              3.007469         21.235365       38.566945        4.584758       6.277665         -12.503850            
   Ne       10     20     30          -216.106828              -20.673325               -1.893310            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.622218                1.437237              2.936863             3.447845               3.286357               0.510983              3.032320         23.095852       42.385646        3.421610       4.106585         -14.373529            
