 Nrows 
   6834 
    Z     N          Q20                 Q30           beta2       beta3
    14     2     -0.4429456463               0.0        -0.4         0.0 
    14     2     -0.3875774405               0.0       -0.35         0.0 
    14     2     -0.3322092347               0.0        -0.3         0.0 
    14     2     -0.2768410289               0.0       -0.25         0.0 
    14     2     -0.2214728232               0.0        -0.2         0.0 
    14     2     -0.1661046174               0.0       -0.15         0.0 
    14     2     -0.1107364116               0.0        -0.1         0.0 
    14     2     -0.0553682058               0.0       -0.05         0.0 
    14     2              -0.0               0.0        -0.0         0.0 
    14     2      0.0553682058               0.0        0.05         0.0 
    14     2      0.1107364116               0.0         0.1         0.0 
    14     2      0.1661046174               0.0        0.15         0.0 
    14     2      0.2214728232               0.0         0.2         0.0 
    14     2      0.2768410289               0.0        0.25         0.0 
    14     2      0.3322092347               0.0         0.3         0.0 
    14     2      0.3875774405               0.0        0.35         0.0 
    14     2      0.4429456463               0.0         0.4         0.0 
    26    36     -4.2345111633               0.0        -0.4         0.0 
    26    36     -3.7051972679               0.0       -0.35         0.0 
    26    36     -3.1758833725               0.0        -0.3         0.0 
    26    36     -2.6465694771               0.0       -0.25         0.0 
    26    36     -2.1172555817               0.0        -0.2         0.0 
    26    36     -1.5879416863               0.0       -0.15         0.0 
    26    36     -1.0586277908               0.0        -0.1         0.0 
    26    36     -0.5293138954               0.0       -0.05         0.0 
    26    36              -0.0               0.0        -0.0         0.0 
    26    36      0.5293138954               0.0        0.05         0.0 
    26    36      1.0586277908               0.0         0.1         0.0 
    26    36      1.5879416863               0.0        0.15         0.0 
    26    36      2.1172555817               0.0         0.2         0.0 
    26    36      2.6465694771               0.0        0.25         0.0 
    26    36      3.1758833725               0.0         0.3         0.0 
    26    36      3.7051972679               0.0        0.35         0.0 
    26    36      4.2345111633               0.0         0.4         0.0 
    32    70     -9.7084690973               0.0        -0.4         0.0 
    32    70     -8.4949104601               0.0       -0.35         0.0 
    32    70      -7.281351823               0.0        -0.3         0.0 
    32    70     -6.0677931858               0.0       -0.25         0.0 
    32    70     -4.8542345487               0.0        -0.2         0.0 
    32    70     -3.6406759115               0.0       -0.15         0.0 
    32    70     -2.4271172743               0.0        -0.1         0.0 
    32    70     -1.2135586372               0.0       -0.05         0.0 
    32    70              -0.0               0.0        -0.0         0.0 
    32    70      1.2135586372               0.0        0.05         0.0 
    32    70      2.4271172743               0.0         0.1         0.0 
    32    70      3.6406759115               0.0        0.15         0.0 
    32    70      4.8542345487               0.0         0.2         0.0 
    32    70      6.0677931858               0.0        0.25         0.0 
    32    70       7.281351823               0.0         0.3         0.0 
    32    70      8.4949104601               0.0        0.35         0.0 
    32    70      9.7084690973               0.0         0.4         0.0 
    34    78    -11.3461147295               0.0        -0.4         0.0 
    34    78     -9.9278503883               0.0       -0.35         0.0 
    34    78     -8.5095860471               0.0        -0.3         0.0 
    34    78     -7.0913217059               0.0       -0.25         0.0 
    34    78     -5.6730573648               0.0        -0.2         0.0 
    34    78     -4.2547930236               0.0       -0.15         0.0 
    34    78     -2.8365286824               0.0        -0.1         0.0 
    34    78     -1.4182643412               0.0       -0.05         0.0 
    34    78              -0.0               0.0        -0.0         0.0 
    34    78      1.4182643412               0.0        0.05         0.0 
    34    78      2.8365286824               0.0         0.1         0.0 
    34    78      4.2547930236               0.0        0.15         0.0 
    34    78      5.6730573648               0.0         0.2         0.0 
    34    78      7.0913217059               0.0        0.25         0.0 
    34    78      8.5095860471               0.0         0.3         0.0 
    34    78      9.9278503883               0.0        0.35         0.0 
    34    78     11.3461147295               0.0         0.4         0.0 
    36    32      -4.939299044               0.0        -0.4         0.0 
    36    32     -4.3218866635               0.0       -0.35         0.0 
    36    32      -3.704474283               0.0        -0.3         0.0 
    36    32     -3.0870619025               0.0       -0.25         0.0 
    36    32      -2.469649522               0.0        -0.2         0.0 
    36    32     -1.8522371415               0.0       -0.15         0.0 
    36    32      -1.234824761               0.0        -0.1         0.0 
    36    32     -0.6174123805               0.0       -0.05         0.0 
    36    32              -0.0               0.0        -0.0         0.0 
    36    32      0.6174123805               0.0        0.05         0.0 
    36    32       1.234824761               0.0         0.1         0.0 
    36    32      1.8522371415               0.0        0.15         0.0 
    36    32       2.469649522               0.0         0.2         0.0 
    36    32      3.0870619025               0.0        0.25         0.0 
    36    32       3.704474283               0.0         0.3         0.0 
    36    32      4.3218866635               0.0        0.35         0.0 
    36    32       4.939299044               0.0         0.4         0.0 
    40    56     -8.7754457961               0.0        -0.4         0.0 
    40    56     -7.6785150716               0.0       -0.35         0.0 
    40    56      -6.581584347               0.0        -0.3         0.0 
    40    56     -5.4846536225               0.0       -0.25         0.0 
    40    56      -4.387722898               0.0        -0.2         0.0 
    40    56     -3.2907921735               0.0       -0.15         0.0 
    40    56      -2.193861449               0.0        -0.1         0.0 
    40    56     -1.0969307245               0.0       -0.05         0.0 
    40    56              -0.0               0.0        -0.0         0.0 
    40    56      1.0969307245               0.0        0.05         0.0 
    40    56       2.193861449               0.0         0.1         0.0 
    40    56      3.2907921735               0.0        0.15         0.0 
    40    56       4.387722898               0.0         0.2         0.0 
    40    56      5.4846536225               0.0        0.25         0.0 
    40    56       6.581584347               0.0         0.3         0.0 
    40    56      7.6785150716               0.0        0.35         0.0 
    40    56      8.7754457961               0.0         0.4         0.0 
    40    58     -9.0822599036               0.0        -0.4         0.0 
    40    58     -7.9469774156               0.0       -0.35         0.0 
    40    58     -6.8116949277               0.0        -0.3         0.0 
    40    58     -5.6764124397               0.0       -0.25         0.0 
    40    58     -4.5411299518               0.0        -0.2         0.0 
    40    58     -3.4058474638               0.0       -0.15         0.0 
    40    58     -2.2705649759               0.0        -0.1         0.0 
    40    58     -1.1352824879               0.0       -0.05         0.0 
    40    58              -0.0               0.0        -0.0         0.0 
    40    58      1.1352824879               0.0        0.05         0.0 
    40    58      2.2705649759               0.0         0.1         0.0 
    40    58      3.4058474638               0.0        0.15         0.0 
    40    58      4.5411299518               0.0         0.2         0.0 
    40    58      5.6764124397               0.0        0.25         0.0 
    40    58      6.8116949277               0.0         0.3         0.0 
    40    58      7.9469774156               0.0        0.35         0.0 
    40    58      9.0822599036               0.0         0.4         0.0 
    40    60     -9.3932770746               0.0        -0.4         0.0 
    40    60     -8.2191174403               0.0       -0.35         0.0 
    40    60      -7.044957806               0.0        -0.3         0.0 
    40    60     -5.8707981716               0.0       -0.25         0.0 
    40    60     -4.6966385373               0.0        -0.2         0.0 
    40    60      -3.522478903               0.0       -0.15         0.0 
    40    60     -2.3483192687               0.0        -0.1         0.0 
    40    60     -1.1741596343               0.0       -0.05         0.0 
    40    60              -0.0               0.0        -0.0         0.0 
    40    60      1.1741596343               0.0        0.05         0.0 
    40    60      2.3483192687               0.0         0.1         0.0 
    40    60       3.522478903               0.0        0.15         0.0 
    40    60      4.6966385373               0.0         0.2         0.0 
    40    60      5.8707981716               0.0        0.25         0.0 
    40    60       7.044957806               0.0         0.3         0.0 
    40    60      8.2191174403               0.0        0.35         0.0 
    40    60      9.3932770746               0.0         0.4         0.0 
    42    58     -9.3932770746               0.0        -0.4         0.0 
    42    58     -8.2191174403               0.0       -0.35         0.0 
    42    58      -7.044957806               0.0        -0.3         0.0 
    42    58     -5.8707981716               0.0       -0.25         0.0 
    42    58     -4.6966385373               0.0        -0.2         0.0 
    42    58      -3.522478903               0.0       -0.15         0.0 
    42    58     -2.3483192687               0.0        -0.1         0.0 
    42    58     -1.1741596343               0.0       -0.05         0.0 
    42    58              -0.0               0.0        -0.0         0.0 
    42    58      1.1741596343               0.0        0.05         0.0 
    42    58      2.3483192687               0.0         0.1         0.0 
    42    58       3.522478903               0.0        0.15         0.0 
    42    58      4.6966385373               0.0         0.2         0.0 
    42    58      5.8707981716               0.0        0.25         0.0 
    42    58       7.044957806               0.0         0.3         0.0 
    42    58      8.2191174403               0.0        0.35         0.0 
    42    58      9.3932770746               0.0         0.4         0.0 
    42    74    -12.0294872175               0.0        -0.4         0.0 
    42    74    -10.5258013153               0.0       -0.35         0.0 
    42    74     -9.0221154131               0.0        -0.3         0.0 
    42    74     -7.5184295109               0.0       -0.25         0.0 
    42    74     -6.0147436087               0.0        -0.2         0.0 
    42    74     -4.5110577065               0.0       -0.15         0.0 
    42    74     -3.0073718044               0.0        -0.1         0.0 
    42    74     -1.5036859022               0.0       -0.05         0.0 
    42    74              -0.0               0.0        -0.0         0.0 
    42    74      1.5036859022               0.0        0.05         0.0 
    42    74      3.0073718044               0.0         0.1         0.0 
    42    74      4.5110577065               0.0        0.15         0.0 
    42    74      6.0147436087               0.0         0.2         0.0 
    42    74      7.5184295109               0.0        0.25         0.0 
    42    74      9.0221154131               0.0         0.3         0.0 
    42    74     10.5258013153               0.0        0.35         0.0 
    42    74     12.0294872175               0.0         0.4         0.0 
    42   104    -17.6497500434               0.0        -0.4         0.0 
    42   104     -15.443531288               0.0       -0.35         0.0 
    42   104    -13.2373125326               0.0        -0.3         0.0 
    42   104    -11.0310937771               0.0       -0.25         0.0 
    42   104     -8.8248750217               0.0        -0.2         0.0 
    42   104     -6.6186562663               0.0       -0.15         0.0 
    42   104     -4.4124375109               0.0        -0.1         0.0 
    42   104     -2.2062187554               0.0       -0.05         0.0 
    42   104              -0.0               0.0        -0.0         0.0 
    42   104      2.2062187554               0.0        0.05         0.0 
    42   104      4.4124375109               0.0         0.1         0.0 
    42   104      6.6186562663               0.0        0.15         0.0 
    42   104      8.8248750217               0.0         0.2         0.0 
    42   104     11.0310937771               0.0        0.25         0.0 
