 Nrows 
   844 
    Z     N          Q20                 Q30           beta2       beta3
    16     4     -0.8031138929               0.0        -0.5         0.0 
    16     4     -0.7228025036               0.0       -0.45         0.0 
    16     4     -0.6424911143               0.0        -0.4         0.0 
    16     4      -0.562179725               0.0       -0.35         0.0 
    16     4     -0.4818683357               0.0        -0.3         0.0 
    16     4     -0.4015569465               0.0       -0.25         0.0 
    16     4     -0.3212455572               0.0        -0.2         0.0 
    16     4     -0.2409341679               0.0       -0.15         0.0 
    16     4     -0.1606227786               0.0        -0.1         0.0 
    16     4     -0.0803113893               0.0       -0.05         0.0 
    16     4              -0.0               0.0        -0.0         0.0 
    16     4      0.0803113893               0.0        0.05         0.0 
    16     4      0.1606227786               0.0         0.1         0.0 
    16     4      0.2409341679               0.0        0.15         0.0 
    16     4      0.3212455572               0.0         0.2         0.0 
    16     4      0.4015569465               0.0        0.25         0.0 
    16     4      0.4818683357               0.0         0.3         0.0 
    16     4       0.562179725               0.0        0.35         0.0 
    16     4      0.6424911143               0.0         0.4         0.0 
    16     4      0.7228025036               0.0        0.45         0.0 
    16     4      0.8031138929               0.0         0.5         0.0 
    60    60    -15.9109418816               0.0        -0.5         0.0 
    60    60    -14.3198476935               0.0       -0.45         0.0 
    60    60    -12.7287535053               0.0        -0.4         0.0 
    60    60    -11.1376593171               0.0       -0.35         0.0 
    60    60      -9.546565129               0.0        -0.3         0.0 
    60    60     -7.9554709408               0.0       -0.25         0.0 
    60    60     -6.3643767527               0.0        -0.2         0.0 
    60    60     -4.7732825645               0.0       -0.15         0.0 
    60    60     -3.1821883763               0.0        -0.1         0.0 
    60    60     -1.5910941882               0.0       -0.05         0.0 
    60    60              -0.0               0.0        -0.0         0.0 
    60    60      1.5910941882               0.0        0.05         0.0 
    60    60      3.1821883763               0.0         0.1         0.0 
    60    60      4.7732825645               0.0        0.15         0.0 
    60    60      6.3643767527               0.0         0.2         0.0 
    60    60      7.9554709408               0.0        0.25         0.0 
    60    60       9.546565129               0.0         0.3         0.0 
    60    60     11.1376593171               0.0        0.35         0.0 
    60    60     12.7287535053               0.0         0.4         0.0 
    60    60     14.3198476935               0.0        0.45         0.0 
    60    60     15.9109418816               0.0         0.5         0.0 
   112   188    -73.2705138312               0.0        -0.5         0.0 
   112   188    -65.9434624481               0.0       -0.45         0.0 
   112   188     -58.616411065               0.0        -0.4         0.0 
   112   188    -51.2893596819               0.0       -0.35         0.0 
