Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
4      20     24           -50.900442                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         1.047291                1.754905              2.537157             4.120785               3.901741               2.580439            11              YES
10     36     46          -198.420016             0.003817             0.109884               0.097122               0.004703                   0.990015                       0.994718                         0.0                             0.0                                0.0                         0.659389                1.126944              3.125382             4.453978               4.201049               3.186229            36              YES
12     12     24          -196.856445             0.304934             0.302841                 0.3039               0.416952                   0.404929                       0.821881                         0.0                             0.0                                0.0                         1.438622                1.369202              3.005342             2.971915               2.988675               3.117368           319              YES
16     28     44          -354.276103            -0.151743            -0.143604               -0.14624              -0.337945                  -0.667775                       -1.00572                         0.0                             0.0                                0.0                         1.053809                0.941761              3.321643             3.628249               3.519848               3.410592           321              YES
22     14     36          -245.530714             0.011632             0.008936               0.010713               0.039382                   0.015638                        0.05502                         0.0                             0.0                                0.0                         1.228077                1.170032              3.492684             3.147779                3.36276               3.595408           326              YES
32     46     78          -677.271653             0.177576             0.150688               0.161228               1.161167                   1.528316                       2.689483                         0.0                             0.0                                0.0                         0.822517                0.774678              4.024625             4.180543               4.117291               4.102769           331              YES
34     48     82          -713.246562             0.144336             0.116847               0.127799               1.032885                   1.262455                        2.29534                         0.0                             0.0                                0.0                         0.708048                0.859506              4.084556             4.223997               4.166746               4.161934           334              YES
34     62     96          -772.293605            -0.242541            -0.225991              -0.231275              -1.886518                  -3.747382                        -5.6339                         0.0                             0.0                                0.0                         0.888817                0.638473              4.258367             4.604346               4.484865               4.327121           337              YES
34     66     100         -780.792364            -0.241247             -0.21814              -0.225128              -1.912784                  -3.989261                      -5.902046                         0.0                             0.0                                0.0                         0.908355                0.626541              4.299394             4.686533               4.558596               4.365939           341              YES
36     48     84          -732.779369             0.086257             0.076615               0.080629               0.666877                   0.830512                       1.497389                         0.0                             0.0                                0.0                         0.722626                0.904488              4.125898             4.230962               4.186258               4.203598           346              YES
36     54     90          -771.388843             0.131863             0.132844               0.132473               1.046167                   1.734903                        2.78107                         0.0                             0.0                                0.0                         0.695461                0.801279              4.179576               4.3784               4.299974               4.254023           350              YES
36     60     96          -797.763578            -0.262536            -0.240794              -0.248344              -2.203439                   -3.79856                      -6.001999                         0.0                             0.0                                0.0                         0.826001                0.664933              4.298826             4.565159               4.467145               4.369028           353              YES
