Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
4      4      8            -55.504782            -0.002774            -0.002861              -0.002818              -0.000711                  -0.000736                      -0.001447                         0.0                             0.0                                0.0                         1.751908                2.395958              2.254381             2.257408               2.255895               2.401694            44              YES
6      4      10           -64.922876            -0.006503            -0.002356              -0.005065              -0.003162                  -0.000608                       -0.00377                         0.0                             0.0                                0.0                         1.568358                2.058724              2.534531             2.261288               2.428925               2.673658            48              YES
14     16     30          -258.001999            -0.001012            -0.001495              -0.001275              -0.001666                  -0.002934                        -0.0046                         0.0                             0.0                                0.0                         0.729734                1.150364              3.052357             3.118436               3.087775               3.160095            56              YES
14     24     38          -303.042932             0.148098             0.165282               0.159768               0.265073                   0.626177                       0.891251                         0.0                             0.0                                0.0                         0.936839                   0.944              3.183384             3.537331               3.411205               3.276722            62              YES
46     58     104         -892.955871             0.115998             0.113437               0.114543               1.308403                   1.684488                       2.992892                         0.0                             0.0                                0.0                         0.698996                0.691591              4.408712             4.504919               4.462622                4.48245            65              YES
50     62     112          -953.63534             0.063797             0.076705               0.071038               0.822089                   1.262789                       2.084878                         0.0                             0.0                                0.0                         0.850638                0.500467              4.519807             4.587769               4.557554               4.592025            70              YES
52     60     112         -941.093691             0.117035             0.122598               0.120026               1.589801                   1.936683                       3.526484                         0.0                             0.0                                0.0                         0.743735                0.485586              4.550474             4.568333                4.56005               4.623295            74              YES
52     62     114         -961.203487             0.119028             0.123796               0.121641               1.628253                   2.054261                       3.682514                         0.0                             0.0                                0.0                         0.789356                0.480261               4.56646                4.606               4.588006               4.638549            78              YES
52     64     116         -980.652399            -0.124353            -0.135536              -0.130597              -1.716085                  -2.364772                      -4.080857                         0.0                             0.0                                0.0                         0.784263                0.495001              4.586526             4.648601               4.620877               4.657825            80              YES
52     68     120        -1017.121648             -0.10807            -0.115571              -0.112401              -1.509049                  -2.204155                      -3.713203                         0.0                             0.0                                0.0                         0.808846                0.494246              4.613622             4.715056               4.671371               4.683554            84              YES
56     64     120         -993.116446              0.31552             0.320581               0.318227               4.997176                   5.839173                      10.836349                         0.0                             0.0                                0.0                         0.537336                0.675935              4.734783             4.749651               4.742718               4.804944            89              YES
56     88     144        -1189.685022             0.176294             0.160757               0.166447               2.919041                   4.607017                       7.526057                         0.0                             0.0                                0.0                         0.477004                0.604025              4.841192             5.080756               4.988959               4.904763            94              YES
56     90     146        -1198.917699              0.19967             0.184733               0.190103               3.340534                   5.506092                       8.846626                         0.0                             0.0                                0.0                         0.537241                0.560833              4.866341             5.123573               5.026466               4.929167            97              YES
56     94     150        -1215.879644              0.25493             0.242906               0.247076               4.363766                   7.830901                      12.194667                         0.0                             0.0                                0.0                          0.58884                0.496852              4.922339             5.213962               5.107038               4.983627           101              YES
56     102    158        -1244.622188              0.28955             0.276466               0.280693               5.117693                  10.238411                      15.356104                         0.0                             0.0                                0.0                         0.590966                 0.49207              5.001796             5.364639               5.238912               5.060484           105              YES
58     92     150        -1229.213739             0.289416             0.262832               0.272539               5.209581                   8.225835                      13.435416                         0.0                             0.0                                0.0                         0.524763                0.509374              4.959876             5.192803               5.103999               5.021773           109              YES
58     94     152        -1239.290066             0.311273             0.285746               0.294904               5.664645                   9.294064                      14.958709                         0.0                             0.0                                0.0                         0.520946                0.483817              4.987081             5.237136               5.143155               5.048249           113              YES
58     96     154        -1248.638022             0.320689              0.29561                0.30445               5.883047                   9.961357                      15.844404                         0.0                             0.0                                0.0                         0.521235                0.476844              5.007145             5.274837               5.175644               5.067676           117              YES
58     98     156        -1257.394048             0.325329             0.300522               0.309114               6.009578                  10.476629                      16.486207                         0.0                             0.0                                0.0                         0.523673                0.477874              5.024483             5.310126               5.205756               5.084413           121              YES
58     100    158        -1265.470008             0.328124             0.303262               0.311725               6.101657                  10.927384                      17.029041                         0.0                             0.0                                0.0                         0.530752                0.480137              5.041222             5.344337               5.235106               5.100564           125              YES
58     112    170        -1301.241736             0.283305             0.246315               0.257685               5.403594                  10.586725                      15.990319                         0.0                             0.0                                0.0                         0.612133                 0.47711              5.105578             5.515328                5.37904               5.161854           129              YES
58     114    172        -1305.807114             0.260931             0.220206               0.232518                4.98407                   9.706421                      14.690491                         0.0                             0.0                                0.0                         0.613956                0.490154              5.109285             5.536152               5.395983               5.165132           133              YES
60     90     150        -1236.628703             0.287211             0.249931               0.264209               5.386342                   7.551097                       12.93744                         0.0                             0.0                                0.0                         0.509331                0.561454              4.977556             5.158442               5.086859               5.040229           138              YES
60     92     152        -1249.014205             0.324388             0.288762               0.302174               6.171239                   9.099686                      15.270925                         0.0                             0.0                                0.0                         0.507311                0.491571              5.013291             5.210674               5.133666               5.075142           142              YES
60     94     154        -1260.497112             0.339216             0.304818               0.317545               6.513918                   9.966985                      16.480902                         0.0                             0.0                                0.0                         0.503046                0.465404              5.036775             5.251008               5.168596               5.097962           145              YES
60     96     156        -1271.117547             0.346349              0.31271               0.324944               6.700976                  10.585877                      17.286853                         0.0                             0.0                                0.0                         0.499495                0.456024              5.055698              5.28691               5.199199               5.116281           149              YES
60     98     158        -1281.069899             0.350226             0.316838               0.328775               6.821873                   11.09034                      17.912213                         0.0                             0.0                                0.0                           0.5011                0.452428              5.072788             5.320907               5.228071               5.132791           153              YES
60     100    160        -1290.302219             0.353046             0.319477               0.331279               6.922488                  11.554277                      18.476765                         0.0                             0.0                                0.0                         0.504504                0.451222              5.089616             5.354222               5.256556               5.149048           157              YES
60     106    166        -1313.428609             0.361676             0.329675                0.34037               7.234651                  13.138177                      20.372828                         0.0                             0.0                                0.0                         0.533047                0.447119              5.140651             5.459042                5.34615               5.198383           162              YES
60     116    176        -1341.403348             0.280527             0.234565               0.248716                5.66584                  10.649526                      16.315366                         0.0                             0.0                                0.0                         0.592584                0.509365              5.165518             5.569932               5.435445               5.221122           165              YES
62     90     152        -1252.417278             0.308488             0.269319               0.284736               6.086135                     8.1858                      14.271935                         0.0                             0.0                                0.0                         0.518092                0.545193              5.022278              5.17393               5.112615               5.084952           170              YES
62     96     158        -1290.697437             0.355893             0.319903               0.333372               7.224838                  10.859692                       18.08453                         0.0                             0.0                                0.0                         0.494866                0.443337              5.094519             5.294302               5.216818               5.155226           173              YES
62     98     160        -1301.866861             0.359385             0.323595               0.336768               7.344594                  11.353884                      18.698478                         0.0                             0.0                                0.0                          0.49172                0.435717              5.111555             5.327254               5.244723                 5.1717           177              YES
62     100    162        -1312.295493             0.361807             0.325761               0.338813               7.442386                  11.804536                      19.246921                         0.0                             0.0                                0.0                         0.490492                0.431476              5.128221             5.359448               5.272151               5.187812           182              YES
62     114    176        -1365.457008             0.330764             0.287916               0.301765               7.026847                  12.808156                      19.835004                         0.0                             0.0                                0.0                         0.583963                0.463211              5.211587             5.561641               5.440897               5.267748           185              YES
62     118    180        -1376.232278             0.270484             0.222275                0.23736               5.732982                  10.345268                       16.07825                         0.0                             0.0                                0.0                         0.580055                0.530356              5.205578             5.591513                5.46166               5.261091           189              YES
62     122    184         -1387.34683            -0.023979            -0.020011              -0.021213              -0.501898                  -0.963294                      -1.465192                         0.0                             0.0                                0.0                         0.577156                0.727103              5.173018             5.592555               5.454795               5.228161           192              YES
62     134    196        -1406.486491             0.186375             0.159403               0.166854                4.06211                   9.103215                      13.165324                         0.0                             0.0                                0.0                         0.480933                0.588181              5.278747             5.812207               5.648909               5.330689           197              YES
64     90     154        -1265.874802             0.303193             0.266194               0.281127               6.248352                   8.106467                      14.354818                         0.0                             0.0                                0.0                          0.51944                0.568706              5.052174             5.178932               5.126634               5.114997           202              YES
64     92     156        -1280.641146             0.332065              0.29783               0.311417               6.926777                   9.441738                      16.368515                         0.0                             0.0                                0.0                         0.515952                0.515921              5.082869             5.226278               5.167925               5.144965           206              YES
64     94     158        -1294.578175             0.344511             0.311022               0.324094               7.247783                  10.219127                       17.46691                         0.0                             0.0                                0.0                         0.505408                0.489846              5.104534             5.263719               5.199826               5.166018           210              YES
64     98     162        -1320.075953             0.354138             0.321507               0.333835               7.553285                  11.292405                       18.84569                         0.0                             0.0                                0.0                         0.489483                0.460478              5.139684             5.330037                5.25566               5.200055           214              YES
66     86     152         -1244.20173             0.187526             0.159583               0.171496               3.906511                   4.473087                       8.379598                         0.0                             0.0                                0.0                         0.396817                0.810995              5.001917             5.082835               5.047859               5.066547           218              YES
66     90     156        -1277.263965             0.286255             0.252498               0.266447               6.140354                   7.691701                      13.832056                         0.0                             0.0                                0.0                         0.515019                0.596775              5.075664             5.179714                5.13595               5.138681           222              YES
66     92     158        -1293.042022             0.315736             0.285349               0.297697               6.852302                   9.047089                      15.899391                         0.0                             0.0                                0.0                         0.522829                0.543759              5.105396             5.226578               5.176303               5.167711           226              YES
66     94     160        -1308.124922             0.331107             0.302415               0.313884               7.250295                   9.943483                      17.193778                         0.0                             0.0                                0.0                         0.516929                0.514954              5.128217             5.265613               5.209376               5.189919           230              YES
68     86     154        -1251.588077             0.177386             0.153335               0.163816               3.852121                   4.311168                       8.163289                         0.0                             0.0                                0.0                         0.392298                0.804608              5.031304             5.090646               5.064528               5.095997           234              YES
68     90     158        -1286.695167             0.266221             0.237163               0.249439               5.934936                   7.227242                      13.162179                         0.0                             0.0                                0.0                          0.50546                0.610134              5.097738             5.180682               5.145149               5.160937           238              YES
68     96     164        -1335.099569             0.325603             0.301857               0.311418               7.471888                  10.277997                      17.749884                         0.0                             0.0                                0.0                          0.51832                0.501947              5.172034             5.302283               5.248669               5.233357           242              YES
70     86     156        -1257.225993             0.162823             0.143483               0.152088               3.680441                   4.046247                       7.726688                         0.0                             0.0                                0.0                         0.393835                0.787496              5.059269             5.098257                 5.0808               5.124019           246              YES
70     94     164         -1329.00826             0.291805             0.272468               0.280551               6.888514                   8.955921                      15.844436                         0.0                             0.0                                0.0                         0.535895                0.536512              5.170259             5.264757               5.224631               5.232368           250              YES
72     86     158        -1260.553213            -0.112438            -0.097045              -0.104027              -2.634006                  -2.738944                      -5.372951                         0.0                             0.0                                0.0                         0.466123                0.804431              5.078441             5.100364               5.090385               5.143334           252              YES
72     88     160        -1280.890352             0.189156             0.174057               0.180807               4.495867                   5.117711                       9.613578                         0.0                             0.0                                0.0                         0.453529                0.669636              5.115349             5.146301               5.132396               5.179468           258              YES
72     132    204        -1555.633522            -0.085755            -0.068999              -0.074443              -2.250439                  -3.762702                      -6.013142                         0.0                             0.0                                0.0                         0.517608                0.634416              5.375044              5.72251               5.602336               5.429572           260              YES
74     86     160         -1262.92293            -0.093513            -0.082243              -0.087454              -2.276104                  -2.327914                      -4.604018                         0.0                             0.0                                0.0                         0.477058                0.772718              5.106085             5.107741               5.106975               5.170994           264              YES
74     88     162        -1283.927406             0.164258             0.156093               0.159812               4.050012                   4.599176                       8.649188                         0.0                             0.0                                0.0                         0.465324                0.642523              5.139184             5.151724                  5.146               5.203378           270              YES
74     94     168        -1341.933238             0.227064             0.224025               0.225347               5.737398                   7.350234                      13.087632                         0.0                             0.0                                0.0                         0.559876                0.534788               5.20251             5.259971               5.234739               5.265038           274              YES
76     88     164        -1285.227205             0.134881              0.13296               0.133851               3.446026                   3.924778                       7.370803                         0.0                             0.0                                0.0                         0.495635                0.603162              5.162053             5.156444               5.159044               5.226314           277              YES
76     92     168         -1326.18314             0.176363             0.178308               0.177432               4.575867                   5.650128                      10.225995                         0.0                             0.0                                0.0                         0.565343                0.527017              5.202013             5.225101               5.214669               5.265206           282              YES
76     94     170        -1345.757902             0.191865             0.196137               0.194243               5.013182                   6.432938                       11.44612                         0.0                             0.0                                0.0                         0.587409                0.512388              5.220317             5.259033                5.24176               5.283002           286              YES
76     134    210         -1610.58417            -0.083253            -0.071299              -0.075327              -2.361911                  -3.980187                      -6.342098                         0.0                             0.0                                0.0                         0.607615                0.529209              5.439646             5.746495               5.637374               5.494274           288              YES
78     90     168         -1306.57306             0.122766             0.129315               0.126269                3.27036                   3.960652                       7.231013                         0.0                             0.0                                0.0                         0.575736                  0.5084              5.203039             5.193762               5.198072               5.266845           294              YES
78     92     170        -1327.525946             0.139647             0.148288               0.144327               3.745423                   4.700698                       8.446121                         0.0                             0.0                                0.0                         0.604884                0.480241              5.220743             5.226127               5.223657               5.284053           297              YES
78     94     172         -1347.91664             0.153146             0.163823               0.159002               4.133479                    5.37085                       9.504329                         0.0                             0.0                                0.0                         0.631728                0.465748              5.237242             5.257931               5.248559               5.300075           302              YES
78     96     174        -1367.753726              0.16594             0.179001               0.173191                4.50659                   6.066514                      10.573103                         0.0                             0.0                                0.0                         0.644244                0.460727              5.253465             5.289949               5.273625               5.315826           306              YES
84     138    222        -1694.387027             0.431509             0.387259               0.403248               15.19514                  24.105034                      39.300175                         0.0                             0.0                                0.0                         0.586013                0.503774              5.764512             5.979412               5.899019                5.81729           313              YES
86     132    218        -1686.377263            -0.018753            -0.017331               -0.01787              -0.624831                  -0.947328                      -1.572159                         0.0                             0.0                                0.0                         0.557107                0.588752              5.541651             5.729155               5.655928               5.597651           316              YES
86     140    226        -1727.235974             0.176732             0.180574               0.179186               6.088097                  10.994189                      17.082287                         0.0                             0.0                                0.0                         0.533673                 0.35971              5.634805             5.871306                5.78245               5.688939           333              YES
86     192    278        -1868.497724             -0.03796            -0.040005              -0.039446              -1.438477                  -4.029948                      -5.468425                         0.0                             0.0                                0.0                         0.534596                0.436569              5.909919             6.448949               6.287138               5.955665           336              YES
86     194    280         -1868.30523             -0.05937            -0.061114              -0.060643              -2.257973                   -6.28491                      -8.542883                         0.0                             0.0                                0.0                         0.568049                0.405866              5.920683             6.482195               6.315045                5.96612           340              YES
86     196    282        -1868.192703            -0.080411            -0.082686              -0.082079              -3.071786                  -8.682154                      -11.75394                         0.0                             0.0                                0.0                         0.588843                0.367873              5.933814             6.516522               6.344491               5.978926           344              YES
86     198    284        -1868.144948            -0.098817            -0.101826              -0.101032              -3.794118                 -10.912052                      -14.70617                         0.0                             0.0                                0.0                         0.597202                0.332364              5.948884             6.549914               6.373898               5.993657           348              YES
86     200    286        -1863.089134             0.438219             0.373796                0.39088              18.130553                  42.854357                       60.98491                         0.0                             0.0                                0.0                         0.618657                0.339564              6.175268             6.740777               6.575844               6.218193           353              YES
86     202    288        -1870.078937             0.159725             0.166204               0.164523               6.233744                  18.517422                      24.751166                         0.0                             0.0                                0.0                         0.570201                0.255537              5.997695             6.612098               6.434777               6.041659           357              YES
88     130    218        -1683.281891            -0.019546            -0.017149              -0.018085              -0.670266                  -0.918164                      -1.588431                         0.0                             0.0                                0.0                         0.468562                0.695076               5.55775             5.713709               5.651271               5.614185           360              YES
88     132    220         -1694.24254            -0.056858             -0.04903              -0.052051              -1.961289                  -2.690962                      -4.652251                         0.0                             0.0                                0.0                         0.553924                0.652441              5.574154             5.740886               5.674781               5.630191           364              YES
88     134    222        -1705.016229            -0.097758            -0.086597              -0.090858              -3.399966                  -4.877653                      -8.277619                         0.0                             0.0                                0.0                         0.590094                0.574462              5.597122             5.772257               5.703477               5.652697           367              YES
88     140    228        -1735.760328            -0.251956            -0.233296              -0.240196              -9.141611                 -14.427151                     -23.568762                         0.0                             0.0                                0.0                           0.6131                0.442544              5.716792             5.917217               5.840675               5.770529           379              YES
88     190    278        -1897.005141            -0.025733            -0.026204              -0.026071              -1.003359                  -2.586521                      -3.589879                         0.0                             0.0                                0.0                         0.492548                0.521292              5.926318             6.417105               6.265908               5.972653           384              YES
88     192    280        -1897.329103            -0.047369            -0.044786              -0.045509              -1.853758                   -4.50605                      -6.359808                         0.0                             0.0                                0.0                         0.547435                0.502649              5.937196             6.444975               6.289806               5.983226           388              YES
88     194    282         -1897.67795            -0.076229            -0.070785              -0.072292              -2.997016                   -7.26788                     -10.264896                         0.0                             0.0                                0.0                          0.57974                0.464842              5.950974             6.477072               6.317604               5.996677           392              YES
88     196    284         -1895.28318            -0.255087            -0.229353              -0.236437             -10.386238                 -24.586863                       -34.9731                         0.0                             0.0                                0.0                         0.604875                0.342923              6.056038             6.584398               6.425328               6.100738           396              YES
88     198    286        -1896.742768            -0.258098            -0.232497              -0.239472             -10.554803                 -25.388885                     -35.943688                         0.0                             0.0                                0.0                         0.604687                0.338337              6.069272             6.611884               6.449791                6.11366           400              YES
88     200    288        -1897.977293            -0.257574            -0.231159              -0.238285             -10.570496                 -25.679859                     -36.250355                         0.0                             0.0                                0.0                         0.605792                 0.33586              6.079957             6.635459               6.470784               6.124052           404              YES
88     202    290         -1903.63714             0.197132             0.188258               0.190625               7.987459                  20.971588                      28.959047                         0.0                             0.0                                0.0                         0.506859                0.283688               6.04129             6.611624               6.443895               6.085449           409              YES
88     204    292        -1904.060882             0.206883             0.198294               0.200563               8.426427                   22.49576                      30.922187                         0.0                             0.0                                0.0                         0.510465                 0.29126              6.057069             6.639355               6.469391               6.100897           413              YES
90     134    224        -1712.999787            -0.120215            -0.104724              -0.110748              -4.329929                  -5.928087                     -10.258016                         0.0                             0.0                                0.0                         0.561955                0.612014              5.632285             5.786636                5.72512               5.687862           424              YES
90     136    226        -1722.483447             0.441166             0.409693               0.421848              17.083392                  25.214299                      42.297691                         0.0                             0.0                                0.0                         0.548221                 0.48325              5.839955             5.989212               5.930224               5.893355           429              YES
90     138    228        -1734.884932             0.465244             0.433043               0.445343              18.249607                  27.481602                      45.731208                         0.0                             0.0                                0.0                         0.532675                0.477683              5.877738             6.037552               5.974978               5.930581           434              YES
90     192    282        -1920.478237            -0.264065            -0.234124              -0.242743             -11.033314                 -24.199148                     -35.232462                         0.0                             0.0                                0.0                         0.591611                0.388813              6.066259             6.532379               6.387314               6.111777           440              YES
90     194    284        -1922.948227            -0.271704            -0.242996              -0.251173             -11.415202                 -25.630768                      -37.04597                         0.0                             0.0                                0.0                         0.592113                 0.37731                 6.083             6.564858               6.416075               6.128183           444              YES
90     196    286        -1925.210085            -0.276763            -0.248904              -0.256759             -11.686227                 -26.765083                      -38.45131                         0.0                             0.0                                0.0                         0.589717                0.371789              6.098272             6.594555               6.442505               6.143133           448              YES
90     198    288        -1927.224374            -0.280182            -0.252724               -0.26039             -11.886616                 -27.682461                     -39.569077                         0.0                             0.0                                0.0                         0.585996                0.369056              6.112694             6.622038               6.467179                6.15724           452              YES
90     200    290        -1928.976793            -0.282191            -0.254734              -0.262326             -12.025105                 -28.402546                     -40.427651                         0.0                             0.0                                0.0                         0.583842                 0.36724              6.126273             6.647599               6.490291               6.170512           456              YES
92     128    220        -1674.367698            -0.279562            -0.260734              -0.268456             -10.604929                 -14.225235                     -24.830164                         0.0                             0.0                                0.0                         0.471563                0.536958              5.716966             5.812606               5.772804               5.772709           459              YES
92     130    222        -1689.286755            -0.288674            -0.271095              -0.278221             -11.025977                 -15.187047                     -26.213024                         0.0                             0.0                                0.0                         0.502385                 0.51569              5.736617             5.844527               5.800051               5.791953           463              YES
92     132    224        -1703.759235            -0.296478            -0.280231              -0.286742             -11.399061                 -16.112813                     -27.511874                         0.0                             0.0                                0.0                         0.526535                0.503276              5.755583              5.87605               5.826874               5.810521           467              YES
92     134    226        -1717.779641            -0.302769            -0.287455              -0.293522             -11.713707                 -16.951152                     -28.664859                         0.0                             0.0                                0.0                         0.542398                0.497163              5.773541             5.906186               5.852552               5.828094           471              YES
92     188    280        -1947.837989            -0.015543            -0.017473              -0.016896              -0.641638                  -1.690899                      -2.332537                         0.0                             0.0                                0.0                         0.434541                0.607994              5.963838             6.387661               6.251575                  6.011           475              YES
92     190    282        -1945.421146             0.467968             0.415464               0.431164              21.099275                  43.910345                       65.00962                         0.0                             0.0                                0.0                         0.535111                0.372636              6.232709             6.640258               6.510104                6.27765           481              YES
92     192    284        -1948.476391             0.472203             0.420078               0.435515              21.406316                  45.257488                      66.663804                         0.0                             0.0                                0.0                         0.541032                0.368581              6.249681             6.669212               6.536257                 6.2943           485              YES
92     194    286        -1952.331282            -0.106859            -0.090384               -0.09517              -4.482173                  -9.258807                      -13.74098                         0.0                             0.0                                0.0                         0.576119                0.529775              6.011589             6.469581               6.325874               6.057754           487              YES
92     196    288        -1953.752563            -0.287517            -0.257135              -0.265898             -12.542574                 -27.672595                      -40.21517                         0.0                             0.0                                0.0                         0.586451                0.386083              6.130738             6.597222               6.451873               6.175808           492              YES
92     198    290        -1956.348514            -0.290482            -0.260517              -0.269077              -12.73106                 -28.552642                     -41.283702                         0.0                             0.0                                0.0                         0.579757                0.383656              6.145028             6.623958               6.475859                6.18979           496              YES
94     130    224        -1696.240616            -0.076118            -0.063251              -0.068542              -2.879436                  -3.425377                      -6.304813                         0.0                             0.0                                0.0                         0.447182                0.797602               5.64797             5.746392               5.705297               5.704472           503              YES
94     132    226        -1709.199008            -0.306237             -0.28928              -0.296188              -12.17601                 -16.732117                     -28.908126                         0.0                             0.0                                0.0                         0.500358                0.507739              5.790352             5.893509               5.850824               5.845266           507              YES
94     134    228         -1724.24261             0.434047             0.412258               0.421045              17.756135                  24.955765                        42.7119                         0.0                             0.0                                0.0                         0.516543                0.522306              5.873363             5.984027               5.938653               5.927301           513              YES
94     188    282        -1971.718801            -0.016135            -0.017315              -0.016955              -0.685695                  -1.675229                      -2.360925                         0.0                             0.0                                0.0                         0.443027                0.630288              5.986276             6.386951               6.256245               6.033681           515              YES
94     190    284        -1971.110228              0.45364              0.40418               0.419269              20.947921                  42.513687                      63.461608                         0.0                             0.0                                0.0                          0.53623                0.381616              6.240159             6.624381               6.499724               6.285453           521              YES
94     192    286        -1974.699025             0.455351             0.405238               0.420386              21.122789                   43.39164                      64.514429                         0.0                             0.0                                0.0                         0.544154                0.376363              6.254372             6.648784               6.521784               6.299368           525              YES
94     194    288        -1977.940756             0.456976             0.406802                0.42183               21.29395                   44.33351                       65.62746                         0.0                             0.0                                0.0                         0.555193                0.371919              6.268483             6.672959               6.543692               6.313183           530              YES
94     196    290        -1980.944477             0.456886             0.406513               0.421459              21.369997                   45.06772                      66.437716                         0.0                             0.0                                0.0                         0.566498                0.367354              6.280287             6.695954               6.564104               6.324707           534              YES
94     242    336        -1998.885177             0.258328             0.228962               0.235948              12.341279                   35.04091                      47.382189                         0.0                             0.0                                0.0                           0.6284                0.318119              6.347106              7.08017               6.882957               6.386615           537              YES
96     128    224        -1679.293994             0.432398             0.419311               0.424846              17.994475                  23.810107                      41.804582                         0.0                             0.0                                0.0                         0.510301                0.546049              5.861884              5.92997               5.900886               5.916831           541              YES
96     130    226        -1696.507651             0.433723             0.418573               0.424912              18.133779                  24.326294                      42.460073                         0.0                             0.0                                0.0                         0.509598                0.536772              5.875532              5.95286               5.920136               5.930149           545              YES
96     188    284        -1989.426342             -0.28045            -0.245779              -0.256626              -12.74623                 -24.535946                     -37.282176                         0.0                             0.0                                0.0                         0.593484                0.428096              6.125931             6.487759               6.367752               6.172655           548              YES
96     190    286        -1993.988188            -0.290667            -0.257199              -0.267565             -13.294759                  -26.21707                     -39.511829                         0.0                             0.0                                0.0                          0.60171                0.405665              6.145423             6.521176                6.39751               6.191805           552              YES
96     192    288         -2003.08576             0.177645             0.137151                0.14955               7.928533                   13.87085                      21.799383                         0.0                             0.0                                0.0                          0.45548                0.450092              6.070568             6.461696               6.334004               6.117319           557              YES
96     194    290        -2002.517041            -0.296769             -0.26423              -0.274115             -13.697559                 -27.949563                     -41.647122                         0.0                             0.0                                0.0                         0.598456                0.390504              6.173364             6.574159               6.444243               6.219148           560              YES
