Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
4      6      10     -71.603599              -0.005         0.0            275       YES            
6      4      10     -67.230185              -0.007         0.0            279       YES            
18     12     30     -215.160405             0.003          0.0            284       YES            
24     18     42     -321.645945             0.002          0.0            289       YES            
54     72     126    -1063.495311            0.157          0.0            293       YES            
56     66     122    -1014.232837            0.273          0.0            297       YES            
64     90     154    -1265.362769            0.295          0.0            300       YES            
66     90     156    -1276.555567            0.287          0.0            304       YES            
68     154    222    -1524.311522            0.321          0.0            309       YES            
70     88     158    -1274.54039             0.183          0.0            312       YES            
70     148    218    -1555.814476            0.289          0.0            317       YES            
72     90     162    -1298.403807            0.199          0.0            321       YES            
74     88     162    -1282.04693             0.133          0.0            325       YES            
76     90     166    -1304.232937            0.138          0.0            329       YES            
78     140    218    -1652.10444             -0.083         0.0            331       YES            
78     160    238    -1698.751351            -0.16          0.0            335       YES            
84     162    246    -1785.106886            -0.106         0.0            339       YES            
86     158    244    -1796.885297            0.178          0.0            344       YES            
86     200    286    -1855.11229             -0.072         0.0            347       YES            
86     202    288    -1856.223373            0.141          0.0            352       YES            
88     112    200    -1528.933054            0.175          0.0            357       YES            
88     132    220    -1693.683534            -0.02          0.0            359       YES            
88     134    222    -1704.771437            -0.048         0.0            363       YES            
88     136    224    -1718.154253            0.158          0.0            368       YES            
88     138    226    -1729.342127            0.177          0.0            372       YES            
88     140    228    -1740.144847            0.192          0.0            376       YES            
88     154    242    -1803.332859            0.222          0.0            381       YES            
88     162    250    -1830.65385             0.185          0.0            384       YES            
88     170    258    -1853.159763            -0.123         0.0            387       YES            
88     194    282    -1888.718492            -0.025         0.0            391       YES            
88     196    284    -1888.006492            -0.045         0.0            394       YES            
88     198    286    -1885.040573            -0.255         0.0            399       YES            
88     200    288    -1890.721245            0.159          0.0            404       YES            
88     202    290    -1890.640925            0.172          0.0            408       YES            
90     132    222    -1700.073839            -0.037         0.0            411       YES            
90     134    224    -1714.724671            0.163          0.0            416       YES            
90     136    226    -1727.569999            0.189          0.0            420       YES            
90     138    228    -1740.063415            0.211          0.0            424       YES            
90     156    246    -1829.045965            0.24           0.0            428       YES            
90     158    248    -1836.665424            0.231          0.0            432       YES            
90     194    284    -1917.928851            -0.028         0.0            435       YES            
90     196    286    -1918.252136            -0.047         0.0            439       YES            
90     198    288    -1921.728433            0.169          0.0            444       YES            
90     200    290    -1922.697123            0.187          0.0            448       YES            
90     202    292    -1923.420981            0.201          0.0            452       YES            
92     120    212    -1606.394636            -0.112         0.0            455       YES            
92     130    222    -1687.214833            -0.293         0.0            459       YES            
92     132    224    -1704.934693            -0.052         0.0            462       YES            
92     134    226    -1721.386963            0.192          0.0            468       YES            
92     136    228    -1735.571414            0.22           0.0            472       YES            
92     160    252    -1862.022096            0.245          0.0            477       YES            
92     162    254    -1869.534801            0.233          0.0            480       YES            
92     164    256    -1876.73724             0.219          0.0            484       YES            
92     166    258    -1883.623847            0.204          0.0            489       YES            
92     170    262    -1896.51121             0.165          0.0            493       YES            
92     192    284    -1940.517489            0.444          0.0            496       YES            
92     194    286    -1947.319295            0.141          0.0            500       YES            
92     196    288    -1949.446924            0.178          0.0            504       YES            
92     198    290    -1951.502116            0.201          0.0            508       YES            
94     120    214    -1605.222167            -0.128         0.0            511       YES            
94     130    224    -1695.232237            0.113          0.0            516       YES            
94     132    226    -1710.985682            0.189          0.0            520       YES            
94     144    238    -1797.163862            0.285          0.0            524       YES            
94     160    254    -1878.767634            0.275          0.0            529       YES            
94     162    256    -1886.871509            0.267          0.0            532       YES            
94     168    262    -1908.985115            0.222          0.0            537       YES            
94     170    264    -1915.783752            0.193          0.0            540       YES            
94     192    286    -1971.016457            0.001          0.0            544       YES            
94     194    288    -1973.911814            0.191          0.0            548       YES            
96     130    226    -1696.651391            0.146          0.0            553       YES            
96     158    254    -1884.864033            0.298          0.0            557       YES            
96     164    260    -1911.236542            0.298          0.0            561       YES            
96     166    262    -1919.220759            0.299          0.0            564       YES            
96     192    288    -1995.264784            0.246          0.0            568       YES            
96     220    316    -2023.854216            0.289          0.0            572       YES            
96     238    334    -2013.807478            0.317          0.0            576       YES            
98     160    258    -1907.72295             0.308          0.0            581       YES            
98     162    260    -1917.233238            0.311          0.0            584       YES            
98     188    286    -2009.093799            0.323          0.0            588       YES            
98     190    288    -2014.073388            0.311          0.0            592       YES            
98     192    290    -2018.838503            0.298          0.0            596       YES            
98     218    316    -2055.260443            0.29           0.0            600       YES            
98     236    334    -2051.790423            0.325          0.0            604       YES            
98     246    344    -2043.096574            0.356          0.0            608       YES            
100    158    258    -1908.725089            0.31           0.0            613       YES            
100    162    262    -1929.694976            0.315          0.0            616       YES            
100    188    288    -2030.061563            0.348          0.0            620       YES            
100    190    290    -2035.599823            0.339          0.0            625       YES            
100    216    316    -2083.368884            0.286          0.0            628       YES            
100    228    328    -2087.841868            0.303          0.0            632       YES            
100    230    330    -2087.741962            0.308          0.0            636       YES            
100    232    332    -2087.389841            0.313          0.0            640       YES            
100    234    334    -2086.836244            0.318          0.0            644       YES            
100    236    336    -2086.100535            0.324          0.0            648       YES            
100    238    338    -2085.169258            0.331          0.0            652       YES            
100    240    340    -2084.048792            0.338          0.0            656       YES            
100    242    342    -2082.708826            0.346          0.0            661       YES            
100    244    344    -2081.355296            0.351          0.0            664       YES            
100    260    360    -2064.054407            0.364          0.0            668       YES            
100    262    362    -2061.217898            0.362          0.0            672       YES            
100    264    364    -2058.246397            0.359          0.0            676       YES            
102    154    256    -1893.167253            0.307          0.0            681       YES            
102    156    258    -1905.830766            0.305          0.0            684       YES            
102    174    276    -1997.400982            0.343          0.0            688       YES            
102    188    290    -2049.353376            0.359          0.0            692       YES            
102    230    332    -2119.082184            0.295          0.0            696       YES            
102    232    334    -2119.222245            0.3            0.0            700       YES            
102    234    336    -2119.152947            0.306          0.0            704       YES            
102    238    340    -2118.39847             0.32           0.0            708       YES            
102    242    344    -2116.925817            0.335          0.0            712       YES            
102    244    346    -2115.967659            0.344          0.0            716       YES            
102    260    362    -2102.172658            0.367          0.0            720       YES            
102    262    364    -2099.722249            0.363          0.0            724       YES            
102    264    366    -2097.173379            0.36           0.0            728       YES            
104    148    252    -1854.704835            0.304          0.0            732       YES            
104    154    258    -1898.957624            0.299          0.0            736       YES            
104    172    276    -2001.120927            0.425          0.0            741       YES            
104    176    280    -2019.71145             0.433          0.0            745       YES            
104    180    284    -2036.750894            0.426          0.0            21        YES            
104    192    296    -2080.148037            0.35           0.0            748       YES            
104    198    302    -2097.838684            0.311          0.0            752       YES            
104    230    334    -2148.980555            0.278          0.0            756       YES            
104    232    336    -2149.596607            0.281          0.0            760       YES            
104    234    338    -2149.9996              0.286          0.0            764       YES            
104    250    354    -2147.128454            0.413          0.0            37        YES            
104    262    366    -2136.942852            0.401          0.0            769       YES            
104    264    368    -2134.738501            0.385          0.0            772       YES            
106    144    250    -1821.683438            0.299          0.0            776       YES            
106    150    256    -1872.414015            0.295          0.0            780       YES            
106    166    272    -1980.468614            0.269          0.0            784       YES            
106    176    282    -2031.465596            0.446          0.0            789       YES            
106    200    306    -2122.545367            0.304          0.0            792       YES            
106    202    308    -2128.297398            0.293          0.0            796       YES            
106    230    336    -2177.26184             0.263          0.0            800       YES            
106    236    342    -2179.86132             0.269          0.0            804       YES            
106    238    344    -2180.250729            0.273          0.0            808       YES            
106    242    348    -2180.398907            0.4            0.0            813       YES            
108    148    256    -1855.69567             0.292          0.0            816       YES            
108    194    302    -2120.05338             0.379          0.0            55        YES            
108    198    306    -2133.585621            0.349          0.0            820       YES            
108    200    308    -2140.001485            0.329          0.0            824       YES            
108    202    310    -2146.225686            0.308          0.0            828       YES            
108    244    352    -2210.102522            0.403          0.0            832       YES            
108    248    356    -2210.903459            0.413          0.0            82        YES            
108    252    360    -2210.711246            0.415          0.0            100       YES            
110    156    266    -1921.498851            0.272          0.0            836       YES            
110    164    274    -1979.976682            0.25           0.0            840       YES            
110    174    284    -2040.022115            0.225          0.0            117       YES            
110    190    300    -2118.284789            0.409          0.0            145       YES            
110    196    306    -2142.097049            0.389          0.0            166       YES            
110    204    314    -2169.044273            0.321          0.0            844       YES            
110    232    342    -2230.388125            0.231          0.0            848       YES            
112    162    274    -1964.21941             0.437          0.0            852       YES            
112    190    302    -2130.014031            0.438          0.0            187       YES            
114    192    306    -2146.93005             -0.383         0.0            855       YES            
114    198    312    -2175.939045            0.457          0.0            208       YES            
114    200    314    -2183.856898            0.458          0.0            228       YES            
114    208    322    -2209.987174            -0.35          0.0            859       YES            
114    220    334    -2245.270732            -0.357         0.0            863       YES            
114    244    358    -2287.157826            -0.366         0.0            867       YES            
116    212    328    -2238.633106            -0.373         0.0            871       YES            
116    214    330    -2245.225664            -0.372         0.0            875       YES            
116    228    344    -2284.394892            -0.177         0.0            878       YES            
116    240    356    -2306.388562            -0.381         0.0            883       YES            
118    218    336    -2273.667657            -0.391         0.0            887       YES            
118    236    354    -2321.03826             -0.39          0.0            891       YES            
118    238    356    -2324.87063             -0.391         0.0            895       YES            
118    240    358    -2328.44247             -0.392         0.0            899       YES            
120    166    286    -1995.415764            -0.158         0.0            241       YES            
120    168    288    -2012.681898            -0.149         0.0            262       YES            
120    232    352    -2330.479762            -0.403         0.0            903       YES            
120    280    400    -2382.721931            -0.414         0.0            907       YES            
120    294    414    -2377.288099            -0.419         0.0            911       YES            
120    298    418    -2374.56917             0.224          0.0            916       YES            
