Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
4      20     24     -50.900442              -0.0           0.0            11        YES            
10     36     46     -198.420016             0.155          0.0            36        YES            
12     12     24     -196.856445             0.378          0.0            319       YES            
16     28     44     -354.276103             -0.168         0.0            321       YES            
22     14     36     -245.530714             0.013          0.0            326       YES            
32     46     78     -677.271653             0.173          0.0            331       YES            
34     48     82     -713.246562             0.136          0.0            334       YES            
34     62     96     -772.293605             -0.257         0.0            337       YES            
34     66     100    -780.792364             -0.251         0.0            341       YES            
36     48     84     -732.779369             0.085          0.0            346       YES            
36     54     90     -771.388843             0.141          0.0            350       YES            
36     60     96     -797.763578             -0.274         0.0            353       YES            
40     34     74     -576.565394             -0.212         0.0            356       YES            
40     70     110    -894.889801             0.429          0.0            61        YES            
42     64     106    -895.329531             -0.224         0.0            360       YES            
44     34     78     -566.154587             0.151          0.0            366       YES            
44     68     112    -941.829137             -0.231         0.0            368       YES            
52     62     114    -958.334046             0.277          0.0            374       YES            
52     92     144    -1151.855523            0.184          0.0            379       YES            
52     94     146    -1156.400599            0.236          0.0            383       YES            
54     88     142    -1165.412319            0.174          0.0            387       YES            
54     90     144    -1172.246423            0.196          0.0            391       YES            
54     92     146    -1178.478322            0.22           0.0            395       YES            
54     94     148    -1184.600583            0.248          0.0            399       YES            
56     54     110    -867.595127             0.218          0.0            403       YES            
56     56     112    -895.101213             0.24           0.0            406       YES            
56     58     114    -920.550724             0.264          0.0            410       YES            
56     86     142    -1176.608846            0.156          0.0            415       YES            
56     88     144    -1186.20944             0.19           0.0            419       YES            
56     90     146    -1194.715833            0.217          0.0            423       YES            
56     92     148    -1202.628753            0.253          0.0            427       YES            
56     136    192    -1263.092518            0.182          0.0            430       YES            
56     138    194    -1259.960804            0.202          0.0            434       YES            
58     56     114    -890.677041             0.275          0.0            439       YES            
58     66     124    -1018.452293            0.384          0.0            82        YES            
58     84     142    -1181.903765            0.1            0.0            443       YES            
58     86     144    -1193.214158            0.161          0.0            447       YES            
58     88     146    -1204.22281             0.203          0.0            451       YES            
58     90     148    -1214.593474            0.256          0.0            455       YES            
58     132    190    -1309.731675            0.119          0.0            458       YES            
58     134    192    -1307.677185            0.155          0.0            462       YES            
58     136    194    -1305.524967            0.181          0.0            466       YES            
58     138    196    -1303.177116            0.205          0.0            470       YES            
60     68     128    -1044.736539            0.391          0.0            103       YES            
60     86     146    -1207.704982            0.162          0.0            475       YES            
60     88     148    -1220.142517            0.218          0.0            479       YES            
60     132    192    -1348.797214            0.104          0.0            482       YES            
60     134    194    -1347.230826            0.145          0.0            486       YES            
60     136    196    -1345.664864            0.179          0.0            490       YES            
60     138    198    -1344.700704            0.264          0.0            494       YES            
62     86     148    -1220.365678            0.164          0.0            499       YES            
62     88     150    -1234.384843            0.232          0.0            503       YES            
62     132    194    -1385.835826            0.086          0.0            506       YES            
62     134    196    -1384.789196            0.141          0.0            510       YES            
62     136    198    -1383.958377            0.189          0.0            514       YES            
64     130    194    -1420.575461            -0.025         0.0            517       YES            
64     132    196    -1420.71498             0.074          0.0            522       YES            
64     134    198    -1420.563729            0.15           0.0            526       YES            
64     136    200    -1420.931399            0.211          0.0            530       YES            
66     130    196    -1452.558288            -0.028         0.0            533       YES            
66     132    198    -1453.094877            -0.048         0.0            537       YES            
66     134    200    -1454.700708            0.16           0.0            542       YES            
66     136    202    -1456.041761            0.207          0.0            547       YES            
66     168    234    -1445.531859            0.303          0.0            550       YES            
66     170    236    -1442.397614            0.293          0.0            554       YES            
68     130    198    -1482.636461            -0.036         0.0            557       YES            
68     132    200    -1483.998345            -0.061         0.0            561       YES            
68     134    202    -1485.52078             -0.121         0.0            565       YES            
68     162    230    -1497.660829            0.315          0.0            570       YES            
68     164    232    -1495.398776            0.3            0.0            574       YES            
68     170    238    -1488.275988            0.277          0.0            578       YES            
70     86     156    -1254.299325            0.155          0.0            583       YES            
70     164    234    -1537.662274            0.265          0.0            586       YES            
70     166    236    -1536.237452            0.253          0.0            590       YES            
70     168    238    -1534.499501            0.243          0.0            594       YES            
70     170    240    -1532.292456            0.234          0.0            598       YES            
72     86     158    -1258.499919            0.15           0.0            603       YES            
72     166    238    -1576.970267            0.236          0.0            606       YES            
72     168    240    -1576.027011            0.222          0.0            610       YES            
72     174    246    -1570.408171            -0.155         0.0            613       YES            
82     140    222    -1680.389375            0.19           0.0            618       YES            
84     134    218    -1665.447858            -0.345         0.0            620       YES            
84     156    240    -1752.372058            0.26           0.0            626       YES            
84     160    244    -1762.233778            0.237          0.0            630       YES            
84     162    246    -1766.469208            0.22           0.0            634       YES            
84     196    280    -1783.970041            -0.377         0.0            637       YES            
86     130    216    -1668.466818            -0.014         0.0            641       YES            
86     132    218    -1677.182538            -0.043         0.0            645       YES            
86     134    220    -1678.525389            -0.327         0.0            648       YES            
86     136    222    -1689.352982            -0.361         0.0            652       YES            
86     138    224    -1699.793729            -0.372         0.0            656       YES            
86     140    226    -1709.597816            -0.376         0.0            660       YES            
86     152    238    -1763.023903            0.256          0.0            666       YES            
86     154    240    -1769.136969            0.253          0.0            670       YES            
86     156    242    -1775.156187            0.249          0.0            674       YES            
86     158    244    -1780.990088            0.24           0.0            678       YES            
86     192    278    -1820.033215            -0.376         0.0            681       YES            
86     194    280    -1819.985704            -0.381         0.0            685       YES            
86     196    282    -1819.507994            -0.383         0.0            689       YES            
86     198    284    -1818.433399            -0.383         0.0            693       YES            
88     130    218    -1675.800826            -0.025         0.0            697       YES            
88     132    220    -1685.591123            -0.061         0.0            701       YES            
88     134    222    -1695.29939             -0.085         0.0            705       YES            
88     136    224    -1701.678896            -0.354         0.0            708       YES            
88     138    226    -1713.02352             -0.373         0.0            712       YES            
88     140    228    -1723.680811            -0.378         0.0            716       YES            
88     142    230    -1741.381113            0.231          0.0            722       YES            
88     152    240    -1782.918437            0.255          0.0            726       YES            
88     154    242    -1789.689145            0.251          0.0            730       YES            
88     156    244    -1796.396202            0.245          0.0            734       YES            
88     192    280    -1854.830329            0.49           0.0            738       YES            
88     194    282    -1855.156021            0.491          0.0            742       YES            
88     196    284    -1855.194862            0.498          0.0            746       YES            
88     198    286    -1853.016625            -0.389         0.0            749       YES            
88     200    288    -1852.022857            -0.387         0.0            753       YES            
90     118    208    -1580.955755            -0.438         0.0            756       YES            
90     130    220    -1672.364583            -0.423         0.0            760       YES            
90     132    222    -1692.420771            -0.07          0.0            764       YES            
90     134    224    -1700.447447            -0.318         0.0            768       YES            
90     136    226    -1712.626762            -0.343         0.0            772       YES            
90     138    228    -1724.661569            -0.365         0.0            776       YES            
90     154    244    -1808.586997            0.256          0.0            782       YES            
90     156    246    -1815.977479            0.249          0.0            786       YES            
90     158    248    -1823.239892            0.24           0.0            790       YES            
90     160    250    -1830.260914            0.229          0.0            794       YES            
90     190    280    -1884.962288            0.486          0.0            798       YES            
90     192    282    -1886.288481            0.483          0.0            802       YES            
90     194    284    -1887.279749            0.483          0.0            806       YES            
90     196    286    -1887.954546            0.487          0.0            810       YES            
90     198    288    -1888.3374              0.496          0.0            814       YES            
90     224    314    -1876.753994            0.235          0.0            818       YES            
92     130    222    -1679.489766            -0.479         0.0            820       YES            
92     132    224    -1695.619641            -0.314         0.0            824       YES            
92     134    226    -1709.115999            -0.326         0.0            828       YES            
92     136    228    -1722.219414            -0.34          0.0            832       YES            
92     138    230    -1734.888333            -0.352         0.0            836       YES            
92     156    248    -1833.873837            0.259          0.0            842       YES            
92     158    250    -1841.710924            0.25           0.0            846       YES            
92     160    252    -1849.302315            0.239          0.0            850       YES            
92     162    254    -1856.323136            0.226          0.0            854       YES            
92     190    282    -1913.824825            0.481          0.0            858       YES            
92     192    284    -1915.798606            0.477          0.0            862       YES            
92     194    286    -1917.449148            0.477          0.0            866       YES            
92     196    288    -1918.756888            0.48           0.0            870       YES            
92     198    290    -1919.745582            0.485          0.0            874       YES            
94     130    224    -1683.757473            -0.494         0.0            876       YES            
94     132    226    -1706.196761            0.171          0.0            882       YES            
94     134    228    -1716.08519             -0.33          0.0            884       YES            
