Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
26     36     62     -537.146848             0.138          0.0            255       YES            
32     70     102    -744.831987             0.286          0.0            259       YES            
34     78     112    -795.000268             0.222          0.0            263       YES            
36     32     68     -547.313241             -0.211         0.0            266       YES            
40     56     96     -830.503792             -0.002         0.0            270       YES            
40     58     98     -841.544022             -0.002         0.0            274       YES            
40     60     100    -850.69313              0.39           0.0            279       YES            
42     58     100    -860.614549             -0.003         0.0            282       YES            
42     74     116    -941.277288             -0.188         0.0            286       YES            
42     104    146    -974.772776             0.189          0.0            291       YES            
52     58     110    -920.023427             0.18           0.0            295       YES            
52     72     124    -1049.793031            0.175          0.0            299       YES            
54     54     108    -873.279556             0.192          0.0            303       YES            
54     56     110    -898.829871             0.215          0.0            307       YES            
54     58     112    -922.69961              0.244          0.0            311       YES            
54     72     126    -1064.139451            0.229          0.0            315       YES            
54     74     128    -1080.48423             0.188          0.0            320       YES            
54     88     142    -1166.706961            -0.079         0.0            322       YES            
54     90     144    -1175.300601            0.192          0.0            328       YES            
56     54     110    -869.424313             0.218          0.0            331       YES            
56     56     112    -897.160113             0.242          0.0            335       YES            
56     58     114    -923.081156             0.291          0.0            339       YES            
56     90     146    -1198.001395            0.215          0.0            352       YES            
58     54     112    -863.342552             0.247          0.0            355       YES            
58     56     114    -893.067903             0.284          0.0            359       YES            
58     90     148    -1218.219844            0.255          0.0            372       YES            
60     62     122    -976.366966             0.426          0.0            19        YES            
60     88     148    -1223.849347            0.187          0.0            380       YES            
60     136    196    -1364.850419            -0.094         0.0            381       YES            
62     86     148    -1225.629474            -0.064         0.0            386       YES            
62     88     150    -1238.337524            0.218          0.0            392       YES            
62     90     152    -1252.649069            0.293          0.0            395       YES            
62     132    194    -1401.38504             -0.05          0.0            398       YES            
62     134    196    -1401.985088            -0.069         0.0            402       YES            
62     136    198    -1402.478618            -0.097         0.0            406       YES            
62     138    200    -1403.028551            -0.136         0.0            410       YES            
62     140    202    -1403.255871            -0.152         0.0            414       YES            
64     86     150    -1236.864004            -0.07          0.0            418       YES            
64     88     152    -1250.967758            0.224          0.0            424       YES            
64     132    196    -1434.944746            -0.052         0.0            429       YES            
64     134    198    -1436.463791            -0.072         0.0            434       YES            
64     136    200    -1437.96551             -0.132         0.0            438       YES            
64     138    202    -1439.4392              -0.151         0.0            442       YES            
64     140    204    -1440.520728            -0.167         0.0            446       YES            
66     72     138    -1100.025109            0.356          0.0            451       YES            
66     84     150    -1230.687705            -0.018         0.0            454       YES            
66     86     152    -1246.024725            -0.114         0.0            457       YES            
66     88     154    -1261.613256            0.216          0.0            463       YES            
66     94     160    -1309.459467            0.336          0.0            467       YES            
