 Nrows 
   6018 
    Z     N          Q20                 Q30           beta2       beta3
    12    12      -0.870634493               0.0        -0.4         0.0 
    12    12     -0.7618051814               0.0       -0.35         0.0 
    12    12     -0.6529758698               0.0        -0.3         0.0 
    12    12     -0.5441465581               0.0       -0.25         0.0 
    12    12     -0.4353172465               0.0        -0.2         0.0 
    12    12     -0.3264879349               0.0       -0.15         0.0 
    12    12     -0.2176586233               0.0        -0.1         0.0 
    12    12     -0.1088293116               0.0       -0.05         0.0 
    12    12              -0.0               0.0        -0.0         0.0 
    12    12      0.1088293116               0.0        0.05         0.0 
    12    12      0.2176586233               0.0         0.1         0.0 
    12    12      0.3264879349               0.0        0.15         0.0 
    12    12      0.4353172465               0.0         0.2         0.0 
    12    12      0.5441465581               0.0        0.25         0.0 
    12    12      0.6529758698               0.0         0.3         0.0 
    12    12      0.7618051814               0.0        0.35         0.0 
    12    12       0.870634493               0.0         0.4         0.0 
    16    28     -2.3909560538               0.0        -0.4         0.0 
    16    28      -2.092086547               0.0       -0.35         0.0 
    16    28     -1.7932170403               0.0        -0.3         0.0 
    16    28     -1.4943475336               0.0       -0.25         0.0 
    16    28     -1.1954780269               0.0        -0.2         0.0 
    16    28     -0.8966085202               0.0       -0.15         0.0 
    16    28     -0.5977390134               0.0        -0.1         0.0 
    16    28     -0.2988695067               0.0       -0.05         0.0 
    16    28              -0.0               0.0        -0.0         0.0 
    16    28      0.2988695067               0.0        0.05         0.0 
    16    28      0.5977390134               0.0         0.1         0.0 
    16    28      0.8966085202               0.0        0.15         0.0 
    16    28      1.1954780269               0.0         0.2         0.0 
    16    28      1.4943475336               0.0        0.25         0.0 
    16    28      1.7932170403               0.0         0.3         0.0 
    16    28       2.092086547               0.0        0.35         0.0 
    16    28      2.3909560538               0.0         0.4         0.0 
    22    14     -1.7112808913               0.0        -0.4         0.0 
    22    14     -1.4973707799               0.0       -0.35         0.0 
    22    14     -1.2834606685               0.0        -0.3         0.0 
    22    14     -1.0695505571               0.0       -0.25         0.0 
    22    14     -0.8556404456               0.0        -0.2         0.0 
    22    14     -0.6417303342               0.0       -0.15         0.0 
    22    14     -0.4278202228               0.0        -0.1         0.0 
    22    14     -0.2139101114               0.0       -0.05         0.0 
    22    14              -0.0               0.0        -0.0         0.0 
    22    14      0.2139101114               0.0        0.05         0.0 
    22    14      0.4278202228               0.0         0.1         0.0 
    22    14      0.6417303342               0.0        0.15         0.0 
    22    14      0.8556404456               0.0         0.2         0.0 
    22    14      1.0695505571               0.0        0.25         0.0 
    22    14      1.2834606685               0.0         0.3         0.0 
    22    14      1.4973707799               0.0        0.35         0.0 
    22    14      1.7112808913               0.0         0.4         0.0 
    32    46     -6.2083301514               0.0        -0.4         0.0 
    32    46     -5.4322888825               0.0       -0.35         0.0 
    32    46     -4.6562476135               0.0        -0.3         0.0 
    32    46     -3.8802063446               0.0       -0.25         0.0 
    32    46     -3.1041650757               0.0        -0.2         0.0 
    32    46     -2.3281238068               0.0       -0.15         0.0 
    32    46     -1.5520825378               0.0        -0.1         0.0 
    32    46     -0.7760412689               0.0       -0.05         0.0 
    32    46              -0.0               0.0        -0.0         0.0 
    32    46      0.7760412689               0.0        0.05         0.0 
    32    46      1.5520825378               0.0         0.1         0.0 
    32    46      2.3281238068               0.0        0.15         0.0 
    32    46      3.1041650757               0.0         0.2         0.0 
    32    46      3.8802063446               0.0        0.25         0.0 
    32    46      4.6562476135               0.0         0.3         0.0 
    32    46      5.4322888825               0.0        0.35         0.0 
    32    46      6.2083301514               0.0         0.4         0.0 
    34    48     -6.7479763776               0.0        -0.4         0.0 
    34    48     -5.9044793304               0.0       -0.35         0.0 
    34    48     -5.0609822832               0.0        -0.3         0.0 
    34    48      -4.217485236               0.0       -0.25         0.0 
    34    48     -3.3739881888               0.0        -0.2         0.0 
    34    48     -2.5304911416               0.0       -0.15         0.0 
    34    48     -1.6869940944               0.0        -0.1         0.0 
    34    48     -0.8434970472               0.0       -0.05         0.0 
    34    48              -0.0               0.0        -0.0         0.0 
    34    48      0.8434970472               0.0        0.05         0.0 
    34    48      1.6869940944               0.0         0.1         0.0 
    34    48      2.5304911416               0.0        0.15         0.0 
    34    48      3.3739881888               0.0         0.2         0.0 
    34    48       4.217485236               0.0        0.25         0.0 
    34    48      5.0609822832               0.0         0.3         0.0 
    34    48      5.9044793304               0.0        0.35         0.0 
    34    48      6.7479763776               0.0         0.4         0.0 
    34    62     -8.7754457961               0.0        -0.4         0.0 
    34    62     -7.6785150716               0.0       -0.35         0.0 
    34    62      -6.581584347               0.0        -0.3         0.0 
    34    62     -5.4846536225               0.0       -0.25         0.0 
    34    62      -4.387722898               0.0        -0.2         0.0 
    34    62     -3.2907921735               0.0       -0.15         0.0 
    34    62      -2.193861449               0.0        -0.1         0.0 
    34    62     -1.0969307245               0.0       -0.05         0.0 
    34    62              -0.0               0.0        -0.0         0.0 
    34    62      1.0969307245               0.0        0.05         0.0 
    34    62       2.193861449               0.0         0.1         0.0 
    34    62      3.2907921735               0.0        0.15         0.0 
    34    62       4.387722898               0.0         0.2         0.0 
    34    62      5.4846536225               0.0        0.25         0.0 
    34    62       6.581584347               0.0         0.3         0.0 
    34    62      7.6785150716               0.0        0.35         0.0 
    34    62      8.7754457961               0.0         0.4         0.0 
    34    66     -9.3932770746               0.0        -0.4         0.0 
    34    66     -8.2191174403               0.0       -0.35         0.0 
    34    66      -7.044957806               0.0        -0.3         0.0 
    34    66     -5.8707981716               0.0       -0.25         0.0 
    34    66     -4.6966385373               0.0        -0.2         0.0 
    34    66      -3.522478903               0.0       -0.15         0.0 
    34    66     -2.3483192687               0.0        -0.1         0.0 
    34    66     -1.1741596343               0.0       -0.05         0.0 
    34    66              -0.0               0.0        -0.0         0.0 
    34    66      1.1741596343               0.0        0.05         0.0 
    34    66      2.3483192687               0.0         0.1         0.0 
    34    66       3.522478903               0.0        0.15         0.0 
    34    66      4.6966385373               0.0         0.2         0.0 
    34    66      5.8707981716               0.0        0.25         0.0 
