Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
14     2      16     11.420802               -0.341791      -1.404701      0.0            4         YES            
22     46     68     -511.480551             0.121463       1.657778       0.0            30        YES            
24     28     52     -454.979832             0.113296       0.927425       0.0            44        YES            
24     46     70     -553.467219             0.175742       2.500098       0.0            64        YES            
26     20     46     -353.641996             0.000279       0.002155       0.0            81        YES            
32     48     80     -689.276309             0.131311       2.20475        0.0            102       YES            
34     48     82     -711.780228             0.110426       1.904675       0.0            119       YES            
34     56     90     -754.811354             0.155196       3.200598       0.0            129       YES            
36     32     68     -547.025927             -0.16883       -2.254646      0.0            141       YES            
36     38     74     -628.127418             -0.131064      -1.985864      0.0            159       YES            
36     62     98     -806.416959             -0.205234      -5.06397       0.0            178       YES            
36     64     100    -813.241546             -0.208521      -5.345226      0.0            195       YES            
40     70     110    -897.238293             -0.175902      -5.196511      0.0            210       YES            
46     58     104    -891.323021             0.155268       3.973888       0.0            231       YES            
52     66     118    -996.456003             -0.152907      -4.876107      0.0            244       YES            
54     64     118    -985.173468             0.273688       8.972699       0.0            272       YES            
54     66     120    -1005.460704            0.266692       8.970587       0.0            289       YES            
54     74     128    -1077.852899            0.162261       5.868716       0.0            303       YES            
54     90     144    -1175.433912            0.178587       8.031788       0.0            319       YES            
56     54     110    -865.830226             0.199299       5.739341       0.0            340       YES            
56     88     144    -1188.088068            0.174061       7.763254       0.0            353       YES            
56     90     146    -1197.34855             0.19963        9.214771       0.0            370       YES            
56     92     148    -1206.05689             0.227963       10.854682      0.0            389       YES            
58     78     136    -1135.938443            0.131449       5.242927       0.0            403       YES            
58     86     144    -1194.627507            0.145797       6.43917        0.0            421       YES            
58     88     146    -1205.992313            0.186528       8.540413       0.0            438       YES            
58     90     148    -1216.808808            0.229234       10.831072      0.0            457       YES            
58     136    194    -1328.041893            0.152015       11.770716      0.0            472       YES            
58     138    196    -1327.132892            0.166883       13.267693      0.0            489       YES            
58     140    198    -1325.947028            0.18032        14.706078      0.0            506       YES            
60     78     138    -1145.51546             0.135569       5.570218       0.0            522       YES            
60     86     146    -1209.048208            0.146837       6.64415        0.0            540       YES            
60     88     148    -1221.794241            0.201736       9.459826       0.0            557       YES            
60     92     152    -1247.284416            0.308754       15.467502      0.0            578       YES            
60     118    178    -1344.447998            0.154373       10.100319      0.0            589       YES            
60     120    180    -1349.376694            0.112225       7.41466        0.0            606       YES            
60     134    194    -1366.788102            0.124741       9.506178       0.0            625       YES            
60     136    196    -1366.733433            0.15193        11.905035      0.0            642       YES            
60     138    198    -1366.496756            0.176809       14.231702      0.0            659       YES            
62     90     152    -1250.012866            0.291365       14.520013      0.0            680       YES            
62     132    194    -1402.387618            0.075078       5.618302       0.0            693       YES            
62     134    196    -1402.938751            0.116287       8.982987       0.0            710       YES            
62     136    198    -1403.485045            0.158842       12.595642      0.0            727       YES            
64     88     152    -1247.892758            0.229499       11.275221      0.0            744       YES            
64     132    196    -1436.094019            0.056422       4.265369       0.0            758       YES            
64     134    198    -1437.248387            0.118279       9.240919       0.0            777       YES            
64     136    200    -1438.691893            0.175213       14.047542      0.0            794       YES            
66     70     136    -1070.100163            0.349721       14.772076      0.0            816       YES            
66     88     154    -1258.011648            0.225323       11.26813       0.0            829       YES            
66     90     156    -1274.516981            0.275317       14.242279      0.0            850       YES            
66     92     158    -1290.534026            0.303648       16.145008      0.0            867       YES            
66     94     160    -1305.805006            0.317403       17.309586      0.0            884       YES            
66     132    198    -1467.854618            0.062685       4.795378       0.0            894       YES            
66     134    200    -1469.934536            0.133003       10.48908       0.0            912       YES            
68     68     136    -1039.886321            0.344689       14.634841      0.0            935       YES            
68     132    200    -1497.904476            0.081419       6.292322       0.0            945       YES            
70     92     162    -1308.636025            0.257189       14.043983      0.0            965       YES            
70     94     164    -1325.961488            0.283126       15.871897      0.0            982       YES            
70     96     166    -1342.811513            0.306374       17.659759      0.0            1003      YES            
72     90     162    -1296.641607            0.203986       11.029661      0.0            1016      YES            
74     90     164    -1300.527053            0.183176       10.038669      0.0            1033      YES            
74     98     172    -1375.05963             0.287996       17.539077      0.0            1050      YES            
76     88     164    -1281.524215            0.134171       7.229322       0.0            1064      YES            
78     96     174    -1363.946705            0.171513       10.380962      0.0            1083      YES            
78     98     176    -1383.842508            0.273844       17.206215      0.0            1102      YES            
86     132    218    -1683.204157            0.097675       8.485426       0.0            1115      YES            
86     134    220    -1693.703178            0.123849       11.041776      0.0            1132      YES            
86     136    222    -1703.903542            0.145015       13.214913      0.0            1149      YES            
86     138    224    -1713.870168            0.164914       15.346177      0.0            1168      YES            
86     194    280    -1861.328704            0.097607       13.528179      0.0            1184      YES            
86     196    282    -1861.142275            0.12215        17.283678      0.0            1202      YES            
88     130    218    -1679.853063            0.073877       6.361637       0.0            1218      YES            
88     132    220    -1692.011876            0.119837       10.646826      0.0            1234      YES            
88     134    222    -1703.820334            0.147138       13.38082       0.0            1251      YES            
88     136    224    -1715.393795            0.171427       15.910374      0.0            1270      YES            
88     138    226    -1726.698475            0.191275       18.10408       0.0            1287      YES            
88     140    228    -1737.626133            0.207015       19.978966      0.0            1304      YES            
88     192    280    -1891.310372            0.00163        0.220976       0.0            1319      YES            
88     194    282    -1892.082912            0.115183       16.184064      0.0            1336      YES            
88     196    284    -1892.728121            0.138564       19.834392      0.0            1353      YES            
88     198    286    -1893.470271            0.159054       23.148094      0.0            1370      YES            
88     200    288    -1894.205557            0.176051       26.041922      0.0            1387      YES            
90     130    220    -1685.783215            0.09187        8.090547       0.0            1405      YES            
90     132    222    -1699.111208            0.137126       12.418975      0.0            1421      YES            
90     134    224    -1712.346067            0.170515       15.771196      0.0            1440      YES            
90     136    226    -1725.471276            0.197773       18.656494      0.0            1457      YES            
90     138    228    -1738.141882            0.216979       20.872549      0.0            1474      YES            
90     192    282    -1919.748343            0.085038       11.829314      0.0            1490      YES            
90     194    284    -1921.116575            0.126205       17.930782      0.0            1506      YES            
90     196    286    -1922.697293            0.154291       22.320949      0.0            1523      YES            
90     198    288    -1924.416619            0.176629       25.96312       0.0            1540      YES            
90     200    290    -1926.038199            0.193063       28.818833      0.0            1557      YES            
92     130    222    -1690.155721            0.100418       9.013995       0.0            1574      YES            
92     132    224    -1704.724559            0.155177       14.317019      0.0            1593      YES            
92     134    226    -1719.406385            0.192863       18.178288      0.0            1610      YES            
92     136    228    -1733.919003            0.21956        21.100019      0.0            1627      YES            
92     190    282    -1945.585401            0.000678       0.094707       0.0            1642      YES            
92     192    284    -1946.508964            -0.001029      -0.145922      0.0            1657      YES            
92     194    286    -1948.702621            0.138109       19.818356      0.0            1676      YES            
92     196    288    -1951.319166            0.16975        24.808901      0.0            1693      YES            
92     198    290    -1953.955744            0.190919       28.375935      0.0            1710      YES            
94     130    224    -1693.082326            0.109135       9.973289       0.0            1727      YES            
94     132    226    -1708.917908            0.175928       16.568707      0.0            1746      YES            
94     134    228    -1724.807189            0.215476       20.750885      0.0            1763      YES            
94     136    230    -1740.335862            0.235555       23.103659      0.0            1780      YES            
94     190    284    -1970.013515            -0.000583      -0.081613      0.0            1793      YES            
94     192    286    -1971.804488            0.100493       14.343682      0.0            1813      YES            
94     194    288    -1974.902901            0.148624       21.550384      0.0            1829      YES            
94     196    290    -1978.39395             0.181571       26.835155      0.0            1846      YES            
94     198    292    -1981.778994            0.201127       30.228434      0.0            1863      YES            
94     232    326    -1991.930257            0.192091       35.649805      0.0            1882      YES            
96     128    224    -1679.479729            0.000844       0.077422       0.0            1897      YES            
96     130    226    -1694.648013            0.119124       11.080534      0.0            1916      YES            
96     132    228    -1711.660552            0.215485       20.75584       0.0            1933      YES            
96     188    284    -1990.521064            0.0            0.0            0.0            1947      YES            
96     190    286    -1992.767147            0.0            0.0            0.0            1964      YES            
96     192    288    -1995.741208            0.110253       15.898336      0.0            1984      YES            
96     194    290    -1999.626205            0.155667       22.840104      0.0            1999      YES            
96     196    292    -2003.754266            0.190681       28.511297      0.0            2016      YES            
96     230    326    -2027.916472            0.214117       39.585646      0.0            2035      YES            
96     232    328    -2027.177177            0.19981        37.327719      0.0            2052      YES            
96     240    336    -2023.357904            0.150345       29.241685      0.0            2069      YES            
98     128    226    -1678.662682            -0.0           -0.0           0.0            2083      YES            
98     130    228    -1695.111423            0.297487       28.951011      0.0            2105      YES            
98     186    284    -2008.191254            0.0            0.0            0.0            2117      YES            
98     188    286    -2011.170516            0.0            0.0            0.0            2134      YES            
98     190    288    -2014.024695            -0.001316      -0.185437      0.0            2150      YES            
98     192    290    -2018.371204            0.117486       17.108042      0.0            2169      YES            
98     194    292    -2022.86001             0.159628       23.700673      0.0            2186      YES            
98     196    294    -2027.543423            0.198096       29.921209      0.0            2203      YES            
98     230    328    -2061.544869            0.220642       41.087512      0.0            2222      YES            
98     234    332    -2060.605978            0.195902       37.221693      0.0            2239      YES            
98     238    336    -2059.180435            0.170948       33.138128      0.0            2256      YES            
100    126    226    -1659.288457            0.000572       0.054251       0.0            2271      YES            
100    128    228    -1676.469019            -0.0           -0.0           0.0            2287      YES            
100    168    268    -1954.857164            0.2018         25.586964      0.0            2307      YES            
100    184    284    -2022.252658            0.0            0.0            0.0            2321      YES            
100    186    286    -2026.895598            -0.00022       -0.030754      0.0            2337      YES            
100    188    288    -2030.478152            -0.000542      -0.076044      0.0            2354      YES            
100    190    290    -2034.370258            0.079583       11.399251      0.0            2375      YES            
100    192    292    -2039.452184            0.123386       18.140739      0.0            2390      YES            
100    194    294    -2044.603403            0.161833       24.282272      0.0            2407      YES            
100    196    296    -2049.83925             0.203763       31.071354      0.0            2424      YES            
100    230    330    -2093.866562            0.224951       42.192124      0.0            2441      YES            
100    232    332    -2093.837352            0.216409       41.004603      0.0            2460      YES            
100    234    334    -2093.589932            0.205405       39.307804      0.0            2477      YES            
100    236    336    -2093.177725            0.192839       37.26802       0.0            2494      YES            
100    262    362    -2084.264178            -0.000641      -0.171113      0.0            2506      YES            
100    264    364    -2080.627966            0.043262       9.417414       0.0            2529      YES            
102    128    230    -1672.946591            -0.0           -0.0           0.0            2542      YES            
102    130    232    -1691.311598            -0.289922      -29.384038     0.0            2551      YES            
102    184    286    -2039.042588            0.0            1e-06          0.0            2576      YES            
102    186    288    -2044.317693            0.0            1e-06          0.0            2593      YES            
102    188    290    -2048.520555            0.0            1e-06          0.0            2610      YES            
102    190    292    -2053.269166            0.085598       12.381965      0.0            2628      YES            
102    192    294    -2059.365044            0.344271       52.938614      0.0            2652      YES            
102    194    296    -2065.147045            0.324769       50.287572      0.0            2669      YES            
102    232    334    -2125.184813            0.221953       42.345908      0.0            2679      YES            
102    234    336    -2125.269338            0.213171       41.083819      0.0            2696      YES            
102    236    338    -2125.149966            0.201519       39.222149      0.0            2715      YES            
102    260    362    -2123.466717            0.000573       0.111691       0.0            2727      YES            
102    262    364    -2119.989839            0.000675       0.125786       0.0            2744      YES            
102    264    366    -2116.559511            0.040685       8.930317       0.0            2767      YES            
104    134    238    -1726.241407            -0.301468      -32.040664     0.0            2772      YES            
104    136    240    -1744.881562            -0.30637       -33.086211     0.0            2789      YES            
104    170    274    -1989.142185            0.198238       26.040648      0.0            2817      YES            
104    184    288    -2054.546575            0.0            0.0            0.0            2831      YES            
104    186    290    -2060.443532            0.0            1e-06          0.0            2848      YES            
104    188    292    -2065.272504            0.0            1e-06          0.0            2865      YES            
104    190    294    -2070.666811            0.086527       12.638933      0.0            2883      YES            
104    192    296    -2076.966397            0.12979        19.429569      0.0            2900      YES            
104    198    302    -2096.526255            0.307911       49.115283      0.0            2917      YES            
104    234    338    -2155.554972            0.216212       41.939066      0.0            2934      YES            
104    260    364    -2157.71612             0.000781       0.162222       0.0            2948      YES            
104    262    366    -2154.606958            0.001434       0.300136       0.0            2965      YES            
104    264    368    -2151.444239            0.002852       0.610835       0.0            2982      YES            
106    164    270    -1968.151373            0.243168       31.2579        0.0            3009      YES            
106    186    292    -2075.281321            0.0            1e-06          0.0            3018      YES            
106    188    294    -2080.73362             0.0            0.0            0.0            3035      YES            
106    190    296    -2086.676099            0.082902       12.219599      0.0            3053      YES            
106    192    298    -2093.487831            0.128048       19.317073      0.0            3070      YES            
106    198    304    -2115.366739            0.334976       54.231282      0.0            3094      YES            
106    200    306    -2121.293354            0.31555        51.448337      0.0            3111      YES            
106    262    368    -2188.110908            0.001773       0.381737       0.0            3118      YES            
106    264    370    -2185.311333            0.004215       0.924171       0.0            3135      YES            
108    158    266    -1934.568487            0.260143       32.601896      0.0            3162      YES            
108    164    272    -1975.037707            0.238618       31.015844      0.0            3179      YES            
108    170    278    -2008.894789            0.203322       27.328017      0.0            3191      YES            
108    188    296    -2094.942467            0.0            1e-06          0.0            3205      YES            
108    190    298    -2101.349542            0.075164       11.173708      0.0            3223      YES            
108    192    300    -2108.624499            0.121075       18.386143      0.0            3240      YES            
108    262    370    -2220.489592            0.001748       0.382754       0.0            3254      YES            
108    264    372    -2218.07218             0.004302       0.955278       0.0            3271      YES            
108    266    374    -2216.031488            0.07048        16.107995      0.0            3293      YES            
108    268    376    -2214.454734            0.098836       22.944901      0.0            3310      YES            
108    270    378    -2213.140813            0.120933       28.474656      0.0            3327      YES            
108    272    380    -2212.004518            0.140875       33.632336      0.0            3345      YES            
110    166    276    -1991.938608            0.222234       29.536125      0.0            3366      YES            
110    168    278    -2004.098173            0.211127       28.376309      0.0            3382      YES            
110    188    298    -2107.894483            -8.1e-05       -0.012138      0.0            3391      YES            
110    190    300    -2114.741365            0.062929       9.440952       0.0            3410      YES            
110    192    302    -2122.42449             0.109748       16.771746      0.0            3427      YES            
110    198    308    -2143.993584            -0.237513      -38.612179     0.0            3438      YES            
110    228    338    -2229.053172            0.215517       41.267846      0.0            3468      YES            
110    264    374    -2249.712191            0.003762       0.846138       0.0            3475      YES            
110    266    376    -2247.814086            0.051987       11.90735       0.0            3492      YES            
