 Nrows 
   2391 
    Z     N          Q20                 Q30           beta2       beta3
    38    34     -6.7912227176               0.0        -0.5         0.0 
    38    34     -6.1121004459               0.0       -0.45         0.0 
    38    34     -5.4329781741               0.0        -0.4         0.0 
    38    34     -4.7538559023               0.0       -0.35         0.0 
    38    34     -4.0747336306               0.0        -0.3         0.0 
    38    34     -3.3956113588               0.0       -0.25         0.0 
    38    34     -2.7164890871               0.0        -0.2         0.0 
    38    34     -2.0373668153               0.0       -0.15         0.0 
    38    34     -1.3582445435               0.0        -0.1         0.0 
    38    34     -0.6791222718               0.0       -0.05         0.0 
    38    34              -0.0               0.0        -0.0         0.0 
    38    34      0.6791222718               0.0        0.05         0.0 
    38    34      1.3582445435               0.0         0.1         0.0 
    38    34      2.0373668153               0.0        0.15         0.0 
    38    34      2.7164890871               0.0         0.2         0.0 
    38    34      3.3956113588               0.0        0.25         0.0 
    38    34      4.0747336306               0.0         0.3         0.0 
    38    34      4.7538559023               0.0        0.35         0.0 
    38    34      5.4329781741               0.0         0.4         0.0 
    38    34      6.1121004459               0.0        0.45         0.0 
    38    34      6.7912227176               0.0         0.5         0.0 
    40    36     -7.4316138101               0.0        -0.5         0.0 
    40    36     -6.6884524291               0.0       -0.45         0.0 
    40    36     -5.9452910481               0.0        -0.4         0.0 
    40    36     -5.2021296671               0.0       -0.35         0.0 
    40    36     -4.4589682861               0.0        -0.3         0.0 
    40    36     -3.7158069051               0.0       -0.25         0.0 
    40    36      -2.972645524               0.0        -0.2         0.0 
    40    36      -2.229484143               0.0       -0.15         0.0 
    40    36      -1.486322762               0.0        -0.1         0.0 
    40    36      -0.743161381               0.0       -0.05         0.0 
    40    36              -0.0               0.0        -0.0         0.0 
    40    36       0.743161381               0.0        0.05         0.0 
    40    36       1.486322762               0.0         0.1         0.0 
    40    36       2.229484143               0.0        0.15         0.0 
    40    36       2.972645524               0.0         0.2         0.0 
    40    36      3.7158069051               0.0        0.25         0.0 
    40    36      4.4589682861               0.0         0.3         0.0 
    40    36      5.2021296671               0.0        0.35         0.0 
    40    36      5.9452910481               0.0         0.4         0.0 
    40    36      6.6884524291               0.0        0.45         0.0 
    40    36      7.4316138101               0.0         0.5         0.0 
    40    42      -8.434970472               0.0        -0.5         0.0 
    40    42     -7.5914734248               0.0       -0.45         0.0 
    40    42     -6.7479763776               0.0        -0.4         0.0 
    40    42     -5.9044793304               0.0       -0.35         0.0 
    40    42     -5.0609822832               0.0        -0.3         0.0 
    40    42      -4.217485236               0.0       -0.25         0.0 
    40    42     -3.3739881888               0.0        -0.2         0.0 
    40    42     -2.5304911416               0.0       -0.15         0.0 
    40    42     -1.6869940944               0.0        -0.1         0.0 
    40    42     -0.8434970472               0.0       -0.05         0.0 
    40    42              -0.0               0.0        -0.0         0.0 
    40    42      0.8434970472               0.0        0.05         0.0 
    40    42      1.6869940944               0.0         0.1         0.0 
    40    42      2.5304911416               0.0        0.15         0.0 
    40    42      3.3739881888               0.0         0.2         0.0 
    40    42       4.217485236               0.0        0.25         0.0 
    40    42      5.0609822832               0.0         0.3         0.0 
    40    42      5.9044793304               0.0        0.35         0.0 
    40    42      6.7479763776               0.0         0.4         0.0 
    40    42      7.5914734248               0.0        0.45         0.0 
    40    42       8.434970472               0.0         0.5         0.0 
    40    64     -12.534760628               0.0        -0.5         0.0 
    40    64    -11.2812845652               0.0       -0.45         0.0 
