Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            -30.074329             0.001343             0.001357                0.00135               0.000208                    0.00026                       0.000468                         0.0                             0.0                                0.0                         3.396105                3.471254              1.944755             1.939448               1.942103               2.113758           654              YES
22     44     66          -517.019254             0.099225             0.076026               0.082693               0.326929                   0.691082                       1.018011                         0.0                             0.0                                0.0                         1.063219                 0.57437              3.709903             4.131156               3.995676               3.785919           659              YES
24     24     48          -409.194261            -0.039406            -0.038897              -0.039156              -0.127488                  -0.122155                      -0.249643                         0.0                             0.0                                0.0                         0.944158               -0.921371              3.565108             3.513058               3.539179                3.66004           660              YES
24     28     52          -458.646281              0.10004             0.069515               0.083445               0.322216                   0.345419                       0.667636                         0.0                             0.0                                0.0                         0.665591                0.810242              3.583259             3.620878               3.603564               3.675091           666              YES
26     46     72          -599.322418             0.179229             0.142317               0.154349               0.799053                    1.39331                       2.192362                         0.0                             0.0                                0.0                         0.827399                0.435703              3.847828             4.159689               4.049844               3.924586           670              YES
30     44     74          -642.735412             0.178502             0.159843               0.166993               0.997149                   1.469976                       2.467125                         0.0                             0.0                                0.0                         0.885616                0.449696              3.935562             4.123256               4.048213               4.015018           674              YES
30     46     76          -657.051259             0.158775             0.135323               0.144005                0.87677                   1.310885                       2.187655                         0.0                             0.0                                0.0                         0.782496                0.455748              3.948065              4.15854               4.076757               4.026314           679              YES
32     44     76          -662.297093             0.207786             0.194128               0.199645               1.325689                   1.812168                       3.137857                         0.0                             0.0                                0.0                         0.826419                0.540306              4.001221             4.145077               4.085123               4.080702           683              YES
32     46     78          -678.743609             0.184045             0.158849               0.168695               1.153856                   1.577082                       2.730938                         0.0                             0.0                                0.0                          0.73152                0.549142              4.011141             4.177154               4.109857               4.089543           686              YES
34     44     78          -678.642188             0.215814             0.208099               0.211368               1.544315                    1.96246                       3.506775                         0.0                             0.0                                0.0                         0.786013                0.634333              4.060639             4.162541               4.118432               4.140113           691              YES
34     52     86          -741.899011             0.126386             0.106614               0.113967               0.852343                   1.234836                        2.08718                         0.0                             0.0                                0.0                         0.427889                 0.63574              4.093614             4.301796               4.220719               4.169186           694              YES
