Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
22     46     68           -511.46754             0.128418             0.118392               0.121125               0.465004                   1.188779                       1.653782                         0.0                             0.0                                0.0                         1.012351                0.691155              3.736298             4.221052               4.070542               3.810402           381              YES
24     28     52          -454.970521             0.130687             0.104667               0.116498               0.447078                   0.507243                       0.954321                         0.0                             0.0                                0.0                         0.901529                0.900117              3.587066              3.63687               3.613969               3.678803           386              YES
24     46     70          -553.440315             0.204877             0.164462               0.176557                0.83265                   1.679172                       2.511822                         0.0                             0.0                                0.0                         0.924302                0.689448              3.807133             4.207932               4.074958               3.882491           389              YES
26     20     46          -353.613874             0.002157             0.000969               0.001679               0.009753                   0.003311                       0.013064                         0.0                             0.0                                0.0                         0.964811                1.020756              3.637341              3.40371               3.537659               3.734025           393              YES
32     48     80          -689.250048             0.150296             0.121943               0.132628               0.917758                    1.31039                       2.228148                         0.0                             0.0                                0.0                         0.784831                0.780089              4.014542             4.215048               4.136012               4.091992           397              YES
34     48     82          -711.753638             0.124936             0.103096               0.111747               0.830222                   1.098091                       1.928313                         0.0                             0.0                                0.0                         0.769811                0.863811              4.060957             4.220078               4.154841               4.138776           401              YES
34     56     90          -754.760174             0.166164             0.153909               0.158155                1.17571                   2.087733                       3.263443                         0.0                             0.0                                0.0                         0.789862                0.744487              4.139939             4.430151               4.322806               4.213059           405              YES
36     32     68          -547.002261            -0.168003            -0.172537              -0.170049               -1.24027                  -1.030979                      -2.271249                         0.0                             0.0                                0.0                         0.872324                0.851514              4.034326             3.880741               3.962792               4.120022           408              YES
36     38     74          -628.103049            -0.135863            -0.128143               -0.13193              -1.002798                  -0.996998                      -1.999796                         0.0                             0.0                                0.0                         0.988947                0.862368              4.056587             4.023996               4.039884               4.139487           412              YES
36     62     98          -806.276778            -0.218642            -0.203016              -0.208238              -1.799411                  -3.336342                      -5.135753                         0.0                             0.0                                0.0                         0.927802                 0.68616              4.275883             4.598854               4.482916               4.345713           415              YES
36     64     100          -813.08586            -0.223781            -0.204985              -0.211097              -1.859768                  -3.550448                      -5.410216                         0.0                             0.0                                0.0                          0.93717                0.668122              4.299167               4.6453               4.523744               4.367887           420              YES
38     62     100         -835.829374             0.403507              0.36472               0.378463               3.689537                   6.148406                       9.837943                         0.0                             0.0                                0.0                         0.823946                0.627311              4.400613             4.650657               4.557256               4.469672            16              YES
40     70     110         -897.127306            -0.187626            -0.172721              -0.177671              -1.852415                  -3.395949                      -5.248364                         0.0                             0.0                                0.0                         0.958651                0.638072              4.426853             4.746015               4.632501                4.49398           424              YES
46     58     104         -891.248952             0.155607             0.157618               0.156746               1.715769                   2.298921                        4.01469                         0.0                             0.0                                0.0                         0.936387                0.599016              4.419358             4.500816               4.464969               4.492921           429              YES
52     66     118         -996.433632            -0.147503            -0.158678              -0.153845               -2.06319                  -2.843571                      -4.906761                         0.0                             0.0                                0.0                         1.016964                0.494415              4.605998             4.683407               4.649453               4.676522           431              YES
54     64     118         -985.119187             0.265468              0.28135               0.274142               4.034924                   4.953885                       8.988809                         0.0                             0.0                                0.0                         0.871208                0.601809              4.669731             4.705685               4.689266               4.740336           437              YES
54     66     120        -1005.415023             0.259767             0.272377               0.266775                3.95978                   5.014034                       8.973814                         0.0                             0.0                                0.0                         0.874471                0.589994              4.680851             4.735915               4.711216               4.750838           441              YES
54     74     128        -1077.816201             0.171061             0.156286               0.162338               2.527568                   3.343831                       5.871399                         0.0                             0.0                                0.0                         0.879127                0.539629              4.704448             4.824516                4.77423               4.772287           445              YES
54     90     144        -1175.414054             0.183425             0.176089               0.178661               2.887058                   5.146872                       8.033929                         0.0                             0.0                                0.0                         0.751859                0.454382              4.828643             5.091627               4.994631               4.891247           450              YES
56     54     110         -865.788427             0.204459             0.193902               0.199413               3.069181                   2.674267                       5.743447                         0.0                             0.0                                0.0                         0.662325                0.634033               4.62749             4.509287               4.569845               4.701459           453              YES
56     88     144        -1188.053126             0.184686             0.168026               0.174167               3.024758                   4.743021                       7.767779                         0.0                             0.0                                0.0                         0.674474                0.562986              4.847058             5.060616               4.978654               4.910552           458              YES
56     90     146        -1197.322603             0.208966             0.194696               0.199861               3.488849                   5.736061                       9.224911                         0.0                             0.0                                0.0                         0.733714                0.527726              4.872372              5.10313               5.015875               4.935121           462              YES
56     92     148        -1206.026207             0.235115             0.224098               0.228014               4.002667                   6.853605                      10.856272                         0.0                             0.0                                0.0                         0.767634                0.498799              4.899255             5.146967               5.054666               4.961246           466              YES
58     78     136        -1135.904151             0.147346             0.120828               0.131871               2.429554                    2.83128                       5.260835                         0.0                             0.0                                0.0                         0.690745                0.722456              4.800244             4.900055               4.857739               4.867053           470              YES
58     86     144        -1194.582178              0.15885             0.137675               0.145859               2.695703                   3.746161                       6.441865                         0.0                             0.0                                0.0                         0.603736                 0.68515              4.857112             5.025574                4.95841               4.921523           474              YES
58     88     146        -1205.959662             0.199814             0.178745               0.186745                3.46472                   5.085616                       8.550335                         0.0                             0.0                                0.0                         0.674021                0.625965              4.887247             5.071119               4.998883               4.950862           478              YES
58     90     148        -1216.785306              0.24506             0.219808               0.229239               4.294122                   6.536417                      10.830539                         0.0                             0.0                                0.0                         0.712237                0.567188              4.922802             5.118512                5.04272               4.985561           482              YES
58     136    194        -1327.775562             0.158006             0.153154               0.154393                3.10725                   8.848114                      11.955364                         0.0                             0.0                                0.0                         0.652341                0.510748              5.227195             5.828273               5.655268               5.277626           485              YES
58     138    196        -1326.828128             0.174408              0.16803               0.169634               3.481447                  10.005114                      13.486561                         0.0                             0.0                                0.0                         0.699619                0.487839              5.246016             5.866424               5.689885                5.29589           489              YES
58     140    198        -1325.601717             0.190724             0.182014               0.184174               3.863074                   11.15874                      15.021814                         0.0                             0.0                                0.0                         0.741952                0.471847              5.266536             5.902533               5.723554                5.31584           493              YES
60     78     138        -1145.478908              0.15008             0.125325                 0.1359               2.628418                   2.956741                       5.585159                         0.0                             0.0                                0.0                         0.677543                0.762509              4.837488             4.913238               4.880448                4.90432           498              YES
60     86     146        -1209.001613             0.159244             0.138722               0.146872               2.855858                   3.789846                       6.645705                         0.0                             0.0                                0.0                         0.607174                0.742757              4.891941             5.034607               4.976472               4.956478           502              YES
60     88     148        -1221.762687             0.219071             0.191428               0.202228               3.984262                   5.498723                       9.482985                         0.0                             0.0                                0.0                          0.67569                0.671527              4.929656             5.083169                 5.0215               4.993318           506              YES
60     92     152         -1247.25461             0.330817             0.294902               0.308491               6.215745                   9.236858                      15.452603                         0.0                             0.0                                0.0                         0.695375                0.486169              5.017242             5.193295               5.124523               5.079044           510              YES
60     118    178        -1344.292063             0.178753             0.144495               0.154974               3.587854                   6.544091                      10.131945                         0.0                             0.0                                0.0                         0.727234                0.560115              5.145593             5.527004               5.401449               5.201038           513              YES
60     120    180        -1349.192996             0.135059               0.1027               0.112452               2.673818                   4.748358                       7.422176                         0.0                             0.0                                0.0                          0.72801                 0.60354               5.14983             5.544198               5.415934               5.204858           517              YES
60     134    194        -1366.560975             0.127815             0.126235                0.12666               2.626356                   7.024805                       9.651161                         0.0                             0.0                                0.0                         0.619227                0.578468              5.236223             5.772517               5.612129               5.287792           521              YES
