Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
4      20     24     -50.900442              -0.0           -0.0           0.0            11        YES            
10     36     46     -198.420016             0.097122       0.90084        0.0            36        YES            
12     12     24     -196.856445             0.3039         0.737923       0.0            319       YES            
16     28     44     -354.276103             -0.14624       -0.983308      0.0            321       YES            
22     14     36     -245.530714             0.010713       0.054296       0.0            326       YES            
32     46     78     -677.271653             0.161228       2.588847       0.0            331       YES            
34     48     82     -713.246562             0.127799       2.202474       0.0            334       YES            
34     62     96     -772.293605             -0.231275      -5.603433      0.0            337       YES            
34     66     100    -780.792364             -0.225128      -5.892441      0.0            341       YES            
36     48     84     -732.779369             0.080629       1.409951       0.0            346       YES            
36     54     90     -771.388843             0.132473       2.748091       0.0            350       YES            
36     60     96     -797.763578             -0.248344      -5.884215      0.0            353       YES            
40     34     74     -576.565394             -0.191662      -2.972576      0.0            356       YES            
40     70     110    -894.889801             0.381876       11.729017      0.0            61        YES            
42     64     106    -895.329531             -0.208407      -5.778181      0.0            360       YES            
44     34     78     -566.154587             0.137037       2.265674       0.0            366       YES            
44     68     112    -941.829137             -0.214574      -6.473554      0.0            368       YES            
52     62     114    -958.334046             0.260593       8.104956       0.0            374       YES            
52     92     144    -1151.855523            0.173216       7.891044       0.0            379       YES            
52     94     146    -1156.400599            0.220786       10.434699      0.0            383       YES            
54     88     142    -1165.412319            0.165434       7.239026       0.0            387       YES            
54     90     144    -1172.246423            0.186248       8.444354       0.0            391       YES            
54     92     146    -1178.478322            0.207424       9.699181       0.0            395       YES            
54     94     148    -1184.600583            0.23278        11.21538       0.0            399       YES            
56     54     110    -867.595127             0.205455       5.983521       0.0            403       YES            
56     56     112    -895.101213             0.225323       6.791837       0.0            406       YES            
56     58     114    -920.550724             0.248189       7.741559       0.0            410       YES            
56     86     142    -1176.608846            0.149552       6.479974       0.0            415       YES            
56     88     144    -1186.20944             0.181417       8.15095        0.0            419       YES            
56     90     146    -1194.715833            0.206032       9.581756       0.0            423       YES            
56     92     148    -1202.628753            0.238673       11.433636      0.0            427       YES            
56     136    192    -1263.092518            0.163609       12.528643      0.0            430       YES            
56     138    194    -1259.960804            0.18082        14.224636      0.0            434       YES            
58     56     114    -890.677041             0.256795       8.044599       0.0            439       YES            
58     66     124    -1018.452293            0.353788       12.88826       0.0            82        YES            
58     84     142    -1181.903765            0.096619       4.082493       0.0            443       YES            
58     86     144    -1193.214158            0.154196       6.862911       0.0            447       YES            
58     88     146    -1204.22281             0.193725       8.924779       0.0            451       YES            
58     90     148    -1214.593474            0.241531       11.464676      0.0            455       YES            
58     132    190    -1309.731675            0.109488       8.003522       0.0            458       YES            
58     134    192    -1307.677185            0.14155        10.645611      0.0            462       YES            
58     136    194    -1305.524967            0.164377       12.729939      0.0            466       YES            
58     138    196    -1303.177116            0.185404       14.753528      0.0            470       YES            
60     68     128    -1044.736539            0.36063        13.889774      0.0            103       YES            
60     86     146    -1207.704982            0.155422       7.085221       0.0            475       YES            
60     88     148    -1220.142517            0.207605       9.787941       0.0            479       YES            
60     132    192    -1348.797214            0.096844       7.184342       0.0            482       YES            
60     134    194    -1347.230826            0.133959       10.226938      0.0            486       YES            
60     136    196    -1345.664864            0.163598       12.842055      0.0            490       YES            
60     138    198    -1344.700704            0.239419       19.281546      0.0            494       YES            
62     86     148    -1220.365678            0.15814        7.352938       0.0            499       YES            
62     88     150    -1234.384843            0.221169       10.683524      0.0            503       YES            
62     132    194    -1385.835826            0.080678       6.055759       0.0            506       YES            
62     134    196    -1384.789196            0.130474       10.103969      0.0            510       YES            
62     136    198    -1383.958377            0.17434        13.843405      0.0            514       YES            
