Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
12     2      14     7.697941                -0.347216      -1.169394      0.0            86        YES            
12     14     26     -211.275556             -0.16352       -0.443807      0.0            90        YES            
16     4      20     -19.25017               -0.014837      -0.067187      0.0            10        YES            
24     36     60     -510.862654             0.060285       0.594993       0.0            96        YES            
26     24     50     -417.550408             0.215898       1.691983       0.0            99        YES            
26     34     60     -524.004962             0.132267       1.372628       0.0            104       YES            
26     36     62     -537.382875             0.091325       0.985644       0.0            107       YES            
46     36     82     -596.766725             0.111169       1.948891       0.0            111       YES            
52     72     124    -1050.10194             -0.120137      -4.138853      0.0            114       YES            
52     74     126    -1065.73274             0.108737       3.805397       0.0            120       YES            
56     56     112    -898.248159             0.228394       6.836678       0.0            123       YES            
56     78     134    -1126.020265            -0.095012      -3.674793      0.0            126       YES            
56     90     146    -1198.040027            0.200178       9.296591       0.0            131       YES            
56     118    174    -1275.649511            0.145683       9.399687       0.0            135       YES            
58     88     146    -1207.885674            0.184902       8.509806       0.0            140       YES            
58     90     148    -1218.226189            0.229205       10.890103      0.0            144       YES            
60     60     120    -949.831046             0.390678       13.590838      0.0            40        YES            
60     74     134    -1110.425146            -0.239141      -9.527798      0.0            145       YES            
60     86     146    -1212.054622            0.144756       6.569401       0.0            151       YES            
60     88     148    -1224.389269            0.197949       9.323791       0.0            156       YES            
60     136    196    -1365.730157            -0.10567       -8.383491      0.0            158       YES            
60     138    198    -1365.679673            -0.119622      -9.764582      0.0            162       YES            
60     140    200    -1365.010965            -0.153031      -12.820678     0.0            165       YES            
62     134    196    -1401.734367            -0.090717      -7.075754      0.0            173       YES            
62     136    198    -1403.110681            0.116215       9.29343        0.0            179       YES            
62     138    200    -1403.317753            -0.139959      -11.541137     0.0            182       YES            
64     132    196    -1434.890166            -0.068146      -5.248403      0.0            186       YES            
64     134    198    -1436.520203            -0.094938      -7.487122      0.0            190       YES            
64     136    200    -1437.99867             -0.127947      -10.366532     0.0            194       YES            
66     88     154    -1262.396503            0.217199       10.868251      0.0            200       YES            
66     132    198    -1466.794542            -0.074428      -5.773235      0.0            202       YES            
66     134    200    -1469.124288            -0.108618      -8.642474      0.0            206       YES            
66     136    202    -1471.511038            -0.141606      -11.581837     0.0            210       YES            
68     92     160    -1304.93526             0.285543       15.450059      0.0            215       YES            
68     132    200    -1492.122537            0.386506       32.313546      0.0            219       YES            
70     136    206    -1532.619356            -0.142266      -11.829832     0.0            230       YES            
72     130    202    -1541.551652            0.434803       37.234683      0.0            239       YES            
74     96     170    -1362.66914             0.292536       17.52652       0.0            244       YES            
74     98     172    -1380.629128            0.313485       19.230553      0.0            248       YES            
74     136    210    -1586.960549            -0.118104      -10.001851     0.0            250       YES            
76     98     174    -1386.488707            0.301469       18.817025      0.0            256       YES            
80     96     176    -1369.519631            -0.319949      -20.706375     0.0            258       YES            
86     134    220    -1689.332445            -0.312701      -29.554401     0.0            265       YES            
86     136    222    -1700.470565            -0.334001      -32.305746     0.0            269       YES            
88     136    224    -1712.901035            -0.331995      -32.506071     0.0            285       YES            
88     138    226    -1724.405142            -0.343763      -34.339598     0.0            289       YES            
88     140    228    -1735.228099            -0.347592      -35.350037     0.0            293       YES            
88     196    284    -1889.637061            0.461068       72.635659      0.0            299       YES            
88     198    286    -1890.690392            0.459812       73.445478      0.0            303       YES            
88     200    288    -1891.592885            0.458787       74.286091      0.0            307       YES            
88     202    290    -1893.049058            -0.235079      -36.380855     0.0            310       YES            
90     134    224    -1711.212044            -0.303113      -29.34351      0.0            321       YES            
90     136    226    -1723.787633            -0.325223      -32.20323      0.0            325       YES            
90     138    228    -1736.086877            0.402977       40.777077      0.0            332       YES            
90     194    284    -1918.53688             0.462883       72.409888      0.0            335       YES            
90     196    286    -1920.331612            0.463427       73.552435      0.0            339       YES            
90     198    288    -1921.931146            0.465278       74.959907      0.0            343       YES            
90     200    290    -1923.507452            -0.261956      -40.492429     0.0            345       YES            
90     202    292    -1925.060565            -0.261727      -41.020152     0.0            350       YES            
92     134    226    -1719.806617            -0.305949      -30.037893     0.0            361       YES            
92     136    228    -1733.258811            0.393657       39.632373      0.0            367       YES            
92     138    230    -1746.529083            0.409384       42.078195      0.0            372       YES            
92     192    284    -1944.411282            0.472405       73.584633      0.0            375       YES            
92     194    286    -1946.997808            0.472548       74.657869      0.0            379       YES            
