Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            -30.074329             0.001343             0.001357                0.00135               0.000208                    0.00026                       0.000468                         0.0                             0.0                                0.0                         3.396105                3.471254              1.944755             1.939448               1.942103               2.113758           654              YES
2      2      4            -30.065748             -0.00313            -0.002916              -0.003023              -0.000527                  -0.000444                      -0.000971                         0.0                             0.0                                0.0                         3.394334                3.468719              1.943563             1.938319               1.940942               2.112661           652              YES
2      2      4            -30.063919              0.00139             0.001315               0.001352               0.000245                   0.000224                       0.000469                         0.0                             0.0                                0.0                         3.384488                3.476632              1.944538             1.939444               1.941992               2.113558           655              YES
2      2      4            -30.003656            -0.001732            -0.001618              -0.001675              -0.000245                  -0.000213                      -0.000458                         0.0                             0.0                                0.0                         3.340967                 3.42763              1.943806             1.938699               1.941254               2.112885           653              YES
22     44     66          -517.019254             0.099225             0.076026               0.082693               0.326929                   0.691082                       1.018011                         0.0                             0.0                                0.0                         1.063219                 0.57437              3.709903             4.131156               3.995676               3.785919           659              YES
22     44     66          -517.016447             0.095212             0.072251               0.078848               0.312221                   0.656279                         0.9685                         0.0                             0.0                                0.0                         1.068124                0.578665              3.709453             4.130881               3.995347               3.785478           658              YES
22     44     66          -516.702268            -0.006723            -0.006969              -0.006898              -0.020076                  -0.064356                      -0.084432                         0.0                             0.0                                0.0                         1.079662                0.638104              3.704757             4.124347                3.98939               3.780876           657              YES
22     44     66          -516.648031            -0.011163            -0.010938              -0.011003              -0.033312                  -0.100709                       -0.13402                         0.0                             0.0                                0.0                         1.083004                0.636665              3.704701             4.122772               3.988287               3.780821           656              YES
24     24     48          -409.194261            -0.039406            -0.038897              -0.039156              -0.127488                  -0.122155                      -0.249643                         0.0                             0.0                                0.0                         0.944158               -0.921371              3.565108             3.513058               3.539179                3.66004           660              YES
24     24     48          -409.174568            -0.035452            -0.035274              -0.035364              -0.113797                  -0.110203                         -0.224                         0.0                             0.0                                0.0                         0.944264                0.917043              3.565258             3.513028                3.53924               3.660186           662              YES
24     24     48          -409.174419            -0.039314              -0.0389               -0.03911              -0.127047                  -0.121942                      -0.248989                         0.0                             0.0                                0.0                         0.939828                0.918471              3.565272             3.513144               3.539304                 3.6602           661              YES
24     24     48          -360.997473             1.449711              1.45236               1.451035              50.141594                  50.144587                     100.286182                         0.0                             0.0                                0.0                         1.057297                1.048978              10.68685             10.67746              10.682156              10.718893           663              YES
24     28     52          -458.646281              0.10004             0.069515               0.083445               0.322216                   0.345419                       0.667636                         0.0                             0.0                                0.0                         0.665591                0.810242              3.583259             3.620878               3.603564               3.675091           666              YES
24     28     52          -458.552454            -0.006446            -0.004628              -0.005457              -0.020083                  -0.022685                      -0.042768                         0.0                             0.0                                0.0                         0.690177                0.863273              3.576594             3.616048               3.597892               3.668593           665              YES
24     28     52          -458.547213            -0.012088            -0.008709               -0.01025              -0.037722                  -0.042599                      -0.080321                         0.0                             0.0                                0.0                         0.689559                0.862592              3.576565             3.615957               3.597829               3.668564           664              YES
24     28     52          -403.139174             1.082549             1.022607               1.051236              10.299495                  11.370744                      21.670239                         0.0                             0.0                                0.0                          0.85587                0.688929              5.796427             5.612334               5.698039               5.853641           667              YES
26     46     72          -599.322418             0.179229             0.142317               0.154349               0.799053                    1.39331                       2.192362                         0.0                             0.0                                0.0                         0.827399                0.435703              3.847828             4.159689               4.049844               3.924586           670              YES
26     46     72          -599.316543             0.179473             0.142596               0.154618               0.800313                   1.396146                       2.196459                         0.0                             0.0                                0.0                         0.828214                0.433595              3.847874              4.15956               4.049775               3.924631           671              YES
26     46     72          -597.990746            -0.024369            -0.019143              -0.020847              -0.099413                  -0.177729                      -0.277143                         0.0                             0.0                                0.0                         0.932422                0.591574              3.830381             4.139843               4.030834               3.907481           669              YES
26     46     72          -597.934688            -0.028666            -0.023052              -0.024883               -0.11754                  -0.214461                      -0.332001                         0.0                             0.0                                0.0                         0.925297                0.589969              3.830436             4.139073               4.030348               3.907536           668              YES
30     44     74          -642.735412             0.178502             0.159843               0.166993               0.997149                   1.469976                       2.467125                         0.0                             0.0                                0.0                         0.885616                0.449696              3.935562             4.123256               4.048213               4.015018           674              YES
30     44     74          -642.734246             0.178576             0.159985               0.167109               0.997653                   1.471268                       2.468921                         0.0                             0.0                                0.0                         0.885585                0.450709               3.93558             4.123201               4.048187               4.015036           675              YES
30     44     74          -641.871466             -0.00294            -0.002995              -0.002974              -0.015337                   -0.02649                      -0.041828                         0.0                             0.0                                0.0                         0.960295                 0.48973              3.913793             4.100439               4.025814               3.993682           673              YES
30     44     74           -641.82798            -0.009095            -0.008399              -0.008666              -0.047238                  -0.074067                      -0.121305                         0.0                             0.0                                0.0                         0.956084                 0.48973              3.913683             4.099869               4.025426               3.993574           672              YES
30     46     76          -657.051259             0.158775             0.135323               0.144005                0.87677                   1.310885                       2.187655                         0.0                             0.0                                0.0                         0.782496                0.455748              3.948065              4.15854               4.076757               4.026314           679              YES
30     46     76          -657.051065             0.158735             0.135286               0.143967               0.876552                   1.310461                       2.187014                         0.0                             0.0                                0.0                         0.779113                0.457543              3.948061             4.158652               4.076824               4.026309           678              YES
30     46     76          -656.062448            -0.009997            -0.009229              -0.009513              -0.053811                  -0.084491                      -0.138303                         0.0                             0.0                                0.0                         0.880898                0.510178              3.928239             4.139986               4.057722               4.006875           677              YES
30     46     76          -656.027604            -0.018424            -0.016785              -0.017392              -0.099311                  -0.154089                        -0.2534                         0.0                             0.0                                0.0                         0.876978                0.509631              3.928312             4.139561               4.057487               4.006946           676              YES
32     44     76          -662.297093             0.207786             0.194128               0.199645               1.325689                   1.812168                       3.137857                         0.0                             0.0                                0.0                         0.826419                0.540306              4.001221             4.145077               4.085123               4.080702           683              YES
32     44     76          -662.292259             0.207812             0.194133               0.199658               1.325852                   1.812232                       3.138083                         0.0                             0.0                                0.0                         0.824772                0.538434              4.001237             4.145155               4.085176               4.080719           682              YES
32     44     76          -662.205262             0.205557              0.19049               0.196578               1.307785                   1.775234                        3.08302                         0.0                             0.0                                0.0                          0.82547                0.538185              4.000389             4.143201               4.083678               4.079887           681              YES
32     44     76          -660.932511            -0.051448            -0.046095              -0.048259              -0.330684                  -0.415575                      -0.746259                         0.0                             0.0                                0.0                         0.922157                 0.66585              3.974961             4.115021               4.056637               4.054957           680              YES
32     46     78          -678.743609             0.184045             0.158849               0.168695               1.153856                   1.577082                       2.730938                         0.0                             0.0                                0.0                          0.73152                0.549142              4.011141             4.177154               4.109857               4.089543           686              YES
