Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
26     36     62          -537.146848             0.140823             0.119046                0.12769               0.601692                    0.81143                       1.413122                         0.0                             0.0                                0.0                         0.959195                 0.86476              3.726742                3.904               3.830665               3.811805           255              YES
26     36     62          -537.139463             0.141168             0.119364               0.128018               0.603238                   0.813763                       1.417001                         0.0                             0.0                                0.0                         0.955408                 0.86305              3.726781             3.903946               3.830649               3.811843           256              YES
26     36     62          -537.079506             0.139879             0.116505               0.125785               0.596617                   0.792244                       1.388861                         0.0                             0.0                                0.0                         0.949773                0.857669              3.726536             3.902767               3.829851               3.811603           254              YES
26     36     62          -536.828725            -0.105613            -0.104687              -0.105054              -0.469976                  -0.693847                      -1.163823                         0.0                             0.0                                0.0                         0.946202                0.902296               3.72286             3.902755               3.828345               3.808009           253              YES
32     70     102         -744.831987             0.269994              0.24074               0.248459               2.037457                   4.939864                       6.977321                         0.0                             0.0                                0.0                          0.82461                0.633115              4.275967             4.829069               4.662615               4.339576           259              YES
32     70     102         -744.789629             0.270308             0.242011                0.24948               2.040277                   4.963832                       7.004109                         0.0                             0.0                                0.0                          0.82352                0.633599              4.276164             4.828068               4.661961               4.339771           260              YES
32     70     102         -743.272903            -0.234087            -0.201321              -0.209994              -1.716677                  -4.113768                      -5.830445                         0.0                             0.0                                0.0                         0.936536                0.637644              4.276204             4.818806               4.655391                4.33981           258              YES
32     70     102         -743.195128            -0.235768            -0.205471              -0.213495              -1.730777                  -4.195031                      -5.925807                         0.0                             0.0                                0.0                         0.937491                0.639552               4.27728             4.818005               4.655132                4.34087           257              YES
34     78     112         -795.000268             0.224563             0.182653               0.193268               1.828685                   4.449712                       6.278397                         0.0                             0.0                                0.0                         0.747538                0.623042              4.388829             4.975428               4.804929               4.449435           263              YES
34     78     112         -794.960389             0.224266             0.183165               0.193579               1.825942                   4.460058                          6.286                         0.0                             0.0                                0.0                         0.754194                0.624264              4.388848             4.974214               4.804059               4.449454           264              YES
34     78     112         -794.020692            -0.226116            -0.193393              -0.201706              -1.843988                  -4.700047                      -6.544035                         0.0                             0.0                                0.0                         0.815659                0.603077              4.391154               4.9679               4.800147               4.451729           262              YES
34     78     112          -793.90546            -0.227141             -0.19651              -0.204296              -1.853717                  -4.774304                      -6.628021                         0.0                             0.0                                0.0                          0.81648                0.600347              4.391811             4.966823               4.799554               4.452376           261              YES
