 Nrows 
   198 
    Z     N          Q20                 Q30           beta2       beta3
     4     4      0.0002696207      0.0007920569    0.000773        0.03 
     6     4      0.0004037322      0.0012375888    0.000798        0.03 
    12     2     -0.0244251712      0.0024256741   -0.027555        0.03 
    14    16        6.3143e-06      0.0111382995       2e-06        0.03 
    14    24      0.7359980048      0.0178707828     0.15721        0.03 
    46    58      2.8649448891      0.1338576087     0.11428        0.03 
    50    62       2.040485273      0.1552431438    0.071936        0.03 
    52    60      3.3968849236      0.1552431438    0.119755        0.03 
    52    62      3.5457354888      0.1608370453    0.121369        0.03 
    52    64     -3.9459725445       0.166529954    -0.13121        0.03 
    52    68     -3.5697152768      0.1782127926   -0.112178        0.03 
    56    64     10.1173860799      0.1782127926    0.317938        0.03 
    56    88      7.1632268976      0.2566264213    0.166117        0.03 
    56    90      8.3693790975      0.2638044366    0.189677        0.03 
    56    94     11.3458904676      0.2784574884    0.245808        0.03 
    56   102      14.047117833      0.3089516774    0.279084        0.03 
    58    92     12.5763579385      0.2784574884    0.272466        0.03 
    58    94     13.9130415666       0.285932525    0.294844        0.03 
    58    96      14.655654807      0.2935065687    0.303888        0.03 
    58    98     15.2037735622      0.3011796195    0.308546        0.03 
    58   100     15.6542485622      0.3089516774    0.311014        0.03 
    58   112     14.4994526144       0.357663174    0.254984        0.03 
    58   114     13.2784573002      0.3661282817    0.229004        0.03 
    60    90     12.2234836113      0.2784574884    0.264821        0.03 
    60    92     14.2731789044       0.285932525    0.302476        0.03 
    60    94     15.2990051042      0.2935065687    0.317228        0.03 
    60    96     15.9964693201      0.3011796195    0.324633        0.03 
    60    98     16.5319543453      0.3089516774    0.328452        0.03 
    60   100      17.009926552      0.3168227424    0.330937        0.03 
    60   106     18.5271021718      0.3410299801    0.339003        0.03 
    60   116     14.6850453383      0.3833555183    0.243742        0.03 
    62    90     13.4369166008       0.285932525    0.284754        0.03 
    62    96     16.7688714872      0.3089516774    0.333159        0.03 
    62    98     17.2987391577      0.3168227424    0.336556        0.03 
    62   100     17.7694613507      0.3247928145     0.33863        0.03 
    62   114     18.0904609731      0.3833555183    0.300265        0.03 
    62   118     13.8616327478      0.4009787833    0.221617        0.03 
    62   122      3.9946826181      0.4189980768    0.061569        0.03 
    62   134     11.9552376584      0.4754321278    0.165847        0.03 
    64    90     13.5622968918      0.2935065687    0.281217        0.03 
    64    92     15.3437653971      0.3011796195    0.311387        0.03 
    64    94     16.3071171086      0.3089516774    0.323985        0.03 
    64    98     17.5079806021      0.3247928145    0.333647        0.03 
    66    86       8.093416601       0.285932525    0.171515        0.03 
    66    90     13.1341019503      0.3011796195    0.266544        0.03 
    66    92     14.9817501697      0.3089516774    0.297653        0.03 
    66    94     16.1265269695      0.3168227424     0.31375        0.03 
    68    86      7.8956539702      0.2935065687    0.163718        0.03 
    68    90     12.5533368816      0.3089516774    0.249406        0.03 
    68    96     16.6673677921      0.3328618937    0.311198        0.03 
    70    86      7.4615500174      0.3011796195    0.151425        0.03 
    70    94     15.0083327574      0.3328618937    0.280222        0.03 
    72    86      6.8436186611      0.3089516774    0.135967        0.03 
    72    88      9.2844591955      0.3168227424    0.180634        0.03 
    72   132      8.5338938035      0.5150349706    0.110749        0.03 
    74    86      5.9327629496      0.3168227424    0.115425        0.03 
    74    88      8.3587256534      0.3247928145    0.159291        0.03 
    74    94     12.5397006659      0.3492970735    0.224913        0.03 
    76    88       7.138306735      0.3328618937     0.13328        0.03 
    76    92      9.8736768859      0.3492970735    0.177095        0.03 
    76    94     11.0202185911       0.357663174    0.193799        0.03 
    76   134      9.0422750916      0.5457766773    0.111812        0.03 
    78    90      7.0062154899      0.3492970735    0.125664        0.03 
    78    92      8.1863928568       0.357663174    0.143964        0.03 
    78    94      9.1950261073      0.3661282817     0.15858        0.03 
    78    96     10.2010032932      0.3746923964    0.172572        0.03 
    84   138     10.0324171055      0.6099332827    0.113082        0.03 
    86   132       8.255738724      0.5881517191    0.095919        0.03 
    86   140     16.4197867521      0.6321108746    0.179651        0.03 
    86   192     11.4526813531      0.9564581572    0.088731        0.03 
    86   194     14.1856863247      0.9702696486      0.1086        0.03 
    86   196     16.3351838707      0.9841801471    0.123581        0.03 
    86   198     18.3086473347      0.9981896528    0.136889        0.03 
    86   200     20.3174590702      1.0122981655    0.150142        0.03 
    86   202     22.1682064708      1.0265056854    0.161927        0.03 
    88   130      7.3400410595      0.5881517191     0.08528        0.03 
    88   132     10.8681667148      0.5989929973    0.124364        0.03 
    88   134      13.326962738      0.6099332827    0.150217        0.03 
    88   140      19.363568287      0.6433481813    0.208771        0.03 
    88   190     10.2246910183      0.9564581572    0.079217        0.03 
    88   192     13.9945844914      0.9702696486    0.107137        0.03 
    88   194     16.8124930765      0.9841801471    0.127192        0.03 
    88   196     19.3074783459      0.9981896528    0.144357        0.03 
    88   198     21.8437516522      1.0122981655    0.161421        0.03 
    88   200     24.1501435478      1.0265056854    0.176404        0.03 
    88   202     26.1315248413      1.0408122123    0.188688        0.03 
    88   204     27.8085034091      1.0552177464     0.19851        0.03 
    90   134     15.7402986115      0.6209725751    0.174787        0.03 
    90   136     18.2331280035      0.6321108746    0.199491        0.03 
    90   138     20.2252183695      0.6433481813    0.218061        0.03 
    90   190     11.8817532179      0.9702696486    0.090962        0.03 
    90   192     15.9979875861      0.9841801471     0.12103        0.03 
    90   194     19.1860350468      0.9981896528    0.143449        0.03 
    90   196     22.2215696227      1.0122981655    0.164213        0.03 
    90   198     25.0170099961      1.0265056854    0.182736        0.03 
    90   200     27.3465033637      1.0408122123    0.197461        0.03 
    92   128              -0.0      0.5989929973        -0.0        0.03 
    92   130     10.9820553565      0.6099332827    0.123786        0.03 
    92   132     14.6522641019      0.6209725751    0.162705        0.03 
    92   134     17.7519162248      0.6321108746    0.194226        0.03 
    92   188              -0.0      0.9702696486        -0.0        0.03 
    92   190     13.2824405567      0.9841801471    0.100486        0.03 
    92   192     17.7913095801      0.9981896528    0.133021        0.03 
    92   194     21.3813576676      1.0122981655    0.158004        0.03 
    92   196     24.6614742781      1.0265056854    0.180139        0.03 
    92   198     27.4367992712      1.0408122123    0.198113        0.03 
    94   128              -0.0      0.6099332827        -0.0        0.03 
    94   130     12.2529507897      0.6209725751    0.136062        0.03 
    94   132     16.2882646724      0.6321108746    0.178212        0.03 
    94   134     19.4666138458      0.6433481813    0.209882        0.03 
    94   188       0.132182001      0.9841801471       0.001        0.03 
    94   190     14.3590651492      0.9981896528    0.107359        0.03 
    94   192     19.2684458513      1.0122981655     0.14239        0.03 
    94   194     23.0754591481      1.0265056854    0.168554        0.03 
    94   196     26.3359370491      1.0408122123    0.190164        0.03 
    94   242     25.0869574664       1.397188294    0.141729        0.03 
    96   128              -0.0      0.6209725751        -0.0        0.03 
    96   130     13.3417679353      0.6321108746    0.145974        0.03 
    96   188      0.1364230894      0.9981896528     0.00102        0.03 
    96   190     15.0698218649      1.0122981655    0.111363        0.03 
    96   192     20.3357668924      1.0265056854    0.148542        0.03 
    96   194      24.389173902      1.0408122123    0.176107        0.03 
    98   128              -0.0      0.6321108746        -0.0        0.03 
    98   186              -0.0      0.9981896528        -0.0        0.03 
    98   188      0.1484478201      1.0122981655    0.001097        0.03 
    98   190     15.3433444713      1.0265056854    0.112075        0.03 
    98   192     20.9112580656      1.0408122123    0.150994        0.03 
    98   262      7.7538188175      1.6039151334    0.039047        0.03 
   100   128               0.0      0.6433481813         0.0        0.03 
   100   186              -0.0      1.0122981655        -0.0        0.03 
   100   188      0.1470332542      1.0265056854    0.001074        0.03 
   100   190     15.1889626631      1.0408122123    0.109675        0.03 
   100   262      7.8181303992      1.6217859162    0.039009        0.03 
   100   264     14.4022553256      1.6397557061    0.071204        0.03 
   102   128              -0.0       0.654684495        -0.0        0.03 
   102   186              -0.0      1.0265056854        -0.0        0.03 
   102   188              -0.0      1.0408122123        -0.0        0.03 
   102   190     14.6744454063      1.0552177464    0.104753        0.03 
   102   262     -0.4421567628      1.6397557061   -0.002186        0.03 
   104   186              -0.0      1.0408122123        -0.0        0.03 
   104   188              -0.0      1.0552177464        -0.0        0.03 
   104   190     13.8801343174      1.0697222876    0.097962        0.03 
   104   262     -0.0412328784      1.6578245031   -0.000202        0.03 
   106   188     -0.0867136461      1.0697222876   -0.000612        0.03 
   106   190     12.8019076861      1.0843258358    0.089337        0.03 
   108   190     11.3066685315      1.0990283912    0.078022        0.03 
   108   192     16.9329622874      1.1138299537    0.115551        0.03 
   110   166     28.2497515999      0.9427456728    0.221518        0.03 
   110   190      9.0707430713      1.1138299537    0.061899        0.03 
   110   192     15.5058470517      1.1287305233    0.104647        0.03 
   110   194     54.9287001006         1.1437301    0.366651        0.03 
   110   196     54.4128806092      1.1588286839     0.35926        0.03 
   110   230     39.1943225042      1.4306526961    0.217104        0.03 
   112   192     13.7459951772         1.1437301    0.091755        0.03 
   112   194     18.0594239414      1.1588286839    0.119237        0.03 
   114   160     28.6575336117      0.9291321956    0.227456        0.03 
   114   164     27.5569859639      0.9564581572    0.213501        0.03 
   114   166     26.6154041295      0.9702696486    0.203757        0.03 
   114   192      11.664706377      1.1588286839    0.077016        0.03 
   114   194      16.035233653      1.1740262748    0.104729        0.03 
   116   168     23.3066810865      0.9981896528    0.174258        0.03 
   116   192      9.6258254094      1.1740262748    0.062868        0.03 
   116   194     13.8572302992      1.1893228728    0.089533        0.03 
   116   196     17.0344514434       1.204718478    0.108888        0.03 
   116   220     36.7998330915       1.397188294    0.207901        0.03 
   116   222     36.5703438308      1.4138709915    0.204571        0.03 
   116   224     36.2097596236      1.4306526961    0.200572        0.03 
   118   194    -11.7797843586       1.204718478   -0.075299        0.03 
   118   196      14.845896801      1.2202130902    0.093893        0.03 
   118   198     17.5131250899      1.2358067096    0.109596        0.03 
   118   200     20.0128352541       1.251499336    0.123929        0.03 
   118   202     22.5389399334      1.2672909696    0.138121        0.03 
   118   220     36.6774246778      1.4138709915     0.20517        0.03 
   118   222     36.1660707646      1.4306526961     0.20033        0.03 
   118   270     16.0417282002      1.8631157395    0.071303        0.03 
   118   272     20.3250790263      1.8823726218    0.089571        0.03 
   118   274     23.8429475676      1.9017285112    0.104182        0.03 
   120   198    -14.3671128379       1.251499336   -0.088968        0.03 
   120   202     20.3151006058      1.2831816103    0.123207        0.03 
   120   218     37.5524843541      1.4138709915    0.210065        0.03 
   120   220     37.2052156921      1.4306526961    0.206086        0.03 
   120   222      36.462996988      1.4475334079     0.20001        0.03 
   120   270     10.5565788756      1.8823726218    0.046522        0.03 
   120   272     15.9420618208      1.9017285112    0.069659        0.03 
   120   274     20.6547764898      1.9211834078    0.089489        0.03 
   120   276     25.4106115361      1.9407373114    0.109169        0.03 
    14     2     -0.3358015239      0.0031682274   -0.303244        0.03 
    84   136      8.0060576794      0.5989929973    0.091613        0.03 
    86   134     10.6719762234      0.5989929973    0.122119        0.03 
    86   136      12.682159785      0.6099332827    0.142949        0.03 
    86   138     14.5992221945      0.6209725751    0.162116        0.03 
    88   136      15.632863984      0.6209725751    0.173594        0.03 
    88   138     17.6480878145      0.6321108746     0.19309        0.03 
    90   130      9.4367189423      0.5989929973    0.107984        0.03 
    90   132     12.8925990537      0.6099332827    0.145321        0.03 
   120   194    -10.5940248736      1.2202130902   -0.067002        0.03 
   120   196     -12.688370666      1.2358067096   -0.079403        0.03 
   120   200     17.2989843857      1.2672909696     0.10601        0.03 
