Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
4      4      8      1113.155518         -55.548275          1057.607243         0.282329       19.218393      0.147517       NO
6      4      10     1022.478751         -64.966685          957.512066          -0.498203      -18.137122     -0.632441      NO
12     2      14     0.001203            -0.093867           -0.092664           -0.00886       0.010005       -0.165062      YES
14     2      16     0.951631            12.347738           13.299369           -0.08918       0.009999       0.270342       YES
14     16     30     0.032466            -258.023257         -257.990791         4e-06          0.010001       -0.204301      YES
14     24     38     0.079737            -303.068149         -302.988412         0.141262       0.01           -0.017143      YES
46     58     104    -0.00209            -892.994859         -892.996949         0.112475       0.01           -0.007402      YES
50     62     112    0.020929            -953.650609         -953.62968          0.069072       0.01           -0.008749      YES
52     60     112    0.022279            -941.133181         -941.110902         0.116919       0.01           -0.010023      YES
52     62     114    0.00984             -961.232145         -961.222305         0.118254       0.01           -0.009289      YES
52     64     116    0.011954            -980.676033         -980.664079         -0.127519      0.01           -0.006335      YES
52     68     120    0.002017            -1017.126866        -1017.124849        -0.109573      0.01           -0.006825      YES
56     64     120    0.078386            -993.155588         -993.077202         0.299546       0.01           -0.04838       YES
56     88     144    0.031793            -1189.736809        -1189.705016        0.160683       0.01           -0.006884      YES
56     90     146    0.019031            -1198.963681        -1198.94465         0.181338       0.01           -0.01952       YES
56     94     150    0.055074            -1215.922444        -1215.86737         0.231297       0.01           -0.015266      YES
56     102    158    0.160188            -1244.692336        -1244.532148        0.259059       0.01           -0.023185      YES
58     92     150    0.168265            -1229.253911        -1229.085646        0.258045       0.01           -0.026753      YES
58     94     152    0.213204            -1239.330043        -1239.116839        0.27756        0.01           -0.028624      YES
58     96     154    0.223663            -1248.68586         -1248.462197        0.284746       0.01           -0.029529      YES
58     98     156    0.228169            -1257.441866        -1257.213697        0.288199       0.01           -0.02965       YES
58     100    158    0.246759            -1265.521298        -1265.274539        0.289861       0.01           -0.029201      YES
58     112    170    0.117564            -1301.373816        -1301.256252        0.235238       0.01           -0.027726      YES
