 Nrows 
   233 
    Z     N          Q20                 Q30           beta2       beta3
    12     2      -0.243258927       0.000808558    -0.27443        0.01 
    12    14     -0.4011101156      0.0027887002   -0.161269        0.01 
    16     4     -0.0238316017      0.0016501184   -0.014837        0.01 
    24    36      0.5944097021       0.014851066    0.059303        0.01 
    26    24      1.5937168671      0.0103132403    0.215462        0.01 
    26    34       1.328714118       0.014851066    0.132563        0.01 
    26    36      0.9655532355      0.0158576383    0.091208        0.01 
    46    36      1.8650563211      0.0277384911    0.110555        0.01 
    52    72      4.6613462194      0.0634305532    0.138692        0.01 
    52    74      3.7839297635      0.0654932013    0.109623        0.01 
    56    56      6.4734406631      0.0517477146    0.228217        0.01 
    56    78      4.9339901971      0.0740738172    0.129003        0.01 
    56    90      8.8212126986      0.0879348122    0.199917        0.01 
    56   118      8.5046192186      0.1248974655    0.143874        0.01 
    58    88        8.14500665      0.0879348122    0.184592        0.01 
    58    90     10.3368615529      0.0903604863    0.229014        0.01 
    60    60     12.4321099049      0.0594042642    0.390678        0.01 
    60    74      8.7461548051      0.0740738172    0.228675        0.01 
    60    86      6.3778254269      0.0879348122    0.144542        0.01 
    60    88      8.9100104983      0.0903604863    0.197402        0.01 
    60   136      8.8049377063      0.1584773759    0.122145        0.01 
    60   138      9.7714913282      0.1617281093    0.133279        0.01 
    60   140     10.6053761382       0.165011845     0.14225        0.01 
    62   134      6.8753411406      0.1584773759    0.095377        0.01 
    62   136      8.0871281369      0.1617281093    0.110305        0.01 
    62   138    -10.0782758971       0.165011845    -0.13518        0.01 
    64   132      5.4008952292      0.1584773759    0.074923        0.01 
    64   134     -6.5933133888      0.1617281093    -0.08993        0.01 
    64   136      -9.344510611       0.165011845   -0.125338        0.01 
    66    88     10.4560338262      0.0978355229    0.216808        0.01 
    66   132      5.8657981129      0.1617281093    0.080007        0.01 
    66   134     -7.9440790793       0.165011845   -0.106554        0.01 
    66   136    -10.6042849135      0.1683285831   -0.139896        0.01 
    68    92     14.7105793521      0.1056075808    0.286202        0.01 
    68   132       6.854987096       0.165011845    0.091946        0.01 
    70   136     13.8363695092      0.1750610664    0.176666        0.01 
    72   130      4.3855543257      0.1683285831    0.057856        0.01 
    74    96     16.5564569711       0.119221058    0.291158        0.01 
    74    98     18.1440281524      0.1220427606    0.312917        0.01 
    74   136     12.7785659325      0.1819255591    0.158013        0.01 
