Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
12     2      14          1757.852564             0.062831             0.062697               0.062764              25.373515                  25.472395                       50.84591                    0.916095                         0.15192                           1.068014                             -0.0                     0.0              6.577045             6.570333              67.725733               6.628913             1               NO
12     14     26          -211.223208            -0.155593            -0.143847              -0.149113              -0.204278                  -0.232401                      -0.436678                    0.001302                        0.001487                           0.002789                         0.878653                1.259925                2.9449             3.024473                2.98801               3.055975             2              YES
16     4      20           -19.231795            -0.005397            -0.004584              -0.005335              -0.019961                  -0.001398                       -0.02136                    0.001641                           9e-06                            0.00165                         1.304301                0.770105              4.280478             2.458874               3.983366               4.369836             3              YES
24     36     60          -510.812259             0.070767              0.05393                0.06011               0.287355                    0.37768                       0.665034                    0.005602                        0.009248                           0.014851                         0.796911                0.851943              3.662113             3.926811               3.823132               3.746854             4               NO
26     24     50          -417.471087              0.19945             0.211548               0.205105               0.868332                   0.808342                       1.676673                    0.005474                        0.004839                           0.010313                         0.650931                0.821099              3.643205              3.55249               3.599947               3.737349             5              YES
26     34     60          -523.954956             0.138488             0.121225               0.128377               0.621967                   0.769719                       1.391686                    0.006457                        0.008394                           0.014851                         0.751185                0.759619              3.700288             3.847466               3.784392               3.787124             6              YES
26     36     62          -537.333812             0.099228             0.083255               0.089567                0.45098                   0.579132                       1.030111                    0.006745                        0.009113                           0.015858                         0.813702                0.768285              3.722362             3.913618               3.834576               3.807523             7              YES
46     36     82          -596.747762             0.104938             0.109642               0.106871                 1.1334                   0.826103                       1.959503                    0.015982                        0.011757                           0.027739                         0.683119                0.722241              4.314119             4.073073               4.209994               4.395766             8              YES
52     72     124        -1050.090418             0.138386             0.134145               0.135863               1.961997                   2.793819                       4.755816                    0.026258                        0.037172                            0.06343                         0.776115                 0.44981              4.648864             4.788393               4.730382               4.717328             9              YES
52     74     126        -1065.738362             0.113067             0.104626               0.107976               1.611467                   2.266771                       3.878238                    0.027142                        0.038351                           0.065493                         0.750773                0.467531               4.66107             4.817403               4.753508               4.728885            10              YES
56     56     112         -898.237417             0.219711             0.215283               0.217534               3.337734                   3.162689                       6.500423                    0.027051                        0.024697                           0.051748                         0.502798                0.611833               4.63715             4.560097               4.598785               4.710527            11               NO
56     78     134        -1127.141912              0.14177             0.116909               0.126971               2.279201                   2.764627                       5.043828                     0.03296                        0.041114                           0.074074                         0.513565                0.629935              4.770342              4.90221               4.847537               4.836988            12              YES
56     90     146         -1198.04018             0.199696             0.185357               0.190535               3.363766                   5.523563                       8.887329                    0.033069                        0.054865                           0.087935                         0.548429                0.479994              4.882919             5.123048               5.032299               4.945534            13               NO
56     118    174        -1275.876762             0.164969             0.119308               0.132262               3.035731                   5.543524                       8.579255                    0.041169                        0.083728                           0.124897                         0.622704                0.403777              5.103663             5.586778                5.43598               5.157978            14              YES
