Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
14     2      16     13.129392               -0.094131      0.009999       280       YES            
22     46     68     -511.396582             0.110636       0.01           1         YES            
24     28     52     -454.947351             0.109458       0.01           2         YES            
24     46     70     -553.320009             0.161886       0.01           3         YES            
26     20     46     -353.619447             0.000236       0.01           4         YES            
32     48     80     -689.215377             0.126957       0.01           5         YES            
34     48     82     -711.735069             0.108161       0.01           6         YES            
34     56     90     -754.736811             0.148608       0.01           7         YES            
36     32     68     -546.980235             -0.156738      0.01           8         YES            
36     38     74     -628.113224             -0.123357      0.01           9         YES            
36     62     98     -806.349099             -0.188897      0.01           10        YES            
36     64     100    -813.161717             -0.191283      0.01           11        YES            
38     62     100    -835.375629             0.347529       0.01           12        YES            
40     70     110    -897.187499             -0.164377      0.01           13        YES            
46     58     104    -891.253951             0.152302       0.01           14        YES            
52     66     118    -996.428424             -0.148455      0.01           15        YES            
54     64     118    -985.166943             0.259338       0.01           16        YES            
54     66     120    -1005.442619            0.253311       0.01           17        YES            
54     74     128    -1077.804983            0.15913        0.01           18        YES            
54     90     144    -1175.396706            0.171799       0.01           19        YES            
56     54     110    -865.762862             0.191448       0.01           20        YES            
56     88     144    -1188.045215            0.168726       0.01           21        YES            
56     90     146    -1197.322085            0.191422       0.01           22        YES            
56     92     148    -1206.012059            0.216711       0.01           23        YES            
58     78     136    -1135.912197            0.129339       0.01           24        YES            
58     86     144    -1194.601937            0.142562       0.01           25        YES            
58     88     146    -1205.958578            0.18024        0.010073       26        NO             
58     90     148    -1216.744736            0.219298       0.009999       27        NO             
58     136    194    -1327.909143            0.139869       0.01           28        YES            
58     138    196    -1326.995477            0.152218       0.01           29        YES            
58     140    198    -1325.863352            0.163038       0.01           30        YES            
60     78     138    -1145.49105             0.132714       0.01           31        YES            
60     86     146    -1209.022067            0.143389       0.009993       32        NO             
60     88     148    -1221.782137            0.194409       0.01           33        YES            
60     92     152    -1247.070047            0.29272        0.01           34        YES            
60     118    178    -1344.386228            0.145501       0.01           35        YES            
60     120    180    -1349.339817            0.106472       0.01           36        YES            
60     134    194    -1366.731668            0.116304       0.01           37        YES            
60     136    196    -1366.671087            0.140288       0.01           38        YES            
60     138    198    -1366.471048            0.161672       0.01           39        YES            
62     90     152    -1249.942094            0.276852       0.01           40        YES            
62     132    194    -1402.379375            0.071191       0.01           41        YES            
62     134    196    -1402.91678             0.108575       0.009994       42        NO             
62     136    198    -1403.440647            0.147097       0.009992       43        NO             
64     88     152    -1247.869138            0.22116        0.01           44        YES            
64     132    196    -1436.091597            0.053843       0.01           45        YES            
64     134    198    -1437.228749            0.111          0.009986       46        NO             
64     136    200    -1438.666249            0.162558       0.01           47        YES            
66     70     136    -1069.966263            0.327447       0.01           48        YES            
66     88     154    -1257.980727            0.217893       0.01           49        YES            
66     90     156    -1274.462663            0.263181       0.01           50        YES            
66     92     158    -1290.429699            0.288861       0.01           51        YES            
66     94     160    -1305.666623            0.301124       0.01           52        YES            
66     132    198    -1467.853089            0.060092       0.01           53        YES            
66     134    200    -1469.895974            0.12587        0.009998       54        NO             
68     68     136    -1039.678443            0.322173       0.01           55        YES            
68     132    200    -1497.875013            0.078583       0.01           56        YES            
70     92     162    -1308.554694            0.24783        0.01           57        YES            
70     94     164    -1325.855253            0.271642       0.01           58        YES            
70     96     166    -1342.700345            0.292207       0.01           59        YES            
72     90     162    -1296.609654            0.198317       0.01           60        YES            
74     90     164    -1300.496917            0.179265       0.01           61        YES            
74     98     172    -1374.980243            0.274625       0.01           62        YES            
76     88     164    -1281.502105            0.133373       0.01           63        YES            
78     96     174    -1363.923064            0.167724       0.01           64        YES            
78     98     176    -1383.75387             0.263493       0.01           65        YES            
86     132    218    -1683.174548            0.096797       0.01           66        YES            
86     134    220    -1693.667166            0.121628       0.009977       67        NO             
86     136    222    -1703.882886            0.141296       0.01           68        YES            
86     138    224    -1713.831299            0.159897       0.01           69        YES            
86     194    280    -1861.271598            0.092168       0.01           70        YES            
86     196    282    -1861.065891            0.114414       0.01           71        YES            
88     130    218    -1679.877476            0.073842       0.01           72        YES            
88     132    220    -1691.96219             0.117891       0.010004       73        NO             
88     134    222    -1703.764645            0.143551       0.010001       74        NO             
88     136    224    -1715.325582            0.166396       0.01           75        NO             
88     138    226    -1726.62701             0.185142       0.009962       76        NO             
88     140    228    -1737.542391            0.199502       0.01           77        YES            
88     192    280    -1891.286218            0.001576       0.01           78        YES            
88     194    282    -1892.032093            0.108631       0.01           79        YES            
88     196    284    -1892.633561            0.129864       0.01           80        YES            
88     198    286    -1893.307132            0.148382       0.01           81        YES            
88     200    288    -1893.948695            0.163631       0.01           82        YES            
90     130    220    -1685.771599            0.09114        0.009993       83        NO             
90     132    222    -1699.049486            0.134241       0.009999       84        NO             
90     134    224    -1712.278665            0.166092       0.01           85        YES            
90     136    226    -1725.330888            0.191764       0.010001       86        NO             
90     138    228    -1738.013766            0.209628       0.01           87        YES            
90     192    282    -1919.750815            0.080823       0.01           88        YES            
90     194    284    -1920.922756            0.119959       0.00988        89        NO             
90     196    286    -1922.510603            0.144709       0.009991       90        NO             
90     198    288    -1924.182744            0.164826       0.01           91        YES            
90     200    290    -1925.701458            0.179818       0.01           92        YES            
92     130    222    -1690.088669            0.099107       0.010003       93        NO             
92     132    224    -1704.675096            0.151557       0.01           94        YES            
92     134    226    -1719.315965            0.187219       0.01           95        YES            
92     136    228    -1733.756473            0.211979       0.01           96        YES            
92     190    282    -1945.526818            0.000648       0.01           97        YES            
92     192    284    -1946.461565            -0.000966      0.01           98        YES            
92     194    286    -1948.466597            0.130758       0.009667       99        NO             
92     196    288    -1951.085237            0.158677       0.01           100       YES            
92     198    290    -1953.666946            0.178661       0.01           101       YES            
94     130    224    -1693.018872            0.107345       0.010004       102       NO             
94     132    226    -1708.879825            0.170936       0.01           103       YES            
94     134    228    -1724.75284             0.207687       0.009995       104       NO             
94     136    230    -1740.279413            0.226687       0.01           105       YES            
94     190    284    -1969.999189            -0.000545      0.01           106       YES            
94     192    286    -1971.741505            0.095118       0.010002       107       NO             
94     194    288    -1974.718493            0.140872       0.00982        108       NO             
94     196    290    -1978.1656              0.170657       0.01           109       YES            
94     198    292    -1981.507011            0.188443       0.01           110       YES            
94     232    326    -1991.72632             0.175031       0.01           111       YES            
96     128    224    -1679.46763             0.000842       0.01           112       YES            
96     130    226    -1694.594448            0.116852       0.00997        113       NO             
96     132    228    -1711.645505            0.207467       0.01           114       YES            
96     188    284    -1990.528948            1.7e-05        0.01           115       YES            
96     190    286    -1992.781484            1.8e-05        0.01           116       YES            
96     192    288    -1995.690764            0.104673       0.010002       117       NO             
96     194    290    -1999.461182            0.147319       0.009977       118       NO             
96     196    292    -2003.621451            0.179238       0.01           119       YES            
96     230    326    -2027.732628            0.195888       0.01           120       YES            
96     232    328    -2026.955362            0.182837       0.01           121       YES            
96     240    336    -2023.159992            0.137508       0.01           122       YES            
98     128    226    -1678.671169            1.2e-05        0.01           123       YES            
98     130    228    -1695.015718            0.284279       0.01           124       YES            
98     186    284    -2008.199578            1.3e-05        0.01           125       YES            
98     188    286    -2011.186824            1.6e-05        0.01           126       YES            
98     190    288    -2014.037026            -0.001261      0.01           127       YES            
98     192    290    -2018.276877            0.11194        0.009999       128       NO             
98     194    292    -2022.774143            0.150038       0.01           129       YES            
98     196    294    -2027.439973            0.186249       0.01           130       YES            
98     230    328    -2061.358903            0.202582       0.01           131       YES            
98     234    332    -2060.38964             0.179906       0.01           132       YES            
98     238    336    -2058.991762            0.156889       0.01           133       YES            
100    126    226    -1659.285242            0.000555       0.01           134       YES            
100    128    228    -1676.480382            8e-06          0.01           135       YES            
100    168    268    -1954.799994            0.193729       0.01           136       YES            
100    184    284    -2022.257041            6e-06          0.01           137       YES            
100    186    286    -2026.907564            -0.000203      0.01           138       YES            
100    188    288    -2030.492336            -0.000516      0.01           139       YES            
100    190    290    -2034.324123            0.075797       0.01           140       YES            
100    192    292    -2039.362324            0.11759        0.01           141       YES            
100    194    294    -2044.514341            0.152962       0.01           142       YES            
100    196    296    -2049.759419            0.191777       0.01           143       YES            
100    230    330    -2093.644247            0.207309       0.01           144       YES            
100    232    332    -2093.646804            0.199326       0.01           145       YES            
100    234    334    -2093.413077            0.189138       0.01           146       YES            
100    236    336    -2093.021483            0.177515       0.01           147       YES            
100    262    362    -2084.127791            -0.000575      0.01           148       YES            
100    264    364    -2080.325921            0.039876       0.01           149       YES            
102    128    230    -1672.957603            2e-06          0.01           150       YES            
102    130    232    -1690.971016            -0.27508       0.01           281       YES            
102    184    286    -2039.04778             -1e-06         0.01           151       YES            
102    186    288    -2044.330941            2e-06          0.01           152       YES            
102    188    290    -2048.542034            6e-06          0.01           153       YES            
102    190    292    -2053.172968            0.082455       0.01           154       YES            
102    192    294    -2059.21475             0.319388       0.01           155       YES            
102    194    296    -2064.990686            0.302254       0.01           156       YES            
102    232    334    -2124.967509            0.205066       0.01           157       YES            
102    234    336    -2125.102039            0.196781       0.01           158       YES            
102    236    338    -2125.021245            0.185911       0.01           159       YES            
102    260    362    -2123.28391             0.000522       0.01           160       YES            
102    262    364    -2119.83016             0.000625       0.01           161       YES            
102    264    366    -2116.370498            0.037583       0.01           162       YES            
104    134    238    -1725.871338            -0.284853      0.01           282       YES            
104    136    240    -1744.502943            -0.288957      0.01           283       YES            
104    170    274    -1989.112384            0.190559       0.01           163       YES            
104    184    288    -2054.55005             -7e-06         0.01           164       YES            
104    186    290    -2060.455015            -4e-06         0.01           165       YES            
104    188    292    -2065.271076            -1e-06         0.01           166       YES            
104    190    294    -2070.588282            0.083811       0.01           167       YES            
104    192    296    -2076.862622            0.124426       0.01           284       YES            
104    198    302    -2096.360391            0.287497       0.01           168       YES            
104    234    338    -2155.382954            0.20023        0.01           169       YES            
104    260    364    -2157.530892            0.00071        0.01           170       YES            
104    262    366    -2154.446755            0.001326       0.01           171       YES            
104    264    368    -2151.28642             0.002647       0.01           172       YES            
106    164    270    -1968.006996            0.233378       0.01           173       YES            
106    186    292    -2075.288706            -9e-06         0.01           174       YES            
106    188    294    -2080.749101            -6e-06         0.01           175       YES            
106    190    296    -2086.608719            0.080573       0.01           285       YES            
106    192    298    -2093.394444            0.123155       0.01           286       YES            
106    198    304    -2115.089633            0.312039       0.01           176       YES            
106    200    306    -2121.095838            0.294592       0.01           177       YES            
106    262    368    -2187.940789            0.001644       0.01           178       YES            
106    264    370    -2185.146768            0.003928       0.01           179       YES            
108    158    266    -1934.35824             0.249794       0.01           180       YES            
108    164    272    -1974.856736            0.22928        0.01           181       YES            
108    170    278    -2008.834265            0.19578        0.01           182       YES            
108    188    296    -2094.9516              -8e-06         0.01           183       YES            
108    190    298    -2101.295055            0.073277       0.01           287       YES            
108    192    300    -2108.561106            0.116958       0.01           288       YES            
108    196    304    -2125.591676            0.337244       0.01           184       YES            
108    200    308    -2138.756298            0.315272       0.01           185       YES            
108    262    370    -2220.31285             0.001622       0.01           186       YES            
108    264    372    -2217.90168             0.004018       0.01           187       YES            
108    266    374    -2215.844737            0.065321       0.01           188       YES            
108    268    376    -2214.278503            0.091039       0.01           189       YES            
108    270    378    -2212.988843            0.110976       0.01           289       YES            
108    272    380    -2211.802562            0.128749       0.01           290       YES            
110    166    276    -1991.828692            0.213869       0.01           190       YES            
110    168    278    -2004.026614            0.203314       0.01           191       YES            
110    188    298    -2107.893582            -8.7e-05       0.01           192       YES            
110    190    300    -2114.757509            0.061479       0.01           291       YES            
110    192    302    -2122.354137            0.106497       0.01           193       YES            
110    196    306    -2140.829043            0.346824       0.01           194       YES            
110    198    308    -2143.90119             -0.224732      0.01           195       YES            
110    200    310    -2155.083331            0.329805       0.01           196       YES            
110    202    312    -2161.679316            0.317445       0.01           197       YES            
110    228    338    -2228.792194            0.201984       0.01           198       YES            
110    264    374    -2249.53588             0.003512       0.01           199       YES            
110    266    376    -2247.631751            0.048466       0.01           200       YES            
110    268    378    -2246.365821            0.084724       0.009998       292       NO             
110    270    380    -2245.320705            0.105157       0.01           293       YES            
110    272    382    -2244.43144             0.123222       0.01           294       YES            
110    274    384    -2243.671898            0.139864       0.01           295       YES            
110    276    386    -2243.060161            0.162894       0.01           296       YES            
112    160    272    -1952.084646            0.226453       0.01           201       YES            
112    162    274    -1967.609281            0.221311       0.01           202       YES            
112    164    276    -1981.93869             0.214186       0.01           203       YES            
112    168    280    -2008.543676            0.193202       0.01           204       YES            
112    190    302    -2126.872745            0.042469       0.01           297       YES            
112    192    304    -2134.851589            0.093069       0.01           205       YES            
112    194    306    -2143.120943            0.121793       0.01           206       YES            
112    200    312    -2169.778502            0.342225       0.01           207       YES            
112    202    314    -2176.835834            0.332612       0.01           208       YES            
112    204    316    -2183.630938            0.319584       0.01           209       YES            
112    236    348    -2263.205275            0.167847       0.01           210       YES            
112    266    378    -2278.331906            0.013404       0.01           211       YES            
112    268    380    -2277.289725            0.075191       0.01           298       YES            
112    270    382    -2276.454931            0.096665       0.01           299       YES            
112    272    384    -2275.83424             0.115012       0.01           300       YES            
112    274    386    -2275.332014            0.133047       0.01           301       YES            
112    276    388    -2275.04608             0.162921       0.01           302       YES            
112    278    390    -2274.721141            0.179753       0.01           303       YES            
112    280    392    -2274.146525            0.185542       0.01           304       YES            
112    282    394    -2273.380186            0.190338       0.01           212       YES            
112    284    396    -2272.446058            0.194583       0.01           213       YES            
112    286    398    -2271.357012            0.198066       0.01           214       YES            
114    154    268    -1899.114022            0.233977       0.01           215       YES            
114    164    278    -1983.347569            0.202889       0.01           216       YES            
114    190    304    -2138.705896            0.390619       0.01           217       YES            
114    192    306    -2146.074865            0.077191       0.01           218       YES            
114    194    308    -2154.664707            0.104315       0.01           305       YES            
114    196    310    -2163.276658            0.125235       0.01           306       YES            
114    198    312    -2171.851845            0.144235       0.01           307       YES            
114    200    314    -2178.838998            -0.234376      0.01           219       YES            
114    202    316    -2186.606363            -0.24284       0.010002       220       NO             
114    224    338    -2261.741823            0.198539       0.01           221       YES            
114    266    380    -2308.03116             0.006689       0.01           222       YES            
114    268    382    -2307.142798            0.060839       0.01           308       YES            
114    270    384    -2306.457403            0.085473       0.009981       309       NO             
114    272    386    -2306.052497            0.104638       0.01           310       YES            
114    276    390    -2305.797065            0.160403       0.01           311       YES            
114    278    392    -2305.812075            0.17574        0.01           312       YES            
114    280    394    -2305.616716            0.184152       0.01           313       YES            
114    282    396    -2305.247159            0.191836       0.01           223       YES            
114    284    398    -2304.676544            0.196203       0.01           224       YES            
114    286    400    -2303.956139            0.199691       0.01           225       YES            
114    288    402    -2303.058685            0.202183       0.01           226       YES            
114    290    404    -2301.966596            0.203678       0.01           227       YES            
114    292    406    -2300.678644            0.204331       0.01           228       YES            
114    294    408    -2299.189245            0.204361       0.01           229       YES            
114    296    410    -2297.534725            0.203921       0.01           230       YES            
116    192    308    -2155.985602            -0.05894       0.01           231       YES            
116    194    310    -2164.889274            -0.130312      0.01           232       YES            
116    196    312    -2173.841681            0.106797       0.01           314       YES            
116    198    314    -2183.148395            -0.335261      0.01           233       YES            
116    200    316    -2191.742404            -0.337555      0.01           234       YES            
116    266    382    -2336.447745            0.004308       0.01           235       YES            
116    268    384    -2335.695966            0.033212       0.01           236       YES            
116    270    386    -2335.285836            0.07016        0.01           237       YES            
116    272    388    -2334.624424            -0.295803      0.01           315       YES            
116    276    392    -2335.334048            0.152362       0.01           316       YES            
116    278    394    -2335.667898            0.168855       0.01           317       YES            
116    280    396    -2335.81349             0.180309       0.01           318       YES            
116    282    398    -2335.768799            0.1883         0.01           319       YES            
116    284    400    -2335.582197            0.195013       0.01           238       YES            
116    286    402    -2335.208974            0.198541       0.01           239       YES            
116    288    404    -2334.68699             0.201071       0.01           240       YES            
116    290    406    -2333.972346            0.202649       0.01           241       YES            
116    292    408    -2333.053713            0.203438       0.01           242       YES            
116    294    410    -2331.951781            0.203642       0.01           243       YES            
118    192    310    -2164.515927            -0.053037      0.01           244       YES            
118    194    312    -2173.828913            -0.076318      0.010008       245       NO             
118    196    314    -2183.29748             -0.132922      0.01           246       YES            
118    198    316    -2192.350035            -0.14177       0.01           247       YES            
118    200    318    -2202.610185            -0.342631      0.01           248       YES            
118    202    320    -2211.470395            -0.34532       0.01           249       YES            
118    266    384    -2363.489               0.003404       0.01           250       YES            
118    268    386    -2363.083582            0.013262       0.01           251       YES            
118    270    388    -2362.054959            -0.309096      0.01           252       YES            
118    272    390    -2362.65351             -0.306646      0.01           253       YES            
118    278    396    -2364.30144             0.161328       0.01           320       YES            
118    280    398    -2364.79462             0.173592       0.01           321       YES            
118    282    400    -2365.098328            0.182056       0.01           322       YES            
118    284    402    -2365.227331            0.188263       0.01           254       YES            
118    286    404    -2365.203901            0.192926       0.01           255       YES            
118    288    406    -2365.022492            0.196405       0.01           256       YES            
118    290    408    -2364.683023            0.198823       0.01           257       YES            
118    292    410    -2364.175836            0.200517       0.01           258       YES            
118    294    412    -2363.458146            0.201145       0.01           259       YES            
118    296    414    -2362.55769             0.201223       0.01           260       YES            
120    166    286    -1994.301355            0.449608       0.01           261       YES            
120    168    288    -2010.888367            0.449315       0.01           262       YES            
120    192    312    -2171.225643            -0.039072      0.01           263       YES            
120    194    314    -2181.267662            -0.128121      0.01           264       YES            
120    196    316    -2191.265163            -0.144894      0.01           265       YES            
120    198    318    -2201.564773            -0.346052      0.01           266       YES            
120    200    320    -2211.440386            -0.348823      0.01           267       YES            
120    204    324    -2228.957577            -0.253891      0.01           268       YES            
120    266    386    -2388.955563            0.00235        0.01           269       YES            
120    268    388    -2389.000812            0.00566        0.01           270       YES            
120    270    390    -2388.986563            0.022383       0.01           271       YES            
120    272    392    -2389.026726            -0.242909      0.01           272       YES            
120    278    398    -2391.742695            0.156535       0.01           323       YES            
120    280    400    -2392.598997            0.167164       0.01           324       YES            
