Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
2      2      4      657.148175          -30.079312          627.068863          -0.501962      -15.513432     -0.788384      NO
22     44     66     0.026889            -517.017855         -516.990966         0.077462       0.01           -0.036933      YES
24     24     48     0.130965            -411.278542         -411.147577         0.205502       0.01           -0.009027      YES
24     28     52     0.00546             -458.65749          -458.65203          0.075112       0.01           -0.004021      YES
26     46     72     0.048507            -599.323393         -599.274886         0.148317       0.01           -0.008769      YES
30     44     74     0.055948            -642.735987         -642.680039         0.160596       0.01           -0.009676      YES
30     46     76     0.052421            -657.060933         -657.008512         0.140679       0.01           -0.008044      YES
32     44     76     0.059332            -662.299688         -662.240356         0.189208       0.01           -0.013397      YES
32     46     78     0.065204            -678.753515         -678.688311         0.16222        0.01           -0.01198       YES
34     44     78     0.030517            -678.649178         -678.618661         0.197668       0.01           -0.012802      YES
34     52     86     0.027559            -741.924933         -741.897374         0.113385       0.01           -0.008394      YES
34     62     96     0.221502            -782.896721         -782.675219         -0.212649      0.01           0.018625       YES
34     64     98     0.205934            -788.987725         -788.781791         -0.212043      0.01           0.019376       YES
36     32     68     0.012337            -547.305368         -547.293031         -0.144787      0.01           -0.002274      YES
36     38     74     0.218578            -626.28211          -626.063532         -0.252871      0.01           -0.675172      YES
36     40     76     0.041622            -648.997766         -648.956144         -0.212642      0.01           -0.613158      YES
36     44     80     0.096935            -692.505935         -692.409            0.265065       0.01           -0.021562      YES
36     52     88     0.004359            -763.533294         -763.528935         0.084662       0.01           -0.011062      YES
36     62     98     0.376208            -812.863393         -812.487185         -0.244158      0.01           -0.619879      YES
36     68     104    0.172719            -835.172904         -835.000185         0.300124       0.01           -0.034129      YES
38     34     72     0.364217            -576.502533         -576.138316         0.366299       0.01           -0.040283      YES
38     42     80     0.026311            -680.371949         -680.345638         -0.180419      0.01           -0.576194      YES
38     44     82     0.127294            -704.34266          -704.215366         0.304664       0.01           -0.029106      YES
38     58     96     0.017222            -819.04787          -819.030648         0.001115       0.01           -0.357332      YES
38     62     100    0.131722            -839.049258         -838.917536         -0.232451      0.01           -0.622989      YES
40     36     76     0.350809            -607.01983          -606.669021         0.369228       0.01           -0.041024      YES
40     38     78     -0.031452           -633.520875         -633.552327         -0.177468      0.01           -0.60141       YES
40     40     80     0.005469            -661.477487         -661.472018         5.7e-05        0.01           -0.419234      YES
40     42     82     0.235856            -689.967311         -689.731455         0.352978       0.01           -0.042652      YES
40     44     84     0.101373            -713.260025         -713.158652         0.289442       0.01           -0.027473      YES
40     58     98     0.001062            -840.538936         -840.537874         0.000207       0.01           -0.010383      YES
40     64     104    0.563489            -877.822805         -877.259316         0.361189       0.01           -0.045057      YES
40     66     106    0.460905            -887.788891         -887.327986         0.353992       0.01           -0.039651      YES
40     94     134    0.033445            -961.805599         -961.772154         -0.002268      0.01           -0.00059       YES
40     96     136    0.045903            -961.682978         -961.637075         -0.002387      0.01           -0.002378      YES
40     98     138    0.044711            -960.718691         -960.67398          -0.0025        0.01           -0.002789      YES
40     100    140    0.046354            -959.328223         -959.281869         -0.002394      0.01           -0.001922      YES
40     102    142    0.055131            -957.756807         -957.701676         -0.002101      0.01           0.000318       YES
42     36     78     0.206354            -604.813155         -604.606801         0.337874       0.01           -0.039148      YES
42     38     80     0.310245            -637.090515         -636.78027          0.365082       0.01           -0.042653      YES
42     42     84     0.248183            -693.766603         -693.51842          0.313193       0.01           -0.03072       YES
42     58     100    0.033782            -858.576315         -858.542533         0.000288       0.01           0.000331       YES
42     64     106    0.336376            -899.822986         -899.48661          0.335332       0.01           -0.04711       YES
42     96     138    0.025697            -1002.292174        -1002.266477        -0.002566      0.01           0.00184        YES
42     98     140    0.029938            -1002.009888        -1001.97995         -0.002907      0.01           0.011292       YES
46     36     82     0.059117            -595.295492         -595.236375         0.124059       0.01           -0.019036      YES
52     56     108    0.026167            -892.794199         -892.768032         0.132972       0.009952       -0.00678       NO
52     90     142    0.003372            -1158.487269        -1158.483897        1e-05          0.01           -0.113203      YES
54     54     108    0.020383            -867.604807         -867.584424         0.159212       0.010001       -0.030142      NO
54     56     110    0.034851            -892.258052         -892.223201         0.184915       0.010009       -0.019985      NO
54     58     112    0.045165            -915.665165         -915.62             0.213535       0.009943       -0.013018      NO
54     86     140    0.025135            -1163.336314        -1163.311179        0.12151        0.010001       -0.01404       NO
54     88     142    0.028621            -1172.053832        -1172.025211        0.150128       0.00999        -0.011959      NO
54     90     144    0.033193            -1180.329702        -1180.296509        0.177127       0.009926       -0.006687      NO
54     92     146    0.060661            -1188.424861        -1188.3642          0.204572       0.009887       -0.015271      NO
54     94     148    0.083344            -1196.35796         -1196.274616        0.226096       0.01           -0.018352      YES
54     96     150    0.105815            -1203.985634        -1203.879819        0.235515       0.01           -0.016435      YES
56     52     108    0.028242            -835.106429         -835.078187         0.145328       0.009985       -0.00486       NO
56     54     110    0.058276            -863.127006         -863.06873          0.18814        0.009796       -0.018154      NO
56     56     112    -0.002864           -889.870699         -889.873563         0.211648       0.009963       -0.028694      NO
56     58     114    0.083646            -915.514401         -915.430755         0.281388       0.01           -0.011352      YES
56     66     122    0.027479            -1008.666108        -1008.638629        0.293978       0.01           -0.02009       YES
56     84     140    0.003886            -1168.850744        -1168.846858        0.103567       0.01           -0.000682      YES
56     86     142    0.037291            -1180.039782        -1180.002491        0.138202       0.009999       -0.023576      NO
56     88     144    0.03577             -1190.384069        -1190.348299        0.17178        0.01           -0.018924      YES
56     90     146    0.034362            -1200.348328        -1200.313966        0.207063       0.01           -0.008525      YES
56     92     148    0.182113            -1210.487573        -1210.30546         0.248147       0.01           -0.005841      YES
56     94     150    0.165769            -1219.980416        -1219.814647        0.265607       0.01           -0.015319      YES
56     96     152    0.131414            -1228.802262        -1228.670848        0.267801       0.01           -0.020501      YES
56     132    188    0.07202             -1313.435138        -1313.363118        0.102988       0.01           -0.009463      YES
56     134    190    0.077338            -1313.099845        -1313.022507        0.121309       0.01           -0.018994      YES
56     136    192    0.088477            -1312.470705        -1312.382228        0.138009       0.01           -0.020617      YES
56     138    194    0.121088            -1311.6776          -1311.556512        0.156885       0.01           -0.019393      YES
58     54     112    0.040895            -856.827638         -856.786743         0.22111        0.009884       -0.021579      NO
58     56     114    0.049128            -885.751604         -885.702476         0.28054        0.01           -0.015075      YES
58     58     116    0.179355            -914.611792         -914.432437         0.317738       0.01           -0.022774      YES
58     84     142    0.019004            -1182.262892        -1182.243888        0.104576       0.009999       -0.003922      NO
58     86     144    0.008719            -1194.575972        -1194.567253        0.144225       0.01           -0.021163      YES
58     88     146    0.040661            -1206.377948        -1206.337287        0.200357       0.01           0.001745       YES
58     90     148    0.130623            -1218.918034        -1218.787411        0.248021       0.009965       -0.013187      NO
58     92     150    0.214023            -1231.143292        -1230.929269        0.275033       0.01           -0.019193      YES
58     132    190    0.044407            -1350.514369        -1350.469962        0.098331       0.01           -0.019523      YES
58     134    192    0.037086            -1350.819908        -1350.782822        0.118234       0.01           -0.023052      YES
58     136    194    0.128867            -1350.83046         -1350.701593        0.138168       0.009859       -0.022547      NO
58     138    196    0.353437            -1351.087199        -1350.733762        0.209646       0.01           0.029698       YES
60     84     144    0.014609            -1193.914619        -1193.90001         0.096103       0.01           -0.003569      NO
60     86     146    -0.003126           -1207.234013        -1207.237139        0.151846       0.01           -0.007637      YES
60     88     148    0.117111            -1220.888801        -1220.77169         0.230625       0.01           0.014478       YES
60     90     150    0.191752            -1235.613648        -1235.421896        0.275582       0.01           -0.01978       YES
60     130    190    -0.015326           -1384.554659        -1384.569985        0.049448       0.01           -0.021978      YES
60     132    192    0.022431            -1385.808638        -1385.786207        0.08012        0.01           -0.026112      YES
60     134    194    0.041315            -1386.636186        -1386.594871        0.103938       0.009918       -0.024809      NO
60     136    196    0.220831            -1387.144287        -1386.923456        0.203876       0.01           0.052737       YES
62     84     146    0.006949            -1203.91408         -1203.907131        0.07811        0.01           -0.010105      NO
62     86     148    0.021234            -1218.349192        -1218.327958        0.170518       0.01           0.025043       YES
62     88     150    0.063811            -1233.477712        -1233.413901        0.236262       0.01           -0.017206      YES
