Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
40     30     70          -506.403764                  0.0                 -0.0                    0.0                    0.0                       -0.0                            0.0                         0.0                             0.0                                0.0                         0.794762                0.850176              4.145272             3.850466               4.021574               4.230627            11              YES
40     32     72          -541.727454              7.2e-05              1.8e-05                  5e-05               0.000627                   0.000111                       0.000738                         0.0                             0.0                                0.0                         0.962317                0.842435              4.141796             3.900324               4.036259               4.226534            33              YES
40     34     74          -575.148129             -5.7e-05             -2.9e-05               -4.5e-05              -0.000497                  -0.000193                      -0.000691                         0.0                             0.0                                0.0                         1.049564                0.835872              4.144074             3.952131               4.057012               4.228081            52              YES
40     36     76          -607.095779                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                         0.0                             0.0                                0.0                         1.064043                0.828513              4.150007             4.002074               4.080602               4.233211            74              YES
40     38     78          -637.601373             -3.5e-05             -2.3e-05               -2.9e-05              -0.000307                  -0.000178                      -0.000485                         0.0                             0.0                                0.0                         1.017082                0.834668              4.157765             4.048611                4.10495               4.240131            94              YES
40     40     80          -666.173722                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                            0.974                 0.82395              4.165562             4.092022               4.128956               4.247094           116              YES
40     42     82          -692.398325             -8.3e-05             -9.2e-05               -8.7e-05              -0.000731                  -0.000829                       -0.00156                         0.0                             0.0                                0.0                         0.933118                0.835095              4.172153             4.133767               4.152537               4.252877           140              YES
40     44     84          -716.923154            -0.000105             -0.00012              -0.000113              -0.000925                  -0.001163                      -0.002089                         0.0                             0.0                                0.0                         0.936707                0.832125              4.178297             4.173346               4.175704               4.258222           162              YES
40     46     86          -740.366998            -0.000113            -0.000127               -0.00012              -0.001002                  -0.001303                      -0.002305                         0.0                             0.0                                0.0                         0.884464                0.827362              4.185372             4.211098               4.199152               4.264484           183              YES
40     48     88          -762.879411            -0.000111            -0.000118              -0.000115              -0.000989                  -0.001291                       -0.00228                         0.0                             0.0                                0.0                         0.753781                0.822547              4.193563             4.247589               4.223117               4.271844           204              YES
40     50     90          -783.430068            -0.000116            -0.000123               -0.00012              -0.001034                   -0.00142                      -0.002454                         0.0                             0.0                                0.0                         0.705225                0.812426              4.204122             4.284919               4.249199               4.281532           225              YES
40     52     92          -799.478283            -0.000111             -0.00011               -0.00011              -0.000993                  -0.001345                      -0.002338                         0.0                             0.0                                0.0                         0.630009                0.792364              4.216853               4.3266               4.279229               4.293357           246              YES
40     54     94          -813.868401            -0.000134            -0.000186              -0.000165              -0.001215                  -0.002422                      -0.003636                         0.0                             0.0                                0.0                         0.758408                0.772728              4.231884             4.372743               4.313366               4.307448           262              YES
40     56     96          -827.046706             -5.1e-05             -8.3e-05                 -7e-05              -0.000462                  -0.001149                      -0.001611                         0.0                             0.0                                0.0                         0.877046                0.753938              4.248735             4.419956               4.349433               4.323333           283              YES
40     58     98          -838.929201                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         0.989261                0.739782              4.267695              4.46774               4.387191               4.341298           305              YES
40     60     100         -850.318289            -0.183705             -0.17735              -0.179747              -1.737158                  -2.769362                      -4.506521                         0.0                             0.0                                0.0                         0.965373                0.716779              4.328864             4.541959               4.457943               4.400785           324              YES
40     62     102         -861.509748             0.389908             0.358396               0.370062               3.871144                    6.05285                       9.923994                         0.0                             0.0                                0.0                         0.816612                 0.62209              4.435612             4.646732               4.565104               4.505186           352              YES
40     64     104         -871.733361             0.395673             0.359832               0.372765               3.969424                   6.394195                      10.363619                         0.0                             0.0                                0.0                         0.811478                0.604709              4.458722             4.691355               4.603272               4.527299           373              YES
40     66     106         -880.983883             0.393721             0.353359               0.367555               3.982208                   6.587473                      10.569681                         0.0                             0.0                                0.0                         0.822043                0.601693              4.476954             4.731781               4.637265               4.544618           393              YES
40     68     108         -889.467792            -0.201727            -0.189888              -0.193916              -1.983791                  -3.620902                      -5.604693                         0.0                             0.0                                0.0                         0.964375                0.663897              4.414497             4.714663               4.605772               4.482457           408              YES
40     72     112         -905.104722                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         1.049822                0.677581               4.40568             4.765836               4.640419               4.472476           431              YES
40     74     114         -912.322688              0.00014              7.3e-05                9.4e-05               0.001385                   0.001571                       0.002956                         0.0                             0.0                                0.0                         0.992642                0.668354              4.422424             4.799386               4.670585               4.488324           451              YES
40     76     116         -918.986928                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         0.925676                0.661711              4.438662             4.830966                4.69939                4.50368           473              YES
40     78     118          -925.20732            -0.000125             -5.7e-05               -7.7e-05              -0.001256                  -0.001316                      -0.002572                         0.0                             0.0                                0.0                         0.833262                0.655958                4.4547              4.86134               4.727416               4.518844           495              YES
40     80     120         -931.044946            -0.000331            -0.000609              -0.000527              -0.003334                  -0.014708                      -0.018043                         0.0                             0.0                                0.0                         0.728471                0.651932               4.47072             4.890521               4.754708               4.533998           512              YES
40     82     122         -935.470329            -0.000215            -0.000482              -0.000405              -0.002186                  -0.012082                      -0.014268                         0.0                             0.0                                0.0                          0.67044                0.642255              4.485833             4.924503                4.78511               4.548263           534              YES
40     84     124         -937.529131            -0.000897             -0.00165              -0.001439              -0.009165                  -0.043173                      -0.052338                         0.0                             0.0                                0.0                         0.570315                 0.62996              4.499168             4.968459               4.822067               4.560778           555              YES
40     86     126          -938.62494            -0.006774            -0.011226              -0.010011               -0.06956                  -0.307078                      -0.376638                         0.0                             0.0                                0.0                         0.621059                 0.61274              4.511059             5.021265               4.865095               4.571875           575              YES
40     88     128         -939.594091            -0.012115            -0.020642              -0.018382              -0.125026                   -0.59069                      -0.715716                         0.0                             0.0                                0.0                         0.645159                0.595121              4.522252             5.077025               4.910396               4.582286           596              YES
40     90     130         -940.392664             -0.00954             -0.01865              -0.016306              -0.098912                  -0.558179                      -0.657091                         0.0                             0.0                                0.0                         0.644322                0.578184              4.532714             5.134206               4.956912               4.591979           617              YES
40     92     132         -940.995474            -0.001879            -0.005762              -0.004793              -0.019568                  -0.180413                      -0.199981                         0.0                             0.0                                0.0                         0.617691                 0.56371              4.542571              5.19417               5.005681               4.601079           639              YES
40     94     134         -941.220013            -0.000935            -0.004945              -0.003975              -0.009776                  -0.162084                       -0.17186                         0.0                             0.0                                0.0                          0.61606                0.550936              4.552864             5.257401               5.057378               4.610611           660              YES
40     96     136         -940.771139            -0.000421            -0.004692              -0.003689              -0.004426                  -0.160773                      -0.165199                         0.0                             0.0                                0.0                         0.639193                0.542925              4.564447             5.319252                5.10884               4.621422           681              YES
40     98     138         -939.639132              6.2e-05            -0.004368              -0.003356               0.000655                   -0.15607                      -0.155415                         0.0                             0.0                                0.0                         0.678697                0.536273              4.577972             5.376032               5.157436               4.634154           702              YES
40     100    140         -938.013735             0.000547            -0.003887              -0.002899                0.00583                  -0.144363                      -0.138533                         0.0                             0.0                                0.0                          0.73777                0.528969              4.594145             5.425899               5.201843               4.649507           723              YES
40     102    142         -936.102724             0.001103            -0.003263              -0.002311               0.011845                  -0.125592                      -0.113748                         0.0                             0.0                                0.0                         0.801499                0.524533              4.612711             5.468919               5.241902               4.667232           744              YES
54     50     104         -814.045159             0.001056             0.000624               0.000855               0.014712                   0.007549                       0.022262                         0.0                             0.0                                0.0                         0.622269                0.713792              4.522404             4.378527               4.453812               4.598547           771              YES
54     52     106         -842.534032             0.138966             0.124161               0.131896               1.957745                   1.599029                       3.556773                         0.0                             0.0                                0.0                         0.583092                0.616484              4.547484              4.43077               4.490607               4.622749           795              YES
54     54     108         -869.674916              0.17748             0.172153               0.174868               2.525518                   2.355653                       4.881171                         0.0                             0.0                                0.0                          0.68025                0.551968              4.570343             4.481741               4.526259               4.644775           810              YES
54     56     110          -895.20075             0.195101             0.195106               0.195104               2.798749                   2.824076                       5.622825                         0.0                             0.0                                0.0                         0.768377                 0.54579              4.588808             4.526409               4.557148               4.662484           831              YES
54     58     112         -919.211819              0.20921              0.21351                0.21142               3.024765                    3.26284                       6.287606                         0.0                             0.0                                0.0                          0.84117                0.551653              4.606837             4.570033               4.587814                4.67977           852              YES
54     60     114         -942.039809             0.226236             0.237039               0.231909               3.298737                    3.82243                       7.121167                         0.0                             0.0                                0.0                         0.890831                0.564941              4.626373             4.615611               4.620712               4.698545           873              YES
54     62     116         -964.019522             0.248397             0.265019               0.257307               3.657169                   4.507641                        8.16481                         0.0                             0.0                                0.0                         0.898917                0.586433              4.648874             4.663209               4.656541               4.720246           898              YES
54     68     122        -1024.880968             0.242995             0.251443               0.247768               3.636743                   4.887338                       8.524081                         0.0                             0.0                                0.0                         0.883153                0.571025              4.687114             4.760002               4.727879               4.756557           920              YES
54     70     124        -1043.343206             0.221575             0.224003               0.222969               3.322845                   4.522599                       7.845444                         0.0                             0.0                                0.0                         0.892315                0.540247              4.691831             4.781483               4.742649               4.760754           942              YES
54     72     126         -1060.89744             0.197806             0.191566               0.194173               2.973668                   4.013785                       6.987453                         0.0                             0.0                                0.0                         0.897519                0.524431              4.697585             4.802822               4.758005               4.765974           963              YES
54     76     130        -1094.365004             0.141356              0.12125               0.129325               2.137394                   2.731423                       4.868817                         0.0                             0.0                                0.0                         0.825573                0.585275              4.711216             4.847208               4.791188                4.77851           982              YES
54     78     132        -1110.348014             0.100926             0.081661               0.089248               1.529736                   1.905093                       3.434829                         0.0                             0.0                                0.0                         0.746108                0.660736               4.71689              4.86909               4.807409               4.783655          1003              YES
54     80     134        -1126.000988             0.001093             0.000833               0.000933               0.016608                   0.020105                       0.036712                         0.0                             0.0                                0.0                         0.637078                0.769798              4.722177             4.890572               4.823419               4.788419          1022              YES
54     82     136        -1140.568237             -0.00022            -0.000183              -0.000197              -0.003358                   -0.00458                      -0.007938                         0.0                             0.0                                0.0                         0.572301                0.764328              4.735985               4.9194               4.847404               4.801589          1038              YES
54     84     138        -1149.777986            -0.003138            -0.002665              -0.002841              -0.048207                  -0.069273                       -0.11748                         0.0                             0.0                                0.0                          0.50982                0.756726              4.748401             4.952415               4.873601               4.813389          1058              YES
54     86     140        -1159.171993             0.133854              0.11873               0.124237               2.083675                   3.227126                       5.310801                         0.0                             0.0                                0.0                         0.589918                 0.55054              4.780211             5.005232               4.919658               4.844329          1085              YES
54     88     142        -1167.674262             0.163608             0.152877                0.15671               2.573704                   4.328522                       6.902226                         0.0                             0.0                                0.0                         0.670564                0.483585              4.805345              5.05013               4.958467                4.86869          1107              YES
54     92     146        -1182.637891             0.200952             0.196848               0.198259               3.222189                   6.020554                       9.242743                         0.0                             0.0                                0.0                         0.800979                0.443509              4.851513             5.133388               5.030973               4.913388          1130              YES
54     94     148        -1189.495473             0.219167             0.219669               0.219499               3.548862                   6.977216                      10.526078                         0.0                             0.0                                0.0                         0.826332                0.446333              4.875343             5.175331               5.067934               4.936483          1153              YES
54     96     150        -1196.088729               0.2384             0.242154               0.240909               3.899817                   7.985428                      11.885246                         0.0                             0.0                                0.0                         0.821009                0.465375              4.900237             5.218104               5.105952               4.960638          1172              YES
54     98     152        -1202.348909             0.257318             0.260267               0.259306               4.252043                   8.900937                       13.15298                         0.0                             0.0                                0.0                          0.80073                0.488952              4.925066             5.259447               5.143144               4.984735          1194              YES
54     100    154        -1208.184337             0.272252             0.271052               0.271436               4.541304                   9.597541                      14.138844                         0.0                             0.0                                0.0                         0.787461                0.499344              4.948268             5.297833               5.177946                5.00723          1216              YES
54     102    156        -1213.442877             0.281041             0.274607               0.276633               4.726813                  10.050302                      14.777116                         0.0                             0.0                                0.0                         0.780372                0.500185               4.96875             5.333091               5.209857               5.027044          1237              YES
54     104    158        -1218.099815             0.280543             0.269627               0.273005               4.748648                  10.182409                      14.931057                         0.0                             0.0                                0.0                           0.7875                0.490696              4.984633             5.365028               5.238128               5.042317          1256              YES
54     106    160        -1222.285008             0.271097             0.256632               0.261031               4.609425                   9.983187                      14.592612                         0.0                             0.0                                0.0                         0.802774                 0.47925              4.995848             5.393507               5.262657               5.052979          1276              YES
54     108    162        -1226.146008             0.255188             0.237775                0.24298               4.353319                   9.514528                      13.867847                         0.0                             0.0                                0.0                         0.817435                0.465921              5.004122             5.419309               5.284539               5.060735          1296              YES
54     110    164        -1229.721362              0.23829             0.217984                0.22395               4.078421                   8.966232                      13.044653                         0.0                             0.0                                0.0                          0.82696                0.457361              5.012352             5.444296               5.305954               5.068448          1317              YES
54     112    166        -1232.967189             0.219927             0.195892               0.202836               3.776131                   8.278261                      12.054392                         0.0                             0.0                                0.0                         0.830577                0.449478              5.020329             5.468865               5.327102               5.075914          1338              YES
54     114    168        -1235.919056              0.19891             0.169445               0.177816                 3.4255                   7.353263                      10.778763                         0.0                             0.0                                0.0                         0.840674                0.441994              5.027838             5.493113               5.347976               5.082917          1359              YES
54     116    170         -1238.67273             0.175157             0.139328                0.14934                3.02636                    6.20725                        9.23361                         0.0                             0.0                                0.0                         0.849766                0.441535              5.036098             5.517549               5.369298               5.090666          1377              YES
54     118    172        -1241.432834              0.14608             0.107679               0.118244                2.53364                   4.921034                       7.454674                         0.0                             0.0                                0.0                         0.843844                0.466264              5.045749             5.540718               5.390218               5.099792          1398              YES
