Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
40     30     70          -509.068113            -0.000272               -4e-05               -0.00018              -0.002352                  -0.000224                      -0.002576                         0.0                             0.0                                0.0                         0.416713                1.046026              4.140975             3.853884               4.020447               4.226416             9              YES
40     32     72          -544.318916            -0.000692            -0.000339              -0.000545              -0.005978                  -0.002084                      -0.008062                         0.0                             0.0                                0.0                         0.596864                1.050158              4.136736             3.902101               4.034139               4.221576            29              YES
40     34     74           -576.94968            -0.000352              -0.0004              -0.000373              -0.003049                  -0.002681                       -0.00573                         0.0                             0.0                                0.0                         0.708725                1.046945              4.141347             3.954456               4.056547               4.225407            51              YES
40     36     76           -608.37738             0.350131             0.356473               0.353026               3.162199                   2.703648                       5.865847                         0.0                             0.0                                0.0                         0.603659                0.878107              4.230528             4.086538               4.162943               4.312177            84              YES
40     38     78          -638.583673             0.371424             0.377957               0.374527               3.381408                   3.113642                       6.495049                         0.0                             0.0                                0.0                         0.571451                0.833985              4.247454             4.145399               4.198045               4.328114           105              YES
40     40     80           -666.38974             0.360403             0.357214               0.358834               3.282251                   3.149495                       6.431746                         0.0                             0.0                                0.0                         0.558304                0.825961              4.248218             4.179953               4.214224               4.328194           126              YES
40     42     82          -692.420294             -7.5e-05             -5.9e-05               -6.7e-05              -0.000657                  -0.000536                      -0.001193                         0.0                             0.0                                0.0                            0.687                1.038243              4.175605             4.141102               4.157969               4.256263           140              YES
40     44     84          -716.961757            -0.000229            -0.000244              -0.000237              -0.002023                  -0.002371                      -0.004394                         0.0                             0.0                                0.0                         0.693587                1.031197              4.179812             4.183465               4.181726               4.259708           162              YES
40     46     86          -740.366475            -0.000351            -0.000387              -0.000371              -0.003105                  -0.004008                      -0.007114                         0.0                             0.0                                0.0                         0.653564                1.019743              4.185186             4.224382               4.206197               4.264301           183              YES
40     48     88          -762.759432                  0.0                  0.0                    0.0                    0.0                        0.0                          1e-06                         0.0                             0.0                                0.0                         0.553036                1.004846              4.191871             4.264253               4.231506               4.270183           200              YES
