Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            -30.079312              0.00038             0.000349               0.000365                3.6e-05                    3.3e-05                        6.9e-05                         0.0                             0.0                                0.0                         3.394115                3.461247              1.945485             1.940043               1.942766                2.11443             6              YES
22     44     66          -517.017855             0.098371             0.074177               0.081125               0.375785                   0.703385                        1.07917                         0.0                             0.0                                0.0                         1.051625                0.572416              3.709965             4.133134               3.997059               3.785979            29              YES
24     24     48          -411.278542             0.213471             0.212523               0.213004               0.836296                   0.807956                       1.644252                         0.0                             0.0                                0.0                         0.788787                0.767066              3.597082             3.543483               3.570383               3.691192            44              YES
24     28     52           -458.65749             0.091148             0.063177               0.075941               0.354129                   0.292466                       0.646595                         0.0                             0.0                                0.0                         0.669883                 0.82672              3.582167             3.620114                3.60265               3.674026            64              YES
26     46     72          -599.323393             0.179235             0.142098               0.154202               0.870469                    1.42715                       2.297619                         0.0                             0.0                                0.0                         0.825191                0.432613              3.847894             4.160134               4.050158               3.924651            83              YES
30     44     74          -642.735987             0.178119             0.159174               0.166432               1.044119                   1.502337                       2.546456                         0.0                             0.0                                0.0                         0.886088                0.445802               3.93554             4.123504               4.048354               4.014996            98              YES
30     46     76          -657.060933             0.158236             0.134659               0.143387               0.933456                   1.351556                       2.285012                         0.0                             0.0                                0.0                         0.783994                0.455157              3.948017             4.158769               4.076879               4.026266           117              YES
32     44     76          -662.299688             0.207265              0.19341               0.199006               1.339568                   1.844708                       3.184276                         0.0                             0.0                                0.0                         0.827657                0.538754              4.001196             4.145172               4.085169               4.080678           134              YES
32     46     78          -678.753515             0.183715             0.158438               0.168316               1.193274                   1.604393                       2.797667                         0.0                             0.0                                0.0                          0.73679                0.546436               4.01114             4.177259                4.10992               4.089541           151              YES
34     44     78          -678.649178             0.214808             0.207081               0.210355                1.51911                   1.991533                       3.510643                         0.0                             0.0                                0.0                         0.787665                0.635344              4.060462             4.162381               4.118265                4.13994           170              YES
34     52     86          -741.924933             0.126074             0.106201               0.113592               0.906187                   1.289291                       2.195478                         0.0                             0.0                                0.0                         0.432243                 0.63717              4.093559             4.301842               4.220727               4.169132           187              YES
34     62     96          -782.896721            -0.244055            -0.226682                -0.2322              -1.881038                  -3.753719                      -5.634757                         0.0                             0.0                                0.0                         0.817679                0.429422              4.238975               4.6012               4.476266               4.308039           195              YES
34     64     98          -788.987725            -0.247274            -0.226647              -0.233014              -1.925082                  -3.951838                       -5.87692                         0.0                             0.0                                0.0                         0.841132                 0.41529              4.260311             4.647075               4.516645               4.328245           212              YES
36     32     68          -547.305368            -0.157273            -0.157821               -0.15752              -1.165316                  -0.955904                       -2.12122                         0.0                             0.0                                0.0                         0.626151                0.784302              4.039131             3.873422               3.962014               4.124728           228              YES
