Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
12     12     24          -196.847541             0.305538             0.304232               0.304892               0.417871                   0.406914                       0.824785                         0.0                             0.0                                0.0                         1.412649                1.377825               3.00568             2.972376               2.989074               3.117694            10              YES
16     28     44          -354.323619            -0.149795            -0.140355              -0.143411              -0.333546                  -0.652713                      -0.986259                         0.0                             0.0                                0.0                         1.080211                 0.94933              3.321346             3.628388               3.519837               3.410303            25              YES
22     14     36          -245.537059              -0.0076            -0.005669              -0.006943              -0.025761                  -0.009921                      -0.035681                         0.0                             0.0                                0.0                         1.232354                1.162044              3.494605             3.147805                3.36399               3.597275            38              YES
32     46     78          -677.280865             0.177356             0.150415               0.160975               1.159729                   1.525606                       2.685335                         0.0                             0.0                                0.0                         0.822857                0.774888              4.024626             4.180634               4.117346               4.102769            68              YES
34     48     82          -713.254257             0.144244             0.116608               0.127619               1.032264                   1.259965                       2.292229                         0.0                             0.0                                0.0                         0.712842                0.854671              4.084619             4.224146                4.16686               4.161995            83              YES
34     62     96          -772.377816            -0.241987            -0.224159              -0.229848              -1.881951                  -3.719629                      -5.601579                         0.0                             0.0                                0.0                         0.894544                0.642885              4.258075             4.605968               4.485843               4.326834            93              YES
34     66     100          -780.90839             -0.24092            -0.216314              -0.223749              -1.909951                  -3.960415                      -5.870366                         0.0                             0.0                                0.0                         0.916415                0.632776              4.299123              4.68922               4.560333               4.365672           110              YES
36     48     84          -732.792536             0.085788             0.075952               0.080047               0.663262                   0.823361                       1.486623                         0.0                             0.0                                0.0                         0.728425                0.898702              4.125934             4.231058               4.186328               4.203633           133              YES
36     54     90          -771.416616             0.131624             0.132472               0.132151               1.044241                   1.730091                       2.774333                         0.0                             0.0                                0.0                         0.700763                0.801403              4.179518             4.378457               4.299986               4.253965           153              YES
36     60     96          -797.798728            -0.261866            -0.239595              -0.247327              -2.197491                  -3.780627                      -5.978118                         0.0                             0.0                                0.0                         0.833174                0.665242              4.298504             4.565752               4.467408               4.368711           161              YES
36     64     100         -810.669363            -0.252791             -0.22603              -0.234818               -2.15586                  -3.942277                      -6.098137                         0.0                             0.0                                0.0                          0.91528                0.661357              4.333348             4.647774               4.537092               4.401535           178              YES
38     60     98          -824.708433            -0.220567            -0.212296              -0.215298              -1.975415                   -3.33703                      -5.312446                         0.0                             0.0                                0.0                           0.8835                0.735368              4.322271             4.556996               4.467444               4.393257           195              YES
38     62     100         -833.372681            -0.227432            -0.216306              -0.220237               -2.05886                  -3.582952                      -5.641812                         0.0                             0.0                                0.0                         0.919749                0.725997              4.345515             4.601882               4.506181               4.415436           212              YES
38     64     102         -841.487461            -0.223429            -0.211276              -0.215458              -2.039226                  -3.675176                      -5.714402                         0.0                             0.0                                0.0                         0.926848                 0.71545              4.363309             4.641609               4.539923                4.43226           229              YES
40     34     74          -576.615448            -0.184025            -0.199839              -0.190941               -1.62663                  -1.373213                      -2.999842                         0.0                             0.0                                0.0                         0.899599                0.894508               4.18525             4.002531               4.102309               4.268446           243              YES
40     64     104         -870.021396            -0.206631            -0.202137              -0.203753              -2.016818                  -3.513299                      -5.530117                         0.0                             0.0                                0.0                         0.929984                0.682458              4.397947             4.639695               4.548236               4.467458           263              YES
40     66     106         -879.293067            -0.210278            -0.204703              -0.206659              -2.071618                  -3.731778                      -5.803396                         0.0                             0.0                                0.0                         0.901099                0.669447              4.418475             4.679166               4.582534               4.487021           280              YES
42     64     106         -895.385939            -0.211567            -0.205872              -0.208009              -2.212729                  -3.584343                      -5.797072                         0.0                             0.0                                0.0                         0.916964                0.641062              4.442839             4.643669               4.565152               4.512638           297              YES
44     34     78          -566.198453             0.127841             0.148363               0.136176               1.298006                   1.030341                       2.328346                         0.0                             0.0                                0.0                         0.952935                0.838171              4.276837             4.023767               4.168413               4.359314           316              YES
44     68     112         -941.871462            -0.218528            -0.211232              -0.213949              -2.480689                  -4.041015                      -6.521704                         0.0                             0.0                                0.0                         0.838355                0.575396              4.522221             4.722324                4.64474                4.59054           328              YES
52     62     114         -958.384463             0.244056             0.268079               0.257214               3.430001                   4.562603                       7.992604                         0.0                             0.0                                0.0                         0.890066                0.548431              4.628555             4.664701               4.648248               4.699691           353              YES
52     92     144        -1151.916678             0.166972              0.17465               0.172087               2.546855                   5.315465                        7.86232                         0.0                             0.0                                0.0                         0.770536                0.406777              4.821961             5.120791               5.014934               4.883431           369              YES
52     94     146        -1156.455354             0.210849             0.224545               0.220054                3.26257                   7.121243                      10.383814                         0.0                             0.0                                0.0                         0.763314                0.436527              4.856657             5.171389               5.061537                4.91724           387              YES
54     88     142        -1165.465466              0.17053             0.162319               0.165264               2.704575                   4.603442                       7.308017                         0.0                             0.0                                0.0                          0.58162                  0.4541              4.825005             5.054291               4.968345               4.888095           404              YES
