Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
4      6      10     -71.624639              0.001439       0.0            14        YES            
6      4      10     -67.276437              0.00072        0.0            30        YES            
18     12     30     -215.218461             0.001153       0.0            51        YES            
24     18     42     -321.709321             0.000141       0.0            61        YES            
54     72     126    -1063.490702            0.151393       0.0            84        YES            
56     66     122    -1014.267804            0.257628       0.0            102       YES            
64     90     154    -1265.413885            0.277623       0.0            114       YES            
66     90     156    -1276.608533            0.271494       0.0            132       YES            
68     154    222    -1524.42672             0.291357       0.0            149       YES            
70     88     158    -1274.618863            0.175605       0.0            165       YES            
70     148    218    -1555.893063            0.2676         0.0            182       YES            
72     90     162    -1298.508751            0.190919       0.0            199       YES            
74     88     162    -1282.151847            0.124776       0.0            214       YES            
76     90     166    -1304.363937            0.131554       0.0            233       YES            
78     140    218    -1652.280933            0.101294       0.0            252       YES            
78     160    238    -1698.746602            -0.151339      0.0            256       YES            
84     162    246    -1785.124031            -0.098184      0.0            275       YES            
86     158    244    -1796.8543              0.170926       0.0            306       YES            
86     200    286    -1857.442647            0.118164       0.0            316       YES            
86     202    288    -1856.543234            0.130197       0.0            333       YES            
88     112    200    -1528.94297             0.169561       0.0            352       YES            
88     132    220    -1694.646369            0.103614       0.0            373       YES            
88     134    222    -1706.635175            0.132226       0.0            390       YES            
88     136    224    -1718.205295            0.152998       0.0            408       YES            
88     138    226    -1729.386798            0.170466       0.0            424       YES            
88     140    228    -1740.178794            0.185291       0.0            441       YES            
88     154    242    -1803.308388            0.212648       0.0            459       YES            
88     162    250    -1830.611924            0.177794       0.0            476       YES            
88     170    258    -1853.341996            0.117966       0.0            491       YES            
88     194    282    -1890.169184            0.089357       0.0            504       YES            
88     196    284    -1890.685145            0.11639        0.0            520       YES            
88     198    286    -1890.954203            0.133881       0.0            537       YES            
88     200    288    -1891.037112            0.148191       0.0            554       YES            
88     202    290    -1890.940635            0.160104       0.0            571       YES            
90     132    222    -1701.601285            0.128023       0.0            595       YES            
90     134    224    -1714.764867            0.1573         0.0            611       YES            
90     136    226    -1727.608685            0.181883       0.0            628       YES            
90     138    228    -1740.096907            0.202292       0.0            645       YES            
90     156    246    -1829.012489            0.229334       0.0            663       YES            
90     158    248    -1836.637656            0.220616       0.0            680       YES            
90     194    284    -1919.668616            0.111861       0.0            691       YES            
90     196    286    -1920.93949             0.138856       0.0            707       YES            
90     198    288    -1922.04109             0.159093       0.0            724       YES            
90     200    290    -1923.004657            0.175339       0.0            741       YES            
90     202    292    -1923.72882             0.187917       0.0            758       YES            
92     120    212    -1606.371671            -0.107839      0.0            766       YES            
92     130    222    -1692.388961            0.090855       0.0            799       YES            
92     132    224    -1707.019154            0.150151       0.0            816       YES            
92     134    226    -1721.420221            0.184325       0.0            832       YES            
92     136    228    -1735.600846            0.211526       0.0            850       YES            
92     160    252    -1862.007073            0.233829       0.0            867       YES            
92     162    254    -1869.525255            0.222087       0.0            884       YES            
92     164    256    -1876.709761            0.209165       0.0            901       YES            
92     166    258    -1883.584042            0.194888       0.0            917       YES            
92     170    262    -1896.551396            0.158258       0.0            935       YES            
92     192    284    -1945.580915            0.0            0.0            944       YES            
92     194    286    -1947.605683            0.134416       0.0            962       YES            
92     196    288    -1949.726472            0.167748       0.0            979       YES            
92     198    290    -1951.790027            0.188765       0.0            996       YES            
94     120    214    -1605.21002             -0.123602      0.0            1004      YES            
94     130    224    -1695.263341            0.10887        0.0            1037      YES            
94     132    226    -1711.018003            0.181037       0.0            1054      YES            
94     144    238    -1797.163888            0.270479       0.0            1071      YES            
94     160    254    -1878.738491            0.261303       0.0            1088      YES            
94     162    256    -1886.839369            0.253426       0.0            1105      YES            
94     168    262    -1908.98847             0.210583       0.0            1122      YES            
94     170    264    -1915.805985            0.184186       0.0            1139      YES            
94     192    286    -1971.212575            0.002244       0.0            1146      YES            
94     194    288    -1974.160117            0.178596       0.0            1166      YES            
96     130    226    -1696.708844            0.135418       0.0            1189      YES            
96     158    254    -1884.833769            0.281977       0.0            1207      YES            
96     164    260    -1911.223862            0.281662       0.0            1224      YES            
96     166    262    -1919.207322            0.282338       0.0            1241      YES            
96     192    288    -1995.390303            0.080833       0.0            1251      YES            
96     220    316    -2024.168625            0.265907       0.0            1270      YES            
96     238    334    -2014.199734            0.280959       0.0            1288      YES            
98     160    258    -1907.710566            0.291517       0.0            1309      YES            
98     162    260    -1917.220104            0.293945       0.0            1326      YES            
98     188    286    -2011.175789            3.8e-05        0.0            1336      YES            
98     190    288    -2014.750891            -8e-05         0.0            1348      YES            
98     192    290    -2018.899568            0.278094       0.0            1377      YES            
98     218    316    -2055.542351            0.268501       0.0            1389      YES            
98     236    334    -2052.138001            0.292874       0.0            1407      YES            
98     246    344    -2043.548615            0.311319       0.0            1424      YES            
100    158    258    -1908.718607            0.292706       0.0            1445      YES            
100    162    262    -1929.69188             0.297296       0.0            1462      YES            
100    188    288    -2031.098627            -0.000202      0.0            1467      YES            
100    190    290    -2035.669443            0.315435       0.0            1495      YES            
100    216    316    -2083.614631            0.2656         0.0            1506      YES            
100    228    328    -2088.142609            0.278699       0.0            1525      YES            
100    230    330    -2088.024347            0.28306        0.0            1544      YES            
100    232    332    -2087.677479            0.28685        0.0            1561      YES            
100    234    334    -2087.151556            0.290247       0.0            1577      YES            
100    236    336    -2086.446564            0.294794       0.0            1594      YES            
100    238    338    -2085.522275            0.299512       0.0            1611      YES            
100    240    340    -2084.437043            0.30429        0.0            1628      YES            
100    242    342    -2083.157362            0.308994       0.0            1645      YES            
100    244    344    -2081.723841            0.31325        0.0            1662      YES            
100    260    360    -2067.40897             0.000781       0.0            1673      YES            
100    262    362    -2064.144759            0.001143       0.0            1689      YES            
100    264    364    -2060.505037            -0.000319      0.0            1707      YES            
102    154    256    -1893.163091            0.290172       0.0            1734      YES            
102    156    258    -1905.825697            0.288933       0.0            1751      YES            
102    174    276    -1997.385587            0.320951       0.0            1768      YES            
102    188    290    -2049.613287            0.000204       0.0            1778      YES            
102    230    332    -2119.343664            0.272298       0.0            1796      YES            
102    232    334    -2119.500444            0.276329       0.0            1815      YES            
102    234    336    -2119.439859            0.280932       0.0            1832      YES            
102    238    340    -2118.738437            0.29156        0.0            1849      YES            
102    242    344    -2117.271186            0.303098       0.0            1866      YES            
102    244    346    -2116.287039            0.308922       0.0            1883      YES            
102    260    362    -2104.516178            0.001865       0.0            1893      YES            
102    262    364    -2101.674365            0.001422       0.0            1911      YES            
102    264    366    -2098.419304            0.001564       0.0            1928      YES            
104    148    252    -1854.68949             0.287666       0.0            1955      YES            
104    154    258    -1898.966822            0.28357        0.0            1972      YES            
104    172    276    -2001.090669            0.28859        0.0            1982      YES            
104    176    280    -2019.341805            0.304289       0.0            2000      YES            
104    192    296    -2080.196969            0.326752       0.0            2017      YES            
104    198    302    -2097.95624             0.290931       0.0            2035      YES            
104    230    334    -2149.23098             0.257889       0.0            2050      YES            
104    232    336    -2149.869578            0.260191       0.0            2067      YES            
104    234    338    -2150.275468            0.264592       0.0            2087      YES            
104    262    366    -2137.937034            0.001977       0.0            2098      YES            
104    264    368    -2135.103601            0.323634       0.0            2121      YES            
106    144    250    -1821.666331            0.282971       0.0            2142      YES            
106    150    256    -1872.410197            0.27989        0.0            2159      YES            
106    166    272    -1980.462173            0.256624       0.0            2169      YES            
106    176    282    -2031.532202            0.275635       0.0            2186      YES            
106    190    296    -2088.665952            -9e-06         0.0            2201      YES            
106    200    306    -2122.663039            0.284939       0.0            2222      YES            
106    202    308    -2128.428772            0.274923       0.0            2239      YES            
106    230    336    -2177.494315            0.245653       0.0            2254      YES            
106    236    342    -2180.159863            0.248887       0.0            2271      YES            
106    238    344    -2180.550375            0.252948       0.0            2291      YES            
106    242    348    -2180.757679            0.262125       0.0            2305      YES            
106    244    350    -2180.586168            0.268611       0.0            2322      YES            
106    264    370    -2170.54596             0.003635       0.0            2336      YES            
108    148    256    -1855.699942            0.276501       0.0            2363      YES            
108    198    306    -2133.678561            0.324865       0.0            2375      YES            
108    200    308    -2140.118342            0.30672        0.0            2392      YES            
108    202    310    -2146.344974            0.287788       0.0            2409      YES            
108    244    352    -2210.314059            0.238309       0.0            2424      YES            
110    156    266    -1921.500555            0.258587       0.0            2448      YES            
110    164    274    -1979.997814            0.238558       0.0            2465      YES            
110    204    314    -2169.176922            0.228461       0.0            2477      YES            
110    232    342    -2230.615045            0.217959       0.0            2492      YES            
112    162    274    -1968.140356            0.232755       0.0            2516      YES            
112    198    310    -2162.091269            0.166161       0.0            2526      YES            
114    192    306    -2149.467582            0.068545       0.0            2543      YES            
114    208    322    -2213.21533             0.19654        0.0            2560      YES            
114    220    334    -2250.328117            0.206124       0.0            2577      YES            
114    244    358    -2291.430215            0.150042       0.0            2594      YES            
116    212    328    -2241.511467            0.194126       0.0            2611      YES            
116    214    330    -2248.384333            0.197261       0.0            2628      YES            
116    228    344    -2288.519744            0.184173       0.0            2648      YES            
116    240    356    -2310.877494            0.150715       0.0            2662      YES            
118    218    336    -2276.273525            0.194598       0.0            2679      YES            
118    236    354    -2324.782147            0.148356       0.0            2699      YES            
118    238    356    -2328.67346             0.140344       0.0            2716      YES            
118    240    358    -2332.279522            0.13184        0.0            2734      YES            
120    232    352    -2332.881534            0.149638       0.0            2747      YES            
120    280    400    -2382.994975            0.062786       0.0            2766      YES            
