Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
12     12     24     -196.847541             0.304892       0.0            10        YES            
16     28     44     -354.323619             -0.143411      0.0            25        YES            
22     14     36     -245.537059             -0.006943      0.0            38        YES            
32     46     78     -677.280865             0.160975       0.0            68        YES            
34     48     82     -713.254257             0.127619       0.0            83        YES            
34     62     96     -772.377816             -0.229848      0.0            93        YES            
34     66     100    -780.90839              -0.223749      0.0            110       YES            
36     48     84     -732.792536             0.080047       0.0            133       YES            
36     54     90     -771.416616             0.132151       0.0            153       YES            
36     60     96     -797.798728             -0.247327      0.0            161       YES            
36     64     100    -810.669363             -0.234818      0.0            178       YES            
38     60     98     -824.708433             -0.215298      0.0            195       YES            
38     62     100    -833.372681             -0.220237      0.0            212       YES            
38     64     102    -841.487461             -0.215458      0.0            229       YES            
40     34     74     -576.615448             -0.190941      0.0            243       YES            
40     64     104    -870.021396             -0.203753      0.0            263       YES            
40     66     106    -879.293067             -0.206659      0.0            280       YES            
42     64     106    -895.385939             -0.208009      0.0            297       YES            
44     34     78     -566.198453             0.136176       0.0            316       YES            
44     68     112    -941.871462             -0.213949      0.0            328       YES            
52     62     114    -958.384463             0.257214       0.0            353       YES            
52     92     144    -1151.916678            0.172087       0.0            369       YES            
52     94     146    -1156.455354            0.220054       0.0            387       YES            
54     88     142    -1165.465466            0.165264       0.0            404       YES            
54     90     144    -1172.299504            0.185969       0.0            420       YES            
54     92     146    -1178.531953            0.207097       0.0            438       YES            
54     94     148    -1184.655275            0.232539       0.0            454       YES            
56     54     110    -867.640583             0.205222       0.0            472       YES            
56     56     112    -895.142348             0.224964       0.0            489       YES            
56     58     114    -920.600656             0.247034       0.0            503       YES            
56     86     142    -1176.656603            0.149395       0.0            523       YES            
56     88     144    -1186.259611            0.18127        0.0            540       YES            
56     90     146    -1194.767978            0.205777       0.0            556       YES            
56     92     148    -1202.675699            0.238539       0.0            573       YES            
56     136    192    -1263.260134            0.160838       0.0            591       YES            
56     138    194    -1260.149188            0.176823       0.0            608       YES            
58     56     114    -890.718882             0.256179       0.0            625       YES            
58     84     142    -1181.964975            0.096318       0.0            642       YES            
58     86     144    -1193.270672            0.154065       0.0            659       YES            
58     88     146    -1204.278216            0.193456       0.0            676       YES            
58     90     148    -1214.632189            0.240941       0.0            692       YES            
58     132    190    -1309.836958            0.108513       0.0            710       YES            
58     134    192    -1307.808014            0.140675       0.0            727       YES            
58     136    194    -1305.671756            0.1625         0.0            743       YES            
58     138    196    -1303.343522            0.183755       0.0            761       YES            
60     86     146    -1207.772758            0.155293       0.0            778       YES            
60     88     148    -1220.196539            0.207055       0.0            795       YES            
60     132    192    -1348.88546             0.095047       0.0            811       YES            
60     134    194    -1347.337585            0.133313       0.0            828       YES            
60     136    196    -1345.792358            0.163482       0.0            846       YES            
60     138    198    -1344.893221            0.239776       0.0            863       YES            
62     86     148    -1220.437239            0.157826       0.0            880       YES            
62     88     150    -1234.43825             0.220431       0.0            897       YES            
62     132    194    -1385.924854            0.073352       0.0            911       YES            
62     134    196    -1384.884027            0.130776       0.0            930       YES            
62     136    198    -1384.078896            0.175615       0.0            948       YES            
64     130    194    -1420.925727            0.0            0.0            961       YES            
64     132    196    -1420.824427            0.059302       0.0            979       YES            
64     134    198    -1420.663777            0.140462       0.0            998       YES            
64     136    200    -1421.055642            0.195986       0.0            1016      YES            
66     130    196    -1452.863944            0.017414       0.0            1030      YES            
66     132    198    -1453.644407            0.082463       0.0            1047      YES            
66     134    200    -1454.787437            0.150059       0.0            1066      YES            
66     136    202    -1456.138602            0.192862       0.0            1083      YES            
66     168    234    -1445.788996            0.219211       0.0            1098      YES            
66     170    236    -1442.625564            0.200585       0.0            1115      YES            
68     130    198    -1483.027496            0.041426       0.0            1132      YES            
68     132    200    -1485.002129            0.110833       0.0            1149      YES            
68     134    202    -1487.116386            0.15206        0.0            1166      YES            
68     162    230    -1497.793081            0.265234       0.0            1184      YES            
68     164    232    -1495.68446             0.245306       0.0            1200      YES            
68     170    238    -1488.516482            0.203256       0.0            1217      YES            
70     86     156    -1254.353735            0.149239       0.0            1236      YES            
70     164    234    -1537.91017             0.237082       0.0            1251      YES            
70     166    236    -1536.54387             0.225621       0.0            1268      YES            
70     168    238    -1534.866732            0.212577       0.0            1285      YES            
70     170    240    -1532.712794            0.194978       0.0            1302      YES            
72     86     158    -1258.551973            0.145184       0.0            1321      YES            
72     166    238    -1577.204593            0.213815       0.0            1336      YES            
72     168    240    -1576.320218            0.200585       0.0            1353      YES            
72     174    246    -1570.984936            0.142719       0.0            1370      YES            
82     140    222    -1681.258004            0.0            0.0            1386      YES            
84     134    218    -1676.440463            0.099963       0.0            1404      YES            
84     156    240    -1752.421003            0.243937       0.0            1423      YES            
84     160    244    -1762.273228            0.222873       0.0            1440      YES            
84     162    246    -1766.507192            0.206627       0.0            1457      YES            
84     196    280    -1792.381058            0.104648       0.0            1474      YES            
86     130    216    -1669.305557            0.075772       0.0            1490      YES            
86     132    218    -1679.428112            0.108262       0.0            1506      YES            
86     134    220    -1689.048337            0.130026       0.0            1523      YES            
86     136    222    -1698.368416            0.150365       0.0            1540      YES            
86     138    224    -1707.614348            0.169604       0.0            1557      YES            
86     140    226    -1716.667662            0.186191       0.0            1574      YES            
86     152    238    -1763.074655            0.241358       0.0            1593      YES            
86     154    240    -1769.190621            0.238755       0.0            1608      YES            
86     156    242    -1775.203666            0.234762       0.0            1627      YES            
86     158    244    -1781.037209            0.226425       0.0            1642      YES            
86     192    278    -1831.044176            0.084551       0.0            1660      YES            
86     194    280    -1829.464786            0.11122        0.0            1678      YES            
86     196    282    -1828.006488            0.131909       0.0            1693      YES            
86     198    284    -1826.712427            0.15134        0.0            1710      YES            
88     130    218    -1677.092453            0.093129       0.0            1727      YES            
88     132    220    -1688.618632            0.125389       0.0            1744      YES            
88     134    222    -1699.690682            0.150794       0.0            1761      YES            
88     136    224    -1710.522745            0.174897       0.0            1778      YES            
88     138    226    -1721.220749            0.194097       0.0            1795      YES            
88     140    228    -1731.548131            0.20828        0.0            1812      YES            
88     142    230    -1741.432077            0.22045        0.0            1829      YES            
88     152    240    -1782.969353            0.241246       0.0            1846      YES            
88     154    242    -1789.742837            0.237083       0.0            1863      YES            
88     156    244    -1796.445486            0.231834       0.0            1880      YES            
88     192    280    -1862.454332            0.096342       0.0            1898      YES            
88     194    282    -1861.791368            0.122476       0.0            1914      YES            
88     196    284    -1861.304464            0.145824       0.0            1931      YES            
88     198    286    -1861.077744            0.166258       0.0            1948      YES            
88     200    288    -1860.803787            0.181784       0.0            1965      YES            
90     118    208    -1585.338467            0.132949       0.0            1982      YES            
90     130    220    -1683.173089            0.101865       0.0            1999      YES            
90     132    222    -1695.996735            0.14032        0.0            2016      YES            
90     134    224    -1708.693054            0.173871       0.0            2033      YES            
90     136    226    -1721.389644            0.20219        0.0            2050      YES            
90     138    228    -1733.49666             0.219419       0.0            2067      YES            
90     154    244    -1808.636815            0.242584       0.0            2084      YES            
90     156    246    -1816.024213            0.236299       0.0            2101      YES            
90     158    248    -1823.290276            0.227829       0.0            2118      YES            
90     160    250    -1830.307626            0.217071       0.0            2135      YES            
90     190    280    -1892.940725            -0.0           0.0            2151      YES            
90     192    282    -1892.122708            0.099578       0.0            2170      YES            
90     194    284    -1892.311219            0.132098       0.0            2186      YES            
90     196    286    -1892.957686            0.160857       0.0            2203      YES            
90     198    288    -1893.785383            0.181405       0.0            2220      YES            
90     224    314    -1877.042817            0.211464       0.0            2237      YES            
92     130    222    -1687.73434             0.107369       0.0            2254      YES            
92     132    224    -1701.83825             0.154154       0.0            2271      YES            
92     134    226    -1716.161392            0.192921       0.0            2288      YES            
92     136    228    -1730.434249            0.221115       0.0            2305      YES            
92     138    230    -1743.809684            0.237229       0.0            2329      YES            
92     156    248    -1833.924451            0.245426       0.0            2339      YES            
92     158    250    -1841.762538            0.236789       0.0            2356      YES            
92     160    252    -1849.348624            0.226406       0.0            2373      YES            
92     162    254    -1856.361737            0.214299       0.0            2390      YES            
92     190    282    -1920.586814            -0.0           0.0            2406      YES            
92     192    284    -1920.27158             0.101165       0.0            2425      YES            
92     194    286    -1921.366443            0.142376       0.0            2441      YES            
92     196    288    -1923.17759             0.173619       0.0            2458      YES            
92     198    290    -1924.907126            0.192505       0.0            2475      YES            
94     130    224    -1690.915964            0.111525       0.0            2492      YES            
94     132    226    -1706.264811            0.16532        0.0            2509      YES            
94     134    228    -1721.812432            0.204436       0.0            2526      YES            
94     136    230    -1737.0847              0.229755       0.0            2550      YES            
94     138    232    -1751.514266            0.244089       0.0            2567      YES            
94     140    234    -1765.268115            0.255024       0.0            2584      YES            
94     158    252    -1858.661076            0.247814       0.0            2594      YES            
94     160    254    -1866.795954            0.237034       0.0            2611      YES            
94     162    256    -1874.35194             0.224134       0.0            2628      YES            
94     190    284    -1946.015333            -0.00026       0.0            2645      YES            
94     192    286    -1946.965322            0.104519       0.0            2664      YES            
94     194    288    -1948.952967            0.149664       0.0            2679      YES            
94     196    290    -1951.639071            0.182511       0.0            2696      YES            
94     198    292    -1954.146583            0.200205       0.0            2713      YES            
96     128    224    -1678.353848            -0.000318      0.0            2728      YES            
96     130    226    -1692.790499            0.114721       0.0            2747      YES            
96     132    228    -1709.205018            0.173073       0.0            2764      YES            
96     134    230    -1725.735453            0.215303       0.0            2781      YES            
96     136    232    -1741.952827            0.237081       0.0            2805      YES            
96     162    258    -1890.94755             0.233269       0.0            2815      YES            
96     164    260    -1898.113983            0.215564       0.0            2832      YES            
