Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
4      6      10           -71.624639             0.001105             0.001626               0.001439               0.000324                   0.001031                       0.001354                         0.0                             0.0                                0.0                         2.591187                2.339079              2.312282             2.519915               2.438984               2.444279            14              YES
4      6      10           -71.608257              0.00014             0.000582               0.000423                  2e-05                   0.000292                       0.000311                         0.0                             0.0                                0.0                         2.575932                2.333723              2.312262              2.52058               2.439389               2.444259            13              YES
4      6      10           -71.594482              1.5e-05             -9.7e-05               -5.7e-05                  1e-05                   -3.4e-05                       -2.5e-05                         0.0                             0.0                                0.0                         2.576271                2.333616              2.312299              2.52055               2.439384               2.444295             8              YES
4      6      10           -71.594478             -1.7e-05              9.1e-05                5.2e-05                 -1e-05                    3.1e-05                        2.2e-05                         0.0                             0.0                                0.0                          2.57627                2.333616              2.312299              2.52055               2.439384               2.444295            10              YES
4      6      10           -71.593966                 -0.0                  0.0                   -0.0                   -0.0                        0.0                            0.0                         0.0                             0.0                                0.0                          2.57603                2.333447                2.3123             2.520557               2.439389               2.444296             9              YES
4      6      10           -71.585203             0.000231             0.000537               0.000427                2.6e-05                   0.000284                        0.00031                         0.0                             0.0                                0.0                         2.559285                2.331502              2.312179              2.52068               2.439419               2.444181            12              YES
4      6      10           -71.583964            -0.000935            -0.001979              -0.001604              -0.000266                  -0.001188                      -0.001454                         0.0                             0.0                                0.0                         2.571958                2.329435              2.312124             2.519638               2.438752               2.444129             3              YES
4      6      10           -71.568432             -8.5e-05             0.000226               0.000114                   -0.0                   0.000132                       0.000132                         0.0                             0.0                                0.0                         2.562317                2.323424              2.312279             2.520629               2.439425               2.444275            11              YES
4      6      10           -71.560234             0.000768             0.001563               0.001277                0.00015                   0.000838                       0.000989                         0.0                             0.0                                0.0                         2.561649                2.321007              2.312184             2.519654               2.438785               2.444186            15              YES
4      6      10           -71.559553             0.000441             0.001661               0.001222                  8e-05                   0.000829                        0.00091                         0.0                             0.0                                0.0                          2.55995                2.324712              2.312033             2.519101               2.438385               2.444043            17              YES
4      6      10           -71.548871            -0.001851            -0.003955              -0.003198              -0.000449                  -0.002161                      -0.002609                         0.0                             0.0                                0.0                         2.558731                2.322978              2.311705             2.518094               2.437637               2.443733             1              YES
4      6      10           -71.542388            -0.001097            -0.001928              -0.001629              -0.000328                  -0.001171                      -0.001499                         0.0                             0.0                                0.0                         2.549782                2.317911              2.312068             2.519796               2.438829               2.444076             4              YES
4      6      10           -71.537491             0.000497             0.001589               0.001196               0.000103                    0.00082                       0.000923                         0.0                             0.0                                0.0                        -2.553363               -2.314956              2.312088             2.519214               2.438476               2.444095            16              YES
4      6      10            -71.51762             -6.6e-05            -0.000358              -0.000253                 -1e-05                  -0.000182                      -0.000191                         0.0                             0.0                                0.0                         2.538382                2.308595              2.312192             2.520555               2.439347               2.444194             7              YES
4      6      10           -71.492649            -0.001444            -0.003034              -0.002462              -0.000387                   -0.00172                      -0.002107                         0.0                             0.0                                0.0                         2.534037                2.301701              2.311887             2.518778               2.438129               2.443905             2              YES
4      6      10            -71.48459            -0.000258            -0.000938              -0.000693               -5.9e-05                  -0.000445                      -0.000505                         0.0                             0.0                                0.0                         2.530628                2.295169              2.312202             2.520209               2.439136               2.444203             6              YES
4      6      10           -71.467344            -0.000462            -0.001352              -0.001032              -0.000164                  -0.000713                      -0.000878                         0.0                             0.0                                0.0                         2.525793                2.289462              2.312096             2.519855               2.438876               2.444102             5              YES
6      4      10           -67.276437             0.000974             0.000249                0.00072               0.000555                    6.4e-05                        0.00062                         0.0                             0.0                                0.0                         2.417911                2.465718              2.558012             2.304471               2.459734               2.695928            30              YES
6      4      10           -67.268186             0.000937             0.000408               0.000751               0.000526                    8.7e-05                       0.000614                         0.0                             0.0                                0.0                         2.421485                2.455603              2.558172             2.304414               2.459812               2.696079            29              YES
6      4      10           -67.201936             0.000656             0.000261               0.000517               0.000376                    4.4e-05                       0.000421                         0.0                             0.0                                0.0                         2.401405                2.428949               2.55806             2.304347               2.459717               2.695973            28              YES
6      4      10           -67.198462             0.002515             0.000517               0.001813               0.001354                   0.000145                       0.001499                         0.0                             0.0                                0.0                          2.38692                2.458322              2.555679             2.304469               2.458278               2.693714            34              YES
6      4      10           -67.195443            -0.002855            -0.001096              -0.002237              -0.001706                  -0.000299                      -0.002005                         0.0                             0.0                                0.0                         2.394708                2.437141              2.556696             2.304308               2.458852               2.694679            20              YES
6      4      10           -67.194799            -0.002501            -0.001016              -0.001979              -0.001514                  -0.000276                       -0.00179                         0.0                             0.0                                0.0                         2.379471                2.461847              2.556666             2.304598               2.458941                2.69465            21              YES
6      4      10           -67.192805             0.002126             0.000725               0.001634               0.001159                   0.000262                        0.00142                         0.0                             0.0                                0.0                         2.394049                2.433324              2.556935             2.304357               2.459019               2.694905            31              YES
6      4      10            -67.18143            -0.004076            -0.001511              -0.003175              -0.002364                   -0.00035                      -0.002714                         0.0                             0.0                                0.0                         2.389937                2.440708              2.555616             2.304208                2.45814               2.693655            19              YES
6      4      10           -67.179138              0.00204             0.000552               0.001517               0.001132                   0.000117                       0.001249                         0.0                             0.0                                0.0                         2.383359                2.439879              2.556543             2.304451               2.458809               2.694533            32              YES
6      4      10           -67.173443            -0.000277            -0.000196              -0.000249              -0.000193                   -3.4e-05                      -0.000227                         0.0                             0.0                                0.0                         2.381511                2.435151              2.557691             2.304551               2.459563               2.695623            25              YES
6      4      10           -67.171532                  0.0                 -0.0                   -0.0                    0.0                       -0.0                            0.0                         0.0                             0.0                                0.0                         2.381583                2.432278              2.557783               2.3046                2.45964               2.695711            26              YES
