Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
14     2      16            21.715307            -0.413063            -0.047254              -0.404145              -1.794729                  -0.007914                      -1.802642                         0.0                             0.0                                0.0                         1.727152                0.698829              5.017173             2.098331               4.751409               5.094844             1              YES
14     2      16            21.717661            -0.380227            -0.046341              -0.371886              -1.594771                  -0.007808                      -1.602579                         0.0                             0.0                                0.0                         1.732922                0.719179              4.964636               2.1025               4.703108               5.043117             2              YES
14     2      16            21.717661            -0.380227            -0.046341              -0.371886              -1.594771                  -0.007808                      -1.602579                         0.0                             0.0                                0.0                         1.732922                0.719179              4.964636               2.1025               4.703108               5.043117             3              ***
14     2      16            21.819099            -0.322534            -0.044056              -0.315348              -1.297765                   -0.00746                      -1.305225                         0.0                             0.0                                0.0                         1.724808                0.745446              4.893111             2.106884               4.637304                4.97272             4              YES
14     2      16            21.840547              0.51683             0.045076               0.505352               2.205204                   0.007669                       2.212873                         0.0                             0.0                                0.0                        -1.738794                0.733693              5.025179              2.09961               4.758878               5.102728            16              YES
14     2      16            21.940484                  0.0                  0.0                    0.0                  1e-06                        0.0                          1e-06                         0.0                             0.0                                0.0                         1.737337                 0.74525              4.753277             2.118928               4.508955                4.83519             9              YES
14     2      16            21.949974             0.033778             0.003638               0.032946                0.12764                   0.000635                       0.128275                         0.0                             0.0                                0.0                         1.737522                0.739625              4.754686             2.118862                4.51025               4.836575            10              YES
14     2      16            21.958129            -0.034608            -0.004067              -0.033765              -0.129178                  -0.000708                      -0.129886                         0.0                             0.0                                0.0                         1.737577                0.735165              4.754862             2.118887               4.510414               4.836747             8              YES
14     2      16            22.035548             0.441938             0.041525                0.43187               1.849191                     0.0071                       1.856291                         0.0                             0.0                                0.0                         1.730233                0.754353               4.94782             2.102382               4.687569               5.026563            15              YES
14     2      16            22.156364             0.371671             0.039482               0.363071                 1.5314                    0.00679                        1.53819                         0.0                             0.0                                0.0                         1.720849                 0.76193              4.882423             2.105886                4.62738               4.962204            14              YES
14     2      16             22.16943            -0.147564            -0.022518              -0.144137              -0.554708                  -0.003867                      -0.558575                         0.0                             0.0                                0.0                         1.711187                0.774224              4.763558             2.115615               4.518244               4.845297             7              YES
14     2      16            22.209922            -0.245555            -0.034122              -0.239886              -0.949584                  -0.005822                      -0.955406                         0.0                             0.0                                0.0                          1.73124                0.794737              4.804573             2.110005                4.55576               4.885625             5              YES
14     2      16            22.256783             -0.20296            -0.028685              -0.198226              -0.775425                  -0.004922                      -0.780347                         0.0                             0.0                                0.0                         1.712176                0.791408              4.778426             2.112734               4.531793               4.859915             6              YES
14     2      16            22.315999             0.141827             0.019322               0.138453               0.555983                   0.003364                       0.559347                         0.0                             0.0                                0.0                         1.713172                0.783073              4.750868             2.115372               4.506523               4.832821            11              YES
