Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
2      2      4      -30.074329              0.000468       0.0            654       YES            
22     44     66     -517.019254             1.018011       0.0            659       YES            
24     24     48     -409.194261             -0.249643      0.0            660       YES            
24     28     52     -458.646281             0.667636       0.0            666       YES            
26     46     72     -599.322418             2.192362       0.0            670       YES            
30     44     74     -642.735412             2.467125       0.0            674       YES            
30     46     76     -657.051259             2.187655       0.0            679       YES            
32     44     76     -662.297093             3.137857       0.0            683       YES            
32     46     78     -678.743609             2.730938       0.0            686       YES            
34     44     78     -678.642188             3.506775       0.0            691       YES            
34     52     86     -741.899011             2.08718        0.0            694       YES            
34     62     96     -782.800251             -5.645418      0.0            697       YES            
34     64     98     -788.874182             -5.907235      0.0            701       YES            
36     32     68     -547.270822             -2.165908      0.0            705       YES            
36     44     80     -692.504788             4.925446       0.0            710       YES            
36     52     88     -763.503937             1.554955       0.0            714       YES            
36     68     104    -835.111526             9.402839       0.0            718       YES            
38     34     72     -576.502533             6.210344       0.0            21        YES            
38     42     80     -683.151369             6.976738       0.0            722       YES            
38     44     82     -704.339767             5.973856       0.0            726       YES            
40     36     76     -607.01983              6.840682       0.0            42        YES            
40     42     82     -689.967311             7.134477       0.0            62        YES            
40     44     84     -713.247073             5.886723       0.0            730       YES            
40     58     98     -840.230354             8.255738       0.0            734       YES            
40     64     104    -877.822805             10.800032      0.0            82        YES            
40     66     106    -887.788891             11.020608      0.0            99        YES            
40     94     134    -961.352022             0.455658       0.0            738       YES            
40     96     136    -960.789702             -0.936658      0.0            741       YES            
40     98     138    -959.702109             -1.025141      0.0            745       YES            
40     100    140    -957.525432             -8.16305       0.0            749       YES            
40     102    142    -956.870777             -9.006524      0.0            753       YES            
42     36     78     -604.813155             6.541424       0.0            125       YES            
42     38     80     -637.090515             7.391587       0.0            147       YES            
42     42     84     -693.765236             6.430651       0.0            758       YES            
42     58     100    -858.530409             7.225403       0.0            762       YES            
42     64     106    -899.822986             10.174798      0.0            162       YES            
42     96     138    -1001.553163            -0.991756      0.0            765       YES            
42     98     140    -1000.980901            -8.632149      0.0            769       YES            
46     36     82     -595.245378             2.387496       0.0            774       YES            
52     56     108    -892.750365             3.615816       0.0            778       YES            
52     90     142    -1158.423199            5.225774       0.0            783       YES            
54     54     108    -867.564431             4.562736       0.0            786       YES            
54     56     110    -892.220029             5.529168       0.0            790       YES            
54     58     112    -915.623052             6.668131       0.0            794       YES            
54     86     140    -1163.290973            5.209932       0.0            799       YES            
