Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
12     2      14     7.697941                -1.169394      0.0            86        YES            
12     14     26     -211.275556             -0.443807      0.0            90        YES            
16     4      20     -19.25017               -0.067187      0.0            10        YES            
24     36     60     -510.862654             0.594993       0.0            96        YES            
26     24     50     -417.550408             1.691983       0.0            99        YES            
26     34     60     -524.004962             1.372628       0.0            104       YES            
26     36     62     -537.382875             0.985644       0.0            107       YES            
46     36     82     -596.766725             1.948891       0.0            111       YES            
52     72     124    -1050.10194             -4.138853      0.0            114       YES            
52     74     126    -1065.73274             3.805397       0.0            120       YES            
56     56     112    -898.248159             6.836678       0.0            123       YES            
56     78     134    -1126.020265            -3.674793      0.0            126       YES            
56     90     146    -1198.040027            9.296591       0.0            131       YES            
56     118    174    -1275.649511            9.399687       0.0            135       YES            
58     88     146    -1207.885674            8.509806       0.0            140       YES            
58     90     148    -1218.226189            10.890103      0.0            144       YES            
60     60     120    -949.831046             13.590838      0.0            40        YES            
60     74     134    -1110.425146            -9.527798      0.0            145       YES            
60     86     146    -1212.054622            6.569401       0.0            151       YES            
60     88     148    -1224.389269            9.323791       0.0            156       YES            
60     136    196    -1365.730157            -8.383491      0.0            158       YES            
60     138    198    -1365.679673            -9.764582      0.0            162       YES            
60     140    200    -1365.010965            -12.820678     0.0            165       YES            
62     134    196    -1401.734367            -7.075754      0.0            173       YES            
62     136    198    -1403.110681            9.29343        0.0            179       YES            
62     138    200    -1403.317753            -11.541137     0.0            182       YES            
64     132    196    -1434.890166            -5.248403      0.0            186       YES            
64     134    198    -1436.520203            -7.487122      0.0            190       YES            
64     136    200    -1437.99867             -10.366532     0.0            194       YES            
66     88     154    -1262.396503            10.868251      0.0            200       YES            
66     132    198    -1466.794542            -5.773235      0.0            202       YES            
66     134    200    -1469.124288            -8.642474      0.0            206       YES            
66     136    202    -1471.511038            -11.581837     0.0            210       YES            
68     92     160    -1304.93526             15.450059      0.0            215       YES            
68     132    200    -1492.122537            32.313546      0.0            219       YES            
70     136    206    -1532.619356            -11.829832     0.0            230       YES            
72     130    202    -1541.551652            37.234683      0.0            239       YES            
74     96     170    -1362.66914             17.52652       0.0            244       YES            
74     98     172    -1380.629128            19.230553      0.0            248       YES            
74     136    210    -1586.960549            -10.001851     0.0            250       YES            
76     98     174    -1386.488707            18.817025      0.0            256       YES            
80     96     176    -1369.519631            -20.706375     0.0            258       YES            
86     134    220    -1689.332445            -29.554401     0.0            265       YES            
86     136    222    -1700.470565            -32.305746     0.0            269       YES            
88     136    224    -1712.901035            -32.506071     0.0            285       YES            
88     138    226    -1724.405142            -34.339598     0.0            289       YES            
88     140    228    -1735.228099            -35.350037     0.0            293       YES            
88     196    284    -1889.637061            72.635659      0.0            299       YES            
88     198    286    -1890.690392            73.445478      0.0            303       YES            
88     200    288    -1891.592885            74.286091      0.0            307       YES            
88     202    290    -1893.049058            -36.380855     0.0            310       YES            
90     134    224    -1711.212044            -29.34351      0.0            321       YES            
90     136    226    -1723.787633            -32.20323      0.0            325       YES            
90     138    228    -1736.086877            40.777077      0.0            332       YES            
90     194    284    -1918.53688             72.409888      0.0            335       YES            
90     196    286    -1920.331612            73.552435      0.0            339       YES            
90     198    288    -1921.931146            74.959907      0.0            343       YES            
90     200    290    -1923.507452            -40.492429     0.0            345       YES            
90     202    292    -1925.060565            -41.020152     0.0            350       YES            
92     134    226    -1719.806617            -30.037893     0.0            361       YES            
92     136    228    -1733.258811            39.632373      0.0            367       YES            
92     138    230    -1746.529083            42.078195      0.0            372       YES            
92     192    284    -1944.411282            73.584633      0.0            375       YES            
92     194    286    -1946.997808            74.657869      0.0            379       YES            
92     196    288    -1949.301157            76.570409      0.0            383       YES            
92     198    290    -1951.645226            -40.826889     0.0            386       YES            
92     200    292    -1953.841805            -41.902863     0.0            390       YES            
94     130    224    -1694.433247            -44.216938     0.0            393       YES            
94     132    226    -1711.411146            38.71728       0.0            399       YES            
94     134    228    -1726.595666            39.850032      0.0            403       YES            
94     136    230    -1741.174577            41.360718      0.0            407       YES            
94     138    232    -1755.119848            44.340445      0.0            412       YES            
94     190    284    -1967.40108             74.106958      0.0            415       YES            
94     192    286    -1970.863621            74.777336      0.0            419       YES            
94     194    288    -1973.990052            76.012385      0.0            423       YES            
94     196    290    -1976.862634            -40.96719      0.0            426       YES            
94     198    292    -1979.881672            -42.093298     0.0            430       YES            
96     128    224    -1682.004567            38.366962      0.0            435       YES            
96     130    226    -1699.161693            39.470035      0.0            439       YES            
96     132    228    -1712.653911            -47.511969     0.0            441       YES            
96     134    230    -1731.823549            41.550571      0.0            447       YES            
96     188    284    -1987.469681            73.880964      0.0            452       YES            
96     190    286    -1991.785233            74.164317      0.0            455       YES            
96     192    288    -1995.771075            75.125883      0.0            460       YES            
96     194    290    -1999.478444            76.42667       0.0            464       YES            
96     196    292    -2003.010324            -41.906127     0.0            466       YES            
96     198    294    -2006.595419            -42.941336     0.0            470       YES            
98     128    226    -1682.925461            39.717263      0.0            475       YES            
98     130    228    -1700.955984            40.762148      0.0            479       YES            
98     132    230    -1718.462769            41.805458      0.0            483       YES            
98     186    284    -2004.669504            72.851788      0.0            488       YES            
98     188    286    -2009.786704            72.965786      0.0            492       YES            
98     190    288    -2014.642341            73.161757      0.0            495       YES            
98     192    290    -2019.196699            74.272284      0.0            500       YES            
98     194    292    -2023.275721            64.467764      0.0            503       YES            
98     196    294    -2027.450561            -42.484813     0.0            506       YES            
98     198    296    -2031.600754            -43.532052     0.0            510       YES            
98     262    360    -2053.89641             -63.172783     0.0            514       YES            
100    126    226    -1663.013947            38.144214      0.0            519       YES            
100    128    228    -1679.938502            -47.598103     0.0            521       YES            
100    130    230    -1701.264855            41.807755      0.0            527       YES            
100    132    232    -1719.624389            43.119838      0.0            531       YES            
100    184    284    -2018.952565            71.014543      0.0            536       YES            
100    186    286    -2024.892292            70.512167      0.0            540       YES            
100    188    288    -2030.577249            69.669507      0.0            543       YES            
100    190    290    -2035.997336            68.728566      0.0            547       YES            
100    192    292    -2040.380803            -40.448888     0.0            550       YES            
100    194    294    -2045.40871             -41.792025     0.0            554       YES            
100    196    296    -2050.279686            -42.971595     0.0            558       YES            
100    198    298    -2054.973256            -44.030863     0.0            562       YES            
100    260    360    -2091.815506            106.102119     0.0            568       YES            
100    262    362    -2090.603318            -63.50583      0.0            570       YES            
100    264    364    -2089.409535            -64.519444     0.0            574       YES            
102    128    230    -1677.435514            -48.668509     0.0            577       YES            
102    184    286    -2037.162171            67.819233      0.0            584       YES            
102    186    288    -2043.707851            66.845779      0.0            588       YES            
102    188    290    -2050.014268            64.788824      0.0            591       YES            
102    190    292    -2056.209252            57.587402      0.0            595       YES            
102    192    294    -2062.268103            53.262986      0.0            599       YES            
102    194    296    -2068.030111            46.679077      0.0            603       YES            
102    196    298    -2071.468538            -43.637353     0.0            606       YES            
102    260    362    -2127.732183            104.039166     0.0            611       YES            
102    262    364    -2126.540435            106.639847     0.0            616       YES            
102    264    366    -2125.334562            109.246432     0.0            620       YES            
104    184    288    -2054.069226            65.303184      0.0            624       YES            
104    186    290    -2061.28086             63.886962      0.0            628       YES            
104    188    292    -2068.330118            61.355312      0.0            631       YES            
104    190    294    -2075.259429            58.986824      0.0            635       YES            
104    192    296    -2081.920922            57.454475      0.0            639       YES            
104    194    298    -2088.174462            55.60408       0.0            643       YES            
104    196    300    -2094.094018            52.308003      0.0            647       YES            
104    260    364    -2162.427442            100.412082     0.0            651       YES            
104    262    366    -2161.60473             102.262368     0.0            655       YES            
104    264    368    -2160.673047            104.054256     0.0            659       YES            
106    184    290    -2069.606154            64.735312      0.0            664       YES            
106    186    292    -2077.468553            63.556051      0.0            668       YES            
106    188    294    -2085.162218            61.963652      0.0            671       YES            
106    190    296    -2092.674405            60.749236      0.0            675       YES            
106    260    366    -2196.179087            96.207886      0.0            679       YES            
106    262    368    -2195.640626            97.071943      0.0            683       YES            
106    264    370    -2195.014338            97.206558      0.0            687       YES            
108    186    294    -2091.949796            64.992735      0.0            692       YES            
108    262    370    -2228.420782            95.594686      0.0            695       YES            
108    264    372    -2228.12885             95.757954      0.0            699       YES            
108    266    374    -2227.746546            95.603981      0.0            703       YES            
108    268    376    -2227.265467            95.237408      0.0            707       YES            
108    270    378    -2226.678938            94.736457      0.0            711       YES            
108    272    380    -2225.977318            94.121719      0.0            715       YES            
110    264    374    -2259.267038            96.184111      0.0            719       YES            
110    266    376    -2259.237318            95.680115      0.0            723       YES            
110    268    378    -2259.107894            95.174301      0.0            727       YES            
112    188    300    -2124.94027             68.636626      0.0            63        YES            
112    192    304    -2143.105335            66.48146       0.0            732       YES            
112    216    328    -2222.23712             75.792338      0.0            735       YES            
112    264    376    -2288.87287             100.485187     0.0            739       YES            
112    266    378    -2289.212605            96.560525      0.0            743       YES            
112    268    380    -2289.475319            95.070005      0.0            747       YES            
114    266    380    -2316.383571            -83.676474     0.0            750       YES            
114    268    382    -2318.537269            99.637867      0.0            755       YES            
114    280    394    -2319.124223            95.487712      0.0            759       YES            
114    282    396    -2318.565269            95.806867      0.0            763       YES            
114    288    402    -2314.59897             -86.427864     0.0            766       YES            
116    190    306    -2152.163915            -59.112804     0.0            770       YES            
116    266    382    -2344.360462            -85.678024     0.0            774       YES            
116    268    384    -2345.197363            -85.840538     0.0            778       YES            
116    270    386    -2345.902006            -85.866412     0.0            782       YES            
116    272    388    -2346.48915             -85.876421     0.0            786       YES            
116    282    398    -2348.778014            99.294976      0.0            791       YES            
116    284    400    -2348.38259             100.585837     0.0            795       YES            
118    190    308    -2160.352343            -60.583159     0.0            798       YES            
118    266    384    -2370.948727            -88.267277     0.0            802       YES            
118    268    386    -2372.081684            -88.759245     0.0            806       YES            
118    270    388    -2373.074648            -89.029086     0.0            810       YES            
118    272    390    -2373.951133            -89.193358     0.0            814       YES            
120    190    310    -2166.731934            -62.498935     0.0            818       YES            
120    216    336    -2286.610706            -81.947409     0.0            822       YES            
120    240    360    -2360.056839            103.205922     0.0            82        YES            
120    264    384    -2394.508786            -91.395889     0.0            826       YES            
120    266    386    -2396.298454            -92.346439     0.0            830       YES            
120    268    388    -2397.845072            -93.349052     0.0            834       YES            
120    270    390    -2399.194418            -94.263817     0.0            838       YES            
120    272    392    -2400.389638            -95.022404     0.0            842       YES            
