Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
2      2      4      -0.003801           -30.083113          -30.079312          -0.334673      0.286422       0.00016        
22     44     66     -0.003239           -517.021094         -517.017855         -0.043351      0.114395       0.997462       
24     24     48     -0.000681           -411.279223         -411.278542         -0.021691      0.214529       1.539126       
24     28     52     -0.004679           -458.662169         -458.65749          -0.01237       0.079133       0.604608       
26     46     72     -8.7e-05            -599.32348          -599.323393         0.021049       0.157086       2.19023        
30     44     74     -0.000345           -642.736332         -642.735987         0.02589        0.170272       2.458461       
30     46     76     -0.00019            -657.061123         -657.060933         0.025825       0.148723       2.177423       
32     44     76     -6e-05              -662.299748         -662.299688         0.030919       0.202605       3.127114       
32     46     78     -0.000179           -678.753694         -678.753515         0.032748       0.1742         2.724172       
34     44     78     -3e-06              -678.649181         -678.649178         -0.016751      0.21047        3.488881       
34     52     86     -1.8e-05            -741.924951         -741.924933         -0.025063      0.121779       2.080285       
34     62     96     -4.5e-05            -782.896766         -782.896721         0.016662       -0.231274      -5.610549      
34     64     98     -0.002142           -788.989867         -788.987725         0.02175        -0.231419      -5.876469      
36     32     68     -0.00714            -547.312508         -547.305368         0.04307        -0.142513      -2.118588      
36     44     80     0.000209            -692.505726         -692.505935         0.049242       0.286627       4.917267       
36     52     88     0.00079             -763.532504         -763.533294         -0.02258       0.095724       1.546358       
36     68     104    -8.8e-05            -835.172992         -835.172904         0.045878       0.334253       9.36966        
38     34     72     0.016544            -576.485989         -576.502533         0.036669       0.406582       6.210344       
38     42     80     -2.771178           -683.143127         -680.371949         0.098663       0.395775       -3.33825       
38     44     82     0.001309            -704.341351         -704.34266          0.079958       0.33377        5.958401       
40     36     76     0.009068            -607.010762         -607.01983          0.043086       0.410252       6.840682       
40     42     82     0.007278            -689.960033         -689.967311         0.125647       0.39563        7.134477       
40     44     84     0.005542            -713.254483         -713.260025         0.073724       0.316915       5.87388        
40     58     98     -0.19199            -840.730926         -840.538936         0.089425       0.01059        0.005775       
40     64     104    -0.00158            -877.824385         -877.822805         0.14476        0.406246       10.800032      
40     66     106    -3.7e-05            -887.788928         -887.788891         0.107649       0.393643       11.020608      
40     94     134    -0.018266           -961.823865         -961.805599         0.037041       -0.001678      -0.113752      
40     96     136    -0.086883           -961.769861         -961.682978         0.075724       -9e-06         -0.126307      
40     98     138    -0.13959            -960.858281         -960.718691         0.094772       0.000289       -0.133111      
40     100    140    -0.188081           -959.516304         -959.328223         0.10625        -0.000472      -0.130644      
40     102    142    -0.240689           -957.997496         -957.756807         0.114094       -0.002419      -0.120128      
42     36     78     0.003555            -604.8096           -604.813155         0.062848       0.377022       6.541424       
42     38     80     0.004982            -637.085533         -637.090515         0.083153       0.407735       7.391587       
42     42     84     0.001742            -693.764861         -693.766603         0.083869       0.343913       6.424295       
42     58     100    -0.03579            -858.612105         -858.576315         0.051302       -4.3e-05       0.007471       
42     64     106    -0.001909           -899.824895         -899.822986         0.157003       0.382442       10.174798      
42     96     138    -0.019409           -1002.311583        -1002.292174        0.059914       -0.004406      -0.123664      
42     98     140    -0.080171           -1002.090059        -1002.009888        0.096929       -0.014199      -0.141997      
46     36     82     -0.001446           -595.296938         -595.295492         -0.037603      0.143095       2.360552       
52     56     108    -0.06025            -892.854449         -892.794199         0.026673       0.139752       3.622771       
52     90     142    -0.056409           -1158.543678        -1158.487269        0.063291       0.113213       -0.0           
54     54     108    -0.332307           -867.937114         -867.604807         0.178964       0.189354       4.551022       
54     56     110    -0.452287           -892.710339         -892.258052         0.180786       0.2049         5.522604       
54     58     112    -0.159994           -915.825159         -915.665165         0.068835       0.226553       6.644247       
54     86     140    -0.34374            -1163.680054        -1163.336314        0.113403       0.13555        5.199782       
54     88     142    -0.585917           -1172.639749        -1172.053832        0.097156       0.162087       6.738885       
54     90     144    -0.531086           -1180.860788        -1180.329702        0.119869       0.183814       8.310043       
54     92     146    -0.199164           -1188.624025        -1188.424861        0.136493       0.219843       9.991202       
54     94     148    -0.081167           -1196.439127        -1196.35796         0.09377        0.244448       11.475553      
54     96     150    -0.00011            -1203.985744        -1203.985634        0.027418       0.25195        12.362244      
56     52     108    -0.11565            -835.222079         -835.106429         0.059328       0.150188       4.071688       
56     54     110    -0.543172           -863.670178         -863.127006         0.092361       0.206294       5.669019       
56     56     112    -0.903836           -890.774535         -889.870699         0.209156       0.240342       6.729877       
56     58     114    -0.476563           -915.990964         -915.514401         0.16734        0.29274        9.321797       
56     66     122    8.6e-05             -1008.666022        -1008.666108        0.029724       0.314068       10.979853      
56     84     140    -0.025337           -1168.876081        -1168.850744        0.023146       0.104249       4.216252       
56     86     142    -0.780029           -1180.819811        -1180.039782        0.158265       0.161778       6.138357       
56     88     144    -1.245352           -1191.629421        -1190.384069        0.188724       0.190704       7.987321       
56     90     146    -1.198949           -1201.547277        -1200.348328        0.196335       0.215588       10.085787      
56     92     148    -0.33003            -1210.817603        -1210.487573        0.089935       0.253988       12.525985      
56     94     150    -0.088527           -1220.068943        -1219.980416        0.119661       0.280926       13.840684      
56     96     152    -0.058616           -1228.860878        -1228.802262        0.083462       0.288302       14.412654      
56     132    188    -0.035982           -1313.47112         -1313.435138        0.033603       0.112451       7.958031       
56     134    190    -0.33371            -1313.433555        -1313.099845        0.097018       0.140303       9.694307       
56     136    192    -0.500623           -1312.971328        -1312.470705        0.116022       0.158626       11.444401      
56     138    194    -0.453792           -1312.131392        -1311.6776          0.11838        0.176278       13.474148      
58     54     112    -0.202904           -857.030542         -856.827638         0.166965       0.242689       7.033804       
58     56     114    -0.545253           -886.296857         -885.751604         0.173719       0.295615       9.410659       
58     58     116    -0.046394           -914.658186         -914.611792         0.060008       0.340512       11.089047      
58     84     142    -0.119888           -1182.38278         -1182.262892        0.05596        0.108498       4.409667       
58     86     144    -0.908436           -1195.484408        -1194.575972        0.170085       0.165388       6.628895       
58     88     146    -1.071449           -1207.449397        -1206.377948        0.198153       0.198612       9.572815       
58     90     148    -0.10825            -1219.026284        -1218.918034        0.153947       0.261208       12.431982      
58     92     150    -0.000471           -1231.143763        -1231.143292        0.046243       0.294226       14.308852      
58     132    190    -0.420449           -1350.934818        -1350.514369        0.10015        0.117854       7.63658        
58     134    192    -0.709449           -1351.529357        -1350.819908        0.129206       0.141286       9.555312       
58     136    194    -0.899784           -1351.730244        -1350.83046         0.143937       0.160715       11.507487      
58     138    196    -0.472192           -1351.559391        -1351.087199        0.146266       0.179948       18.380068      
60     84     144    -0.14809            -1194.062709        -1193.914619        0.066247       0.099672       4.174847       
60     86     146    -0.887119           -1208.121132        -1207.234013        0.17081        0.159483       7.176272       
60     88     148    -0.374115           -1221.262916        -1220.888801        0.185622       0.216147       11.328264      
60     90     150    -0.000863           -1235.614511        -1235.613648        0.059007       0.295362       14.174829      
60     130    190    -0.238236           -1384.792895        -1384.554659        0.058617       0.071426       3.570708       
60     132    192    -0.729639           -1386.538277        -1385.808638        0.119529       0.106232       6.236471       
60     134    194    -1.05194            -1387.688126        -1386.636186        0.145519       0.128747       8.412408       
60     136    196    -1.356482           -1388.500769        -1387.144287        0.161205       0.151139       17.483365      
62     84     146    -0.182503           -1204.096583        -1203.91408         0.085091       0.088215       3.501404       
62     86     148    -0.594457           -1218.943649        -1218.349192        0.169405       0.145475       8.186798       
62     88     150    -0.042696           -1233.520408        -1233.477712        0.098656       0.253468       11.959842      
62     90     152    -0.000477           -1249.102807        -1249.10233         0.051665       0.302902       14.983612      
62     130    192    -0.610137           -1418.131819        -1417.521682        0.079744       0.06223        0.168457       
62     132    194    -1.122828           -1420.49504         -1419.372212        0.121241       0.08659        3.935175       
62     134    196    -1.491963           -1422.190624        -1420.698661        0.156828       0.10705        5.747427       
62     136    198    -0.947587           -1423.471369        -1422.523782        0.175118       0.129207       18.183654      
64     84     148    -0.070887           -1212.572934        -1212.502047        0.078218       0.069505       -2.665566      
64     86     150    -0.282503           -1228.254155        -1227.971652        0.160048       0.120831       8.886724       
64     88     152    -9e-05              -1244.345126        -1244.345036        0.052735       0.249552       12.037127      
64     90     154    -0.000662           -1260.840743        -1260.840081        0.050008       0.294871       14.853389      
64     130    194    -0.701135           -1449.324191        -1448.623056        0.094022       0.053381       0.134403       
64     132    196    -1.479284           -1452.484681        -1451.005397        0.131049       0.073232       1.817082       
64     134    198    -1.794802           -1454.92987         -1453.135068        0.156309       0.084509       -0.483294      
64     136    200    -1.076268           -1456.867638        -1455.79137         0.177099       0.09758        17.820124      
66     130    196    -0.636256           -1477.992701        -1477.356445        0.09715        0.054737       2.15399        
66     132    198    -1.536596           -1482.07034         -1480.533744        0.136811       0.072934       3.71498        
66     134    200    -1.960287           -1485.395607        -1483.43532         0.162514       0.080364       -8.249315      
66     136    202    -0.929835           -1488.135681        -1487.205846        0.182132       0.08765        16.884782      
68     130    198    -0.231943           -1504.873507        -1504.641564        0.080958       0.060171       4.130271       
68     132    200    -0.963353           -1509.557231        -1508.593878        0.126935       0.075902       5.932256       
68     134    202    -1.169948           -1513.492956        -1512.323008        0.155972       0.078367       12.365207      
68     190    258    -0.004736           -1542.824957        -1542.820221        0.032332       0.079549       10.001956      
70     130    200    -0.005294           -1530.53176         -1530.526466        0.041247       0.068503       5.167733       
70     132    202    -0.338283           -1535.642423        -1535.30414         0.100725       0.083141       7.58405        
70     134    204    -0.197106           -1540.054153        -1539.857047        0.148686       0.082102       11.899182      
70     166    236    -0.009044           -1592.302305        -1592.293261        0.08439        0.260637       27.417329      
70     168    238    -0.016114           -1592.574651        -1592.558537        0.081029       0.250577       26.693925      
72     132    204    -0.054284           -1560.562277        -1560.507993        0.051495       0.097009       7.945881       
72     168    240    -0.011525           -1629.911731        -1629.900206        0.065925       0.214969       22.342831      
72     170    242    -0.01046            -1631.011307        -1631.000847        0.060014       0.201587       21.232711      
74     170    244    -0.010014           -1667.335867        -1667.325853        0.054773       0.187201       19.597437      
76     90     166    -0.000207           -1294.053124        -1294.052917        0.021352       0.170169       9.361489       
76     136    212    -0.347198           -1618.888437        -1618.541239        0.136769       -0.006373      11.103904      
78     134    212    -0.143734           -1633.705249        -1633.561515        0.079568       0.022556       4.820214       
78     136    214    -0.830262           -1640.861807        -1640.031545        0.118193       0.000607       6.755556       
78     138    216    -0.741406           -1647.27074         -1646.529334        0.13307        -0.023281      -7.913697      
80     134    214    -0.091304           -1654.052736        -1653.961432        0.047804       0.008893       0.0            
80     136    216    -0.397087           -1661.607678        -1661.210591        0.082049       0.005906       0.0            
80     138    218    -0.453002           -1668.436351        -1667.983349        0.097675       -0.008474      0.0            
80     140    220    -0.047732           -1674.849269        -1674.801537        0.097557       -0.028042      -6.74941       
82     134    216    -0.116743           -1672.589163        -1672.47242         0.05058        0.006042       0.0            
82     136    218    -0.368039           -1680.833998        -1680.465959        0.073756       0.008281       0.0            
82     138    220    -0.349799           -1688.341778        -1687.991979        0.07729        0.004521       0.0            
82     140    222    -0.196684           -1695.365777        -1695.169093        0.070711       -0.002074      0.0            
82     142    224    -0.074834           -1702.22466         -1702.149826        0.060222       -0.011265      0.0531         
84     132    216    -0.939399           -1673.029373        -1672.089974        0.114048       0.061492       0.0            
84     134    218    -1.407343           -1682.668544        -1681.261201        0.132455       0.060176       0.0            
84     136    220    -0.794941           -1691.584498        -1690.789557        0.142311       0.058382       10.455469      
84     154    238    -0.002542           -1767.113091        -1767.110549        0.067191       0.242217       24.382324      
84     156    240    -0.005699           -1774.057438        -1774.051739        0.069738       0.238933       24.221838      
84     158    242    -0.008995           -1780.798222        -1780.789227        0.068698       0.230731       23.553941      
84     160    244    -0.017195           -1787.221163        -1787.203968        0.06311        0.212689       21.810455      
84     162    246    -0.015306           -1793.452912        -1793.437606        0.052258       0.182222       18.588059      
84     194    278    -0.158638           -1856.291357        -1856.132719        0.05762        0.013086       0.0            
84     196    280    -0.366787           -1856.012852        -1855.646065        0.075466       0.01163        0.0            
84     198    282    -0.372561           -1855.258799        -1854.886238        0.083419       -0.006898      -4.618516      
86     130    216    -1.476153           -1670.583583        -1669.10743         0.122174       0.087919       6.135756       
86     132    218    -2.137608           -1682.27172         -1680.134112        0.161248       0.107546       9.09149        
86     134    220    -1.886338           -1693.040879        -1691.154541        0.183738       0.132402       11.666543      
86     136    222    -1.141459           -1703.319059        -1702.1776          0.196991       0.152949       14.018999      
86     138    224    -0.366266           -1713.351448        -1712.985182        0.137505       0.17897        15.977766      
86     140    226    -0.179574           -1723.695592        -1723.516018        0.091947       0.190955       17.542802      
86     142    228    -0.017018           -1733.748154        -1733.731136        0.040303       0.196647       18.885101      
86     152    238    -0.002791           -1779.028924        -1779.026133        0.055642       0.231881       23.555353      
86     154    240    -0.003893           -1786.801378        -1786.797485        0.061085       0.229334       23.36677       
86     156    242    -0.013903           -1794.33432         -1794.320417        0.063107       0.224355       22.931957      
86     158    244    -0.016151           -1801.702354        -1801.686203        0.063151       0.216506       22.21032       
86     160    246    -0.016334           -1808.8895          -1808.873166        0.060237       0.204865       21.101243      
86     164    250    -0.018743           -1822.575622        -1822.556879        0.051809       0.176924       18.294318      
86     192    278    -0.270403           -1884.862865        -1884.592462        0.060337       0.040802       0.0            
86     194    280    -0.667665           -1885.826469        -1885.158804        0.133158       0.106328       11.91564       
86     196    282    -0.286854           -1886.389373        -1886.102519        0.14173        0.125014       17.531791      
88     128    216    -0.570401           -1662.69283         -1662.122429        0.081078       0.069147       -0.0           
88     130    218    -2.402534           -1677.040388        -1674.637854        0.140198       0.108738       8.332774       
88     132    220    -2.976679           -1690.099442        -1687.122763        0.174835       0.135758       11.504601      
88     134    222    -2.912044           -1702.69119         -1699.779146        0.199112       0.162946       14.321111      
88     138    226    -1.166865           -1725.647213        -1724.480348        0.203946       0.204087       18.834318      
88     140    228    -0.629355           -1736.763885        -1736.13453         0.165305       0.219055       20.282244      
88     142    230    -0.20871            -1747.580503        -1747.371793        0.111161       0.224902       21.515632      
