 Nrows 
   369 
    Z     N          Q20                 Q30           beta2       beta3
     4    20              -0.0      0.0023761706        -0.0        0.01 
    10    36           0.90084      0.0087291266    0.139946        0.01 
    12    12          0.740642      0.0023761706    0.340277        0.01 
    16    28         -0.962247      0.0079865733   -0.160981        0.01 
    22    14         -0.035355      0.0053463838   -0.008264        0.01 
    32    46          2.584393      0.0250983016    0.166511        0.01 
    34    48          2.199565      0.0277384911    0.130384        0.01 
    34    62         -5.571019      0.0380187291   -0.253937        0.01 
    34    66          -5.85752      0.0412529612   -0.249435        0.01 
    36    48          1.399679      0.0291080895    0.079703        0.01 
    36    54          2.740632      0.0334148986    0.139109        0.01 
    36    60         -5.860977      0.0380187291   -0.267153        0.01 
    40    34         -2.961252      0.0225901216   -0.208289        0.01 
    40    70         11.729017      0.0499160831    0.426105        0.01 
    42    64           -5.7676      0.0463518273   -0.222875        0.01 
    44    34          2.251729      0.0250983016    0.145078        0.01 
    44    68         -6.453387      0.0517477146    -0.22751        0.01 
    52    62          7.996344      0.0536123484    0.273711        0.01 
    52    92          7.839019      0.0855421404    0.181789        0.01 
    52    94         10.400832      0.0879348122    0.235716        0.01 
    54    88          7.230993      0.0831824711    0.171643        0.01 
    54    90          8.432119      0.0855421404    0.195543        0.01 
    54    92          9.685061      0.0879348122    0.219495        0.01 
    54    94         11.205744      0.0903604863    0.248264        0.01 
    56    54          5.977227      0.0499160831    0.217147        0.01 
    56    56          6.780537      0.0517477146    0.239043        0.01 
    56    58          7.703833      0.0536123484    0.263699        0.01 
    56    86          6.472794      0.0831824711    0.153646        0.01 
    56    88          8.143766      0.0855421404    0.188856        0.01 
    56    90          9.569872      0.0879348122    0.216884        0.01 
    56    92         11.427739      0.0903604863    0.253182        0.01 
    56   136         12.288132      0.1520749163    0.176425        0.01 
    56   138         13.864986       0.155259645    0.195656        0.01 
    58    56          8.025345      0.0536123484    0.274704        0.01 
    58    66          12.88826      0.0634305532    0.383473        0.01 
    58    84          4.068778      0.0831824711    0.096581        0.01 
    58    86          6.856226      0.0855421404    0.158998        0.01 
    58    88          8.911997      0.0879348122    0.201974        0.01 
    58    90         11.436681      0.0903604863    0.253381        0.01 
    58   132          7.926176      0.1489231901    0.115802        0.01 
    58   134         10.575922      0.1520749163    0.151842        0.01 
    58   136         12.578588       0.155259645    0.177503        0.01 
    58   138         14.620469      0.1584773759     0.20282        0.01 
    60    68         13.889774      0.0675888517    0.391972        0.01 
    60    86          7.078142      0.0879348122    0.160413        0.01 
    60    88          9.761157      0.0903604863    0.216259        0.01 
    60   132          7.046297      0.1520749163    0.101166        0.01 
    60   134         10.175888       0.155259645    0.143597        0.01 
    60   136          12.83583      0.1584773759    0.178063        0.01 
    60   138         19.325001      0.1617281093    0.263585        0.01 
    62    86          7.337688      0.0903604863    0.162567        0.01 
    62    88         10.644817      0.0928191628    0.230619        0.01 
    62   132          5.483074       0.155259645    0.077374        0.01 
    62   134         10.128161      0.1584773759    0.140501        0.01 
    62   136         13.946826      0.1617281093    0.190229        0.01 
    64   130               0.0       0.155259645         0.0        0.01 
    64   132          4.486373      0.1584773759    0.062236        0.01 
    64   134         10.983035      0.1617281093    0.149804        0.01 
    64   136         15.726217       0.165011845    0.210936        0.01 
    66   130          1.256056      0.1584773759    0.017424        0.01 
    66   132          6.345611      0.1617281093    0.086551        0.01 
    66   134         11.853617       0.165011845    0.158993        0.01 
    66   136         15.656757      0.1683285831     0.20655        0.01 
    66   168         23.856684      0.2258847146    0.246316        0.01 
    66   170         22.150515       0.229762493    0.225479        0.01 
    68   130          3.038648      0.1617281093    0.041446        0.01 
    68   132           8.59182       0.165011845    0.115242        0.01 
    68   134         12.154032      0.1683285831    0.160341        0.01 
    68   162         27.787423       0.218228165    0.295265        0.01 
    68   164         26.075171      0.2220399386    0.273101        0.01 
    68   170         22.544985      0.2336732737     0.22629        0.01 
    70    86          7.522902      0.1003932065     0.15267        0.01 
    70   164         25.265728      0.2258847146    0.260864        0.01 
    70   166         24.420133       0.229762493    0.248583        0.01 
    70   168         23.352725      0.2336732737    0.234397        0.01 
    70   170         21.716788      0.2376170568    0.214958        0.01 
    72    86          7.425276      0.1029838925    0.147523        0.01 
    72   166         23.293679      0.2336732737    0.233804        0.01 
    72   168         22.164676      0.2376170568    0.219391        0.01 
    72   174         16.289865      0.2496464203     0.15474        0.01 
    82   140               0.0      0.2033110942         0.0        0.01 
    84   134          8.723658       0.196050573    0.101356        0.01 
    84   156         26.182539      0.2376170568    0.259161        0.01 
    84   160         24.573036      0.2456036301     0.23662        0.01 
    84   162         23.034597      0.2496464203    0.218809        0.01 
    84   196         14.565487      0.3234232162    0.111508        0.01 
    86   130          6.426716       0.192469816    0.075824        0.01 
    86   132          9.494059       0.196050573    0.110306        0.01 
    86   134         11.687136      0.1996643324    0.133735        0.01 
