 Nrows 
   414 
    Z     N          Q20                 Q30           beta2       beta3
    26    36      1.3528098676      0.0475729149    0.127789        0.03 
    32    70      5.8516341214      0.1287587427    0.241094        0.03 
    34    78      5.3603300775      0.1552431438    0.188975        0.03 
    36    32     -2.3831994405      0.0572261078   -0.192999        0.03 
    40    56      0.0011846852      0.1140561873     5.4e-05        0.03 
    40    58     -0.0002951734       0.118858032    -1.3e-05        0.03 
    40    60     -0.0083834998      0.1237588837   -0.000357        0.03 
    42    58      0.0007984286      0.1237588837     3.4e-05        0.03 
    42    74     -5.1613417118       0.166529954   -0.171623        0.03 
    42   104     -0.0722757264      0.2638044366   -0.001638        0.03 
    52    58      4.7578893094      0.1497482493     0.17285        0.03 
    52    72      5.6236823765      0.1902916597    0.167325        0.03 
    54    54      4.8853212929       0.144352362    0.182991        0.03 
    54    56      5.6337152975      0.1497482493    0.204668        0.03 
    54    58      6.5719249389      0.1552431438    0.231689        0.03 
    54    72       7.536724595      0.1964796038    0.218344        0.03 
    54    74      6.4031513918      0.2027665551    0.180698        0.03 
    54    88      6.2427827861      0.2495474132    0.148186        0.03 
    54    90      7.8543364017      0.2566264213    0.182144        0.03 
    56    54      5.6907494117      0.1497482493     0.20674        0.03 
    56    56      6.5096914996      0.1552431438    0.229495        0.03 
    56    58      7.9947543166      0.1608370453    0.273657        0.03 
    56    90      9.0007547809      0.2638044366    0.203986        0.03 
    58    54      6.5865046963      0.1552431438    0.232203        0.03 
    58    56      7.7883246108      0.1608370453    0.266591        0.03 
    58    90     10.8915424528       0.271081459    0.241303        0.03 
    60    62     12.7735060733      0.1842027226    0.390499        0.03 
    60    88      8.0599120306       0.271081459    0.178568        0.03 
    60   136     -4.7989055056      0.4754321278   -0.066572        0.03 
    62    86      3.3767875473       0.271081459    0.074813        0.03 
    62    88      9.5764415031      0.2784574884    0.207473        0.03 
    62    90      13.061679165       0.285932525    0.276802        0.03 
    62   132      4.0393992948      0.4657789349    0.057002        0.03 
    62   134      4.6907045027      0.4754321278    0.065071        0.03 
    62   136     -5.4537618487      0.4851843278   -0.074387        0.03 
    62   138      -8.927378242       0.495035535   -0.119743        0.03 
    62   140    -10.1578158355      0.5049857492   -0.134006        0.03 
    64    86     -2.9708833482      0.2784574884   -0.064364        0.03 
    64    88     10.0660556564       0.285932525    0.213319        0.03 
    64   132      3.3356329157      0.4754321278    0.046273        0.03 
    64   134      4.0228522811      0.4851843278     0.05487        0.03 
    64   136     -8.9041172412       0.495035535   -0.119431        0.03 
