Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
14     2      16     25.379555               -1.404701      0.009999       280       YES            
22     46     68     -511.477807             1.657778       0.01           1         YES            
24     28     52     -454.959173             0.927425       0.01           2         YES            
24     46     70     -553.463822             2.500098       0.01           3         YES            
26     20     46     -353.619446             0.002155       0.01           4         YES            
32     48     80     -689.239844             2.20475        0.01           5         YES            
34     48     82     -711.749222             1.904675       0.01           6         YES            
34     56     90     -754.791506             3.200598       0.01           7         YES            
36     32     68     -547.014528             -2.254646      0.01           8         YES            
36     38     74     -628.12187              -1.985864      0.01           9         YES            
36     62     98     -806.357768             -5.06397       0.01           10        YES            
36     64     100    -813.19188              -5.345226      0.01           11        YES            
38     62     100    -835.81889              9.837943       0.01           12        YES            
40     70     110    -897.241112             -5.196512      0.01           13        YES            
46     58     104    -891.277159             3.973888       0.01           14        YES            
52     66     118    -996.456013             -4.876107      0.01           15        YES            
54     64     118    -985.166957             8.972699       0.01           16        YES            
54     66     120    -1005.458586            8.970587       0.01           17        YES            
54     74     128    -1077.825209            5.868716       0.01           18        YES            
54     90     144    -1175.436734            8.031788       0.01           19        YES            
56     54     110    -865.813944             5.739341       0.01           20        YES            
56     88     144    -1188.078523            7.76325        0.01           21        YES            
56     90     146    -1197.343473            9.214771       0.01           22        YES            
56     92     148    -1206.042418            10.854682      0.01           23        YES            
58     78     136    -1135.926917            5.242928       0.01           24        YES            
58     86     144    -1194.626814            6.439171       0.01           25        YES            
58     88     146    -1205.989672            8.540413       0.01           26        YES            
58     90     148    -1216.80204             10.831075      0.01           27        YES            
58     136    194    -1328.043708            11.770715      0.01           28        YES            
58     138    196    -1327.134474            13.268844      0.009996       29        NO             
58     140    198    -1325.945733            14.707558      0.01           30        NO             
60     78     138    -1145.504275            5.570218       0.01           31        YES            
60     86     146    -1209.034201            6.644155       0.01           32        YES            
60     88     148    -1221.795747            9.45983        0.01           33        YES            
60     92     152    -1247.276955            15.467506      0.01           34        YES            
60     118    178    -1344.438992            10.100319      0.01           35        YES            
60     120    180    -1349.374176            7.414657       0.01           36        YES            
60     134    194    -1366.679762            9.497957       0.00958        37        YES            
60     136    196    -1366.71784             11.904708      0.010001       38        NO             
60     138    198    -1366.49506             14.231701      0.01           39        YES            
62     90     152    -1250.003491            14.520012      0.01           40        YES            
62     132    194    -1402.392549            5.618298       0.01           41        YES            
62     134    196    -1402.920981            8.985783       0.010003       42        YES            
62     136    198    -1403.484548            12.595644      0.01           43        YES            
64     88     152    -1247.883023            11.275223      0.01           44        YES            
64     132    196    -1436.09987             4.265368       0.01           45        YES            
64     134    198    -1437.240434            9.240934       0.01           46        YES            
64     136    200    -1438.684891            14.047555      0.01           47        YES            
66     70     136    -1070.095997            14.772075      0.01           48        YES            
66     88     154    -1258.013609            11.26813       0.01           49        YES            
