 Nrows 
   180 
    Z     N          Q20                 Q30           beta2       beta3
     4     6      0.0007280333      0.0012375888    0.001439        0.03 
     6     4      0.0003642696      0.0012375888     0.00072        0.03 
    18    12      0.0036401717      0.0111382995    0.001153        0.03 
    24    18       0.000779935      0.0218310671    0.000141        0.03 
    54    72      5.2257325441      0.1964796038    0.151393        0.03 
    56    66      8.4271991033      0.1842027226    0.257628        0.03 
    64    90     13.3889684834      0.2935065687    0.277623        0.03 
    66    90     13.3780159182      0.3011796195    0.271494        0.03 
    68   154     25.8486315294      0.6099332827    0.291357        0.03 
    70    88      8.8387156808      0.3089516774    0.175605        0.03 
    70   148     23.0323052007      0.5881517191      0.2676        0.03 
    72    90     10.0183911396      0.3247928145    0.190919        0.03 
    74    88      6.5475661031      0.3247928145    0.124776        0.03 
    76    90      7.1896543662      0.3410299801    0.131554        0.03 
    78   140      8.7183644357      0.5881517191    0.101294        0.03 
    78   160    -15.0777404608      0.7010198211   -0.151339        0.03 
    84   162    -10.3360922005      0.7489392609   -0.098184        0.03 
    86   158     17.7506794596      0.7368108903    0.170926        0.03 
    86   200     15.9901442206      1.0122981655    0.118164        0.03 
    86   202     17.8242910563      1.0265056854    0.130197        0.03 
    88   112     12.6415338023       0.495035535    0.169561        0.03 
    88   132      9.0548247563      0.5989929973    0.103614        0.03 
    88   134     11.7308358907      0.6099332827    0.132226        0.03 
    88   136     13.7781082515      0.6209725751    0.152998        0.03 
    88   138      15.580293839      0.6321108746    0.170466        0.03 
    88   140     17.1857917597      0.6433481813    0.185291        0.03 
    88   154     21.7826503683      0.7247815268    0.212648        0.03 
    88   162     19.2268257424      0.7734930234    0.177794        0.03 
    88   170     13.4445675796      0.8237886338    0.117966        0.03 
    88   194     11.8113870671      0.9841801471    0.089357        0.03 
    88   196     15.5669444827      0.9981896528     0.11639        0.03 
    88   198      18.116994164      1.0122981655    0.133881        0.03 
    88   200     20.2877141249      1.0265056854    0.148191        0.03 
    88   202      22.172907939      1.0408122123    0.160104        0.03 
    90   132     11.3579538308      0.6099332827    0.128023        0.03 
    90   134     14.1655213007      0.6209725751      0.1573        0.03 
    90   136     16.6237876428      0.6321108746    0.181883        0.03 
    90   138     18.7626392358      0.6433481813    0.202292        0.03 
    90   156     24.1426033642      0.7489392609    0.229334        0.03 
    90   158     23.5403879481      0.7611666386    0.220616        0.03 
    90   194     14.9611992162      0.9981896528    0.111861        0.03 
    90   196     18.7902192368      1.0122981655    0.138856        0.03 
    90   198     21.7802248671      1.0265056854    0.159093        0.03 
    90   200     24.2828130785      1.0408122123    0.175339        0.03 
    90   202     26.3245707275      1.0552177464    0.187917        0.03 
    92   120     -8.8598444089      0.5562219271   -0.107839        0.03 
    92   130      8.0604805019      0.6099332827    0.090855        0.03 
    92   132      13.521724023      0.6209725751    0.150151        0.03 
    92   134     16.8469821658      0.6321108746    0.184325        0.03 
    92   136     19.6190953028      0.6433481813    0.211526        0.03 
    92   160     25.6245599078      0.7859184154    0.233829        0.03 
    92   162     24.6605716854      0.7984428144    0.222087        0.03 
    92   164     23.5313096468      0.8110662205    0.209165        0.03 
    92   166     22.2113565473      0.8237886338    0.194888        0.03 
    92   170     18.5051084009      0.8495304816    0.158258        0.03 
    92   192               0.0      0.9981896528         0.0        0.03 
    92   194     18.1893912322      1.0122981655    0.134416        0.03 
    92   196     22.9651157562      1.0265056854    0.167748        0.03 
    92   198     26.1421886218      1.0408122123    0.188765        0.03 
    94   120    -10.3150719589       0.566766184   -0.123602        0.03 
    94   130      9.8041977369      0.6209725751     0.10887        0.03 
    94   132     16.5464647246      0.6321108746    0.181037        0.03 
    94   144     26.9475294676      0.7010198211    0.270479        0.03 
    94   160     29.0151218357      0.7984428144    0.261303        0.03 
    94   162     28.5107244451      0.8110662205    0.253426        0.03 
    94   168     24.6234708033      0.8495304816    0.210583        0.03 
    94   170     21.8115721163      0.8625499162    0.184186        0.03 
    94   192      0.3036617213      1.0122981655    0.002244        0.03 
    94   194     24.4502337649      1.0265056854    0.178596        0.03 
    96   130     12.3769680235      0.6321108746    0.135418        0.03 
    96   158     31.3107657006      0.7984428144    0.281977        0.03 
    96   164     32.5167885591      0.8366100541    0.281662        0.03 
    96   166     33.0137831623      0.8495304816    0.282338        0.03 
    96   192     11.0662374629      1.0265056854    0.080833        0.03 
    96   220     42.4911726092      1.2358067096    0.265907        0.03 
    96   238     49.2391863816      1.3806046035    0.280959        0.03 
    98   160     33.2241493914      0.8237886338    0.291517        0.03 
    98   162      33.934813404      0.8366100541    0.293945        0.03 
    98   188      0.0051422217      1.0122981655     3.8e-05        0.03 
    98   190     -0.0109521977      1.0265056854      -8e-05        0.03 
    98   192     38.5134204041      1.0408122123    0.278094        0.03 
    98   218     42.9056863367      1.2358067096    0.268501        0.03 
    98   236     51.3273376981      1.3806046035    0.292874        0.03 
    98   246     57.3095290184      1.4645131267    0.311319        0.03 
   100   158     33.3596595456      0.8237886338    0.292706        0.03 
   100   162     34.7628221459      0.8495304816    0.297296        0.03 
   100   188     -0.0276542992      1.0265056854   -0.000202        0.03 
   100   190     43.6847999784      1.0408122123    0.315435        0.03 
   100   216     42.4421148936      1.2358067096      0.2656        0.03 
   100   228     47.3895180082      1.3314475749    0.278699        0.03 
   100   230     48.6211854995       1.347734244     0.28306        0.03 
   100   232     49.7708970882      1.3641199202     0.28685        0.03 
   100   234     50.8669454607      1.3806046035    0.290247        0.03 
   100   236      52.180460875       1.397188294    0.294794        0.03 
   100   238     53.5425686996      1.4138709915    0.299512        0.03 
   100   240     54.9342268904      1.4306526961     0.30429        0.03 
   100   242     56.3314198855      1.4475334079    0.308994        0.03 
   100   244      57.664999454      1.4645131267     0.31325        0.03 
   100   260      0.1550882909      1.6039151334    0.000781        0.03 
   100   262      0.2290784959      1.6217859162    0.001143        0.03 
   100   264     -0.0645233336      1.6397557061   -0.000319        0.03 
   102   154     32.6446928637      0.8110662205    0.290172        0.03 
   102   156     32.9296512934      0.8237886338    0.288933        0.03 
   102   174     40.9302450625      0.9427456728    0.320951        0.03 
   102   188      0.0282520938      1.0408122123    0.000204        0.03 
   102   230     47.2460022149      1.3641199202    0.272298        0.03 
   102   232     48.4277603979      1.3806046035    0.276329        0.03 
   102   234     49.7267964563       1.397188294    0.280932        0.03 
   102   238     52.6360484806      1.4306526961     0.29156        0.03 
   102   242      55.796156439      1.4645131267    0.303098        0.03 
