 Nrows 
   325 
    Z     N          Q20                 Q30           beta2       beta3
    22    46      1.4998551995      0.0572261078    0.121463        0.03 
    24    28      0.8946310312      0.0334644022    0.113296        0.03 
    24    46      2.2775230071       0.060641853    0.175742        0.03 
    26    20      0.0017959369      0.0261873798    0.000279        0.03 
    32    48      2.1258937836      0.0792056856    0.131311        0.03 
    34    48      1.8628800987      0.0832154734    0.110426        0.03 
    34    56      3.0575613575      0.1002446958    0.155196        0.03 
    36    32      -2.084754644      0.0572261078    -0.16883        0.03 
    36    38     -1.8633456596      0.0677703647   -0.131064        0.03 
    36    62     -4.6599713226       0.118858032   -0.205234        0.03 
    36    64     -4.8967388222      0.1237588837   -0.208521        0.03 
    38    62      8.8875195537      0.1237588837    0.378463        0.03 
    40    70     -4.8418990182      0.1497482493   -0.175902        0.03 
    46    58      3.8924944264      0.1338576087    0.155268        0.03 
    52    66     -4.7313802728      0.1723218697   -0.152907        0.03 
    54    64      8.4686901456      0.1723218697    0.273688        0.03 
    54    66      8.4866418246      0.1782127926    0.266692        0.03 
    54    74      5.7498242813      0.2027665551    0.162261        0.03 
    54    90      7.7009529546      0.2566264213    0.178587        0.03 
    56    54      5.4859275757      0.1497482493    0.199299        0.03 
    56    88      7.5057847001      0.2566264213    0.174061        0.03 
    56    90      8.8085490029      0.2638044366     0.19963        0.03 
    56    92     10.2894232238       0.271081459    0.227963        0.03 
    58    78      5.1532270224      0.2289044314    0.131449        0.03 
    58    86      6.2869964663      0.2566264213    0.145797        0.03 
    58    88      8.2304314402      0.2638044366    0.186528        0.03 
    58    90     10.3467915552       0.271081459    0.229234        0.03 
    58   136     10.7724164732      0.4657789349    0.152015        0.03 
    58   138      12.029918697      0.4754321278    0.166883        0.03 
    58   140     13.2203521657      0.4851843278     0.18032        0.03 
    60    78      5.4456452316      0.2356864182    0.135569        0.03 
    60    86      6.4790908678      0.2638044366    0.146837        0.03 
    60    88      9.1056315432       0.271081459    0.201736        0.03 
    60    92     14.5694239525       0.285932525    0.308754        0.03 
    60   118      9.4775297473      0.3921176473    0.154373        0.03 
    60   120      7.0194151853      0.4009787833    0.112225        0.03 
    60   134      8.8396671597      0.4657789349    0.124741        0.03 
    60   136      10.952017567      0.4754321278     0.15193        0.03 
    60   138     12.9629394746      0.4851843278    0.176809        0.03 
    62    90     13.7488751884       0.285932525    0.291365        0.03 
    62   132      5.3203399926      0.4657789349    0.075078        0.03 
    62   134      8.3826582427      0.4754321278    0.116287        0.03 
    62   136      11.645669802      0.4851843278    0.158842        0.03 
    64    88     10.8295543626       0.285932525    0.229499        0.03 
    64   132      4.0672331677      0.4754321278    0.056422        0.03 
    64   134      8.6717504093      0.4851843278    0.118279        0.03 
    64   136     13.0629157772       0.495035535    0.175213        0.03 
    66    70     13.7101971677      0.2289044314    0.349721        0.03 
    66    88     10.8666880827      0.2935065687    0.225323        0.03 
    66    90     13.5663963423      0.3011796195    0.275317        0.03 
    66    92     15.2834961365      0.3089516774    0.303648        0.03 
    66    94     16.3142885727      0.3168227424    0.317403        0.03 
    66   132      4.5958172998      0.4851843278    0.062685        0.03 
    66   134      9.9159707734       0.495035535    0.133003        0.03 
    68    68     13.5129264515      0.2289044314    0.344689        0.03 
    68   132      6.0701519845       0.495035535    0.081419        0.03 
    70    92     13.4958804457      0.3247928145    0.257189        0.03 
    70    94     15.1638672919      0.3328618937    0.283126        0.03 
    70    96     16.7438707055      0.3410299801    0.306374        0.03 
    72    90     10.7040762575      0.3247928145    0.203986        0.03 
    74    90      9.8106728278      0.3328618937    0.183176        0.03 
    74    98     16.6990209282      0.3661282817    0.287996        0.03 
    76    88      7.1860275581      0.3328618937    0.134171        0.03 
    78    96     10.1384041317      0.3746923964    0.171513        0.03 
    78    98     16.4986401836      0.3833555183    0.273844        0.03 
    86   132      8.4068774681      0.5881517191    0.097675        0.03 
    86   134     10.8231608783      0.5989929973    0.123849        0.03 
    86   136     12.8654513234      0.6099332827    0.145015        0.03 
    86   138     14.8511937685      0.6209725751    0.164914        0.03 
    86   194     12.7497447983      0.9702696486    0.097607        0.03 
    86   196     16.1460314272      0.9841801471     0.12215        0.03 
    88   130      6.3585859914      0.5881517191    0.073877        0.03 
    88   132      10.472552303      0.5989929973    0.119837        0.03 
    88   134     13.0537997919      0.6099332827    0.147138        0.03 
    88   136     15.4377165926      0.6209725751    0.171427        0.03 
    88   138     17.4821999933      0.6321108746    0.191275        0.03 
    88   140     19.2006987988      0.6433481813    0.207015        0.03 
    88   192      0.2129159181      0.9702696486     0.00163        0.03 
    88   194      15.225119426      0.9841801471    0.115183        0.03 
    88   196     18.5326754472      0.9981896528    0.138564        0.03 
    88   198     21.5234453714      1.0122981655    0.159054        0.03 
    88   200     24.1018169754      1.0265056854    0.176051        0.03 
    90   130      8.0285169027      0.5989929973     0.09187        0.03 
    90   132     12.1655544473      0.6099332827    0.137126        0.03 
    90   134     15.3555871875      0.6209725751    0.170515        0.03 
    90   136     18.0761058125      0.6321108746    0.197773        0.03 
    90   138     20.1248625687      0.6433481813    0.216979        0.03 
    90   192     11.2404930046      0.9841801471    0.085038        0.03 
    90   194     16.8796823476      0.9981896528    0.126205        0.03 
    90   196     20.8789084826      1.0122981655    0.154291        0.03 
    90   198     24.1809466039      1.0265056854    0.176629        0.03 
    90   200       26.73742146      1.0408122123    0.193063        0.03 
    92   130      8.9088914319      0.6099332827    0.100418        0.03 
    92   132      13.974336293      0.6209725751    0.155177        0.03 
    92   134      17.627340412      0.6321108746    0.192863        0.03 
    92   136     20.3642510362      0.6433481813     0.21956        0.03 
    92   190      0.0896193967      0.9841801471    0.000678        0.03 
    92   192     -0.1376268225      0.9981896528   -0.001029        0.03 
    92   194     18.6891339847      1.0122981655    0.138109        0.03 
    92   196     23.2391945038      1.0265056854     0.16975        0.03 
    92   198     26.4404974942      1.0408122123    0.190919        0.03 
    94   130      9.8280620925      0.6209725751    0.109135        0.03 
    94   132     16.0795110727      0.6321108746    0.175928        0.03 
    94   134     19.9854589009      0.6433481813    0.215476        0.03 
    94   136     22.1681369386       0.654684495    0.235555        0.03 
    94   190     -0.0779751579      0.9981896528   -0.000583        0.03 
    94   192     13.5988758265      1.0122981655    0.100493        0.03 
    94   194      20.346992895      1.0265056854    0.148624        0.03 
    94   196     25.1458868447      1.0408122123    0.181571        0.03 
    94   198      28.175108887      1.0552177464    0.201127        0.03 
    94   232      32.331572357      1.3152599129    0.192091        0.03 
    96   128      0.0760057214      0.6209725751    0.000844        0.03 
    96   130     10.8877249615      0.6321108746    0.119124        0.03 
    96   132     19.9862936534      0.6433481813    0.215485        0.03 
    96   188               0.0      0.9981896528         0.0        0.03 
    96   190               0.0      1.0122981655         0.0        0.03 
    96   192     15.0939081686      1.0265056854    0.110253        0.03 
    96   194     21.5584248997      1.0408122123    0.155667        0.03 
    96   196     26.7117688708      1.0552177464    0.190681        0.03 
    96   230     36.0388528269      1.3152599129    0.214117        0.03 
    96   232     33.9753626429      1.3314475749     0.19981        0.03 
    96   240     26.6120456666       1.397188294    0.150345        0.03 
