Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
4      20     24           -50.900283               -7e-06                  0.0                   -0.0                 -2e-06                      2e-06                           -0.0                     1.8e-05                        0.002358                           0.002376                         1.047288                1.754904              2.537156             4.120801               3.901755               2.580438             1              YES
10     36     46          -198.304029             0.017519             0.073589               0.066793               0.021594                   0.657615                       0.679208                    0.000122                        0.008607                           0.008729                         0.661165                 1.13179              3.125713             4.435819               4.186039               3.186553             2              YES
12     12     24          2193.891954             0.467507              0.45918                0.46332              195.29681                 193.943329                      389.24014                    2.415601                        2.391744                           4.807345                             -0.0                    -0.0              7.995282             7.978074              52.675356                8.03795             3               NO
16     28     44          -354.218684             -0.13478              -0.1251              -0.128236              -0.299686                  -0.580421                      -0.880108                    0.002721                        0.005266                           0.007987                         1.059323                0.948993              3.318984              3.62418               3.516266               3.408002             4              YES
22     14     36          2836.217772             1.232549             1.225746               1.229075             118.957953                 123.426302                     242.384256                   -5.711557                       -3.538053                           -9.24961                              0.0                     0.0              8.339562             8.295061               20.83803               8.380207             5               NO
32     46     78          -677.187039             0.172805             0.145866               0.156426               1.129597                   1.479017                       2.608613                    0.010712                        0.014387                           0.025098                         0.820208                0.774512              4.023953             4.179997               4.116695                4.10211             6              YES
34     48     82          -713.201052             0.141731             0.114456               0.125323               1.014551                   1.237029                        2.25158                    0.012216                        0.015523                           0.027738                         0.704858                0.859433              4.085162             4.224689               4.167403               4.162528             7              YES
34     62     96          -772.188965            -0.222591            -0.202872              -0.209161              -1.723278                  -3.354134                      -5.077412                    0.013439                         0.02458                           0.038019                         0.907165                0.662824              4.248441             4.597569               4.477034               4.317353             8              YES
34     66     100         -780.601312            -0.219991            -0.196115              -0.203325              -1.736089                  -3.577562                      -5.313651                     0.01494                        0.026313                           0.041253                         0.927419                0.647385              4.289331             4.680701               4.551412               4.356029             9              YES
36     48     84          -732.731367             0.086001             0.076376               0.080383               0.665816                   0.829051                       1.494867                    0.013092                        0.016016                           0.029108                         0.716735                 0.89934              4.128765             4.233849               4.189136               4.206412            10              YES
36     54     90          -771.374444             0.126062             0.126079               0.126073               0.999762                   1.646262                       2.646023                    0.012637                        0.020778                           0.033415                         0.693559                0.799535              4.178783             4.378003               4.299423               4.253243            11              YES
36     60     96          -797.515084            -0.241326            -0.222698              -0.229156              -2.013973                  -3.502215                      -5.516188                    0.013875                        0.024144                           0.038019                         0.848422                0.686355              4.286656             4.558087               4.458237               4.357054            12              YES
36     64     100         -810.506336            -0.227275            -0.208498              -0.214651              -1.926055                  -3.625208                      -5.551262                    0.014553                          0.0267                           0.041253                         0.915844                0.675581               4.31969             4.640556               4.527664               4.388088           319              YES
38     60     98          -824.648191             -0.20179            -0.197708              -0.199188              -1.799972                  -3.101244                      -4.901215                    0.014712                        0.024907                           0.039619                         0.886175                0.736735              4.313561             4.552244                4.46121               4.384689           320              YES
38     62     100         -833.321755             -0.20703            -0.200522              -0.202818              -1.865895                   -3.31389                      -5.179785                    0.015016                        0.026237                           0.041253                         0.920415                 0.72648               4.33591              4.59661               4.499324               4.405983           321              YES
38     64     102         -841.451212            -0.201303            -0.195549              -0.197526              -1.828763                  -3.394158                      -5.222922                    0.015376                        0.027544                            0.04292                          0.92886                0.708321              4.353186             4.636526               4.533039               4.422295           322              YES
40     34     74          -576.488205            -0.169851            -0.185637              -0.176755              -1.498507                  -1.273049                      -2.771556                    0.012057                        0.010533                            0.02259                         0.914713                0.899176              4.181289             3.998489               4.098312               4.264563            13              YES
40     64     104         -869.984969            -0.191627            -0.187426              -0.188936              -1.866346                  -3.252355                      -5.118702                    0.016731                        0.027888                           0.044619                         0.934287                0.671533              4.393219             4.635953               4.544128               4.462803           323              YES
40     66     106         -879.208279            -0.194642            -0.190381              -0.191875              -1.913287                  -3.465362                      -5.378649                     0.01721                        0.029142                           0.046352                          0.91847                0.656893              4.413531             4.675585               4.578459               4.482153           324              YES
40     70     110         -894.508767             0.377656             0.330034               0.346093               3.900003                   6.698885                      10.598888                    0.017926                         0.03199                           0.049916                         0.705857                0.589962              4.523755              4.79422               4.697671               4.589465            14              YES
42     64     106         -895.279134            -0.199699            -0.192409              -0.195145              -2.085265                  -3.344184                      -5.429449                    0.018157                        0.028195                           0.046352                         0.928309                0.639241              4.439286             4.639669               4.561325                4.50914            15              YES
44     34     78          -566.101091             0.120551             0.140718               0.128743               1.223227                   0.976791                       2.200018                     0.01434                        0.010758                           0.025098                          0.96883                0.824769              4.275507             4.022825               4.167248               4.358009            16              YES
44     68     112          -941.67086             -0.20725            -0.199852              -0.202607              -2.347929                  -3.815949                      -6.163878                    0.020148                          0.0316                           0.051748                         0.862112                0.587581              4.517664              4.71778               4.640192               4.586051            17              YES
52     62     114         -958.345299             0.230081              0.25265               0.242441               3.225196                   4.287367                       7.512562                    0.023631                        0.029981                           0.053612                         0.915671                 0.54286              4.622544             4.657839               4.641773               4.693771            18              YES
52     92     144        -1151.881819             0.159445             0.165659               0.163585               2.429104                    5.03694                       7.466045                    0.027509                        0.058034                           0.085542                         0.780339                 0.39467              4.819044             5.118319               5.012309               4.880551            19              YES
52     94     146         -1156.40728             0.198015             0.210104                0.20614                 3.0569                    6.64944                        9.70634                    0.028109                        0.059826                           0.087935                         0.791088                0.432745              4.851034             5.166027               5.056088               4.911686            20              YES
54     88     142        -1165.416105             0.165098             0.156674               0.159695               2.616583                   4.439989                       7.056573                    0.029241                        0.053942                           0.083183                         0.588434                0.463722              4.823305             5.052387               4.966517               4.886417            21              YES
54     90     144        -1172.264088             0.180831             0.175807               0.177576               2.891593                   5.175431                       8.067024                    0.029746                        0.055796                           0.085542                         0.668853                 0.43598              4.844842             5.091886               5.000675               4.907239            22              YES
54     92     146         -1178.49812             0.196455              0.19578               0.196013               3.169885                   5.983414                       9.153299                    0.030427                        0.057508                           0.087935                          0.74056                0.420988              4.866743             5.131465               5.035176               4.928426            23              YES
54     94     148        -1184.597546             0.214473              0.22089               0.218713                3.49394                   7.008857                      10.502797                    0.030845                        0.059516                           0.090361                         0.767631                0.425517              4.890124             5.172697               5.071421               4.951082            24              YES
56     54     110         -867.555691             0.200292             0.190076               0.195413               3.053291                   2.648518                       5.701809                    0.027138                        0.022778                           0.049916                         0.624326                0.627511              4.645187             4.522581               4.585408               4.718878            25              YES
