Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      627.068863              -0.501962      -15.513432     1         NO             
22     44     66     -516.990966             0.077462       0.01           2         YES            
24     24     48     -411.147577             0.205502       0.01           3         YES            
24     28     52     -458.65203              0.075112       0.01           4         YES            
26     46     72     -599.274886             0.148317       0.01           5         YES            
30     44     74     -642.680039             0.160596       0.01           6         YES            
30     46     76     -657.008512             0.140679       0.01           7         YES            
32     44     76     -662.240356             0.189208       0.01           8         YES            
32     46     78     -678.688311             0.16222        0.01           9         YES            
34     44     78     -678.618661             0.197668       0.01           10        YES            
34     52     86     -741.897374             0.113385       0.01           11        YES            
34     62     96     -782.675219             -0.212649      0.01           12        YES            
34     64     98     -788.781791             -0.212043      0.01           13        YES            
36     32     68     -547.293031             -0.144787      0.01           14        YES            
36     38     74     -626.063532             -0.252871      0.01           466       YES            
36     40     76     -648.956144             -0.212642      0.01           467       YES            
36     44     80     -692.409                0.265065       0.01           15        YES            
36     52     88     -763.528935             0.084662       0.01           16        YES            
36     62     98     -812.487185             -0.244158      0.01           468       YES            
36     68     104    -835.000185             0.300124       0.01           17        YES            
38     34     72     -576.138316             0.366299       0.01           18        YES            
38     42     80     -680.345638             -0.180419      0.01           19        YES            
38     44     82     -704.215366             0.304664       0.01           20        YES            
38     58     96     -819.030648             0.001115       0.01           469       YES            
38     62     100    -838.917536             -0.232451      0.01           470       YES            
40     36     76     -606.669021             0.369228       0.01           21        YES            
40     38     78     -633.552327             -0.177468      0.01           471       YES            
40     40     80     -661.472018             5.7e-05        0.01           472       YES            
40     42     82     -689.731455             0.352978       0.01           22        YES            
40     44     84     -713.158652             0.289442       0.01           23        YES            
40     58     98     -840.537874             0.000207       0.01           24        YES            
40     64     104    -877.259316             0.361189       0.01           25        YES            
40     66     106    -887.327986             0.353992       0.01           26        YES            
40     94     134    -961.772154             -0.002268      0.01           27        YES            
40     96     136    -961.637075             -0.002387      0.01           28        YES            
40     98     138    -960.67398              -0.0025        0.01           29        YES            
40     100    140    -959.281869             -0.002394      0.01           30        YES            
40     102    142    -957.701676             -0.002101      0.01           31        YES            
42     36     78     -604.606801             0.337874       0.01           32        YES            
42     38     80     -636.78027              0.365082       0.01           33        YES            
42     42     84     -693.51842              0.313193       0.01           34        YES            
42     58     100    -858.542533             0.000288       0.01           35        YES            
42     64     106    -899.48661              0.335332       0.01           36        YES            
42     96     138    -1002.266477            -0.002566      0.01           37        YES            
42     98     140    -1001.97995             -0.002907      0.01           38        YES            
46     36     82     -595.236375             0.124059       0.01           39        YES            
52     56     108    -892.768032             0.132972       0.009952       40        NO             
52     90     142    -1158.483897            1e-05          0.01           41        YES            
54     54     108    -867.584424             0.159212       0.010001       42        NO             
54     56     110    -892.223201             0.184915       0.010009       43        NO             
54     58     112    -915.62                 0.213535       0.009943       44        NO             
54     86     140    -1163.311179            0.12151        0.010001       45        NO             
54     88     142    -1172.025211            0.150128       0.00999        46        NO             
54     90     144    -1180.296509            0.177127       0.009926       47        NO             
54     92     146    -1188.3642              0.204572       0.009887       48        NO             
54     94     148    -1196.274616            0.226096       0.01           49        YES            
54     96     150    -1203.879819            0.235515       0.01           50        YES            
56     52     108    -835.078187             0.145328       0.009985       51        NO             
56     54     110    -863.06873              0.18814        0.009796       52        NO             
56     56     112    -889.873563             0.211648       0.009963       53        NO             
56     58     114    -915.430755             0.281388       0.01           54        YES            
56     66     122    -1008.638629            0.293978       0.01           55        YES            
56     84     140    -1168.846858            0.103567       0.01           56        YES            
56     86     142    -1180.002491            0.138202       0.009999       57        NO             
56     88     144    -1190.348299            0.17178        0.01           58        YES            
56     90     146    -1200.313966            0.207063       0.01           59        YES            
56     92     148    -1210.30546             0.248147       0.01           60        YES            
56     94     150    -1219.814647            0.265607       0.01           61        YES            
56     96     152    -1228.670848            0.267801       0.01           62        YES            
56     132    188    -1313.363118            0.102988       0.01           63        YES            
56     134    190    -1313.022507            0.121309       0.01           64        YES            
56     136    192    -1312.382228            0.138009       0.01           65        YES            
56     138    194    -1311.556512            0.156885       0.01           66        YES            
58     54     112    -856.786743             0.22111        0.009884       67        NO             
58     56     114    -885.702476             0.28054        0.01           68        YES            
58     58     116    -914.432437             0.317738       0.01           69        YES            
58     84     142    -1182.243888            0.104576       0.009999       70        NO             
58     86     144    -1194.567253            0.144225       0.01           71        YES            
58     88     146    -1206.337287            0.200357       0.01           72        YES            
58     90     148    -1218.787411            0.248021       0.009965       73        NO             
58     92     150    -1230.929269            0.275033       0.01           74        YES            
58     132    190    -1350.469962            0.098331       0.01           75        YES            
58     134    192    -1350.782822            0.118234       0.01           76        YES            
58     136    194    -1350.701593            0.138168       0.009859       77        NO             
58     138    196    -1350.733762            0.209646       0.01           78        YES            
60     84     144    -1193.90001             0.096103       0.01           79        NO             
60     86     146    -1207.237139            0.151846       0.01           80        YES            
60     88     148    -1220.77169             0.230625       0.01           81        YES            
60     90     150    -1235.421896            0.275582       0.01           82        YES            
60     130    190    -1384.569985            0.049448       0.01           83        YES            
60     132    192    -1385.786207            0.08012        0.01           84        YES            
60     134    194    -1386.594871            0.103938       0.009918       85        NO             
60     136    196    -1386.923456            0.203876       0.01           86        YES            
62     84     146    -1203.907131            0.07811        0.01           87        NO             
62     86     148    -1218.327958            0.170518       0.01           88        YES            
62     88     150    -1233.413901            0.236262       0.01           89        YES            
62     90     152    -1249.036554            0.282978       0.01           90        YES            
62     130    192    -1417.518559            0.002447       0.01           91        YES            
62     132    194    -1419.371853            0.051666       0.01           92        YES            
62     134    196    -1420.678674            0.069876       0.009999       93        NO             
62     136    198    -1422.248704            0.210854       0.01           94        YES            
64     84     148    -1212.505071            -0.058422      0.01           95        YES            
64     86     150    -1227.935622            0.181889       0.01           96        YES            
64     88     152    -1244.276332            0.232718       0.01           97        YES            
64     90     154    -1260.766659            0.276072       0.01           98        YES            
64     130    194    -1448.626767            0.001862       0.01           99        YES            
64     132    196    -1451.020647            0.02367        0.01           100       YES            
64     134    198    -1453.149165            -0.005701      0.01           101       YES            
64     136    200    -1455.566978            0.206055       0.01           102       YES            
66     66     132    -1004.820874            -0.242057      0.01           473       YES            
66     130    196    -1477.363664            0.029527       0.01           103       YES            
66     132    198    -1480.536993            0.047534       0.01           104       YES            
66     134    200    -1483.426985            -0.099242      0.01           105       YES            
66     136    202    -1487.04886             0.193965       0.01           106       YES            
68     130    198    -1504.640214            0.055623       0.01           107       YES            
68     132    200    -1508.585506            0.074401       0.009999       108       NO             
68     134    202    -1512.271328            0.146846       0.009993       109       NO             
68     190    258    -1542.720607            0.072783       0.01           110       YES            
70     130    200    -1530.514116            0.068781       0.01           111       YES            
70     132    202    -1535.293076            0.093764       0.01           112       YES            
70     134    204    -1539.825747            0.14065        0.01           113       YES            
70     166    236    -1592.039887            0.2279         0.01           114       YES            
70     168    238    -1592.346787            0.217975       0.01           115       YES            
72     132    204    -1560.489107            0.098148       0.01           116       YES            
72     168    240    -1629.58125             0.184518       0.01           117       YES            
72     170    242    -1630.731796            0.172842       0.01           118       YES            
74     170    244    -1667.055421            0.161059       0.01           119       YES            
76     90     166    -1294.029699            0.164262       0.01           120       YES            
76     136    212    -1618.50041             0.127493       0.01           121       YES            
78     134    212    -1633.570941            0.057899       0.01           122       YES            
78     136    214    -1640.018527            0.077549       0.01           123       YES            
