Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
22     46     68           -511.46754             0.128418             0.118392               0.121125               0.497554                   1.224146                         1.7217                         0.0                             0.0                                0.0                         1.012351                0.691155              3.736298             4.221052               4.070542               3.810402           381              YES
22     46     68          -511.457855             0.129266             0.119521               0.122178               0.500882                   1.235755                       1.736637                         0.0                             0.0                                0.0                         1.010204                0.690404              3.736453             4.220947               4.070514               3.810554           382              YES
22     46     68          -510.831266             -0.02061            -0.020656              -0.020644              -0.079431                  -0.211312                      -0.290743                         0.0                             0.0                                0.0                         1.076217                0.753919              3.726434              4.19856               4.051838               3.800731           380              YES
22     46     68          -510.734445            -0.023817            -0.024711              -0.024466              -0.091799                  -0.252578                      -0.344377                         0.0                             0.0                                0.0                         1.073396                 0.75009              3.726542             4.196799               4.050636               3.800837           379              YES
24     28     52          -454.970521             0.130687             0.104667               0.116498               0.509135                   0.489028                       0.998163                         0.0                             0.0                                0.0                         0.901529                0.900117              3.587066              3.63687               3.613969               3.678803           386              YES
24     28     52          -454.960221             0.131305             0.105102               0.117016               0.511578                   0.491085                       1.002663                         0.0                             0.0                                0.0                           0.8956                0.897162              3.587187             3.636966               3.614077               3.678921           385              YES
24     28     52          -454.707581            -0.025026            -0.020704              -0.022668              -0.096846                  -0.096214                      -0.193061                         0.0                             0.0                                0.0                         0.933614                0.967557              3.575084             3.627077               3.603173               3.667121           383              YES
24     28     52          -454.689128            -0.022085            -0.018115              -0.019919              -0.085465                  -0.084182                      -0.169647                         0.0                             0.0                                0.0                         0.930773                0.962341              3.575051             3.627107               3.603174               3.667088           384              YES
24     46     70          -553.440315             0.204877             0.164462               0.176557               0.899104                   1.689935                       2.589039                         0.0                             0.0                                0.0                         0.924302                0.689448              3.807133             4.207932               4.074958               3.882491           389              YES
24     46     70          -553.435127              0.20499             0.164739               0.176786               0.899614                   1.692612                       2.592225                         0.0                             0.0                                0.0                         0.924948                0.689724              3.807158             4.207712               4.074817               3.882516           390              YES
