Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
26     36     62     -0.001509           -537.138358         -537.136849         0.01566        0.130097       0.127789       0.002308       
32     70     102    -0.02255            -745.10855          -745.086            0.021522       0.239706       0.241094       -0.001388      
34     78     112    -0.017106           -795.287003         -795.269897         0.025225       0.188317       0.188975       -0.000658      
36     32     68     -0.00152            -547.326616         -547.325096         0.031874       -0.187511      -0.192999      0.005488       
40     56     96     -0.001868           -830.589642         -830.587774         0.014731       0.000393       5.4e-05        0.000339       
40     58     98     -0.19233            -841.846207         -841.653877         0.080838       0.005355       -1.3e-05       0.005368       
40     60     100    -0.225347           -851.333727         -851.10838          0.090445       0.002611       -0.000357      0.002968       
42     58     100    -0.099807           -860.842719         -860.742912         0.073811       -0.00247       3.4e-05        -0.002504      
42     74     116    -0.000922           -941.363942         -941.36302          0.020025       -0.169056      -0.171623      0.002567       
42     104    146    -0.16288            -975.314856         -975.151976         0.070879       -0.022789      -0.001638      -0.021151      
52     58     110    0.002979            -920.0608           -920.063779         0.013466       0.173555       0.17285        0.000705       
52     72     124    -0.001384           -1049.849233        -1049.847849        0.02314        0.17067        0.167325       0.003345       
54     54     108    -0.047146           -873.368219         -873.321073         0.067929       0.184837       0.182991       0.001846       
54     56     110    -0.146896           -899.026422         -898.879526         0.104111       0.207685       0.204668       0.003017       
54     58     112    0.002063            -922.745087         -922.74715          0.042586       0.232984       0.231689       0.001295       
54     72     126    0.002565            -1064.187448        -1064.190013        0.02007        0.219289       0.218344       0.000945       
54     74     128    -0.001466           -1080.54014         -1080.538674        0.028629       0.184627       0.180698       0.003929       
54     88     142    -0.112447           -1168.039259        -1167.926812        0.101112       0.159135       0.148186       0.010949       
54     90     144    -0.009049           -1175.339872        -1175.330823        0.060725       0.1839         0.182144       0.001756       
56     54     110    -0.185561           -869.65341          -869.467849         0.114334       0.210304       0.20674        0.003564       
56     56     112    -0.357664           -897.564051         -897.206387         0.142289       0.234721       0.229495       0.005226       
56     58     114    -0.08914            -923.218899         -923.129759         0.146418       0.27939        0.273657       0.005733       
56     90     146    -0.475388           -1198.513433        -1198.038045        0.161036       0.208447       0.203986       0.004461       
58     54     112    -0.070047           -863.455016         -863.384969         0.099171       0.234352       0.232203       0.002149       
58     56     114    -0.230628           -893.341268         -893.11064          0.127533       0.268251       0.266591       0.00166        
58     90     148    -0.453538           -1218.707124        -1218.253586        0.166903       0.213714       0.241303       -0.027589      
60     62     122    0.010008            -976.356958         -976.366966         0.035494       0.391374       0.390499       0.000875       
60     88     148    -1.15505            -1225.059587        -1223.904537        0.162573       0.161829       0.178568       -0.016739      
60     136    196    -0.069291           -1365.784092        -1365.714801        0.059973       0.079293       -0.066572      0.145865       
62     86     148    -1.006565           -1226.862052        -1225.855487        0.13788        0.109554       0.074813       0.034741       
62     88     150    -1.266461           -1239.654002        -1238.387541        0.163485       0.132033       0.207473       -0.07544       
62     90     152    0.000159            -1252.688363        -1252.688522        0.10895        0.297278       0.276802       0.020476       
62     132    194    -0.511196           -1402.619223        -1402.108027        0.082687       0.075038       0.057002       0.018036       
62     134    196    -0.796397           -1403.477299        -1402.680902        0.128716       0.095955       0.065071       0.030884       
62     136    198    -0.899097           -1403.87605         -1402.976953        0.140993       0.097893       -0.074387      0.17228        
62     138    200    -0.408819           -1403.948067        -1403.539248        0.146615       0.093209       -0.119743      0.212952       
62     140    202    -0.034643           -1403.84733         -1403.812687        0.121981       0.067911       -0.134006      0.201917       
64     86     150    -1.2779             -1238.216405        -1236.938505        0.118627       0.084166       -0.064364      0.14853        
64     88     152    -1.304311           -1252.320213        -1251.015902        0.186667       0.121367       0.213319       -0.091952      
64     132    196    -1.066686           -1436.883218        -1435.816532        0.132038       0.087153       0.046273       0.04088        
64     134    198    -1.464447           -1438.499899        -1437.035452        0.154096       0.094154       0.05487        0.039284       
64     136    200    -1.215807           -1439.643494        -1438.427687        0.165982       0.094242       -0.119431      0.213673       
64     138    202    -0.547383           -1440.467768        -1439.920385        0.143537       0.079378       -0.136933      0.216311       
64     140    204    -0.012481           -1441.0336          -1441.021119        0.149935       0.068066       -0.150011      0.218077       
66     72     138    0.011004            -1100.063054        -1100.074058        0.043309       0.332478       0.330632       0.001846       
66     84     150    -0.047629           -1230.821654        -1230.774025        0.037074       0.02642        0.000211       0.026209       
66     86     152    -1.060613           -1247.151643        -1246.09103         0.127744       0.079964       -0.108369      0.188333       
66     88     154    -0.932048           -1262.614555        -1261.682507        0.186904       0.110148       0.206038       -0.09589       
66     94     160    0.010409            -1309.500281        -1309.51069         0.123961       0.335489       0.315614       0.019875       
66     130    196    -0.580181           -1465.825691        -1465.24551         0.0758         0.051812       0.032378       0.019434       
66     132    198    -1.365092           -1468.860221        -1467.495129        0.111992       0.073295       0.053483       0.019812       
66     134    200    -1.681061           -1471.29879         -1469.617729        0.165829       0.090557       -0.106832      0.197389       
66     136    202    -1.13501            -1473.249224        -1472.114214        0.14806        0.078844       -0.128401      0.207245       
66     138    204    -0.489612           -1474.849938        -1474.360326        0.159685       0.072371       -0.142827      0.215198       
68     86     154    -0.47973            -1253.856471        -1253.376741        0.126535       0.083905       -0.11898       0.202885       
68     130    198    -0.445194           -1494.964467        -1494.519273        0.075983       0.052834       0.041702       0.011132       
68     132    200    -1.217305           -1498.728271        -1497.510966        0.11404        0.071159       0.069283       0.001876       
68     134    202    -1.360798           -1501.893454        -1500.532656        0.137391       0.074817       -0.112296      0.187113       
68     136    204    -0.959779           -1504.610001        -1503.650222        0.155854       0.067242       -0.13002       0.197262       
68     138    206    -0.083081           -1506.964071        -1506.88099         0.1917         0.071283       0.208831       -0.137548      
70     94     164    -0.008386           -1330.270119        -1330.261733        0.086737       0.29749        0.28455        0.01294        
70     96     166    0.006025            -1346.821926        -1346.827951        0.081745       0.316074       0.307533       0.008541       
70     130    200    -0.208506           -1522.453267        -1522.244761        0.065171       0.053352       0.052305       0.001047       
70     132    202    -0.791391           -1526.819662        -1526.028271        0.107503       0.068908       0.08406        -0.015152      
70     134    204    -1.068224           -1530.642412        -1529.574188        0.135725       0.064689       0.129358       -0.064669      
70     136    206    -0.507925           -1534.121158        -1533.613233        0.166871       0.052614       0.173405       -0.120791      
72     94     166    -0.004592           -1337.942121        -1337.937529        0.07733        0.279185       0.267005       0.01218        
72     96     168    -0.003112           -1355.484004        -1355.480892        0.076155       0.304237       0.294865       0.009372       
72     130    202    -0.074547           -1548.457142        -1548.382595        0.046743       0.053513       0.054925       -0.001412      
72     132    204    -0.448663           -1553.4014          -1552.952737        0.095428       0.0682         0.088233       -0.020033      
72     134    206    -0.568981           -1557.88887         -1557.319889        0.131282       0.050674       0.124944       -0.07427       
72     136    208    -0.296372           -1562.260965        -1561.964593        0.157291       0.024088       0.160849       -0.136761      
74     96     170    -0.003437           -1362.383798        -1362.380361        0.07493        0.305577       0.296809       0.008768       
74     98     172    -0.00405            -1380.300213        -1380.296163        0.063783       0.314583       0.308824       0.005759       
74     130    204    -0.027867           -1572.956849        -1572.928982        0.026392       0.048397       0.048013       0.000384       
74     132    206    -0.325816           -1578.526752        -1578.200936        0.082111       0.066252       0.0816         -0.015348      
74     134    208    -0.448907           -1583.712429        -1583.263522        0.126866       0.03432        0.111104       -0.076784      
74     136    210    -0.456866           -1588.914267        -1588.457401        0.14821        0.006333       0.142791       -0.136458      
76     96     172    -0.005536           -1367.229144        -1367.223608        0.069496       0.299409       0.291608       0.007801       
76     98     174    -0.001556           -1386.082739        -1386.081183        0.058094       0.306431       0.301382       0.005049       
76     132    208    -0.356645           -1602.180562        -1601.823917        0.075429       0.055366       0.06522        -0.009854      
76     134    210    -0.593006           -1608.090238        -1607.497232        0.117224       0.028676       0.091663       -0.062987      
76     136    212    -0.807724           -1613.977725        -1613.170001        0.13829        0.002907       0.117807       -0.1149        
