 Nrows 
   3332 
    Z     N          Q20                 Q30           beta2       beta3
     4     4     -0.1395191359               0.0        -0.4         0.0 
     4     4     -0.1220792439               0.0       -0.35         0.0 
     4     4      -0.104639352               0.0        -0.3         0.0 
     4     4       -0.08719946               0.0       -0.25         0.0 
     4     4      -0.069759568               0.0        -0.2         0.0 
     4     4      -0.052319676               0.0       -0.15         0.0 
     4     4      -0.034879784               0.0        -0.1         0.0 
     4     4      -0.017439892               0.0       -0.05         0.0 
     4     4              -0.0               0.0        -0.0         0.0 
     4     4       0.017439892               0.0        0.05         0.0 
     4     4       0.034879784               0.0         0.1         0.0 
     4     4       0.052319676               0.0        0.15         0.0 
     4     4       0.069759568               0.0         0.2         0.0 
     4     4        0.08719946               0.0        0.25         0.0 
     4     4       0.104639352               0.0         0.3         0.0 
     4     4      0.1220792439               0.0        0.35         0.0 
     4     4      0.1395191359               0.0         0.4         0.0 
     6     4     -0.2023720198               0.0        -0.4         0.0 
     6     4     -0.1770755173               0.0       -0.35         0.0 
     6     4     -0.1517790149               0.0        -0.3         0.0 
     6     4     -0.1264825124               0.0       -0.25         0.0 
     6     4     -0.1011860099               0.0        -0.2         0.0 
     6     4     -0.0758895074               0.0       -0.15         0.0 
     6     4      -0.050593005               0.0        -0.1         0.0 
     6     4     -0.0252965025               0.0       -0.05         0.0 
     6     4              -0.0               0.0        -0.0         0.0 
     6     4      0.0252965025               0.0        0.05         0.0 
     6     4       0.050593005               0.0         0.1         0.0 
     6     4      0.0758895074               0.0        0.15         0.0 
     6     4      0.1011860099               0.0         0.2         0.0 
     6     4      0.1264825124               0.0        0.25         0.0 
     6     4      0.1517790149               0.0         0.3         0.0 
     6     4      0.1770755173               0.0        0.35         0.0 
     6     4      0.2023720198               0.0         0.4         0.0 
    12     2     -0.3545660853               0.0        -0.4         0.0 
    12     2     -0.3102453246               0.0       -0.35         0.0 
    12     2      -0.265924564               0.0        -0.3         0.0 
    12     2     -0.2216038033               0.0       -0.25         0.0 
    12     2     -0.1772830426               0.0        -0.2         0.0 
    12     2      -0.132962282               0.0       -0.15         0.0 
    12     2     -0.0886415213               0.0        -0.1         0.0 
    12     2     -0.0443207607               0.0       -0.05         0.0 
    12     2              -0.0               0.0        -0.0         0.0 
    12     2      0.0443207607               0.0        0.05         0.0 
    12     2      0.0886415213               0.0         0.1         0.0 
    12     2       0.132962282               0.0        0.15         0.0 
    12     2      0.1772830426               0.0         0.2         0.0 
    12     2      0.2216038033               0.0        0.25         0.0 
    12     2       0.265924564               0.0         0.3         0.0 
    12     2      0.3102453246               0.0        0.35         0.0 
    12     2      0.3545660853               0.0         0.4         0.0 
    14     2     -0.4429456463               0.0        -0.4         0.0 
    14     2     -0.3875774405               0.0       -0.35         0.0 
    14     2     -0.3322092347               0.0        -0.3         0.0 
    14     2     -0.2768410289               0.0       -0.25         0.0 
    14     2     -0.2214728232               0.0        -0.2         0.0 
    14     2     -0.1661046174               0.0       -0.15         0.0 
    14     2     -0.1107364116               0.0        -0.1         0.0 
    14     2     -0.0553682058               0.0       -0.05         0.0 
    14     2              -0.0               0.0        -0.0         0.0 
    14     2      0.0553682058               0.0        0.05         0.0 
    14     2      0.1107364116               0.0         0.1         0.0 
    14     2      0.1661046174               0.0        0.15         0.0 
    14     2      0.2214728232               0.0         0.2         0.0 
    14     2      0.2768410289               0.0        0.25         0.0 
    14     2      0.3322092347               0.0         0.3         0.0 
    14     2      0.3875774405               0.0        0.35         0.0 
    14     2      0.4429456463               0.0         0.4         0.0 
    14    16      -1.262852294               0.0        -0.4         0.0 
    14    16     -1.1049957573               0.0       -0.35         0.0 
    14    16     -0.9471392205               0.0        -0.3         0.0 
    14    16     -0.7892826838               0.0       -0.25         0.0 
    14    16      -0.631426147               0.0        -0.2         0.0 
    14    16     -0.4735696103               0.0       -0.15         0.0 
    14    16     -0.3157130735               0.0        -0.1         0.0 
    14    16     -0.1578565368               0.0       -0.05         0.0 
    14    16              -0.0               0.0        -0.0         0.0 
    14    16      0.1578565368               0.0        0.05         0.0 
    14    16      0.3157130735               0.0         0.1         0.0 
