Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
12     12     24     -196.847541             0.740642       0.0            10        YES            
16     28     44     -354.323619             -0.962247      0.0            25        YES            
22     14     36     -245.537059             -0.035355      0.0            38        YES            
32     46     78     -677.280865             2.584393       0.0            68        YES            
34     48     82     -713.254257             2.199565       0.0            83        YES            
34     62     96     -772.377816             -5.571019      0.0            93        YES            
34     66     100    -780.90839              -5.85752       0.0            110       YES            
36     48     84     -732.792536             1.399679       0.0            133       YES            
36     54     90     -771.416616             2.740632       0.0            153       YES            
36     60     96     -797.798728             -5.860977      0.0            161       YES            
36     64     100    -810.669363             -6.031059      0.0            178       YES            
38     60     98     -824.708433             -5.27009       0.0            195       YES            
38     62     100    -833.372681             -5.59889       0.0            212       YES            
38     64     102    -841.487461             -5.691501      0.0            229       YES            
40     34     74     -576.615448             -2.961252      0.0            243       YES            
40     64     104    -870.021396             -5.528532      0.0            263       YES            
40     66     106    -879.293067             -5.794639      0.0            280       YES            
42     64     106    -895.385939             -5.7676        0.0            297       YES            
44     34     78     -566.198453             2.251729       0.0            316       YES            
44     68     112    -941.871462             -6.453387      0.0            328       YES            
52     62     114    -958.384463             7.996344       0.0            353       YES            
52     92     144    -1151.916678            7.839019       0.0            369       YES            
52     94     146    -1156.455354            10.400832      0.0            387       YES            
54     88     142    -1165.465466            7.230993       0.0            404       YES            
54     90     144    -1172.299504            8.432119       0.0            420       YES            
54     92     146    -1178.531953            9.685061       0.0            438       YES            
54     94     148    -1184.655275            11.205744      0.0            454       YES            
56     54     110    -867.640583             5.977227       0.0            472       YES            
56     56     112    -895.142348             6.780537       0.0            489       YES            
56     58     114    -920.600656             7.703833       0.0            503       YES            
56     86     142    -1176.656603            6.472794       0.0            523       YES            
56     88     144    -1186.259611            8.143766       0.0            540       YES            
56     90     146    -1194.767978            9.569872       0.0            556       YES            
56     92     148    -1202.675699            11.427739      0.0            573       YES            
56     136    192    -1263.260134            12.288132      0.0            591       YES            
56     138    194    -1260.149188            13.864986      0.0            608       YES            
58     56     114    -890.718882             8.025345       0.0            625       YES            
58     84     142    -1181.964975            4.068778       0.0            642       YES            
58     86     144    -1193.270672            6.856226       0.0            659       YES            
58     88     146    -1204.278216            8.911997       0.0            676       YES            
58     90     148    -1214.632189            11.436681      0.0            692       YES            
58     132    190    -1309.836958            7.926176       0.0            710       YES            
58     134    192    -1307.808014            10.575922      0.0            727       YES            
58     136    194    -1305.671756            12.578588      0.0            743       YES            
58     138    196    -1303.343522            14.620469      0.0            761       YES            
60     86     146    -1207.772758            7.078142       0.0            778       YES            
60     88     148    -1220.196539            9.761157       0.0            795       YES            
60     132    192    -1348.88546             7.046297       0.0            811       YES            
60     134    194    -1347.337585            10.175888      0.0            828       YES            
60     136    196    -1345.792358            12.83583       0.0            846       YES            
60     138    198    -1344.893221            19.325001      0.0            863       YES            
62     86     148    -1220.437239            7.337688       0.0            880       YES            
62     88     150    -1234.43825             10.644817      0.0            897       YES            
62     132    194    -1385.924854            5.483074       0.0            911       YES            
62     134    196    -1384.884027            10.128161      0.0            930       YES            
62     136    198    -1384.078896            13.946826      0.0            948       YES            
64     130    194    -1420.925727            0.0            0.0            961       YES            
64     132    196    -1420.824427            4.486373       0.0            979       YES            
64     134    198    -1420.663777            10.983035      0.0            998       YES            
64     136    200    -1421.055642            15.726217      0.0            1016      YES            
66     130    196    -1452.863944            1.256056       0.0            1030      YES            
