Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
4      4      8      -55.548275              0.000316       0.0            17        YES            
6      4      10     -64.966685              0.000693       0.0            30        YES            
12     2      14     -0.093867               -0.074669      0.0            42        YES            
14     2      16     12.347738               -1.169178      0.0            55        YES            
14     16     30     -258.023257             -3.9e-05       0.0            81        YES            
14     24     38     -303.068149             0.827609       0.0            96        YES            
46     58     104    -892.994859             2.909444       0.0            118       YES            
50     62     112    -953.650609             2.126946       0.0            132       YES            
52     60     112    -941.133181             3.483466       0.0            149       YES            
52     62     114    -961.232145             3.642959       0.0            166       YES            
52     64     116    -980.676033             -4.059615      0.0            173       YES            
52     68     120    -1017.126866            -3.651895      0.0            193       YES            
56     64     120    -993.155588             10.797563      0.0            221       YES            
56     88     144    -1189.736809            7.421899       0.0            234       YES            
56     90     146    -1198.963681            8.781457       0.0            251       YES            
56     94     150    -1215.922444            12.085292      0.0            268       YES            
56     102    158    -1244.692336            15.247356      0.0            285       YES            
58     92     150    -1229.253911            13.338719      0.0            306       YES            
58     94     152    -1239.330043            14.872959      0.0            323       YES            
58     96     154    -1248.68586             15.754307      0.0            336       YES            
58     98     156    -1257.441866            16.409799      0.0            353       YES            
58     100    158    -1265.521298            16.952621      0.0            370       YES            
58     112    170    -1301.373816            15.776825      0.0            387       YES            
58     114    172    -1305.962853            14.434207      0.0            403       YES            
60     90     150    -1236.667692            12.897182      0.0            425       YES            
60     92     152    -1249.053904            15.207315      0.0            442       YES            
60     94     154    -1260.540429            16.387652      0.0            455       YES            
60     96     156    -1271.164522            17.193505      0.0            472       YES            
60     98     158    -1281.118517            17.823137      0.0            489       YES            
60     100    160    -1290.34931             18.401492      0.0            506       YES            
60     106    166    -1313.491978            20.171378      0.0            523       YES            
60     116    176    -1341.525072            15.884464      0.0            539       YES            
62     90     152    -1252.461504            14.222919      0.0            557       YES            
62     96     158    -1290.744423            17.997386      0.0            574       YES            
62     98     160    -1301.911755            18.608019      0.0            591       YES            
62     100    162    -1312.34457             19.171518      0.0            608       YES            
62     114    176    -1365.545552            19.64337       0.0            625       YES            
62     118    180    -1376.336374            14.93091       0.0            642       YES            
62     122    184    -1387.847936            4.204488       0.0            656       YES            
62     134    196    -1406.676763            13.024643      0.0            675       YES            
64     90     154    -1265.926199            14.325153      0.0            693       YES            
64     92     156    -1280.684594            16.313662      0.0            710       YES            
64     94     158    -1294.626343            17.412738      0.0            727       YES            
64     98     162    -1320.130735            18.774284      0.0            744       YES            
66     86     152    -1244.25004             8.284011       0.0            761       YES            
66     90     156    -1277.317718            13.806796      0.0            778       YES            
66     92     158    -1293.092634            15.85386       0.0            795       YES            
66     94     160    -1308.172918            17.149967      0.0            812       YES            
68     86     154    -1251.638977            8.049765       0.0            829       YES            
68     90     158    -1286.756392            13.109946      0.0            846       YES            
68     96     164    -1335.166822            17.694389      0.0            863       YES            
70     86     156    -1257.277807            7.572873       0.0            879       YES            
70     94     164    -1329.071309            15.739981      0.0            897       YES            
72     86     158    -1261.192589            6.910551       0.0            913       YES            
72     88     160    -1280.94949             9.491581       0.0            931       YES            
72     132    204    -1556.55952             8.82871        0.0            947       YES            
74     86     160    -1263.39664             5.953277       0.0            964       YES            
74     88     162    -1283.989595            8.496368       0.0            981       YES            
74     94     168    -1342.001795            13.007233      0.0            999       YES            
76     88     164    -1285.306199            7.20796        0.0            1015      YES            
76     92     168    -1326.250072            10.141347      0.0            1032      YES            
76     94     170    -1345.828757            11.367726      0.0            1049      YES            
76     134    210    -1611.427977            9.290327       0.0            1066      YES            
78     90     168    -1306.643456            7.093014       0.0            1083      YES            
78     92     170    -1327.608737            8.347554       0.0            1100      YES            
78     94     172    -1347.981254            9.417986       0.0            1117      YES            
78     96     174    -1367.818047            10.479946      0.0            1134      YES            
84     136    220    -1694.882731            8.151369       0.0            1150      YES            
84     138    222    -1703.49412             10.278873      0.0            1166      YES            
86     132    218    -1687.125699            8.353995       0.0            1184      YES            
86     134    220    -1697.580765            10.913588      0.0            1200      YES            
86     136    222    -1707.709723            13.059482      0.0            1217      YES            
86     138    224    -1717.608333            15.111344      0.0            1235      YES            
86     140    226    -1727.283481            17.091645      0.0            1253      YES            
86     192    278    -1870.398394            12.172896      0.0            1269      YES            
86     194    280    -1870.656898            15.206795      0.0            1286      YES            
86     196    282    -1870.781426            17.627211      0.0            1303      YES            
86     198    284    -1870.781465            19.865191      0.0            1320      YES            
86     200    286    -1870.693562            22.159076      0.0            1338      YES            
86     202    288    -1870.514268            24.292416      0.0            1355      YES            
