Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
4      4      8      -55.504782              -0.001224      0.0            44        YES            
6      4      10     -64.922876              -0.004092      0.0            48        YES            
12     2      14     0.195759                -1.01924       0.0            52        YES            
14     16     30     -258.001999             -0.004572      0.0            56        YES            
14     24     38     -303.042932             0.842197       0.0            62        YES            
46     58     104    -892.955871             2.916016       0.0            65        YES            
50     62     112    -953.63534              2.099826       0.0            70        YES            
52     60     112    -941.093691             3.488833       0.0            74        YES            
52     62     114    -961.203487             3.648733       0.0            78        YES            
52     64     116    -980.652399             -4.039314      0.0            80        YES            
52     68     120    -1017.121648            -3.658567      0.0            84        YES            
56     64     120    -993.116446             10.808107      0.0            89        YES            
56     88     144    -1189.685022            7.436228       0.0            94        YES            
56     90     146    -1198.917699            8.80111        0.0            97        YES            
56     94     150    -1215.879644            12.147639      0.0            101       YES            
56     102    158    -1244.622188            15.339936      0.0            105       YES            
58     92     150    -1229.213739            13.341606      0.0            109       YES            
58     94     152    -1239.290066            14.875288      0.0            113       YES            
58     96     154    -1248.638022            15.783656      0.0            117       YES            
58     98     156    -1257.394048            16.440599      0.0            121       YES            
58     100    158    -1265.470008            16.992967      0.0            125       YES            
58     112    170    -1301.241736            15.943284      0.0            129       YES            
58     114    172    -1305.807114            14.650466      0.0            133       YES            
60     90     150    -1236.628703            12.863981      0.0            138       YES            
60     92     152    -1249.014205            15.189828      0.0            142       YES            
60     94     154    -1260.497112            16.40337       0.0            145       YES            
60     96     156    -1271.117547            17.208782      0.0            149       YES            
60     98     158    -1281.069899            17.839863      0.0            153       YES            
60     100    160    -1290.302219            18.420274      0.0            157       YES            
60     106    166    -1313.428609            20.253853      0.0            162       YES            
60     116    176    -1341.403348            16.203647      0.0            165       YES            
62     90     152    -1252.417278            14.220575      0.0            170       YES            
62     96     158    -1290.697437            18.007098      0.0            173       YES            
62     98     160    -1301.866861            18.618144      0.0            177       YES            
62     100    162    -1312.295493            19.18038       0.0            182       YES            
62     114    176    -1365.457008            19.744965      0.0            185       YES            
62     118    180    -1376.232278            15.991127      0.0            189       YES            
62     122    184    -1387.34683             -1.457087      0.0            192       YES            
62     134    196    -1406.486491            13.097088      0.0            197       YES            
64     90     154    -1265.874802            14.318851      0.0            202       YES            
64     92     156    -1280.641146            16.313726      0.0            206       YES            
64     94     158    -1294.578175            17.417209      0.0            210       YES            
64     98     162    -1320.075953            18.782965      0.0            214       YES            
66     86     152    -1244.20173             8.281869       0.0            218       YES            
