Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
4      6      10     -71.603599              -0.003648      -0.002851      0.0            275       YES            
6      4      10     -67.230185              -0.004801      -0.003902      0.0            279       YES            
18     12     30     -215.160405             0.002287       0.00889        0.0            284       YES            
24     18     42     -321.645945             0.00195        0.012434       0.0            289       YES            
54     72     126    -1063.495311            0.150123       5.318116       0.0            293       YES            
56     66     122    -1014.232837            0.256372       8.901095       0.0            297       YES            
64     90     154    -1265.362769            0.277889       14.170959      0.0            300       YES            
66     90     156    -1276.555567            0.271496       14.112757      0.0            304       YES            
68     154    222    -1524.311522            0.292782       28.426648      0.0            309       YES            
70     88     158    -1274.54039             0.175748       9.136151       0.0            312       YES            
70     148    218    -1555.814476            0.268086       24.794262      0.0            317       YES            
72     90     162    -1298.403807            0.191263       10.38933       0.0            321       YES            
74     88     162    -1282.04693             0.128134       6.849799       0.0            325       YES            
76     90     166    -1304.232937            0.132992       7.414661       0.0            329       YES            
78     140    218    -1652.10444             -0.080236      -7.029012      0.0            331       YES            
78     160    238    -1698.751351            -0.151819      -15.870223     0.0            335       YES            
84     162    246    -1785.106886            -0.10215       -11.078003     0.0            339       YES            
86     158    244    -1796.885297            0.170637       18.409868      0.0            344       YES            
86     200    286    -1855.11229             -0.068069      -9.665923      0.0            347       YES            
86     202    288    -1856.223373            0.132618       19.251269      0.0            352       YES            
88     112    200    -1528.933054            0.1692         12.978338      0.0            357       YES            
88     132    220    -1693.683534            -0.01983       -1.738085      0.0            359       YES            
88     134    222    -1704.771437            -0.047426      -4.240312      0.0            363       YES            
88     136    224    -1718.154253            0.153205       14.183117      0.0            368       YES            
88     138    226    -1729.342127            0.170752       16.096369      0.0            372       YES            
88     140    228    -1740.144847            0.185508       17.794204      0.0            376       YES            
88     154    242    -1803.332859            0.212328       22.7177        0.0            381       YES            
88     162    250    -1830.65385             0.177661       19.968088      0.0            384       YES            
88     170    258    -1853.159763            -0.118037      -13.921719     0.0            387       YES            
88     194    282    -1888.718492            -0.02372       -3.264871      0.0            391       YES            
88     196    284    -1888.006492            -0.043227      -6.034035      0.0            394       YES            
88     198    286    -1885.040573            -0.235663      -34.379482     0.0            399       YES            
88     200    288    -1890.721245            0.149321       21.633697      0.0            404       YES            
88     202    290    -1890.640925            0.161357       23.721392      0.0            408       YES            
90     132    222    -1700.073839            -0.035947      -3.214297      0.0            411       YES            
90     134    224    -1714.724671            0.157596       14.6155        0.0            416       YES            
90     136    226    -1727.569999            0.18214        17.196223      0.0            420       YES            
90     138    228    -1740.063415            0.20253        19.456584      0.0            424       YES            
90     156    246    -1829.045965            0.229255       25.259742      0.0            428       YES            
90     158    248    -1836.665424            0.220645       24.621184      0.0            432       YES            
90     194    284    -1917.928851            -0.027012      -3.769618      0.0            435       YES            
90     196    286    -1918.252136            -0.045296      -6.408253      0.0            439       YES            
90     198    288    -1921.728433            0.159737       23.119066      0.0            444       YES            
90     200    290    -1922.697123            0.176131       25.85629       0.0            448       YES            
90     202    292    -1923.420981            0.188875       28.115695      0.0            452       YES            
92     120    212    -1606.394636            -0.108595      -9.125624      0.0            455       YES            
92     130    222    -1687.214833            -0.275848      -25.953413     0.0            459       YES            
92     132    224    -1704.934693            -0.050588      -4.621852      0.0            462       YES            
92     134    226    -1721.386963            0.18472        17.47372       0.0            468       YES            
92     136    228    -1735.571414            0.21174        20.387445      0.0            472       YES            
92     160    252    -1862.022096            0.233984       26.869289      0.0            477       YES            
92     162    254    -1869.534801            0.222282       25.838694      0.0            480       YES            
92     164    256    -1876.73724             0.209451       24.638327      0.0            484       YES            
92     166    258    -1883.623847            0.195308       23.238623      0.0            489       YES            
92     170    262    -1896.51121             0.158582       19.271057      0.0            493       YES            
92     192    284    -1940.517489            0.400766       59.317197      0.0            496       YES            
92     194    286    -1947.319295            0.134608       19.124401      0.0            500       YES            
92     196    288    -1949.446924            0.168601       24.352293      0.0            504       YES            
92     198    290    -1951.502116            0.189931       27.845372      0.0            508       YES            
94     120    214    -1605.222167            -0.124329      -10.661029     0.0            511       YES            
94     130    224    -1695.232237            0.109641       10.127353      0.0            516       YES            
94     132    226    -1710.985682            0.182187       17.267157      0.0            520       YES            
94     144    238    -1797.163862            0.270553       28.290288      0.0            524       YES            
94     160    254    -1878.767634            0.261723       30.564507      0.0            529       YES            
94     162    256    -1886.871509            0.253868       30.011946      0.0            532       YES            
94     168    262    -1908.985115            0.211817       25.898952      0.0            537       YES            
94     170    264    -1915.783752            0.18484        22.817499      0.0            540       YES            
94     192    286    -1971.016457            0.000486       0.069569       0.0            544       YES            
94     194    288    -1973.911814            0.181657       26.201977      0.0            548       YES            
96     130    226    -1696.651391            0.141208       13.319234      0.0            553       YES            
96     158    254    -1884.864033            0.282306       33.060436      0.0            557       YES            
96     164    260    -1911.236542            0.282255       34.412046      0.0            561       YES            
96     166    262    -1919.220759            0.282707       34.936906      0.0            564       YES            
96     192    288    -1995.264784            0.232559       33.687178      0.0            568       YES            
96     220    316    -2023.854216            0.267677       46.190571      0.0            572       YES            
96     238    334    -2013.807478            0.287976       55.520941      0.0            576       YES            
98     160    258    -1907.72295             0.291898       35.130322      0.0            581       YES            
98     162    260    -1917.233238            0.294138       35.886941      0.0            584       YES            
98     188    286    -2009.093799            0.30238        43.65288       0.0            588       YES            
98     190    288    -2014.073388            0.291328       42.477284      0.0            592       YES            
98     192    290    -2018.838503            0.279292       41.132959      0.0            596       YES            
98     218    316    -2055.260443            0.269451       46.296596      0.0            600       YES            
98     236    334    -2051.790423            0.296228       56.827046      0.0            604       YES            
98     246    344    -2043.096574            0.320603       65.506394      0.0            608       YES            
100    158    258    -1908.725089            0.293104       35.240665      0.0            613       YES            
100    162    262    -1929.694976            0.297577       36.756308      0.0            616       YES            
100    188    288    -2030.061563            0.324242       47.516911      0.0            620       YES            
100    190    290    -2035.599823            0.316929       46.920485      0.0            625       YES            
100    216    316    -2083.368884            0.266562       45.613139      0.0            628       YES            
100    228    328    -2087.841868            0.280032       51.459001      0.0            632       YES            
100    230    330    -2087.741962            0.283625       52.75651       0.0            636       YES            
100    232    332    -2087.389841            0.287634       54.159962      0.0            640       YES            
100    234    334    -2086.836244            0.292105       55.682243      0.0            644       YES            
100    236    336    -2086.100535            0.297059       57.332301      0.0            648       YES            
100    238    338    -2085.169258            0.302272       59.067742      0.0            652       YES            
100    240    340    -2084.048792            0.307738       60.890498      0.0            656       YES            
100    242    342    -2082.708826            0.314036       62.923906      0.0            661       YES            
100    244    344    -2081.355296            0.318205       64.548601      0.0            664       YES            
100    260    360    -2064.054407            0.325252       72.310587      0.0            668       YES            
100    262    362    -2061.217898            0.322703       72.501638      0.0            672       YES            
100    264    364    -2058.246397            0.319704       72.578502      0.0            676       YES            
102    154    256    -1893.167253            0.290529       34.422874      0.0            681       YES            
102    156    258    -1905.830766            0.289178       34.712919      0.0            684       YES            
102    174    276    -1997.400982            0.321496       43.640493      0.0            688       YES            
102    188    290    -2049.353376            0.334447       49.668087      0.0            692       YES            
102    230    332    -2119.082184            0.273279       51.129654      0.0            696       YES            
102    232    334    -2119.222245            0.277363       52.517376      0.0            700       YES            
102    234    336    -2119.152947            0.282285       54.100175      0.0            704       YES            
102    238    340    -2118.39847             0.293667       57.677022      0.0            708       YES            
102    242    344    -2116.925817            0.306303       61.669862      0.0            712       YES            
102    244    346    -2115.967659            0.312924       63.800266      0.0            716       YES            
102    260    362    -2102.172658            0.329013       73.57516       0.0            720       YES            
102    262    364    -2099.722249            0.325443       73.511848      0.0            724       YES            
102    264    366    -2097.173379            0.321813       73.424132      0.0            728       YES            
104    148    252    -1854.704835            0.287891       33.251332      0.0            732       YES            
104    154    258    -1898.957624            0.283772       34.052949      0.0            736       YES            
104    172    276    -2001.120927            0.391507       54.049302      0.0            741       YES            
104    176    280    -2019.71145             0.397732       56.414075      0.0            745       YES            
104    180    284    -2036.750894            0.391641       56.827129      0.0            21        YES            
104    192    296    -2080.148037            0.326643       50.169569      0.0            748       YES            
104    198    302    -2097.838684            0.292137       46.086027      0.0            752       YES            
104    230    334    -2148.980555            0.259008       48.714928      0.0            756       YES            
104    232    336    -2149.596607            0.261606       49.771081      0.0            760       YES            
104    234    338    -2149.9996              0.265478       51.101527      0.0            764       YES            
104    250    354    -2147.128454            0.369953       79.546887      0.0            37        YES            
104    262    366    -2136.942852            0.357391       81.723392      0.0            769       YES            
104    264    368    -2134.738501            0.343953       79.296703      0.0            772       YES            
106    144    250    -1821.683438            0.283429       32.380044      0.0            776       YES            
106    150    256    -1872.414015            0.280111       33.207994      0.0            780       YES            
106    166    272    -1980.468614            0.256503       33.548077      0.0            784       YES            
106    176    282    -2031.465596            0.409067       58.973393      0.0            789       YES            
106    200    306    -2122.545367            0.286248       46.140792      0.0            792       YES            
106    202    308    -2128.297398            0.276057       44.90471       0.0            796       YES            
106    230    336    -2177.26184             0.246223       46.580106      0.0            800       YES            
106    236    342    -2179.86132             0.250334       48.961778      0.0            804       YES            
106    238    344    -2180.250729            0.254048       50.26108       0.0            808       YES            
106    242    348    -2180.398907            0.362122       74.993439      0.0            813       YES            
108    148    256    -1855.69567             0.276891       32.849266      0.0            816       YES            
108    194    302    -2120.05338             0.351282       56.097785      0.0            55        YES            
108    198    306    -2133.585621            0.325867       52.914906      0.0            820       YES            
108    200    308    -2140.001485            0.308159       50.426676      0.0            824       YES            
108    202    310    -2146.225686            0.289633       47.743082      0.0            828       YES            
108    244    352    -2210.102522            0.365285       77.121322      0.0            832       YES            
108    248    356    -2210.903459            0.372876       80.581363      0.0            82        YES            
108    252    360    -2210.711246            0.373019       82.328461      0.0            100       YES            
110    156    266    -1921.498851            0.25885        32.576842      0.0            836       YES            
110    164    274    -1979.976682            0.238884       31.51125       0.0            840       YES            
110    174    284    -2040.22404             0.493637       73.9647        0.0            124       YES            
110    190    300    -2118.284789            0.377578       60.09291       0.0            145       YES            
110    196    306    -2142.097049            0.359909       58.965116      0.0            166       YES            
110    204    314    -2169.044273            0.300978       50.716228      0.0            844       YES            
110    232    342    -2230.388125            0.218064       42.162054      0.0            848       YES            
112    162    274    -1964.21941             0.402044       55.185072      0.0            852       YES            
112    190    302    -2130.014031            0.401156       64.977244      0.0            187       YES            
114    192    306    -2146.93005             -0.349714      -58.046786     0.0            855       YES            
114    198    312    -2175.939045            0.416498       71.612177      0.0            208       YES            
114    200    314    -2183.856898            0.416961       72.494263      0.0            228       YES            
114    208    322    -2209.987174            -0.321837      -57.690198     0.0            859       YES            
114    220    334    -2245.270732            -0.326472      -62.526672     0.0            863       YES            
114    244    358    -2291.057322            0.467588       104.079111     0.0            868       YES            
116    212    328    -2238.633106            -0.340381      -63.403936     0.0            871       YES            
116    214    330    -2245.225664            -0.339337      -63.856075     0.0            875       YES            
116    228    344    -2286.367935            0.487098       101.441082     0.0            880       YES            
116    240    356    -2309.535888            0.461732       101.356692     0.0            884       YES            
118    218    336    -2273.667657            -0.354516      -69.221396     0.0            887       YES            
118    236    354    -2323.343773            0.465309       101.059135     0.0            892       YES            
118    238    356    -2327.325641            0.462537       101.37977      0.0            896       YES            
118    240    358    -2331.049814            0.460806       101.95677      0.0            900       YES            
120    166    286    -1996.160881            0.498542       75.980852      0.0            252       YES            
120    168    288    -2012.906566            0.496349       76.432497      0.0            272       YES            
120    232    352    -2332.61482             0.497255       107.898241     0.0            904       YES            
120    280    400    -2382.721931            -0.36515       -98.01316      0.0            907       YES            
120    294    414    -2377.288099            -0.366745      -105.122016    0.0            911       YES            
120    298    418    -2374.56917             0.206752       56.988159      0.0            916       YES            
