Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
4      20     24     -0.029975           -50.930417          -50.900442          0.494758       0.450852       -0.0           
10     36     46     -0.035918           -198.455934         -198.420016         0.225351       0.388905       0.90084        
12     12     24     -0.00189            -196.849431         -196.847541         0.028049       0.305582       0.740642       
16     28     44     -5.6e-05            -354.323675         -354.323619         0.01257        -0.142175      -0.962247      
22     14     36     -0.001459           -245.538518         -245.537059         -0.035117      0.101362       -0.035355      
32     46     78     0.008717            -677.272148         -677.280865         0.020768       0.163722       2.584393       
34     48     82     -0.000311           -713.254568         -713.254257         0.023715       0.133361       2.199565       
34     62     96     -2.2e-05            -772.377838         -772.377816         0.011844       -0.229378      -5.571019      
34     66     100    -0.016323           -780.924713         -780.90839          0.014152       -0.222936      -5.85752       
36     48     84     -0.000312           -732.792848         -732.792536         0.012995       0.084816       1.399679       
36     54     90     0.003532            -771.413084         -771.416616         0.014197       0.133641       2.740632       
36     60     96     -0.000169           -797.798897         -797.798728         0.018075       -0.246319      -5.860977      
40     34     74     -0.001206           -576.616654         -576.615448         0.011758       -0.190224      -2.961252      
40     70     110    0.00798             -894.881821         -894.889801         0.02038        0.382001       11.729017      
42     64     106    -0.000102           -895.386041         -895.385939         0.015176       -0.206992      -5.7676        
44     34     78     -0.009718           -566.208171         -566.198453         -0.030086      0.143373       2.251729       
44     68     112    -0.010253           -941.881715         -941.871462         -0.03831       -0.207505      -6.453387      
52     62     114    -0.000337           -958.3848           -958.384463         0.057702       0.264667       7.996344       
52     92     144    -0.005581           -1151.922259        -1151.916678        0.04499        0.182283       7.839019       
52     94     146    -8.1e-05            -1156.455435        -1156.455354        0.015151       0.220746       10.400832      
54     88     142    -0.106399           -1165.571865        -1165.465466        0.097954       0.175077       7.230993       
54     90     144    -0.097774           -1172.397278        -1172.299504        0.102058       0.191124       8.432119       
54     92     146    -0.021007           -1178.55296         -1178.531953        0.075889       0.211508       9.685061       
54     94     148    -0.000237           -1184.655512        -1184.655275        0.029113       0.234767       11.205744      
56     54     110    -0.013643           -867.654226         -867.640583         0.011442       0.20655        5.977227       
56     56     112    -0.080477           -895.222825         -895.142348         0.044629       0.2274         6.780537       
56     58     114    -0.007505           -920.608161         -920.600656         -0.01739       0.24719        7.703833       
56     86     142    -0.152701           -1176.809304        -1176.656603        0.100529       0.161519       6.472794       
56     88     144    -0.504639           -1186.76425         -1186.259611        0.149614       0.194021       8.143766       
56     90     146    -0.483392           -1195.25137         -1194.767978        0.125048       0.207134       9.569872       
56     92     148    -0.310569           -1202.986268        -1202.675699        0.104241       0.232476       11.427739      
56     136    192    -0.188641           -1263.448775        -1263.260134        0.079642       0.166098       12.288132      
56     138    194    -0.292232           -1260.44142         -1260.149188        0.093377       0.18302        13.864986      
58     56     114    -0.018372           -890.737254         -890.718882         0.018853       0.257002       8.025345       
58     66     124    0.010929            -1018.441364        -1018.452293        0.103525       0.364029       12.88826       
58     84     142    -0.001947           -1181.966922        -1181.964975        0.028627       0.110491       4.068778       
58     86     144    -0.271387           -1193.542059        -1193.270672        0.121008       0.164687       6.856226       
58     88     146    -0.5496             -1204.827816        -1204.278216        0.161313       0.201136       8.911997       
58     90     148    -0.142132           -1214.774321        -1214.632189        0.12892        0.2237         11.436681      
58     132    190    -0.005396           -1309.842354        -1309.836958        0.012252       0.108904       7.926176       
58     134    192    -0.384826           -1308.19284         -1307.808014        0.103717       0.148798       10.575922      
58     136    194    -0.619054           -1306.29081         -1305.671756        0.124938       0.171051       12.578588      
58     138    196    -0.756113           -1304.099635        -1303.343522        0.131883       0.189325       14.620469      
60     68     128    0.002435            -1044.734104        -1044.736539        0.078041       0.366107       13.889774      
60     86     146    -0.236929           -1208.009687        -1207.772758        0.121647       0.160009       7.078142       
60     88     148    -0.353468           -1220.550007        -1220.196539        0.148356       0.208102       9.761157       
60     132    192    -0.324481           -1349.209941        -1348.88546         0.091184       0.108016       7.046297       
60     134    194    -0.716957           -1348.054542        -1347.337585        0.128099       0.141968       10.175888      
60     136    196    -1.032273           -1346.824631        -1345.792358        0.144664       0.167205       12.83583       
60     138    198    -0.502372           -1345.395593        -1344.893221        0.149208       0.190655       19.325001      
62     86     148    -0.078828           -1220.516067        -1220.437239        0.106502       0.153224       7.337688       
62     88     150    -0.026721           -1234.464971        -1234.43825         0.076039       0.224619       10.644817      
62     132    194    -0.619116           -1386.54397         -1385.924854        0.111331       0.095964       5.483074       
62     134    196    -1.046523           -1385.93055         -1384.884027        0.142422       0.131929       10.128161      
62     136    198    -1.276636           -1385.355532        -1384.078896        0.15608        0.162287       13.946826      
64     130    194    -0.240247           -1421.165974        -1420.925727        0.061311       0.047713       0.0            
64     132    196    -0.87288            -1421.697307        -1420.824427        0.117902       0.081933       4.486373       
64     134    198    -1.02355            -1421.687327        -1420.663777        0.150917       0.123905       10.983035      
64     136    200    -0.812158           -1421.8678          -1421.055642        0.158217       0.162178       15.726217      
66     130    196    -0.27184            -1453.135784        -1452.863944        0.070596       0.049463       1.256056       
66     132    198    -0.860786           -1454.505193        -1453.644407        0.120973       0.077318       6.345611       
66     134    200    -0.507266           -1455.294703        -1454.787437        0.149653       0.129339       11.853617      
66     136    202    -0.287862           -1456.426464        -1456.138602        0.155308       0.172374       15.656757      
66     168    234    -0.007372           -1445.796368        -1445.788996        0.066634       0.230205       23.856684      
66     170    236    -0.024935           -1442.650499        -1442.625564        0.053332       0.206949       22.150515      
68     130    198    -0.068391           -1483.095887        -1483.027496        0.041622       0.046195       3.038648       
68     132    200    -0.182835           -1485.184964        -1485.002129        0.107877       0.081127       8.59182        
68     134    202    -0.051629           -1487.168015        -1487.116386        0.092829       0.148669       12.154032      
68     162    230    -0.012489           -1497.80557         -1497.793081        0.08268        0.271649       27.787423      
68     164    232    -0.01348            -1495.69794         -1495.68446         0.080004       0.257939       26.075171      
68     170    238    -0.010221           -1488.526703        -1488.516482        0.064481       0.215701       22.544985      
70     86     156    -0.00219            -1254.355925        -1254.353735        0.033036       0.157092       7.522902       
70     164    234    -0.016652           -1537.926822        -1537.91017         0.081102       0.2515         25.265728      
70     166    236    -0.017725           -1536.561595        -1536.54387         0.076781       0.239912       24.420133      
70     168    238    -0.015315           -1534.882047        -1534.866732        0.071534       0.226639       23.352725      
70     170    240    -0.016816           -1532.72961         -1532.712794        0.063639       0.208392       21.716788      
72     86     158    -0.001629           -1258.553602        -1258.551973        0.029512       0.151979       7.425276       
72     166    238    -0.022576           -1577.227169        -1577.204593        0.074332       0.229189       23.293679      
72     168    240    -0.01908            -1576.339298        -1576.320218        0.06882        0.215638       22.164676      
72     174    246    -0.010272           -1570.995208        -1570.984936        0.040118       0.153257       16.289865      
82     140    222    -0.008111           -1681.266115        -1681.258004        0.017639       0.000281       0.0            
84     134    218    -0.001144           -1676.441607        -1676.440463        0.026712       0.100871       8.723658       
84     156    240    -0.006358           -1752.427361        -1752.421003        0.07499        0.256677       26.182539      
84     160    244    -0.019208           -1762.292436        -1762.273228        0.076141       0.238823       24.573036      
