 Nrows 
   180 
    Z     N          Q20                 Q30           beta2       beta3
     4     6          0.001354      0.0004125296    0.002676        0.01 
     6     4           0.00062      0.0004125296    0.001225        0.01 
    18    12          0.004538      0.0037127665    0.001437        0.01 
    24    18          0.000889      0.0072770224    0.000161        0.01 
    54    72          5.365089      0.0654932013     0.15543        0.01 
    56    66          8.947918      0.0614009075    0.273547        0.01 
    64    90         14.158218      0.0978355229    0.293574        0.01 
    66    90           14.1136      0.1003932065    0.286422        0.01 
    68   154         28.301584      0.2033110942    0.319006        0.01 
    70    88          9.129115      0.1029838925    0.181375        0.01 
    70   148         24.762093       0.196050573    0.287697        0.01 
    72    90          10.37109      0.1082642715     0.19764        0.01 
    74    88          6.666142      0.1082642715    0.127036        0.01 
    76    90          7.332588        0.11367666    0.134169        0.01 
    78   140          8.893569       0.196050573     0.10333        0.01 
    78   160        -15.819579      0.2336732737   -0.158785        0.01 
    84   162         -10.63232      0.2496464203   -0.100998        0.01 
    86   158         18.442718      0.2456036301     0.17759        0.01 
    86   200         16.897462      0.3374327218    0.124869        0.01 
    86   202         18.903028      0.3421685618    0.138077        0.01 
    88   112         13.006286       0.165011845    0.174453        0.01 
    88   132          9.197042      0.1996643324    0.105241        0.01 
    88   134         12.003664      0.2033110942    0.135301        0.01 
    88   136         14.163015      0.2069908584    0.157272        0.01 
    88   138         16.068386      0.2107036249    0.175806        0.01 
    88   140         17.772604      0.2144493938    0.191618        0.01 
    88   154         22.754148      0.2415938423    0.222132        0.01 
    88   162         19.983504      0.2578310078    0.184791        0.01 
    88   170         13.890878      0.2745962113    0.121882        0.01 
    88   194         12.335674       0.328060049    0.093323        0.01 
    88   196         16.361486      0.3327298843    0.122331        0.01 
    88   198         19.119944      0.3374327218    0.141293        0.01 
    88   200         21.483249      0.3421685618    0.156924        0.01 
    88   202         23.550058      0.3469374041    0.170048        0.01 
    90   132         11.635338      0.2033110942     0.13115        0.01 
    90   134         14.586868      0.2069908584    0.161979        0.01 
    90   136         17.171149      0.2107036249    0.187872        0.01 
    90   138         19.432774      0.2144493938    0.209517        0.01 
    90   156         25.268808      0.2496464203    0.240032        0.01 
    90   158         24.617566      0.2537222129    0.230711        0.01 
    90   194         15.679076      0.3327298843    0.117228        0.01 
    90   196         19.809434      0.3374327218    0.146388        0.01 
    90   198         23.042951      0.3421685618    0.168317        0.01 
    90   200         25.757415      0.3469374041    0.185987        0.01 
    90   202         27.990691      0.3517392488    0.199811        0.01 
    92   120         -9.059647       0.185407309   -0.110271        0.01 
    92   130          8.215604      0.2033110942    0.092603        0.01 
    92   132         13.932045      0.2069908584    0.154707        0.01 
    92   134         17.434681      0.2107036249    0.190755        0.01 
    92   136         20.365615      0.2144493938    0.219575        0.01 
    92   160         26.851073      0.2619728051    0.245021        0.01 
    92   162         25.815003      0.2661476048    0.232484        0.01 
    92   164         24.603277      0.2703554068    0.218693        0.01 
    92   166         23.187363      0.2745962113    0.203452        0.01 
    92   170         19.231247      0.2831768272    0.164468        0.01 
    92   192             1e-06      0.3327298843         0.0        0.01 
    92   194         19.111399      0.3374327218    0.141229        0.01 
    92   196         24.246303      0.3421685618    0.177106        0.01 
    92   198         27.693475      0.3469374041    0.199966        0.01 
    94   120        -10.596755      0.1889220613   -0.126977        0.01 
    94   130         10.053516      0.2069908584    0.111639        0.01 
    94   132         17.153499      0.2107036249    0.187679        0.01 
    94   144         28.281445      0.2336732737    0.283868        0.01 
    94   160         30.512865      0.2661476048    0.274791        0.01 
    94   162         29.957072      0.2703554068    0.266282        0.01 
    94   168         25.743714      0.2831768272    0.220163        0.01 
    94   170         22.734836      0.2875166387    0.191982        0.01 
    94   192           0.31623      0.3374327218    0.002337        0.01 
    94   194          25.76913      0.3421685618     0.18823        0.01 
    96   130         12.760996      0.2107036249     0.13962        0.01 
    96   158         33.018935      0.2661476048     0.29736        0.01 
    96   164         34.334856       0.278870018     0.29741        0.01 
    96   166         34.888157      0.2831768272    0.298368        0.01 
    96   192         11.540631      0.3421685618    0.084298        0.01 
    96   220         45.891962      0.4119355699    0.287189        0.01 
    96   238         54.114179      0.4602015345    0.308776        0.01 
    98   160         35.081035      0.2745962113     0.30781        0.01 
    98   162         35.861547       0.278870018    0.310634        0.01 
    98   188          0.005353      0.3374327218       4e-05        0.01 
    98   190         -0.011797      0.3421685618    -8.6e-05        0.01 
    98   192         40.950842      0.3469374041    0.295694        0.01 
    98   218         46.147589      0.4119355699    0.288789        0.01 
    98   236          56.16853      0.4602015345    0.320498        0.01 
    98   246         63.507939      0.4881710422     0.34499        0.01 
   100   158         35.189577      0.2745962113    0.308762        0.01 
   100   162         36.719168      0.2831768272    0.314027        0.01 
   100   188         -0.029005      0.3421685618   -0.000212        0.01 
   100   190         46.686585      0.3469374041     0.33711        0.01 
   100   216         45.469259      0.4119355699    0.284544        0.01 
   100   228          51.22153      0.4438158583    0.301235        0.01 
   100   230         52.670287       0.449244748    0.306633        0.01 
   100   232         54.028902      0.4547066401    0.311391        0.01 
   100   234         55.329327      0.4602015345    0.315709        0.01 
   100   236         56.892017      0.4657294313    0.321412        0.01 
   100   238          58.51947      0.4712903305    0.327352        0.01 
   100   240          60.19076       0.476884232    0.333407        0.01 
   100   242         61.878502       0.482511136    0.339421        0.01 
   100   244         63.503181      0.4881710422    0.344964        0.01 
   100   260           0.15863      0.5346383778    0.000799        0.01 
   100   262          0.229488      0.5405953054    0.001145        0.01 
   100   264         -0.089079      0.5465852354    -0.00044        0.01 
   102   154         34.377694      0.2703554068    0.305576        0.01 
   102   156          34.68175      0.2745962113    0.304306        0.01 
   102   174         43.561113      0.3142485576    0.341581        0.01 
   102   188          0.029206      0.3469374041    0.000211        0.01 
   102   230          50.95768      0.4547066401     0.29369        0.01 
   102   232         52.332129      0.4602015345    0.298607        0.01 
   102   234         53.848025      0.4657294313    0.304215        0.01 
   102   238         57.262036       0.476884232    0.317184        0.01 
   102   242         61.008685      0.4881710422    0.331414        0.01 
   102   244         62.955307      0.4938639509      0.3387        0.01 
   102   260          0.395514      0.5405953054    0.001973        0.01 
   102   262          0.300274      0.5465852354    0.001485        0.01 
   102   264          0.330364      0.5526081677    0.001618        0.01 
   104   148         33.222534      0.2619728051    0.303162        0.01 
   104   154         34.026936      0.2745962113    0.298561        0.01 
   104   172         38.902589      0.3142485576    0.305051        0.01 
   104   176         42.199146      0.3234232162     0.32306        0.01 
   104   180         56.827129      0.3327298843    0.424882        0.01 
   104   192         50.192484      0.3614419453    0.350264        0.01 
   104   198         45.888274      0.3762435078    0.309694        0.01 
   104   230         48.521172      0.4602015345    0.276862        0.01 
   104   232         49.516056      0.4657294313    0.279741        0.01 
   104   234         50.943544      0.4712903305    0.284973        0.01 
   104   250         79.546887      0.5169656092    0.411965        0.01 
   104   262          0.425521      0.5526081677    0.002085        0.01 
   104   264         74.344044      0.5586641024    0.360919        0.01 
   106   144         32.323431      0.2578310078    0.298901        0.01 
   106   150          33.17919      0.2703554068    0.294923        0.01 
   106   166         33.566778      0.3052059085    0.269694        0.01 
   106   176          38.47212       0.328060049    0.291054        0.01 
   106   200         45.919398       0.386276228    0.303182        0.01 
   106   202         44.713395      0.3913420916    0.292031        0.01 
   106   230         46.491107      0.4657294313    0.262652        0.01 
   106   236         48.691863       0.482511136    0.267089        0.01 
   106   238         50.054867      0.4881710422     0.27191        0.01 
   106   242         53.095525      0.4995898619    0.282923        0.01 
   108   148         32.798792      0.2703554068    0.291542        0.01 
   108   194         56.097785      0.3762435078    0.378597        0.01 
